"uri","definedBy","dataType","required","repeat","display","displayLabel","onForm","formLabel","search","indexAs","backwardCompatibleWith","facet","sort","tokenize","comments"
"http://purl.org/dc/terms/type","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermstype","uri","true","false","true","Type of item","true","Type of item","true",,,"true","false","None",
"http://purl.org/ontology/bibo/status","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#bibostatus","auto","false","true","true","Type of item","false","None","false",,,"false","false","None","""draft"", ""submitted"", ""published"" to be selected and concatenated on the end of dc:type when dc:type is ""Article"""
"http://purl.org/dc/elements/1.1/Creator","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dccreator","text","true","true","true","Author or Creator","true","Author or Creator","true",,"http://purl.org/dc/terms/creator","true","false","None",
"http://purl.org/dc/elements/1.1/Contributor","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dccontributor","text","false","true","true","Additional Contributors","true","Additional Contributors","true",,"http://purl.org/dc/terms/contributor","true","false","None",
"http://terms.library.ualberta.ca/depositor","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualdepositor","auto","false","false","false","None","false","None","false",,"http://id.loc.gov/vocabulary/relators/dpt","false","false","None","legacy property; usage: admin email."
"http://purl.org/dc/elements/1.1/Subject","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dcsubject","text","true","true","true","Subject/Keyword","true","Subject/Keyword","true",,,"true","false","None",
"http://purl.org/dc/terms/temporal","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermstemporal","text","false","true","true","Time","true","Is this item about a time?","true","http://purl.org/dc/elements/1.1/Subject",,"true","false","None",
"http://purl.org/dc/terms/spatial","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsspatial","text","false","true","true","Place","true","Is this item about a place?","true","http://purl.org/dc/elements/1.1/Subject",,"true","false","None",
"http://purl.org/dc/terms/created","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermscreated","text","false","false","true","Date created","true","Date Created","true",,,"false","true","None",
"http://purl.org/dc/terms/title","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermstitle","text","true","false","true","None","true","Title or caption","true",,,"false","true","None",
"http://purl.org/dc/terms/alternative","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsalternative","text","false","true","true","None","false","Title or caption","true",,,"false","false","None",
"http://purl.org/dc/terms/identifier","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsidentifier","text","false","true","true","DOI","false","None","true","http://prismstandard.org/namespaces/basic/3.0/doi",,"false","false","None","often DOI, but not always; currently set to searchable (should this be changed?)"
"http://prismstandard.org/namespaces/basic/3.0/doi","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#prismdoi","auto","true","false","true","DOI","false","None","true","http://purl.org/dc/terms/identifier","http://terms.library.ualberta.ca/id/doi","false","false","None","always DOI (currently set to searchable (should this be changed?)"
"http://terms.library.ualberta.ca/unicorn","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualunicorn","text","false","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/unicorn","false","false","None","legacy property"
"http://terms.library.ualberta.ca/fedora3UUID","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualfedora3uuid","text","false","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/fedora3uuid","false","false","None","legacy property"
"http://terms.library.ualberta.ca/fedora3Handle","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualfedora3handle","text","false","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/fedora3handle","false","false","None","legacy property"
"http://terms.library.ualberta.ca/nnaItem","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualnnaitem","text","false","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/halpern:nnaitem","false","false","None","legacy property"
"http://terms.library.ualberta.ca/nnaFile","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualnnafile","text","false","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/halpern:nnafile","false","false","None","legacy property"
"http://terms.library.ualberta.ca/ark","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualark","text","true","false","false","None","false","None","false",,"http://terms.library.ualberta.ca/id/arkid","false","false","None",
"http://purl.org/dc/terms/description","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsdescription","text","false","false","true","Description","true","Description","true","http://purl.org/dc/terms/abstract",,"false","false","None",
"http://purl.org/dc/terms/language","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermslanguage","uri","true","true","true","Language","true","Language","true",,,"true","false","None",
"http://purl.org/dc/terms/relation","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsrelation","text","false","false","true","Link to related item","true","Link to related item","true",,,"false","false","None","relation, source, and isVersionOf will eventually be mapped together (to some extent)"
"http://purl.org/dc/terms/isVersionOf","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsisversionof","text","false","false","true","Citation for previous publication","true","Citation for previous publication","true",,,"false","false","None","relation, source, and isVersionOf will eventually be mapped together (to some extent)"
"http://purl.org/dc/terms/source","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermslanguage","text","false","false","true","Source","true","Source","true",,,"false","false","None","relation, source, and isVersionOf will eventually be mapped together (to some extent)"
"http://purl.org/dc/elements/1.1/Rights","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dcrights","text","false","false","true","Rights","true","Choose a license","false",,,"false","false","None","cannot have both dc:License and DC:Rights"
"http://purl.org/dc/terms/license","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermslicense","uri","false","false","true","License information","true","Choose a license","false",,"http://purl.org/dc/terms/rights","true","false","None","cannot have both dc:License and DC:Rights"
