"uri","definedBy","dataType","required","repeat","display","displayLabel","onForm","formLabel","search","indexAs","backwardCompatibleWith","facet","sort","tokenize","comments"
"http://purl.org/dc/terms/type","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermstype","uri","true","true","false","Type of item","None","None","true",,,"true","false","None",
"http://terms.library.ualberta.ca/institution","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualinstitution","auto","true","false","true","Degree grantor","None","None","false",,"http://id.loc.gov/vocabulary/relators/dgg","false","false","None",
"http://terms.library.ualberta.ca/dissertant","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualdissertant","text","true","false","true","Author or Creator","None","None","true","http://purl.org/dc/elements/1.1/Creator","http://id.loc.gov/vocabulary/relators/dis","None","None","None",
"http://terms.library.ualberta.ca/supervisor","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualsupervisor","text","true","true","true","Supervisor and department","None","None","true","http://purl.org/dc/elements/1.1/Contributor","http://id.loc.gov/vocabulary/relators/ths","None","None","None",
"http://terms.library.ualberta.ca/commiteeMember","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualcommiteeember","text","true","true","true","Examining committee member and department","None","None","true","http://purl.org/dc/elements/1.1/Contributor","http://terms.library.ualberta.ca/role/thesiscommitteemember","None","None","None",
"http://terms.library.ualberta.ca/department","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualdepartment","text","true","true","true","Department","None","None","true",,"http://vivoweb.org/ontology/core#AcademicDepartment","false","false","None",
"http://terms.library.ualberta.ca/depositor","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualdepositor","auto","false","false","false","None","None","None","false",,"http://id.loc.gov/vocabulary/relators/dpt","false","false","None","legacy property; usage: admin email."
"http://purl.org/dc/elements/1.1/Subject","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dcubject","text","true","true","true","Subject/Keyword","None","None","true",,,"true","false","None",
"http://terms.library.ualberta.ca/specialization","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualspecialization","text","true","true","true","Specialization","None","None","true",,"http://terms.library.ualberta.ca/thesis/specialization","false","false","None",
"http://purl.org/dc/terms/dateSubmitted","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsdatesubmitted","auto","true","false","false","None","None","None","false",,,"false","false","None",
"http://purl.org/dc/terms/dateAccepted","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsdateaccepted","auto","true","false","false","None","None","None","false",,,"false","false","None",
"http://terms.library.ualberta.ca/graduationDate","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualgraduationdate","auto","true","false","true","Graduation date","None","None","false",,"http://terms.library.ualberta.ca/date/graduationdate","false","false","None",
"http://purl.org/dc/terms/title","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermstitle","text","true","false","true","None","None","None","true",,,"false","true","None",
"http://purl.org/dc/terms/alternative","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsalternative","text","false","false","true","None","None","None","true",,,"false","false","None",
"http://purl.org/ontology/bibo/degree","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#bibodegree","enumerated text","false","false","true","Degree","None","None","true",,"http://purl.org/ontology/bibo/ThesisDegree","false","false","None",
"http://terms.library.ualberta.ca/thesisLevel","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualthesislevel","uri","false","false","true","Degree level","None","None","false",,"http://terms.library.ualberta.ca/thesis/thesislevel","false","false","None",
"http://purl.org/dc/terms/identifier","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#dctermsidentifier","text","false","false","true","DOI","None","None","true","http://prismstandard.org/namespaces/basic/3.0/doi",,"false","false","None","often DOI, but not always; currently set to searchable (should this be changed?)"
"http://terms.library.ualberta.ca/unicorn","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualunicorn","text","false","false","false","None","None","None","false",,"http://terms.library.ualberta.ca/id/unicorn","false","false","None","legacy property"
"http://terms.library.ualberta.ca/fedora3UUID","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualfedora3uuid","text","false","false","false","None","None","None","false",,"http://terms.library.ualberta.ca/id/fedora3uuid","false","false","None","legacy property"
"http://terms.library.ualberta.ca/fedora3Handle","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualfedora3handle","text","false","false","false","None","None","None","false",,"http://terms.library.ualberta.ca/id/fedora3handle","false","false","None","legacy property"
"http://terms.library.ualberta.ca/proquest","https://github.com/ualbertalib/metadata/tree/master/data_dictionary#ualproquest","text","false","false","false","None","None","None","false",,"http://terms.library.ualberta.ca/id/proquest","false","false","None","legacy property"
