Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Herrick, Christopher	n82136834	n82136834	Person	http://example.org/1373015#Agent700-28		
Hannah, Ronald, 1945-	nr99022480	nr99022480	Person	http://example.org/1373745#Agent100-9		
Grand Igloo Pioneers of Alaska.			Organization	http://example.org/1394444#Agent110-11		
Štajner, Karlo, 1902-	n83048278	n83048278	Person	http://example.org/1368838#Agent100-10		
Paré, Roger, 1929-	n80000745	n80000745	Person	http://example.org/1315694#Agent100-10		
Adelberg, Ellen	nr88006374	nr88006374	Person	http://example.org/1364476#Agent100-10		
Laprairie, Carol	n88608782	n88608782	Person	http://example.org/1364476#Agent700-24		
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://example.org/1364476#Agent710-25	n82119823	
Canada. Ministry of the Solicitor General.		n80152367	Jurisdiction	http://example.org/1364476#Agent710-26	n80152367	
Parkop, Kametan	n90622573	n90622573	Person	http://example.org/1312008#Agent100-9		
University of Papua New Guinea. Michael Somare Library Map Collections			Organization	http://example.org/1312008#Agent610-17		http://example.org/1312008#Agent610-17
University of Papua New Guinea. Michael Somare Library Map Collection.			Organization	http://example.org/1312008#Agent710-20		
Fry, Roger Eliot, 1866-1934	n79072847	n77005277	Organization	http://example.org/1303635#Agent110-13	n77005277	
Fry, Roger Eliot, 1866-1934	n79072847	n77005277	Organization	http://example.org/1303635#Agent610-21	n77005277	http://example.org/1303635#Agent610-21
Cormack, Malcolm.	n50016401	n50016401	Person	http://example.org/1303635#Agent700-25		
Jones, Shirley, 1934 November 14-	nb2003112430	nb2003112430	Person	http://example.org/1346560#Agent100-10		
Smolan, Rick.	n82064182	n82064182	Person	http://example.org/1369133#Agent700-22		
Coen, Joel	n87871864	n87871864	Person	http://example.org/1369133#Agent700-23		
Norman Wells Oilfield Expansion and Pipeline Project			Organization	http://example.org/1355410#Agent610-19		http://example.org/1355410#Agent610-19
Dene Nation.		n84222796	Organization	http://example.org/1355410#Agent710-26	n84222796	
Laidler, David E. W.	n50039414	n82239575	Organization	http://example.org/1348435#Agent110-11	no95038119	
Council of the European Communities.	n79006575	n82239575	Organization	http://example.org/1348435#Agent710-21	no95038119	
International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)			Meeting	http://example.org/1352079#Agent111-13		
Vlietinck, Arnold J.	n87894802	n87894802	Person	http://example.org/1352079#Agent700-28		
Dommisse, Roger A.	n87894803	n87894803	Person	http://example.org/1352079#Agent700-29		
International Congress on Medicinal Plant Research.		n85140789	Meeting	http://example.org/1352079#Agent711-30	n85140789	
Twain, Mark, 1835-1910	n79021164	n79021164	Person	http://example.org/1325565#Agent100-11		
Moser, Barry.	n81053810	n81053810	Person	http://example.org/1325565#Agent700-24	n85820260	
Fischer, Victor, 1942-	n80043031	n80043031	Person	http://example.org/1325565#Agent700-25		
Purvis, William	n89674052	n81119296	Organization	http://example.org/1312511#Agent110-17	n81119296	
Lieberson, Peter, 1946-2011	n84220602	n84220602	Person	http://example.org/1312511#Agent700-34		
Wuorinen, Charles	n81014048	n81014048	Person	http://example.org/1312511#Agent700-35		
Shifrin, Seymour, 1926-1979	n82111777	n82111777	Person	http://example.org/1312511#Agent700-36		
Obichere, Boniface I.	n80005121	n80005121	Person	http://example.org/1297008#Agent700-20		
Simon Fraser University. Library.		n77000268	Organization	http://example.org/1328381#Agent110-10	n77000268	
