Column 1	VIAF-ID-Per	VIAF-ID-names	org	Column 3	Column 4	VIAF-ID-Cor	Column 5
Herrick, Christopher, 1942-....	96938271	96938271	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Herrick,%20Christopher.	http://example.org/1373015#Agent700-28		
Hannah, Ronald, 1945-	105979796	105979796	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hannah,%20Ronald,%201945-	http://example.org/1373745#Agent100-9		
Grand Igloo Pioneers of Alaska.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grand%20Igloo%20Pioneers%20of%20Alaska.	http://example.org/1394444#Agent110-11		
Štajner, Karlo, 1902-	109678714	109678714	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Štajner,%20Karlo,%201902-	http://example.org/1368838#Agent100-10		
Paré, Roger, 1929-	17879217	17879217	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Paré,%20Roger,%201929-	http://example.org/1315694#Agent100-10		
Adelberg, Ellen	4773838	4773838	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adelberg,%20Ellen.	http://example.org/1364476#Agent100-10		
Laprairie, Carol	60657186	60657186	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22LaPrairie,%20Carol.	http://example.org/1364476#Agent700-24		
Canada. Ministry of the Solicitor General. Programs Branch.		133615246	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.	http://example.org/1364476#Agent710-25	133615246	
Canada. Ministry of the Solicitor General.		127482874	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.	http://example.org/1364476#Agent710-26	127482874	
Parkop, Kametan	4088861	4088861	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Parkop,%20Kametan.	http://example.org/1312008#Agent100-9		
University of Papua New Guinea. Michael Somare Library Map Collections			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Collectionshttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Collections		http://example.org/1312008#Agent610-17
University of Papua New Guinea. Michael Somare Library Map Collection.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map%20Collection.	http://example.org/1312008#Agent710-20		
Fry, Roger Eliot, 1866-1934	41884144	155449049	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art.	http://example.org/1303635#Agent110-13	155449049	
Fry, Roger Eliot, 1866-1934	41884144	155449049	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Arthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art	155449049	http://example.org/1303635#Agent610-21
Cormack, Malcolm.	79104484	79104484	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cormack,%20Malcolm.	http://example.org/1303635#Agent700-25		
Jones, Shirley, 1934 November 14-	137454802	137454802	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jones,%20Shirley,%201934%20November%2014-	http://example.org/1346560#Agent100-10		
Smolan, Rick.	41891187	41891187	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smolan,%20Rick.	http://example.org/1369133#Agent700-22		
Coen, Joel, 1954-....	84318417	84318417	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cohen,%20David,%201955-	http://example.org/1369133#Agent700-23		
Norman Wells Oilfield Expansion and Pipeline Project			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Norman%20Wells%20Oilfield%20Expansion%20and%20Pipeline%20Projecthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Norman%20Wells%20Oilfield%20Expansion%20and%20Pipeline%20Project		http://example.org/1355410#Agent610-19
Dene Nation.		146508531	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene%20Nation.	http://example.org/1355410#Agent710-26	146508531	
Laidler, David E. W., 1938-	108918401	213728962	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348435#Agent110-11	213728962	
Viet, Jean.	17230773	213728962	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Council%20of%20the%20European%20Communities.	http://example.org/1348435#Agent710-21	213728962	
International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research%20(32nd%20:%201984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Antwerp,%20Belgium)	http://example.org/1352079#Agent111-13		
Vlietinck, Arnold J.	67076688	67076688	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vlietinck,%20Arnold%20J.	http://example.org/1352079#Agent700-28		
Dommisse, Roger A.	6462767	6462767	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dommisse,%20Roger%20A.	http://example.org/1352079#Agent700-29		
International Congress on Medicinal Plant Research.		156532370	Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research.	http://example.org/1352079#Agent711-30	156532370	
Twain, Mark, 1835-1910	50566653	50566653	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Twain,%20Mark,%201835-1910.	http://example.org/1325565#Agent100-11		
Moser, Barry.	54231193	54231193	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moser,%20Barry.	http://example.org/1325565#Agent700-24	252534445	
Fischer, Victor, 1942-	109180182	109180182	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fischer,%20Victor,%201942-	http://example.org/1325565#Agent700-25		
