Column 1	LCSH	Column 2	Column 3	blank
Organ music--20th century	http://id.loc.gov/authorities/subjects/sh2010104537	lcsh	http://example.org/1373015#Topic650-26	
Compact discs	http://id.loc.gov/authorities/subjects/sh86000125	lcsh	http://example.org/1373015#Topic650-27	
Choruses, Secular (Mixed voices, 5 parts), Unaccompanied		lcsh	http://example.org/1373745#Topic650-18	
Madrigals, English	http://id.loc.gov/authorities/subjects/sh85079548	lcsh	http://example.org/1373745#Topic650-19	
Pioneers--Alaska--Congresses		lcsh	http://example.org/1394444#Topic650-21	
Political prisoners--Soviet Union--Personal narratives	http://id.loc.gov/authorities/subjects/sh2010107249	lcsh	http://example.org/1368838#Topic650-20	
English language--Alphabet--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2008103036	lcsh	http://example.org/1315694#Topic650-20	
Picture puzzles--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2008109358	lcsh	http://example.org/1315694#Topic650-21	
Word games--Juvenile literature	http://id.loc.gov/authorities/subjects/sh2008113748	lcsh	http://example.org/1315694#Topic650-22	
Female offenders--Services for--Canada--Directories		lcsh	http://example.org/1364476#Topic650-21	
Female offenders--Services for--Canada--Associations, institutions, etc--Directories		lcsh	http://example.org/1364476#Topic650-22	
Women prisoners--Services for--Canada--Directories		lcsh	http://example.org/1364476#Topic650-23	
Maps--Bibliography--Catalogs	http://id.loc.gov/authorities/subjects/sh2008107371	lcsh	http://example.org/1312008#Topic650-18	
Map collections--Papua New Guinea		lcsh	http://example.org/1312008#Topic650-19	
Painting, British--Catalogs	http://id.loc.gov/authorities/subjects/sh2010104797	lcsh	http://example.org/1303635#Topic650-22	
Painting, Modern--Great Britain--Catalogs		lcsh	http://example.org/1303635#Topic650-23	
Painting--Connecticut--New Haven--Catalogs		lcsh	http://example.org/1303635#Topic650-24	
Artists' books--England	http://id.loc.gov/authorities/subjects/sh2009115977	lcsh	http://example.org/1346560#Topic650-21	
Tinne Indians--Government relations		lcsh	http://example.org/1355410#Topic650-20	
Fishes--Northwest Territories--Mackenzie River Watershed--Effect of water pollution on		lcsh	http://example.org/1355410#Topic650-21	
Water--Pollution--Northwest Territories--Mackenzie River Watershed		lcsh	http://example.org/1355410#Topic650-22	
Indians of North America--Canada--Government relations--1934		lcsh	http://example.org/1355410#Topic650-23	
Plants, Medicinal--congresses		mesh	http://example.org/1352079#Topic650-23	
Research--Congresses	http://id.loc.gov/authorities/subjects/sh2008110727	mesh	http://example.org/1352079#Topic650-24	
Medicinal plants--Congresses	http://id.loc.gov/authorities/subjects/sh2010100946	lcsh	http://example.org/1352079#Topic650-25	
Natural products--Congresses	http://id.loc.gov/authorities/subjects/sh2010103487	lcsh	http://example.org/1352079#Topic650-26	
Materia medica, Vegetable--Congresses	http://id.loc.gov/authorities/subjects/sh2010100945	lcsh	http://example.org/1352079#Topic650-27	
Variations (Instrumental ensemble)	http://id.loc.gov/authorities/subjects/sh85142184	lcsh	http://example.org/1312511#Topic650-31	
Trios (Congas, violin, double bass)		lcsh	http://example.org/1312511#Topic650-32	
Septets (Piano, clarinet, flute, percussion, violin, violoncello, double bass)		lcsh	http://example.org/1312511#Topic650-33	
African literature (English)--History and criticism	http://id.loc.gov/authorities/subjects/sh2007100761	lcsh	http://example.org/1297008#Topic650-18	
African literature--History and criticism	http://id.loc.gov/authorities/subjects/sh2007100760	lcsh	http://example.org/1297008#Topic650-19	
Education, Higher--European Economic Community countries		lcsh	http://example.org/1348442#Topic650-22	
Education and state--European Economic Community countries	http://id.loc.gov/authorities/subjects/sh2009100159	lcsh	http://example.org/1348442#Topic650-23	
Foreign workers, French-Canadian--New England--History		lcsh	http://example.org/1301789#Topic650-22	
Textile workers--New England--History		lcsh	http://example.org/1301789#Topic650-23	
Return migration--Québec (Province)		lcsh	http://example.org/1301789#Topic650-24	
Technology--History--United States		lcsh	http://example.org/1375834#Topic650-20	
Woodworking industries--United States		lcsh	http://example.org/1375834#Topic650-21	
Water-power--United States	http://id.loc.gov/authorities/subjects/sh2008113392	lcsh	http://example.org/1375834#Topic650-22	
Socialism--China--History	http://id.loc.gov/authorities/subjects/sh2008111941	lcsh	http://example.org/1379745#Topic650-23	
