20th century organ fireworks	20th century organ fireworks	20th century organ fireworks	http://example.org/1373015#Work
Twentieth century organ fireworks.	Twentieth century organ fireworks.	Twentieth century organ fireworks	http://example.org/1373015#Work740-29
Romantic madrigals.	Romantic madrigals.	Romantic madrigals	http://example.org/1373745#Work
69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.	69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.	69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985	http://example.org/1394444#Work
AYP News.	AYP News.	AYP News	http://example.org/1394444#Work730-24
7000 dana u Sibiru /	7000 dana u Sibiru /	7000 dana u Sibiru	http://example.org/1368838#Work
Plava biblioteka.	Plava biblioteka.	Plava biblioteka	http://example.org/1368838#Work830-21
A, b, c, play with me a read 'n play learning set /	A, b, c, play with me a read 'n play learning set /	A, b, c, play with me	http://example.org/1315694#Work
Read 'n play learning set.	Read 'n play learning set.	Read 'n play learning set	http://example.org/1315694#Work740-23
A Canadian directory of programs and services for women in conflict with the law /	Canadian directory of programs and services for women in conflict with the law /	A Canadian directory of programs and services for women in conflict with the law	http://example.org/1364476#Work
Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.	Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.	Programmes et services d'association destinés aux femmes ayant des démélés avec la justice	http://example.org/1364476#Work740-27
User report ;	User report ;	User report	http://example.org/1364476#Work830-28
A catalogue of the holdings of the map collection /	catalogue of the holdings of the map collection /	A catalogue of the holdings of the map collection	http://example.org/1312008#Work
A concise catalogue of paintings in the Yale Center for British Art /	concise catalogue of paintings in the Yale Center for British Art /	A concise catalogue of paintings in the Yale Center for British Art	http://example.org/1303635#Work
A dark side of the sun	dark side of the sun	A dark side of the sun	http://example.org/1346560#Work
A Day in the life of Japan /	Day in the life of Japan /	A Day in the life of Japan	http://example.org/1369133#Work
A downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /	downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /	A downstream perspective	http://example.org/1355410#Work
Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).	Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).	Advanced manufacturing equipment in the Community	http://example.org/1348435#Work
Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities	http://example.org/1348435#Work830-22
Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /	Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /	Advances in medicinal plant research	http://example.org/1352079#Work
New natural products and plant drugs with chemotherapeutical activity.	New natural products and plant drugs with chemotherapeutical activity.	New natural products and plant drugs with chemotherapeutical activity	http://example.org/1352079#Work740-31
Progress in isolation techniques for natural products.	Progress in isolation techniques for natural products.	Progress in isolation techniques for natural products	http://example.org/1352079#Work740-32
Adventures of Huckleberry Finn /	Adventures of Huckleberry Finn /	Adventures of Huckleberry Finn	http://example.org/1325565#Work
A fifteenth anniversary album	fifteenth anniversary album	A fifteenth anniversary album	http://example.org/1312511#Work
Lalita.	Lalita.	Lalita	http://example.org/1312511#Work700-34
Spinoff.	Spinoff.	Spinoff	http://example.org/1312511#Work700-35
Nick of time.	Nick of time.	Nick of time	http://example.org/1312511#Work700-36
15th anniversary album.	15th anniversary album.	15th anniversary album	http://example.org/1312511#Work740-37
African literature.	African literature.	African literature	http://example.org/1297008#Work
Journal of African studies.	Journal of African studies.	Journal of African studies	http://example.org/1297008#Work730-21
Africa reference bibliography.	Africa reference bibliography.	Africa reference bibliography	http://example.org/1328381#Work
A gap in the spectrum.	gap in the spectrum.	A gap in the spectrum	http://example.org/1332090#Work
A general system for the recognition of higher education diplomas.	general system for the recognition of higher education diplomas.	A general system for the recognition of higher education diplomas	http://example.org/1348442#Work
Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities. Supplement ;	Bulletin of the European Communities	http://example.org/1348442#Work830-24
Ah les Etats! : les travailleurs canadiens-français dans l'industrie textile de la Nouvelle-Angleterre d'après le témoignage des derniers migrants /	Ah les Etats! : les travailleurs canadiens-français dans l'industrie textile de la Nouvelle-Angleterre d'après le témoignage des derniers migrants /	Ah les Etats!	http://example.org/1301789#Work
A júdásidő árvái-- /	júdásidő árvái-- /	A júdásidő árvái--	http://example.org/1320597#Work
Alex Bruning, sabbatical paintings and ideas for paintings : Gallery 1.1.1., School of Art, University of Manitoba, February 4-27, 1985.	Alex Bruning, sabbatical paintings and ideas for paintings : Gallery 1.1.1., School of Art, University of Manitoba, February 4-27, 1985.	Alex Bruning, sabbatical paintings and ideas for paintings	http://example.org/1405481#Work
America's wooden age : aspects of its early technology /	America's wooden age : aspects of its early technology /	America's wooden age	http://example.org/1375834#Work
A mirror for socialism : Soviet criticisms of China /	mirror for socialism : Soviet criticisms of China /	A mirror for socialism	http://example.org/1379745#Work
Am Schreiben gehen : Frankfurter Vorlesungen /	Am Schreiben gehen : Frankfurter Vorlesungen /	Am Schreiben gehen	http://example.org/1305141#Work
An analysis of the effects of a differentiated program on the library experience of gifted students /	analysis of the effects of a differentiated program on the library experience of gifted students /	An analysis of the effects of a differentiated program on the library experience of gifted students	http://example.org/1375404#Work
An analysis of the effects of a differentiated program on the library experience of gifted students /	analysis of the effects of a differentiated program on the library experience of gifted students /	An analysis of the effects of a differentiated program on the library experience of gifted students	
An arms race in outer space : could treaties prevent it? : proceedings of the symposium held on October 30 and November 1, 1985 = Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique? : rapports du symposium tenu les 30 octobre et 1er novembre 1985.	arms race in outer space : could treaties prevent it? : proceedings of the symposium held on October 30 and November 1, 1985 = Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique? : rapports du symposium tenu les 30 octobre et 1er novembre 1985.	An arms race in outer space : could treaties prevent it? : proceedings of the symposium held on October 30 and November 1, 1985 =	http://example.org/1366684#Work
Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique?	Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique?	Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique?	http://example.org/1366684#Work740-22
Ancient civilizations and ruins of Turkey : from prehistoric times until the end of the Roman Empire /	Ancient civilizations and ruins of Turkey : from prehistoric times until the end of the Roman Empire /	Ancient civilizations and ruins of Turkey	http://example.org/1321997#Work
