Column 1	ID	Column 2	Column 3
Herrick, Christopher, 1942-....	96938271	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Herrick,%20Christopher.
Hannah, Ronald, 1945-	105979796	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hannah,%20Ronald,%201945-
Grand Igloo Pioneers of Alaska.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grand%20Igloo%20Pioneers%20of%20Alaska.
Štajner, Karlo, 1902-	109678714	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Štajner,%20Karlo,%201902-
Paré, Roger, 1929-	17879217	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Paré,%20Roger,%201929-
Adelberg, Ellen	4773838	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adelberg,%20Ellen.
Laprairie, Carol	60657186	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22LaPrairie,%20Carol.
Canada. Ministry of the Solicitor General. Programs Branch.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.
Canada. Ministry of the Solicitor General.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.
Parkop, Kametan	4088861	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Parkop,%20Kametan.
University of Papua New Guinea. Michael Somare Library Map Collection.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map%20Collection.
Fry, Roger Eliot, 1866-1934	41884144	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art.
Cormack, Malcolm.	79104484	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cormack,%20Malcolm.
Jones, Shirley, 1934 November 14-	137454802	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jones,%20Shirley,%201934%20November%2014-
Smolan, Rick.	41891187	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smolan,%20Rick.
Coen, Joel, 1954-....	84318417	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cohen,%20David,%201955-
Dene Nation.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene%20Nation.
Laidler, David E. W., 1938-	108918401	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.
Viet, Jean.	17230773	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Council%20of%20the%20European%20Communities.
International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research%20(32nd%20:%201984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Antwerp,%20Belgium)
Vlietinck, Arnold J.	67076688	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vlietinck,%20Arnold%20J.
Dommisse, Roger A.	6462767	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dommisse,%20Roger%20A.
International Congress on Medicinal Plant Research.		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research.
Twain, Mark, 1835-1910	50566653	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Twain,%20Mark,%201835-1910.
Moser, Barry.	54231193	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moser,%20Barry.
Fischer, Victor, 1942-	109180182	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fischer,%20Victor,%201942-
Purvis, William	56800100	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Speculum%20Musicae%20(Musical%20group)
Obichere, Boniface I.	112660849	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Obichere,%20Boniface%20I.
Simon Fraser University. Library.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Library.
Duckworth, Marilyn, 1935-	93583477	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Duckworth,%20Marilyn,%201935-
Laidler, David E. W., 1938-	108918401	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.
Rouillard, Jacques, 1945-....	73875064	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rouillard,%20Jacques,%201945-
Kun, Miklós, 1946-	118308680	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.
Butler, Sheila, 1938-	57969835	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Butler,%20Sheila,%201938-
Bruning, Alex, 1937-	104840350	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruning,%20Alex,%201937-
Butler, Sheila, 1938-	57969835	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gallery%20111.
Hindle, Brooke	167366606	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hindle,%20Brooke.
Rozman, Gilbert	108174758	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rozman,%20Gilbert.
Nizon, Paul, 1929-....	39391021	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paul.
Bluemel, Nancy Larson.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bluemel,%20Nancy%20Larson.
Ahmad, Tanveer	305321651	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22McGill%20University.%20Institute%20of%20Air%20and%20Space%20Law.
Akurgal, Ekrem	3268374	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akurgal,%20Ekrem.
Camilleri, Gérard	46816263	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Camilleri,%20Gérard.
Rosenfeld, Lotty, 1943-....	87034125	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Focus%20Media.
Allen, Henry T. (Henry Tureman), 1859-1930	42610461	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.
Porporino, Frank John, 1951-	47401273	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porporino,%20Frank%20John,%201951-
Moore, Patrick	32062500	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Doherty,%20P.%20(Paul)
Sawatsky, T.	4099533	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sawatsky,%20T.
Correctional Service Canada Preventive Security Division.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Correctional%20Service%20Canada%20Preventive%20Security %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.
Canada. Ministry of the Solicitor General. Research Division.		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Research %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.
Alsvik, Rønnaug Foss	100149106013668490738	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Alsvik,%20Rønnaug%20Foss.
Brorson, Hans Adolph, 1694-1764	59242257	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brorson,%20Hans%20Adolf,%201694-1764.
Vige, Bjørn E.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vige,%20Bjørn%20E.
Dagsland, Sigvart 1963-	129776750	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dagsland,%20Sigvart.
Hovland, Per Egil	8432148997616359870000	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hovland,%20Per%20Egil.
Nagell, Gylve Fenris 1971-	225217758	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rygg,%20Leif.
Endresen, Stein	9145971329532330158	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Endresen,%20Stein.
Odland, Nils Ole	35149365915485600652	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Odland,%20Nils.
Sommerro, Henning	70573426	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sommerro,%20Henning.
Nordby, Ingar Ben.	406149294366280522065	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nordby,%20Ben.
Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Wildlife%20Agreement%20Workshop%20(1985%20:%20Yellowknife, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.W.T.)
Cheezie, Gerry.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cheezie,%20Gerry.
Trip-de-Roch, Emil.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Trip-de-Roch,%20Emil.
Dene/Metis Negotiations Secretariat.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene/Metis%20Negotiations%20Secretariat.
Metis Association of the Northwest Territories.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Metis%20Association%20of%20the%20Northwest%20Territories.
Dalhart, Vernon, 1883-1948	19864964	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hall,%20Marion.
