Column 1	fname	lname	ID	Column 2	Column 3
Herrick, Christopher, 1942-....	 Christopher	Herrick	96938271	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Herrick,%20Christopher.
Hannah, Ronald, 1945-	 Ronald	Hannah	105979796	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hannah,%20Ronald,%201945-
Grand Igloo Pioneers of Alaska.		Grand Igloo Pioneers of Alaska		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grand%20Igloo%20Pioneers%20of%20Alaska.
Štajner, Karlo, 1902-	 Karlo	Štajner	109678714	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Štajner,%20Karlo,%201902-
Paré, Roger, 1929-	 Roger	Paré	17879217	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Paré,%20Roger,%201929-
Adelberg, Ellen	 Ellen	Adelberg	4773838	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adelberg,%20Ellen.
Laprairie, Carol	 Carol	LaPrairie	60657186	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22LaPrairie,%20Carol.
Canada. Ministry of the Solicitor General. Programs Branch.		Canada Ministry of the Solicitor General Programs Branch		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.
Canada. Ministry of the Solicitor General.		Canada Ministry of the Solicitor General		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.
Parkop, Kametan	 Kametan	Parkop	4088861	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Parkop,%20Kametan.
University of Papua New Guinea. Michael Somare Library Map Collection.		University of Papua New Guinea Michael Somare Library Map Collection		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map%20Collection.
Fry, Roger Eliot, 1866-1934		Yale Center for British Art	41884144	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art.
Cormack, Malcolm.	 Malcolm	Cormack	79104484	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cormack,%20Malcolm.
Jones, Shirley, 1934 November 14-	 Shirley	Jones	137454802	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jones,%20Shirley,%201934%20November%2014-
Smolan, Rick.	 Rick	Smolan	41891187	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smolan,%20Rick.
Coen, Joel, 1954-....	 David	Cohen	84318417	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cohen,%20David,%201955-
Dene Nation.		Dene Nation		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene%20Nation.
Laidler, David E. W., 1938-		Commission of the European Communities	108918401	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.
Viet, Jean.		Council of the European Communities	17230773	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Council%20of%20the%20European%20Communities.
International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)	 Belgium)	International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research%20(32nd%20:%201984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Antwerp,%20Belgium)
Vlietinck, Arnold J.	 Arnold J	Vlietinck	67076688	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vlietinck,%20Arnold%20J.
Dommisse, Roger A.	 Roger A	Dommisse	6462767	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dommisse,%20Roger%20A.
International Congress on Medicinal Plant Research.		International Congress on Medicinal Plant Research		Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research.
Twain, Mark, 1835-1910	 Mark	Twain	50566653	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Twain,%20Mark,%201835-1910.
Moser, Barry.	 Barry	Moser	54231193	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moser,%20Barry.
Fischer, Victor, 1942-	 Victor	Fischer	109180182	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fischer,%20Victor,%201942-
Purvis, William		Speculum Musicae (Musical group)	56800100	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Speculum%20Musicae%20(Musical%20group)
Obichere, Boniface I.	 Boniface I	Obichere	112660849	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Obichere,%20Boniface%20I.
Simon Fraser University. Library.		Simon Fraser University Library		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Library.
Duckworth, Marilyn, 1935-	 Marilyn	Duckworth	93583477	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Duckworth,%20Marilyn,%201935-
Laidler, David E. W., 1938-		Commission of the European Communities	108918401	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.
Rouillard, Jacques, 1945-....	 Jacques	Rouillard	73875064	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rouillard,%20Jacques,%201945-
Kun, Miklós, 1946-	 László Gábor	Hajnal	118308680	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.
