Column 1	id	Column 2	Column 3	Column 4	Column 1
Herrick, Christopher.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Herrick,%20Christopher.	http://example.org/1373015#Agent700-28	Herrick, Christopher.
Hannah, Ronald, 1945-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hannah,%20Ronald,%201945-	http://example.org/1373745#Agent100-9	Hannah, Ronald, 1945-
Grand Igloo Pioneers of Alaska.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grand%20Igloo%20Pioneers%20of%20Alaska.	http://example.org/1394444#Agent110-11	Grand Igloo Pioneers of Alaska.
Štajner, Karlo, 1902-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Štajner,%20Karlo,%201902-	http://example.org/1368838#Agent100-10	Štajner, Karlo, 1902-
Paré, Roger, 1929-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Paré,%20Roger,%201929-	http://example.org/1315694#Agent100-10	Paré, Roger, 1929-
Adelberg, Ellen.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adelberg,%20Ellen.	http://example.org/1364476#Agent100-10	Adelberg, Ellen.
LaPrairie, Carol.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22LaPrairie,%20Carol.	http://example.org/1364476#Agent700-24	LaPrairie, Carol.
Canada. Solicitor General Canada. Programs Branch	133615246	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.	http://example.org/1364476#Agent710-25	Canada. Solicitor General Canada. Programs Branch
Royal Canadian Mounted Police	127482874	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.	http://example.org/1364476#Agent710-26	Royal Canadian Mounted Police
Parkop, Kametan.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Parkop,%20Kametan.	http://example.org/1312008#Agent100-9	Parkop, Kametan.
