Column 1	LCSH	Column 2	Column 3	blank
Advertising--History	http://id.loc.gov/authorities/subjects/sh2009113798	lcsh	http://example.org/6815285#Topic650-26	
Marketing	http://id.loc.gov/authorities/subjects/sh99005342	lcsh	http://example.org/6815285#Topic650-27	
Branding (Marketing)	http://id.loc.gov/authorities/subjects/sh2007006470	lcsh	http://example.org/6815285#Topic650-28	
Management	http://id.loc.gov/authorities/subjects/sh2002007911	lcsh	http://example.org/6815638#Topic650-30	
Employment interviewing	http://id.loc.gov/authorities/subjects/sh85042921	lcsh	http://example.org/6849493#Topic650-25	
Success in business	http://id.loc.gov/authorities/subjects/sh85129589	lcsh	http://example.org/6784064#Topic650-26	
Business communication--Management		lcsh	http://example.org/6784064#Topic650-27	
Job hunting--United States	http://id.loc.gov/authorities/subjects/sh2008106161	lcsh	http://example.org/6630311#Topic650-47	
Vocational guidance--United States	http://id.loc.gov/authorities/subjects/sh2008113300	lcsh	http://example.org/6630311#Topic650-48	
Classroom management	http://id.loc.gov/authorities/subjects/sh85026819	lcsh	http://example.org/6803415#Topic650-27	
Behavior modification	http://id.loc.gov/authorities/subjects/sh85012897	lcsh	http://example.org/6803415#Topic650-28	
Problem children--Education	http://id.loc.gov/authorities/subjects/sh85107105	lcsh	http://example.org/6803415#Topic650-29	
Remedial teaching	http://id.loc.gov/authorities/subjects/sh00007605	lcsh	http://example.org/6803415#Topic650-30	
Individualized instruction	http://id.loc.gov/authorities/subjects/sh85065691	lcsh	http://example.org/6803415#Topic650-31	
Literature, Modern--20th century--History and criticism	http://id.loc.gov/authorities/subjects/sh85077561	lcsh	http://example.org/6849270#Topic650-23	
Nineteen twenty-two, A.D	http://id.loc.gov/authorities/subjects/sh98005173	lcsh	http://example.org/6849270#Topic650-24	
Literature and society--History--20th century		lcsh	http://example.org/6849270#Topic650-25	
Politics and literature--History--20th century		lcsh	http://example.org/6849270#Topic650-26	
Popular music--1961-1970--History and criticism		lcsh	http://example.org/6815465#Topic650-31	
