LC	LC-ID	ID	Value	ID1	LC-P	LCP-ID	Column 2	Column 3	Column 4	blank
Veksner, Simon	http://id.loc.gov/authorities/names/no2011039513	http://id.loc.gov/authorities/names/no2011039513	Veksner, Simon	http://id.loc.gov/authorities/names/no2011039513	Veksner, Simon.	no2011039513	Person		http://example.org/6815285#Agent100-13	
Trompenaars, Alfons	http://id.loc.gov/authorities/names/n93054720	http://id.loc.gov/authorities/names/n93054720	Trompenaars, Alfons	http://id.loc.gov/authorities/names/n93054720	Trompenaars, Alfons.	n93054720	Person		http://example.org/6815638#Agent100-19	
Coebergh, Piet Hein, 1966-	http://id.loc.gov/authorities/names/no2010004156	http://id.loc.gov/authorities/names/no2010004156	Coebergh, Piet Hein, 1966-	http://id.loc.gov/authorities/names/no2010004156	Coebergh, Piet Hein, 1966-	no2010004156	Person		http://example.org/6815638#Agent700-31	
Hawley, Casey Fitts	http://id.loc.gov/authorities/names/n00091438	http://id.loc.gov/authorities/names/n00091438	Hawley, Casey Fitts	http://id.loc.gov/authorities/names/n00091438	Hawley, Casey Fitts.	n00091438	Person		http://example.org/6849493#Agent100-14	
Silvis, Carol A.	http://id.loc.gov/authorities/names/n93016246	http://id.loc.gov/authorities/names/n93016246	Silvis, Carol A.	http://id.loc.gov/authorities/names/n93016246	Silvis, Carol A.	n93016246	Person		http://example.org/6784064#Agent100-15	
Austin, Charles Michael	http://id.loc.gov/authorities/names/no2015142316	http://id.loc.gov/authorities/names/no2015142316	Austin, Charles Michael	http://id.loc.gov/authorities/names/no2015142316	Austin, Charles Michael	no2015142316	Person		http://example.org/6630311#Agent100-36	
Johns, Beverley H. (Beverley Holden)	http://id.loc.gov/authorities/names/n95103469	http://id.loc.gov/authorities/names/n95103469	Johns, Beverley H. (Beverley Holden)	http://id.loc.gov/authorities/names/n95103469	Johns, Beverley H. (Beverley Holden)	n95103469	Person		http://example.org/6803415#Agent100-16	
Rabaté, Jean-Michel, 1949-	http://id.loc.gov/authorities/names/n84148242	http://id.loc.gov/authorities/names/n84148242	Rabaté, Jean-Michel, 1949-	http://id.loc.gov/authorities/names/n84148242	Rabaté, Jean-Michel,		Person		http://example.org/6849270#Agent700-27	
Jackson, Andrew Grant, 1969-	http://id.loc.gov/authorities/names/n2012012858	http://id.loc.gov/authorities/names/n2012012858	Jackson, Andrew Grant, 1969-	http://id.loc.gov/authorities/names/n2012012858	Jackson, Andrew Grant, 1969-	n2012012858	Person		http://example.org/6815465#Agent100-17	
Covell, Alice	http://id.loc.gov/authorities/names/n00084686	http://id.loc.gov/authorities/names/n00084686	Covell, Alice	http://id.loc.gov/authorities/names/n00084686	Covell, Alice	n00084686	Person		http://example.org/6861337#Agent100-13	
Chaudhry, Asif	http://id.loc.gov/authorities/names/n85035667	http://id.loc.gov/authorities/names/n85035667	Chaudhry, Asif	http://id.loc.gov/authorities/names/n85035667	Chaudhry, Asif,		Person		http://example.org/6797111#Agent700-32	
Schaub, Grace	http://id.loc.gov/authorities/names/n2014044776	http://id.loc.gov/authorities/names/n2014044776	Schaub, Grace	http://id.loc.gov/authorities/names/n2014044776	Schaub, Grace	n2014044776	Person		http://example.org/6784467#Agent700-32	
Schaub, George	http://id.loc.gov/authorities/names/n85076873	http://id.loc.gov/authorities/names/n85076873	Schaub, George	http://id.loc.gov/authorities/names/n85076873	Schaub, George	n85076873	Person		http://example.org/6784467#Agent700-33	
Klemens, Ben	http://id.loc.gov/authorities/names/n2005069955	http://id.loc.gov/authorities/names/n2005069955	Klemens, Ben	http://id.loc.gov/authorities/names/n2005069955	Klemens, Ben.	n2005069955	Person		http://example.org/6752591#Agent100-16	
Heine, Jorge	http://id.loc.gov/authorities/names/n82213557	http://id.loc.gov/authorities/names/n82213557	Heine, Jorge	http://id.loc.gov/authorities/names/n82213557	Heine, Jorge.	n82213557	Person		http://example.org/6773611#Agent100-20	
Organization of American States. Charter	http://id.loc.gov/authorities/names/n82165714	http://id.loc.gov/authorities/names/n82165714	Organization of American States	http://id.loc.gov/authorities/names/n80121278	Organization of American States.		Organization		http://example.org/6773611#Agent610-33	
Weiffen, Brigitte	http://id.loc.gov/authorities/names/nb2011003715	http://id.loc.gov/authorities/names/nb2011003715	Weiffen, Brigitte	http://id.loc.gov/authorities/names/nb2011003715	Weiffen, Brigitte	nb2011003715	Person		http://example.org/6773611#Agent700-37	
Collins, George (George Benjamin), 1989-	http://id.loc.gov/authorities/names/n2014186109	http://id.loc.gov/authorities/names/n2014186109	Collins, George (George Benjamin), 1989-	http://id.loc.gov/authorities/names/n2014186109	Collins, George (George Benjamin), 1989-	n2014186109	Person		http://example.org/6766249#Agent100-19	
Davis, James (James Stephen), 1989-	http://id.loc.gov/authorities/names/n2014186110	http://id.loc.gov/authorities/names/n2014186110	Davis, James (James Stephen), 1989-	http://id.loc.gov/authorities/names/n2014186110	Davis, James (James Stephen), 1989-	n2014186110	Person		http://example.org/6766249#Agent700-32	
Swift, Oscar, 1988-	http://id.loc.gov/authorities/names/n2014186023	http://id.loc.gov/authorities/names/n2014186023	Swift, Oscar, 1988-	http://id.loc.gov/authorities/names/n2014186023	Swift, Oscar, 1988-	n2014186023	Person		http://example.org/6766249#Agent700-33	
Beynon, H. L. C.	http://id.loc.gov/authorities/names/n89133219	http://id.loc.gov/authorities/names/n89133219	Beynon, H. L. C.	http://id.loc.gov/authorities/names/n89133219	Beynon, H. L. C.	n89133219	Person		http://example.org/6766249#Agent700-34	
Gansky, Alton	http://id.loc.gov/authorities/names/n96003614	http://id.loc.gov/authorities/names/n96003614	Gansky, Alton	http://id.loc.gov/authorities/names/n96003614	Gansky, Alton	n96003614	Person		http://example.org/6815374#Agent100-15	
Caffee Marc W		http://id.loc.gov/authorities/names/n88678366	Caffee, Marc William	http://id.loc.gov/authorities/names/n88678366	Caffee, Marc W.,		Person	n88678366	http://example.org/6720301#Agent700-37	
King, R. (Roger), 1942-	http://id.loc.gov/authorities/names/n88072789	http://id.loc.gov/authorities/names/n88072789	King, R. (Roger), 1942-	http://id.loc.gov/authorities/names/n88072789	King, R. (Roger), 1942-	n88072789	Person		http://example.org/6809086#Agent100-24	
East, Bob (Conflict researcher)	http://id.loc.gov/authorities/names/nb2013011349	http://id.loc.gov/authorities/names/nb2013011349	East, Bob (Conflict researcher)	http://id.loc.gov/authorities/names/nb2013011349	East, Bob, Conflict researcher	nb2013011349	Person		http://example.org/6775553#Agent100-24	
Rodwell, Warren (Warren Richard)		"http://id.loc.gov/authorities/names/no2015078967
"	Rodwell, Warren (Warren Richard)	http://id.loc.gov/authorities/names/no2015078967	Rodwell, Warren.		Person		http://example.org/6775553#Agent600-36	
Abu Sayyaf (Organization)	http://id.loc.gov/authorities/names/nr2001035261	http://id.loc.gov/authorities/names/nr2001035261	Abu Sayyaf (Organization)	http://id.loc.gov/authorities/names/nr2001035261	Abu Sayyaf (Organization)		Organization		http://example.org/6775553#Agent610-37	
Schwartz, Pepper	http://id.loc.gov/authorities/names/n81089125	http://id.loc.gov/authorities/names/n81089125	Schwartz, Pepper	http://id.loc.gov/authorities/names/n81089125	Schwartz, Pepper.	n81089125	Person		http://example.org/6797112#Agent100-20	
Kempner, Martha	http://id.loc.gov/authorities/names/n2014059921	http://id.loc.gov/authorities/names/n2014059921	Kempner, Martha	http://id.loc.gov/authorities/names/n2014059921	Kempner, Martha	n2014059921	Person		http://example.org/6797112#Agent700-36	
Obenchain, Kathryn M.	http://id.loc.gov/authorities/names/n2002100759	http://id.loc.gov/authorities/names/n2002100759	Obenchain, Kathryn M.	http://id.loc.gov/authorities/names/n2002100759	Obenchain, Kathryn M.	n2002100759	Person		http://example.org/6520899#Agent100-16	
Morris, Ronald V.	http://id.loc.gov/authorities/names/n2002100760	http://id.loc.gov/authorities/names/n2002100760	Morris, Ronald V.	http://id.loc.gov/authorities/names/n2002100760	Morris, Ronald V.	n2002100760	Person		http://example.org/6520899#Agent700-29	
International Symposium on High-Temperature Metallurgical Processing (6th : 2015 : Orlando, Florida)			International Symposium on High-Temperature Metallurgical Processing (6th : 2015 : Orlando, Florida)		International Symposium on High-Temperature Metallurgical Processing (6th : 2015 : Orlando, Florida)		Meeting		http://example.org/6855804#Agent111-23	
Jiang, Tao, 1963-	http://id.loc.gov/authorities/names/n2001003833	http://id.loc.gov/authorities/names/n2001003833	Jiang, Tao	http://id.loc.gov/authorities/names/n81042700	Jiang, Tao,		Person		http://example.org/6855804#Agent700-41	
Minerals, Metals and Materials Society	http://id.loc.gov/authorities/names/n88267188	http://id.loc.gov/authorities/names/n88267188	Minerals, Metals and Materials Society	http://id.loc.gov/authorities/names/n88267188	Minerals, Metals and Materials Society,		Organization		http://example.org/6855804#Agent710-42	
Lutchman, Chitram	http://id.loc.gov/authorities/names/n2010011068	http://id.loc.gov/authorities/names/n2010011068	Lutchman, Chitram	http://id.loc.gov/authorities/names/n2010011068	Lutchman, Chitram	n2010011068	Person		http://example.org/6812765#Agent100-14	
Evans, Douglas B.	http://id.loc.gov/authorities/names/n98006013	http://id.loc.gov/authorities/names/n98006013	Evans, Douglas	http://id.loc.gov/authorities/names/n50009120	Evans, Douglas,		Person		http://example.org/6812765#Agent700-29	
