Column 1	matched_ID	ID	score (0.8)	Column 2	Column 3	Column 4	blank
Veksner, Simon	16017457	160174571	1	Person		http://example.org/6815285#Agent100-13	
Trompenaars, Alfons	29841928	298419281	1	Person		http://example.org/6815638#Agent100-19	
Coebergh, Piet Hein, 1966-	10705314	107053145;	1	Person		http://example.org/6815638#Agent700-31	
Hawley, Casey Fitts	9091405	90914058	1	Person		http://example.org/6849493#Agent100-14	
Silvis, Carol A	5089324	50893245	0.9375	Person		http://example.org/6784064#Agent100-15	
Austin, Charles Michael	31524643	315246437	1	Person		http://example.org/6630311#Agent100-36	
Johns, Beverley H. (Beverley Holden)	172377	1723771;105974149	1	Person		http://example.org/6803415#Agent100-16	
Rabaté, Jean-Michel	10827354	108273547	1	Person		http://example.org/6849270#Agent700-27	
Jackson, Andrew Grant, 1969-	23185577	231855770	1	Person		http://example.org/6815465#Agent100-17	
Covell, Alice	7754764	77547645	1	Person		http://example.org/6861337#Agent100-13	
Chaudhry, Asif	4326143	43261432	1	Person		http://example.org/6797111#Agent700-32	
Schaub, Grace	30982641	309826412	1	Person		http://example.org/6784467#Agent700-32	
Schaub, George	26646892	266468924;	1	Person		http://example.org/6784467#Agent700-33	
Klemens, Ben	33870401	33870401;	0.9230769231	Person		http://example.org/6752591#Agent100-16	
Heine, Jorge	11130661	111306616	1	Person		http://example.org/6773611#Agent100-20	
Organization of American States				Organization		http://example.org/6773611#Agent610-33	
Weiffen, Brigitte	8828608	88286087	1	Person		http://example.org/6773611#Agent700-37	
Collins, George (George Benjamin), 1989-	30982981	309829811	1	Person		http://example.org/6766249#Agent100-19	
Davis, James (James Stephen), 1989-	30982981	309829812	1	Person		http://example.org/6766249#Agent700-32	
Swift, Oscar, 1988-	30982974	309829740	1	Person		http://example.org/6766249#Agent700-33	
Beynon, H. L. C	4835667	48356675	0.9375	Person		http://example.org/6766249#Agent700-34	
Gansky, Alton	4602159	46021598;81625589	1	Person		http://example.org/6815374#Agent100-15	
Caffee, Marc W				Person		http://example.org/6720301#Agent700-37	
King, R. (Roger), 1942-	3206923	32069238	1	Person		http://example.org/6809086#Agent100-24	
East, Bob (Conflict researcher)	30306920	303069208	0.9032258065	Person		http://example.org/6775553#Agent100-24	
Rodwell, Warren	8114726686713550000		1	Person		http://example.org/6775553#Agent600-36	
Abu Sayyaf (Organization)				Organization		http://example.org/6775553#Agent610-37	
Schwartz, Pepper	79150203	79150203;;	0.9411764706	Person		http://example.org/6797112#Agent100-20	
Kempner, Martha	31071259	310712590;	1	Person		http://example.org/6797112#Agent700-36	
Obenchain, Kathryn M	6583520	65835204	0.9523809524	Person		http://example.org/6520899#Agent100-16	
Morris, Ronald V	2642923	26429236	0.9411764706	Person		http://example.org/6520899#Agent700-29	
International Symposium on High-Temperature Metallurgical Processing (6th : 2015 : Orlando, Florida)				Meeting		http://example.org/6855804#Agent111-23	
Jiang, Tao				Person		http://example.org/6855804#Agent700-41	
Minerals, Metals and Materials Society				Organization		http://example.org/6855804#Agent710-42	
Lutchman, Chitram	10734695	107346956	1	Person		http://example.org/6812765#Agent100-14	
Evans, Douglas				Person		http://example.org/6812765#Agent700-29	
Ghanem, Waddah	30743417	307434173;197694486;8146998371518941060	1	Person		http://example.org/6812765#Agent700-30	
Maharaj, Rohanie	19692322	196923226;7456149068464665730002;89146998380618941202	1	Person		http://example.org/6812765#Agent700-31	
Grenier, Robert (Robert L.)	26011592	260115928	1	Person		http://example.org/6815424#Agent100-19	
Grenier, Robert (Robert L.)	26011592	260115928	1	Person		http://example.org/6815424#Agent600-32	
United States. Central Intelligence Agency				Jurisdiction		http://example.org/6815424#Agent610-33	
Duckworth, Cheryl Lynn	12572949	125729490;624146998422818940108;253664404	1	Person		http://example.org/6783898#Agent100-29	
Low, Adam, 1982-	30875786	308757868	1	Person		http://example.org/6774241#Agent700-36	
Hulme, Jonathan, 1974-	30875786	308757869	1	Person		http://example.org/6774241#Agent700-37	
Morgan, Adam				Person		http://example.org/6802859#Agent100-20	
Barden, Mark	5384586	53845864;305395158;38150262651005720727	1	Person		http://example.org/6802859#Agent700-35	
Garris, Molly				Person		http://example.org/6813098#Agent100-16	
Mishra, Karen E	25862079	258620790	0.9375	Person		http://example.org/6813098#Agent700-33	
Galbraith, Niall	23924698	239246984	1	Person		http://example.org/6710554#Agent700-31	
Mash, Eric J	522256	5222569	0.9230769231	Person		http://example.org/6799397#Agent100-12	
Wolfe, David A. (David Allen), 1951-	4199513	41995134	1	Person		http://example.org/6799397#Agent700-27	
Barlow, David H	54234082	54234082;;	0.9375	Person		http://example.org/6638281#Agent100-15	
Durand, Vincent Mark	6492093	64920930;112217314	1	Person		http://example.org/6638281#Agent700-29	
Lalumière, Martin L.	39657253			Person		http://example.org/6638281#Agent700-30	
Stewart, Sherry H. (Sherry Heather), 1965-	1702430	17024306	1	Person		http://example.org/6638281#Agent700-31	
Ray, William J., 1945-	41894507		1	Person		http://example.org/6799091#Agent100-23	
Watson, Irene (Irene Margaret)	1904870	19048709;;	1	Person		http://example.org/6755896#Agent100-20	
Watson, Irene (Irene Margaret)	1904870	19048709;;	1	Person		http://example.org/6755896#Agent700-39	
Rohlinger, Deana A	257429603	257429603;1196150172701400180007;4407149368889285980005	0.9473684211	Person		http://example.org/6785999#Agent100-28	
Ruurs, Margriet	6569704	65697042	1	Person		http://example.org/6803068#Agent100-18	
Harrison, Ted, 1926-	288214585700852000000	2.88214585700852E+021	0.95	Person		http://example.org/6803068#Agent600-33	
Gibson, Katherine, 1951-	852269	8522695	1	Person		http://example.org/6803068#Agent700-36	
Harrison, Ted, 1926-	288214585700852000000	2.88214585700852E+021	0.95	Person		http://example.org/6803068#Agent700-37	
Fossland, Trine	22517765	225177653;866149108534468780001;1213149108437168780002	1	Person		http://example.org/6808463#Agent700-29	
Mathiasen, Helle	24218946	242189466	1	Person		http://example.org/6808463#Agent700-30	
Solberg, Mariann	7814596993753230000	78145969937532250213;6821149619422504010006	1	Person		http://example.org/6808463#Agent700-31	
Sternberg, Robert J	108476906	108476906;	0.95	Person		http://example.org/6804063#Agent700-28	
Sellers, De				Person		http://example.org/6697636#Agent100-15	
Dochen, Carol W	3631404	36314043	0.9375	Person		http://example.org/6697636#Agent700-29	
Hodges, Russ, 1958-	2892976	28929763	1	Person		http://example.org/6697636#Agent700-30	
Bailey, Stephen, 1947-	10406624	104066245	0.88	Person		http://example.org/6804836#Agent100-20	
Bottomley, Jane	27403952	274039521;;	1	Person		http://example.org/6665217#Agent100-18	
Herlihy, Barbara	918460	9184607;93148517;271287498	1	Person		http://example.org/6679338#Agent100-17	
American Counseling Association				Organization		http://example.org/6679338#Agent610-29	
Corey, Gerald	8564959	85649595;;	1	Person		http://example.org/6679338#Agent700-33	
American Counseling Association				Organization		http://example.org/6679338#Agent710-34	
American Counseling Association				Organization		http://example.org/6679338#Agent710-35	
Finnbogason, Jack, 1942-	10543616	105436166	1	Person		http://example.org/6356389#Agent100-13	
Valleau, Al, 1946-	10544070	105440705	1	Person		http://example.org/6356389#Agent700-26	
Altman, Yair M	232138614	232138614;232393994	0.9333333333	Person		http://example.org/6786234#Agent100-14	
Raby, Nigel	314914871	314914871;79554584	1	Person		http://example.org/6622213#Agent100-16	
Bianculli, Andrea, 1968-	31071473	310714733	1	Person		http://example.org/6813498#Agent100-18	
Fernàndez-i-Marøn, Xavier				Person		http://example.org/6813498#Agent700-33	
Jordana, Jacint, 1962-	5193583	51935832	1	Person		http://example.org/6813498#Agent700-34	
Bellassen, Valentin	7881164	78811644;;	1	Person		http://example.org/6849309#Agent700-28	
Stephan, Nicolas				Person		http://example.org/6849309#Agent700-29	
Ramirez, Juan, 1961-	2159316		0.8695652174	Person		http://example.org/6812149#Agent100-28	
Fundació Alícia				Organization		http://example.org/6749006#Agent110-14	
Bowden-Jones, Henrietta	30982492	309824926	1	Person		http://example.org/6813477#Agent700-37	
George, Sanju	30982492	309824927	1	Person		http://example.org/6813477#Agent700-38	
Danby, F. William	31061785	310617855	1	Person		http://example.org/6797127#Agent100-19	
Shepherd, Megan	30716574	307165747	1	Person		http://example.org/6808121#Agent100-16	
Shepherd, Megan	30716574	307165747	1	Person		http://example.org/6808121#Agent800-30	
Davis, John, 1961 September 24-	10032481	100324811	1	Person		http://example.org/6797101#Agent700-37	
Greenhill, Jennifer A., 1974-	22097375	220973755	1	Person		http://example.org/6797101#Agent700-38	
LaFountain, Jason David	30545634	305456340	0.9565217391	Person		http://example.org/6797101#Agent700-39	
Hartwig, Melinda K	35398239	35398239;79504378;778145857090722922093	0.9473684211	Person		http://example.org/6774274#Agent700-34	
Juhasz, Alexandra	298262881		1	Person		http://example.org/6810977#Agent700-27	
Lebow, Alisa	5130614	51306142	1	Person		http://example.org/6810977#Agent700-28	
Hammer, Dean, 1959-	3713824	37138249	1	Person		http://example.org/6706343#Agent700-36	
Livy	99942145	Cannot parse to number;Cannot parse to number;Cannot parse to number	;	Person		http://example.org/6720281#Agent600-36	
Mineo, Bernard	4699019	46990193	0.9333333333	Person		http://example.org/6720281#Agent700-40	
Livy	99942145	Cannot parse to number;Cannot parse to number;Cannot parse to number	;	Person		http://example.org/6798519#Agent600-30	
Mineo, Bernard	4699019	46990193	0.9333333333	Person		http://example.org/6798519#Agent700-34	
Scorsese, Martin	11171614		1	Person		http://example.org/6706321#Agent600-31	
Baker, Aaron				Person		http://example.org/6706321#Agent700-32	
Baker, Michael Brendan	10286459	102864590	1	Person		http://example.org/6706321#Agent700-33	
Reagan, Ronald	7632188		1	Person		http://example.org/6855772#Agent600-37	
Johns, Andrew L., 1968-	11948947	119489476	0.8518518519	Person		http://example.org/6855772#Agent700-40	
O'Connell, Claire Babcock	7814877	78148771	1	Person		http://example.org/6709732#Agent700-34	
American Academy of Physician Assistants				Organization		http://example.org/6709732#Agent710-35	
Physician Assistant Education Association				Organization		http://example.org/6709732#Agent710-36	
Chang, Myong-Hun	31328481	313284814;;	1	Person		http://example.org/6802958#Agent100-23	
Hackshaw, Allan K	78196744	78196744;236041254	0.9444444444	Person		http://example.org/6797135#Agent100-19	
Walker, Brett L., 1967-....				Person		http://example.org/6849283#Agent100-14	
Mason, David S. (David Stewart), 1947-	2466740	24667403	1	Person		http://example.org/6802858#Agent100-24	
Creswell, John W	88573974	88573974;298144782725406965264	0.9411764706	Person		http://example.org/6740958#Agent100-15	
Beebe, Steven A., 1950-	775414906846587000000	7.75414906846587E+021	0.9565217391	Person		http://example.org/6698066#Agent100-17	
Beebe, Susan J	5820677	58206773	0.9333333333	Person		http://example.org/6698066#Agent700-29	
Parascandola, Louis J., 1952-	11550717	115507174	1	Person		http://example.org/6803154#Agent700-33	
Parascandola, John, 1941-	9351428	93514289	0.8620689655	Person		http://example.org/6803154#Agent700-34	
O'Connor, Kieron Philip	2962952	29629529;;211570512	1	Person		http://example.org/6812939#Agent100-18	
Wetering, Ernst van de, 1938-	11638620	116386205	0.9333333333	Person		http://example.org/6791877#Agent100-19	
Rembrandt Harmenszoon van Rijn, 1606-1669	64013650	64013650;;	0.9761904762	Person		http://example.org/6791877#Agent600-31	
Nes, Carin van	17614936634318600000		1	Person		http://example.org/6791877#Agent700-32	
Pearson, Murray	169248522	169248522;	1	Person		http://example.org/6791877#Agent700-33	
Howard, Carl Q., 1970-	30875554	308755547	1	Person		http://example.org/6786242#Agent100-14	
Cazzolato, Benjamin S., 1969-	30875554	308755549	1	Person		http://example.org/6786242#Agent700-33	
Beagan, Brenda L	105250982	105250982;315967346	0.9411764706	Person		http://example.org/6803037#Agent100-21	
Chapman, Gwenneth Ellen, 1959-	105714717			Person		http://example.org/6803037#Agent700-32	
Johnston, Josée, 1972-	106580705			Person		http://example.org/6803037#Agent700-33	
McPhail, Deborah, 1977-	31145723	311457232	1	Person		http://example.org/6803037#Agent700-34	
Power, Elaine M., 1961-	31145740	311457406	1	Person		http://example.org/6803037#Agent700-35	
Vallianatos, Helen	10661681	106616816	1	Person		http://example.org/6803037#Agent700-36	
Beagan, Brenda L	105250982	105250982;315967346	0.9411764706	Person		http://example.org/6795707#Agent100-22	
Vallianatos, Helen	10661681	106616816	1	Person		http://example.org/6795707#Agent700-33	
Johnston, Josée, 1972-	106580705			Person		http://example.org/6795707#Agent700-34	
