Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Canadian Medical Association	n80063028		Canadian Medical Association		n80063028		Canadian Medical Association	n80063028	0.9655172413793104	Organization		http://example.org/1358282#Agent710-46	154667284
Bulpin, Thomas Victor			Bulpin, Thomas Victor				Bulpin, Thomas Victor			Person		http://example.org/1380237#Agent700-20	11091480
Mayhew, Vic	n77013474		Mayhew, Vic	n77013474	n77013474	1	Mayhew, Vic			Person		http://example.org/1380237#Agent700-21	11095707
Arts Manitoba			Arts Manitoba				Arts Manitoba			Organization		http://example.org/1399611#Agent610-32	
Arts Manitoba			Arts Manitoba				Arts Manitoba			Organization		http://example.org/1399611#Agent710-34	
Pontificio Istituto biblico	n79084141		Pontificio Istituto biblico		n79084141		Pontificio Istituto biblico	n79084141	0.9629629629629629	Organization		http://example.org/1651288#Agent710-27	150067153
University of St. Jerome's College			University of St. Jerome's College				University of St. Jerome's College			Organization		http://example.org/1664123#Agent710-30	
Christian Farmers Federation of Ontario			Christian Farmers Federation of Ontario				Christian Farmers Federation of Ontario			Organization		http://example.org/1664271#Agent610-29	125407643
Christian Farmers Federation (Alberta)			Christian Farmers Federation (Alberta)				Christian Farmers Federation (Alberta)			Organization		http://example.org/1664271#Agent610-30	130109119
Canada. Agriculture Canada			Canada. Agriculture Canada				Canada. Agriculture Canada			Jurisdiction		http://example.org/1664271#Agent610-31	
Christian Farmers Federation of Ontario			Christian Farmers Federation of Ontario				Christian Farmers Federation of Ontario			Organization		http://example.org/1664271#Agent710-33	125407643
Christian Farmers Federation (Alberta)			Christian Farmers Federation (Alberta)				Christian Farmers Federation (Alberta)			Organization		http://example.org/1664271#Agent710-34	130109119
International Reading Association	n80125841		International Reading Association		n80125841		International Reading Association	n80125841	0.9393939393939394	Organization		http://example.org/1666869#Agent710-29	130422232
American Society of Heating, Refrigerating and Air-Conditioning Engineers	n82013636		American Society of Heating, Refrigerating and Air-Conditioning Engineers		n82013636		American Society of Heating, Refrigerating and Air-Conditioning Engineers	n82013636	0.9178082191780822	Organization		http://example.org/1735487#Agent710-34	144561908
Biblical Archaeology Society	n85004019		Biblical Archaeology Society		n85004019		Biblical Archaeology Society	n85004019	0.9655172413793104	Organization		http://example.org/1742244#Agent710-28	157701640
Council on Social Work Education	n79064614		Council on Social Work Education		n79064614		Council on Social Work Education	n79064614	1	Organization		http://example.org/1759372#Agent710-25	146008003
Lancaster House (Firm)	no97068003		Lancaster House (Firm)		no97068003		Lancaster House (Firm)	no97068003	1	Organization		http://example.org/1761358#Agent710-25	154707974
Canada			Canada				Canada			Jurisdiction		http://example.org/1761417#Agent610-23	
Lancaster House (Firm)	no97068003		Lancaster House (Firm)		no97068003		Lancaster House (Firm)	no97068003	1	Organization		http://example.org/1761417#Agent710-25	154707974
Alberta. Legislative Assembly	n50038314		Alberta. Legislative Assembly		n50038314		Alberta. Legislative Assembly	n50038314	1	Jurisdiction		http://example.org/1773582#Agent610-24	123072399
Alberta. Legislative Assembly	n50038314		Alberta. Legislative Assembly		n50038314		Alberta. Legislative Assembly	n50038314	1	Jurisdiction		http://example.org/1773582#Agent710-25	123072399
Préville, Éric			Préville, Éric				Préville, Éric			Person		http://example.org/1831287#Agent700-18	
Lavallée, Louise	nb2001056561		Lavallée, Louise	nb2001056561	nb2001056561	0.8823529411764706	Lavallée, Louise			Person		http://example.org/1831287#Agent700-19	104386005
Gaulin, Agathe			Gaulin, Agathe				Gaulin, Agathe			Person		http://example.org/1831287#Agent700-20	
Association canadienne-française de l'Alberta Comité d'Éducation			Association canadienne-française de l'Alberta Comité d'Éducation				Association canadienne-française de l'Alberta Comité d'Éducation			Organization		http://example.org/1831287#Agent710-21	
Kamps, Ed			Kamps, Ed				Kamps, Ed			Person		http://example.org/1880046#Agent700-17	
Wilson Boultbee, Glynis Marie, 1957-			Wilson Boultbee, Glynis Marie, 1957-				Wilson Boultbee, Glynis Marie, 1957-			Person		http://example.org/1880046#Agent700-18	
Allan, Ray			Allan, Ray				Allan, Ray			Person		http://example.org/1880046#Agent700-19	
Boultbee, Paul G	n83184062		Boultbee, Paul G	n83184062	n83184062	0.9411764705882353	Boultbee, Paul G			Person		http://example.org/1880046#Agent700-20	104813332
Globe and Mail (Firm)	nr89010035		Globe and Mail (Firm)		nr89010035		Globe and Mail (Firm)	nr89010035	1	Organization		http://example.org/1882387#Agent710-45	157050868
Patent and Trademark Office Society (U.S.)	n85080502		Patent and Trademark Office Society (U.S.)		n85080502		Patent and Trademark Office Society (U.S.)	n85080502	1	Organization		http://example.org/1921148#Agent710-32	133752665
Statistics Canada. Econometric Analysis Division	n84209158		Statistics Canada. Econometric Analysis Division		n84209158		Statistics Canada. Econometric Analysis Division	n84209158	1	Organization		http://example.org/1926220#Agent710-26	125416560
General Conference of Seventh-Day Adventists. North American Division. Church Ministries Department	n90637431		General Conference of Seventh-Day Adventists. North American Division. Church Ministries Department		n90637431		General Conference of Seventh-Day Adventists. North American Division. Church Ministries Department	n90637431	1	Organization		http://example.org/1933897#Agent710-23	147877144
Kroetsch, Robert, 1927-2011	n50045989		Kroetsch, Robert, 1927-2011	n50045989	n50045989	1	Kroetsch, Robert, 1927-2011			Person		http://example.org/1938958#Agent700-25	120613489
Van Herk, Aritha, 1954-	n78078628		Van Herk, Aritha, 1954-	n78078628	n78078628	0.8518518518518519	Van Herk, Aritha, 1954-			Person		http://example.org/1938958#Agent700-26	2497145857035222921152
Reid, Monty, 1952-	n82246905		Reid, Monty, 1952-	n82246905	n82246905	1	Reid, Monty, 1952-			Person		http://example.org/1938958#Agent700-27	94286111
Dinosaur Society			Dinosaur Society				Dinosaur Society			Organization		http://example.org/1938958#Agent710-28	147674958
Alberta Canola Growers' Association			Alberta Canola Growers' Association				Alberta Canola Growers' Association			Organization		http://example.org/2013956#Agent710-31	130113152
Alberta Canola Producers Commission			Alberta Canola Producers Commission				Alberta Canola Producers Commission			Organization		http://example.org/2013956#Agent710-32	144185035
Morin, Daniel			Morin, Daniel				Morin, Daniel			Person		http://example.org/2223080#Agent100-10	
