Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Sengupta, Ashis	n2005058924	100	Sengupta, Ashis	n2005058924	n2005058924	0.9375	Sengupta, Ashis			Person		http://example.org/6020396#Agent700-31	
Samanta, Tapas	no2006118896	100	Samanta, Tapas	no2006118896	no2006118896	0.9333333333	Samanta, Tapas			Person		http://example.org/6020396#Agent700-32	
Basu, Ayanendranath	n2011044567	100	Basu, Ayanendranath	n2011044567	n2011044567	0.95	Basu, Ayanendranath			Person		http://example.org/6020396#Agent700-33	
Leutwyler, Henry	no2005067797	100	Leutwyler, Henry	no2005067797	no2005067797	1	Leutwyler, Henry			Person		http://example.org/6059494#Agent100-17	
New York City Ballet	n50003343	100	New York City Ballet		n50003343		New York City Ballet	n50003343	0.9523809524	Organization		http://example.org/6059494#Agent610-27	
Stewart, Robert S., 1951-	n2011078239	100	Stewart, Robert S., 1951-	n2011078239	n2011078239	1	Stewart, Robert S., 1951-			Person		http://example.org/6075914#Agent100-14	
McGraw-Hill Companies	no98121167	100	McGraw-Hill Companies		no98121167		McGraw-Hill Companies	no98121167	0.9545454545	Organization		http://example.org/6075914#Agent710-29	
Banks, Ferdinand E.	n79066662	100	Banks, Ferdinand E	n79066662	n79066662	0.9473684211	Banks, Ferdinand E			Person		http://example.org/6076037#Agent100-16	
Roberts, Laura Weiss, 1960-	n2003129016	100	Roberts, Laura Weiss, 1960-	n2003129016	n2003129016	0.9	Roberts, Laura Weiss, 1960-			Person		http://example.org/6076087#Agent700-30	
Louie, Alan K., 1955-	n2014187066	100	Louie, Alan K., 1955-	n2014187066	n2014187066	1	Louie, Alan K., 1955-			Person		http://example.org/6076087#Agent700-31	
American Psychiatric Publishing	n2001128815	100	American Psychiatric Publishing		n2001128815		American Psychiatric Publishing	n2001128815	0.96875	Organization		http://example.org/6076087#Agent710-32	
Tokita, Alison, 1947-	no98083423	100	Tokita, Alison, 1947-	no98083423	no98083423	1	Tokita, Alison, 1947-			Person		http://example.org/6077180#Agent100-18	
Rhoads, Jacqueline, 1948-	n85298830	100	Rhoads, Jacqueline, 1948- 	n85298830	n85298830	0.8928571429	Rhoads, Jacqueline, 1948- 			Person		http://example.org/6083906#Agent100-20	
Murphy, Patrick J. M.	n2011183402	100	Murphy, Patrick J. M	n2011183402	n2011183402	0.9523809524	Murphy, Patrick J. M			Person		http://example.org/6083906#Agent700-35	
LeCompte, Margaret Diane	n83225253	100	LeCompte, Margaret Diane	n83225253	n83225253	0.9583333333	LeCompte, Margaret Diane			Person		http://example.org/6083923#Agent100-19	
Schensul, Jean J.	n85296584	100	Schensul, Jean J	n85296584	n85296584	0.9411764706	Schensul, Jean J			Person		http://example.org/6083923#Agent700-33	
DuBois, Jill, 1952-	n90707161	100	DuBois, Jill, 1952-	n90707161	n90707161	1	DuBois, Jill, 1952-			Person		http://example.org/6203618#Agent100-18	
Nevins, Debbie	no2013122835	100	Nevins, Debbie	no2013122835	no2013122835	1	Nevins, Debbie			Person		http://example.org/6203618#Agent700-31	
Bradford, Julie	n2014004013	100	Bradford, Julie	n2014004013	n2014004013	0.9375	Bradford, Julie			Person		http://example.org/6328552#Agent100-23	
Zill, Dennis G., 1940-	n81018912	100	Zill, Dennis G., 1940-	n81018912	n81018912	0.8461538462	Zill, Dennis G., 1940-			Person		http://example.org/6343881#Agent100-16	
Shanahan, Patrick D., 1968-	n2009008622	100	Shanahan, Patrick D., 1968-	n2009008622	n2009008622	1	Shanahan, Patrick D., 1968-			Person		http://example.org/6343881#Agent700-30	
Finnbogason, Jack, 1942-			Finnbogason, Jack, 1942-				Finnbogason, Jack, 1942-			Person		http://example.org/6356389#Agent100-13	
Valleau, Al, 1946-			Valleau, Al, 1946-				Valleau, Al, 1946-			Person		http://example.org/6356389#Agent700-26	
Dannels, Deanna P.	n2013038342	100	Dannels, Deanna P	n2013038342	n2013038342	0.9444444444	Dannels, Deanna P			Person		http://example.org/6377469#Agent100-16	
Fink, Heather Hedrick	n2005027648	100	Fink, Heather Hedrick	n2005027648	n2005027648	0.9545454545	Fink, Heather Hedrick			Person		http://example.org/6377505#Agent100-21	
Mikesky, Alan E.	n97121479	100	Mikesky, Alan E	n97121479	n97121479	0.9375	Mikesky, Alan E			Person		http://example.org/6377505#Agent700-35	
Loeffler, Agnes Gertrud, 1966-	no2007031382	100	Loeffler, Agnes Gertrud, 1966-	no2007031382	no2007031382	1	Loeffler, Agnes Gertrud, 1966- 			Person		http://example.org/6432317#Agent100-20	
Hart, Michael Noel, 1938-	n78091042	100	Hart, Michael Noel, 1938-	n78091042	n78091042	1	Hart, Michael Noel, 1938- 			Person		http://example.org/6432317#Agent700-37	
Tannehill, Deborah	n99032089	100	Tannehill, Deborah	n99032089	n99032089	1	Tannehill, Deborah			Person		http://example.org/6458862#Agent100-18	
Van der Mars, Hans, 1955-	n89613392	100	Van der Mars, Hans, 1955-	n89613392	n89613392	1	Van der Mars, Hans, 1955-			Person		http://example.org/6458862#Agent700-30	
MacPhail, Ann	n2009078446	100	MacPhail, Ann	n2009078446	n2009078446	0.9230769231	MacPhail, Ann			Person		http://example.org/6458862#Agent700-31	
Beebe, Steven A., 1950-	n81088716	100	Beebe, Steven A., 1950-	n81088716	n81088716	0.8518518519	Beebe, Steven A., 1950-			Person		http://example.org/6461835#Agent100-16	
Beebe, Susan J.	n89125708	100	Beebe, Susan J	n89125708	n89125708	0.9333333333	Beebe, Susan J			Person		http://example.org/6461835#Agent700-28	
Redmond, Mark V., 1949-	n95057854	100	Redmond, Mark V., 1949-	n95057854	n95057854	1	Redmond, Mark V., 1949-			Person		http://example.org/6461835#Agent700-29	
Geerinck, Terri, 1958-			Geerinck, Terri, 1958-				Geerinck, Terri, 1958-			Person		http://example.org/6461835#Agent700-30	
Salem-Wiseman, Lisa			Salem-Wiseman, Lisa				Salem-Wiseman, Lisa			Person		http://example.org/6461835#Agent700-31	
Marieb, Elaine Nicpon, 1936-	n80124672	100	Marieb, Elaine Nicpon, 1936-	n80124672	n80124672	0.875	Marieb, Elaine Nicpon, 1936-			Person		http://example.org/6466380#Agent100-13	
