Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Sengupta, Ashis	24010261	24010261	0.9375	Sengupta, Ashis			Person		http://example.org/6020396#Agent700-31	
Samanta, Tapas	166043872	166043872	0.9333333333	Samanta, Tapas			Person		http://example.org/6020396#Agent700-32	
Basu, Ayanendranath	6.39146998441219E+020	6.39146998441219E+020	1	Basu, Ayanendranath			Person		http://example.org/6020396#Agent700-33	
Leutwyler, Henry	17499521	17499521	1	Leutwyler, Henry			Person		http://example.org/6059494#Agent100-17	
New York City Ballet		133657447		New York City Ballet	133657447	0.9523809524	Organization		http://example.org/6059494#Agent610-27	
Stewart, Robert S., 1951-	215967819	215967819	1	Stewart, Robert S., 1951-			Person		http://example.org/6075914#Agent100-14	
McGraw-Hill Companies		131670262		McGraw-Hill Companies	131670262	0.9545454545	Organization		http://example.org/6075914#Agent710-29	
Banks, Ferdinand E	109526800	109526800	0.9473684211	Banks, Ferdinand E			Person		http://example.org/6076037#Agent100-16	
Roberts, Laura Weiss, 1960-	95399948	95399948	0.9	Roberts, Laura Weiss, 1960-			Person		http://example.org/6076087#Agent700-30	
Louie, Alan K., 1955-	309830568	309830568	1	Louie, Alan K., 1955-			Person		http://example.org/6076087#Agent700-31	
American Psychiatric Publishing		155667893		American Psychiatric Publishing	155667893	0.96875	Organization		http://example.org/6076087#Agent710-32	
Tokita, Alison, 1947-	2637197	2637197	1	Tokita, Alison, 1947-			Person		http://example.org/6077180#Agent100-18	
Rhoads, Jacqueline, 1948- 	11300255	11300255	0.8928571429	Rhoads, Jacqueline, 1948- 			Person		http://example.org/6083906#Agent100-20	
Murphy, Patrick J. M	186080362	186080362	0.9523809524	Murphy, Patrick J. M			Person		http://example.org/6083906#Agent700-35	
LeCompte, Margaret Diane	108526115	108526115	1	LeCompte, Margaret Diane			Person		http://example.org/6083923#Agent100-19	
Schensul, Jean J	161861945	161861945	0.9411764706	Schensul, Jean J			Person		http://example.org/6083923#Agent700-33	
DuBois, Jill, 1952-	116050084	116050084	1	DuBois, Jill, 1952-			Person		http://example.org/6203618#Agent100-18	
Nevins, Debbie	305378080	305378080	1	Nevins, Debbie			Person		http://example.org/6203618#Agent700-31	
Bradford, Julie	310686254	310686254	1	Bradford, Julie			Person		http://example.org/6328552#Agent100-23	
Zill, Dennis G., 1940-	76607798	76607798	0.8461538462	Zill, Dennis G., 1940-			Person		http://example.org/6343881#Agent100-16	
Shanahan, Patrick D., 1968-	78847118	78847118	1	Shanahan, Patrick D., 1968-			Person		http://example.org/6343881#Agent700-30	
Finnbogason, Jack, 1942-	105436166	105436166	1	Finnbogason, Jack, 1942-			Person		http://example.org/6356389#Agent100-13	
Valleau, Al, 1946-	105440705	105440705	1	Valleau, Al, 1946-			Person		http://example.org/6356389#Agent700-26	
Dannels, Deanna P	303927266	303927266	0.9444444444	Dannels, Deanna P			Person		http://example.org/6377469#Agent100-16	
Fink, Heather Hedrick	16631793	16631793	0.9545454545	Fink, Heather Hedrick			Person		http://example.org/6377505#Agent100-21	
Mikesky, Alan E	43594099	43594099	0.9375	Mikesky, Alan E			Person		http://example.org/6377505#Agent700-35	
Loeffler, Agnes Gertrud, 1966-	68704394	68704394	1	Loeffler, Agnes Gertrud, 1966- 			Person		http://example.org/6432317#Agent100-20	
Hart, Michael Noel, 1938-	264197598	264197598	1	Hart, Michael Noel, 1938- 			Person		http://example.org/6432317#Agent700-37	
Tannehill, Deborah	4263514	4263514	1	Tannehill, Deborah			Person		http://example.org/6458862#Agent100-18	
Van der Mars, Hans, 1955-	65611995	65611995	1	Van der Mars, Hans, 1955-			Person		http://example.org/6458862#Agent700-30	
MacPhail, Ann	275669737	275669737	0.9230769231	MacPhail, Ann			Person		http://example.org/6458862#Agent700-31	
Beebe, Steven A., 1950-	7.75414906846587E+021	7.75414906846587E+021	0.9565217391	Beebe, Steven A., 1950-			Person		http://example.org/6461835#Agent100-16	
Beebe, Susan J	58206773	58206773	0.9333333333	Beebe, Susan J			Person		http://example.org/6461835#Agent700-28	
Redmond, Mark V., 1949-	55861445	55861445	1	Redmond, Mark V., 1949-			Person		http://example.org/6461835#Agent700-29	
Geerinck, Terri, 1958-	270885977	270885977	1	Geerinck, Terri, 1958-			Person		http://example.org/6461835#Agent700-30	
Salem-Wiseman, Lisa	106427748	106427748	1	Salem-Wiseman, Lisa			Person		http://example.org/6461835#Agent700-31	
Marieb, Elaine Nicpon, 1936-	61627721	61627721	0.875	Marieb, Elaine Nicpon, 1936-			Person		http://example.org/6466380#Agent100-13	
Perrin, Robert, 1950- 	33434271	33434271	1	Perrin, Robert, 1950- 			Person		http://example.org/6485795#Agent100-15	
Stewart, Julie G.	305025553	305025553	1	Stewart, Julie G.			Person		http://example.org/6492837#Agent700-32	
DeNisco, Susan M.	187275086	187275086	0.9411764706	DeNisco, Susan M.			Person		http://example.org/6492837#Agent700-33	
Gann, Richard G., 1944-	75586987	75586987	1	Gann, Richard G., 1944-			Person		http://example.org/6493242#Agent100-16	
Friedman, Raymond	77907697	77907697	0.9444444444	Friedman, Raymond			Person		http://example.org/6493242#Agent700-31	
Burnell, Beverly A	223797630	223797630	0.9473684211	Burnell, Beverly A			Person		http://example.org/6500534#Agent700-24	
Schnackenberg, Heidi L	221488619	221488619	0.9565217391	Schnackenberg, Heidi L			Person		http://example.org/6500534#Agent700-25	
Edelstein, Sari	77969759	77969759	1	Edelstein, Sari			Person		http://example.org/6503227#Agent700-34	
Edberg, Mark Cameron, 1955-	85256962	85256962	1	Edberg, Mark Cameron, 1955-			Person		http://example.org/6503553#Agent100-19	
Plopper, George	299902366	299902366	1	Plopper, George			Person		http://example.org/6510334#Agent700-35	
Sharp, David, 1968-	292809203	292809203	1	Sharp, David, 1968-			Person		http://example.org/6510334#Agent700-36	
Sikorski, Eric	292875907	292875907	0.9333333333	Sikorski, Eric			Person		http://example.org/6510334#Agent700-37	
