Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Morris, John B			Morris, John B				Morris, John B			Person		http://example.org/6197754#Agent700-32	
Shusterman, Dennis	n99802681		Shusterman, Dennis	n99802681	n99802681	0.9473684210526315	Shusterman, Dennis			Person		http://example.org/6197754#Agent700-33	274178758
Murray, Raymond L., 1920-2011	n82032093		Murray, Raymond L., 1920-2011	n82032093	n82032093	1	Murray, Raymond L., 1920-2011			Person		http://example.org/6508374#Agent100-21	92557327
Holbert, Keith E	nb2004312347		Holbert, Keith E	nb2004312347	nb2004312347	0.9411764705882353	Holbert, Keith E			Person		http://example.org/6508374#Agent700-39	6908677
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6509711#Agent100-15	
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6510073#Agent100-18	
Anker, Kevin	n2009007741		Anker, Kevin	n2009007741	n2009007741	1	Anker, Kevin			Person		http://example.org/6510119#Agent100-34	78841563
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6520969#Agent100-16	
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6521003#Agent100-19	
Nawrat, Aleksander M	nb2012024674		Nawrat, Aleksander M	nb2012024674	nb2012024674	0.9	Nawrat, Aleksander M			Person		http://example.org/6524586#Agent700-30	102275900
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6535972#Agent100-18	
Silvis, Carol A	n93016246		Silvis, Carol A	n93016246	n93016246	0.9375	Silvis, Carol A			Person		http://example.org/6535976#Agent100-18	50893245
Jackson, Brian M			Jackson, Brian M				Jackson, Brian M			Person		http://example.org/6536097#Agent100-19	
Merton, Orren	n2004077751		Merton, Orren	n2004077751	n2004077751	1	Merton, Orren			Person		http://example.org/6536097#Agent700-33	4326776
Shoup, Kate, 1972-	n2008002321		Shoup, Kate, 1972-	n2008002321	n2008002321	1	Shoup, Kate, 1972-			Person		http://example.org/6536097#Agent700-34	107229068
Steiner, Arnold			Steiner, Arnold				Steiner, Arnold			Person		http://example.org/6536097#Agent700-35	
McBroom, Matthew W. (Matthew Wayne), 1972- 	no2010166556		McBroom, Matthew W. (Matthew Wayne), 1972-	no2010166556	no2010166556	1	McBroom, Matthew W. (Matthew Wayne), 1972- 			Person		http://example.org/6536280#Agent700-27	123593343
Mendelsohn, John, 1936- 	n94803116		Mendelsohn, John, 1936- 	n94803116	n94803116	0.8518518518518519	Mendelsohn, John, 1936- 			Person		http://example.org/6537332#Agent700-32	9085857
Gray, Joe W	n85232809		Gray, Joe W	n85232809	n85232809	0.9166666666666666	Gray, Joe W			Person		http://example.org/6537332#Agent700-33	7462675
Howley, Peter M	n85807682		Howley, Peter M	n85807682	n85807682	0.9375	Howley, Peter M			Person		http://example.org/6537332#Agent700-34	46840626
Israel, Mark A	n2012180185		Israel, Mark A	n2012180185	n2012180185	0.9333333333333333	Israel, Mark A			Person		http://example.org/6537332#Agent700-35	221491537
Thompson, Craig (Craig B.)	no99084735		Thompson, Craig (Craig B.)	no99084735	no99084735	1	Thompson, Craig (Craig B.)			Person		http://example.org/6537332#Agent700-36	48869314
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6577592#Agent100-18	
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6577642#Agent100-18	
Deitel, Paul J	n87945260		Deitel, Paul J	n87945260	n87945260	0.9333333333333333	Deitel, Paul J			Person		http://example.org/6577725#Agent100-18	270830438
Deitel, Harvey M., 1945-	n80040423		Deitel, Harvey M., 1945-	n80040423	n80040423	0.8571428571428571	Deitel, Harvey M., 1945-			Person		http://example.org/6577725#Agent700-34	109404569
White, Paul, 1949-	no00104247		White, Paul, 1949-	no00104247	no00104247	1	White, Paul, 1949-			Person		http://example.org/6577761#Agent100-18	61097842
Salemi, Behnam	nb2015002874		Salemi, Behnam	nb2015002874	nb2015002874	1	Salemi, Behnam			Person		http://example.org/6577781#Agent100-18	309904017
Yamamoto, Jazon	no2015035397		Yamamoto, Jazon	no2015035397	no2015035397	1	Yamamoto, Jazon			Person		http://example.org/6577786#Agent100-18	315185790
Ford, Jerry Lee			Ford, Jerry Lee				Ford, Jerry Lee			Person		http://example.org/6577802#Agent100-18	100860252
Turner, Robin D	no2011109293		Turner, Robin D	no2011109293	no2011109293	0.9375	Turner, Robin D			Person		http://example.org/6577810#Agent100-18	173087201
Boeckenhaupt, Herb	no2011108977		Boeckenhaupt, Herb	no2011108977	no2011108977	1	Boeckenhaupt, Herb			Person		http://example.org/6577810#Agent700-32	173196392
Gaberson, Kathleen B	n97803348		Gaberson, Kathleen B	n97803348	n97803348	0.9523809523809523	Gaberson, Kathleen B			Person		http://example.org/6602671#Agent100-18	33751933
Oermann, Marilyn H	n85024556		Oermann, Marilyn H	n85024556	n85024556	0.9473684210526315	Oermann, Marilyn H			Person		http://example.org/6602671#Agent700-30	50645235
Shellenbarger, Teresa	n2013188306		Shellenbarger, Teresa	n2013188306	n2013188306	1	Shellenbarger, Teresa			Person		http://example.org/6602671#Agent700-31	305447544
Garrigus, Scott R	nr00029990		Garrigus, Scott R	nr00029990	nr00029990	0.9444444444444444	Garrigus, Scott R			Person		http://example.org/6605610#Agent100-18	34693636
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6605611#Agent100-18	
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6605963#Agent100-18	
Detmer, Richard C	n92111937		Detmer, Richard C	n92111937	n92111937	0.9444444444444444	Detmer, Richard C			Person		http://example.org/6606088#Agent100-16	114276004
Yanoff, Myron	n80109185		Yanoff, Myron	n80109185	n80109185	0.9285714285714286	Yanoff, Myron			Person		http://example.org/6606827#Agent100-18	109675313
Sassani, Joseph W	nb98003302		Sassani, Joseph W	nb98003302	nb98003302	0.9444444444444444	Sassani, Joseph W			Person		http://example.org/6606827#Agent700-39	220357477
Nanda, Ravindra	n80133503		Nanda, Ravindra	n80133503	n80133503	0.9375	Nanda, Ravindra			Person		http://example.org/6606836#Agent700-39	61838493
Nanda, Ravindra	n80133503		Nanda, Ravindra	n80133503	n80133503	0.9375	Nanda, Ravindra			Person		http://example.org/6606836#Agent700-40	61838493
Elsner, Wolfram	n84035465		Elsner, Wolfram	n84035465	n84035465	0.9375	Elsner, Wolfram			Person		http://example.org/6606878#Agent100-19	
Heinrich, Torsten			Heinrich, Torsten				Heinrich, Torsten			Person		http://example.org/6606878#Agent700-32	
Schwardt, Henning	no2013009891		Schwardt, Henning	no2013009891	no2013009891	0.9444444444444444	Schwardt, Henning			Person		http://example.org/6606878#Agent700-33	295240833
Walker, Stuart, 1955-	n2006008639		Walker, Stuart, 1955-	n2006008639	n2006008639	0.84	Walker, Stuart, 1955-			Person		http://example.org/6614292#Agent100-26	26485947
Groesen, Michiel van	n2007090807		Groesen, Michiel van	n2007090807	n2007090807	1	Groesen, Michiel van			Person		http://example.org/6620069#Agent700-35	68389784
Palit, Amitendu	n2006208576		Palit, Amitendu	n2006208576	n2006208576	1	Palit, Amitendu			Person		http://example.org/6620129#Agent100-23	21583326
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6620835#Agent100-16	
Ferri, Fred F	n86063459		Ferri, Fred F	n86063459	n86063459	0.9285714285714286	Ferri, Fred F			Person		http://example.org/6622208#Agent100-17	276144928062254340291
Harriet Lane Service (Johns Hopkins Hospital)	n2014180988		Harriet Lane Service (Johns Hopkins Hospital)		n2014180988		Harriet Lane Service (Johns Hopkins Hospital)	n2014180988	1	Organization		http://example.org/6622211#Agent110-19	144819798
