1985eresOrigbf-stats.tsv was processed in 0:00:11

7 names were extracted from 1985eresOrigbf
6 unique names  --- 4 Personal names and 2 Corporate names

API searched	hits	hit_rate
names-enriched	6	100.0
search_api_LC	0	0.0
search_api_LCS	3	50.0
search_api_VF	0	0.0
search_api_VFP	4	66.66666666666666
search_api_VFC	1	16.666666666666664


LC_ID
names enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
6	100	100.0	0	0.0	100.0	

VIAF_ID
names enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
5	100	100	0	0.0	83.33333333333334	

work_id
titles enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
4	100.0	100.0	0.0	0.0	100.0	

oclc_id
titles enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
4	100	100.0	0	0.0	100.0	
