name	ingest key	viaf ID	LC ID
Brenner, Everett H.	http://example.org/1335775#Agent100-9	http://viaf.org/viaf/51784057	http://id.loc.gov/authorities/names/n79046906
Harman, Mark.	http://example.org/1352734#Agent700-25	http://viaf.org/viaf/59933303	http://id.loc.gov/authorities/names/n85007510
Hinnebusch, William A.	http://example.org/1321169#Agent100-11	http://viaf.org/viaf/36954548	http://id.loc.gov/authorities/names/n87152911
Pedrick, Kathryn E.	http://example.org/1312751#Agent100-10	http://viaf.org/viaf/72825842	http://id.loc.gov/authorities/names/n85135084
Xu, Honglan.	http://example.org/1414349#Agent700-22	http://viaf.org/viaf/1561839	http://id.loc.gov/authorities/names/n88121456
Chang, S. K. (Shi Kuo), 1944-	http://example.org/1412305#Agent700-23	http://viaf.org/viaf/102381058	http://id.loc.gov/authorities/names/n80039913
Chang, S. K. (Shi Kuo), 1944-	http://example.org/1412313#Agent100-10	http://viaf.org/viaf/102381058	http://id.loc.gov/authorities/names/n80039913
Leutrat, Jean-Louis, 1941-	http://example.org/1375195#Agent100-12	http://viaf.org/viaf/108647180	http://id.loc.gov/authorities/names/n81052737
Zhongguo min jian wen yi yan jiu hui. Hunan fen hui.	http://example.org/1412037#Agent710-22	http://viaf.org/viaf/144260619	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n81130704
Schaef, Anne Wilson.	http://example.org/1309836#Agent100-15	http://viaf.org/viaf/30358315	http://id.loc.gov/authorities/names/n81079289
Coal Association of Canada.	http://example.org/1540206#Agent710-19	http://viaf.org/viaf/150958696	http://id.loc.gov/authorities/names/n85208665
Adolf-Grimme-Institut.	http://example.org/1407999#Agent710-27	http://viaf.org/viaf/135496511	http://id.loc.gov/authorities/names/n81035934
Brown, L. F. (Leonard Franklin), 1928-	http://example.org/1316348#Agent100-10	http://viaf.org/viaf/52931370	http://id.loc.gov/authorities/names/n50040081
Newton, K. E.	http://example.org/1340717#Agent700-27	http://viaf.org/viaf/94379846	http://id.loc.gov/authorities/names/n88629521
Wood, Michael, 1948-	http://example.org/1347433#Agent100-20	http://viaf.org/viaf/22323391	http://id.loc.gov/authorities/names/n87115377
Collins, H. M. (Harry M.), 1943-	http://example.org/1330469#Agent100-14	http://viaf.org/viaf/97744361	http://id.loc.gov/authorities/names/n81099696
Dunand, Jean, 1877-1942	http://example.org/1001385#Agent600-22	http://viaf.org/viaf/39429002	http://id.loc.gov/authorities/names/n86007678
Shandong Sheng wen wu kao gu yan jiu suo.	http://example.org/1410293#Agent710-30	http://viaf.org/viaf/133723447	http://id.loc.gov/authorities/names/n82245904
Xu, Peijun.	http://example.org/1410784#Agent700-23	http://viaf.org/viaf/304985312	http://id.loc.gov/authorities/names/n82122684
National Regional Aquifer System Analysis Program (U.S.)	http://example.org/1557255#Agent710-24	http://viaf.org/viaf/153652566	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n84047183
Grunsell, Rob.	http://example.org/1309360#Agent100-14	http://viaf.org/viaf/248841726	http://id.loc.gov/authorities/names/n78024485
Eldin, Peter, 1939-	http://example.org/1002712#Agent100-11	http://viaf.org/viaf/102164037	http://id.loc.gov/authorities/names/n85231436
Dome Petroleum Limited.	http://example.org/1555563#Agent610-16	http://viaf.org/viaf/147663776	http://id.loc.gov/authorities/names/n82223610
Dome Petroleum Limited.	http://example.org/1557360#Agent610-16	http://viaf.org/viaf/147663776	http://id.loc.gov/authorities/names/n82223610
Dome Petroleum Limited.	http://example.org/1557361#Agent610-16	http://viaf.org/viaf/147663776	http://id.loc.gov/authorities/names/n82223610
Dome Petroleum Limited.	http://example.org/1557402#Agent610-16	http://viaf.org/viaf/147663776	http://id.loc.gov/authorities/names/n82223610
Raastad, Frederik.	http://example.org/1535762#Agent700-20	http://viaf.org/viaf/230540662	http://id.loc.gov/authorities/names/n85309298
British Columbia Provincial Museum.	http://example.org/1302280#Agent710-26	http://viaf.org/viaf/151927875	http://id.loc.gov/authorities/names/n81093187
Akeh-Osu, Lawrence.	http://example.org/1371655#Agent700-21	http://viaf.org/viaf/26054751	http://id.loc.gov/authorities/names/n85273376
Wiese, Benno von, 1903-1987.	http://example.org/1388313#Agent700-26	http://viaf.org/viaf/2484269	http://id.loc.gov/authorities/names/n50015706
Giles, W. H., 1930-	http://example.org/1336071#Agent100-13	http://viaf.org/viaf/73030295	http://id.loc.gov/authorities/names/n91033820
Liu, Houming.	http://example.org/1417305#Agent100-10	http://viaf.org/viaf/67801874	http://id.loc.gov/authorities/names/n82020066
Yang, Rongchun.	http://example.org/1413651#Agent100-13	http://viaf.org/viaf/48251911	http://id.loc.gov/authorities/names/n86117197
Akurgal, Ekrem.	http://example.org/1321997#Agent100-11	http://viaf.org/viaf/3268374	http://id.loc.gov/authorities/names/n50040162
Stephan, Rudolf.	http://example.org/1323285#Agent700-24	http://viaf.org/viaf/109806213	http://id.loc.gov/authorities/names/n83048160
Shi, Baoyi.	http://example.org/1411152#Agent100-12	http://viaf.org/viaf/75209320	http://id.loc.gov/authorities/names/n82157066
