name	ingest key	viaf ID	LC ID
Alexander, Arthur.	http://example.org/1089589#Agent100-10	http://viaf.org/viaf/151701325	http://id.loc.gov/authorities/names/no2010171565
Kemp, Murray C.	http://example.org/1007439#Agent100-16	http://viaf.org/viaf/14842089	http://id.loc.gov/authorities/names/n79077257
Rosenblum, Leonard A.,	http://example.org/1048484#Agent700-26	http://viaf.org/viaf/109099354	http://id.loc.gov/authorities/names/n50047408
Weeks, Charles A., 1937-	http://example.org/1001752#Agent100-14	http://viaf.org/viaf/22266490	http://id.loc.gov/authorities/names/n85195078
Binstock, Robert H.,	http://example.org/1025459#Agent100-16	http://viaf.org/viaf/91259681	http://id.loc.gov/authorities/names/n50009380
Heinstein, Martin I.,	http://example.org/1000337#Agent700-19	http://viaf.org/viaf/72680517	http://id.loc.gov/authorities/names/n79139504
Sachs, Emil Solomon.	http://example.org/105515#Agent700-23	http://viaf.org/viaf/93337352	http://id.loc.gov/authorities/names/no97015045
Ryder, Arthur W. (Arthur William), 1877-1938,	http://example.org/1098173#Agent700-18	http://viaf.org/viaf/30317808	http://id.loc.gov/authorities/names/no89007025
Ryder, Arthur W. (Arthur William), 1877-1938,	http://example.org/1098172#Agent700-20	http://viaf.org/viaf/30317808	http://id.loc.gov/authorities/names/no89007025
American Vigilance Association.	http://example.org/1028660#Agent710-20	http://viaf.org/viaf/146615007	http://id.loc.gov/authorities/names/n83030956
Somers, Gerald George,	http://example.org/1020752#Agent700-19	http://viaf.org/viaf/10082135	http://id.loc.gov/authorities/names/n50013091
Susini, G. C. (Gian Carlo)	http://example.org/1053678#Agent100-12	http://viaf.org/viaf/32012971	http://id.loc.gov/authorities/names/n83018092
Kandel, I. L. (Isaac Leon), 1881-1965.	http://example.org/1058607#Agent100-13	http://viaf.org/viaf/74797231	http://id.loc.gov/authorities/names/n50046224
Kandel, I. L. (Isaac Leon), 1881-1965.	http://example.org/1065714#Agent700-25	http://viaf.org/viaf/74797231	http://id.loc.gov/authorities/names/n50046224
Ray, Milton S. (Milton Smith), 1881-1946.	http://example.org/1026148#Agent100-9	http://viaf.org/viaf/59013271	http://id.loc.gov/authorities/names/nr2001042004
New Spain. Tribunal de Minería.	http://example.org/1002773#Agent610-22	http://viaf.org/viaf/155051529	http://id.loc.gov/authorities/names/no90016296
Massachusetts Institute of Technology. Center for International Studies.	http://example.org/1027652#Agent710-27	http://viaf.org/viaf/148765070	http://id.loc.gov/authorities/names/n82105268
Massachusetts Institute of Technology. Center for International Studies.	http://example.org/1046267#Agent710-30	http://viaf.org/viaf/148765070	http://id.loc.gov/authorities/names/n82105268
Dawson, Robert MacGregor, 1895-1958.	http://example.org/1046048#Agent100-11	http://viaf.org/viaf/22510086	http://id.loc.gov/authorities/names/n88075278
University of London. Institute of Education.	http://example.org/1065091#Agent810-19	http://viaf.org/viaf/155646608	http://id.loc.gov/authorities/names/n81039689
Strachey, John, 1901-1963.	http://example.org/1042379#Agent100-11	http://viaf.org/viaf/59188684	http://id.loc.gov/authorities/names/n50010692
Kotzwinkle, William.	http://example.org/1037332#Agent100-12	http://viaf.org/viaf/76317924	http://id.loc.gov/authorities/names/n79095429
Rhodes, Gerald, 1926-	http://example.org/1052946#Agent100-18	http://viaf.org/viaf/1257458	http://id.loc.gov/authorities/names/n50044853
Rhodes, Gerald, 1926-	http://example.org/1052949#Agent100-17	http://viaf.org/viaf/1257458	http://id.loc.gov/authorities/names/n50044853
Carré, John F. (John Franklin), 1894-1966.	http://example.org/103485#Agent100-10	http://viaf.org/viaf/43853971	http://id.loc.gov/authorities/names/no89003072
Arcus, Peter L.	http://example.org/1015752#Agent100-10	http://viaf.org/viaf/75367975	http://id.loc.gov/authorities/names/n87151296
Menon, V. P. (Vapal Pangunni), 1894-1966.	http://example.org/1051085#Agent100-11	http://viaf.org/viaf/27145941	http://id.loc.gov/authorities/names/n82129002
Saint-Foix, M. de (Germain-François Poullain), 1698-1776.	http://example.org/1010978#Agent100-10	http://viaf.org/viaf/32014756	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n83177726
Merrill, John Calhoun, 1924-2012.	http://example.org/1023998#Agent100-11	http://viaf.org/viaf/51775267	http://id.loc.gov/authorities/names/n79089364
Ebel, Robert D.	http://example.org/1021760#Agent100-13	http://viaf.org/viaf/109968672	http://id.loc.gov/authorities/names/n50024442
Foster, Olive S.	http://example.org/1068231#Agent100-12	http://viaf.org/viaf/67739182	http://id.loc.gov/authorities/names/n79060459
Society of the Plastics Industry.	http://example.org/1041229#Agent710-19	http://viaf.org/viaf/151024940	http://id.loc.gov/authorities/names/n81038524
Dearborn, Walter F. (Walter Fenno), 1878-1955.	http://example.org/1065714#Agent700-24	http://viaf.org/viaf/68281921	http://id.loc.gov/authorities/names/n2001129077
Stoessinger, John George.	http://example.org/1072507#Agent100-12	http://viaf.org/viaf/1225039	http://id.loc.gov/authorities/names/n50010403
Stoessinger, John George.	http://example.org/1034542#Agent100-10	http://viaf.org/viaf/1225039	http://id.loc.gov/authorities/names/n50010403
Atholl, Justin.	http://example.org/1036466#Agent100-10	http://viaf.org/viaf/271581760	http://id.loc.gov/authorities/names/no2004030312
Bartsch, Hans,	http://example.org/1097947#Agent700-20	http://viaf.org/viaf/32519466	http://id.loc.gov/authorities/names/n2009048750
Crow, Jeanne,	http://example.org/1022687#Agent700-21	http://viaf.org/viaf/61235597	http://id.loc.gov/authorities/names/no2003064808
