Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Veksner, Simon	160174571	1	Person		http://example.org/6815285#Agent100-13	http://id.loc.gov/authorities/names/no2011039513
Trompenaars, Alfons	298419281	1	Person		http://example.org/6815638#Agent100-19	http://id.loc.gov/authorities/names/n93054720
Coebergh, Piet Hein, 1966-	107053145	1	Person		http://example.org/6815638#Agent700-31	http://id.loc.gov/authorities/names/no2010004156
Hawley, Casey Fitts	90914058	1	Person		http://example.org/6849493#Agent100-14	http://id.loc.gov/authorities/names/n00091438
Silvis, Carol A	50893245	0.9375	Person		http://example.org/6784064#Agent100-15	http://id.loc.gov/authorities/names/n93016246
Austin, Charles Michael	315246437	1	Person		http://example.org/6630311#Agent100-36	http://id.loc.gov/authorities/names/no2015142316
Johns, Beverley H. (Beverley Holden)	1723771	1	Person		http://example.org/6803415#Agent100-16	http://id.loc.gov/authorities/names/n95103469
Rabaté, Jean-Michel	108273547	1	Person		http://example.org/6849270#Agent700-27	http://id.loc.gov/authorities/names/n84148242
Jackson, Andrew Grant, 1969-	231855770	1	Person		http://example.org/6815465#Agent100-17	http://id.loc.gov/authorities/names/n2012012858
Covell, Alice	77547645	1	Person		http://example.org/6861337#Agent100-13	http://id.loc.gov/authorities/names/n00084686
Chaudhry, Asif	43261432	1	Person		http://example.org/6797111#Agent700-32	http://id.loc.gov/authorities/names/n85035667
Schaub, Grace	309826412	1	Person		http://example.org/6784467#Agent700-32	http://id.loc.gov/authorities/names/n2014044776
Schaub, George	266468924	1	Person		http://example.org/6784467#Agent700-33	http://id.loc.gov/authorities/names/n85076873
Klemens, Ben	33870401	0.9230769230769231	Person		http://example.org/6752591#Agent100-16	http://id.loc.gov/authorities/names/n2005069955
Heine, Jorge	4145857080322922156	1	Person		http://example.org/6773611#Agent100-20	http://id.loc.gov/authorities/names/n82213557
Organization of American States			Organization		http://example.org/6773611#Agent610-33	http://id.loc.gov/authorities/names/n82165714
Weiffen, Brigitte	88286087	1	Person		http://example.org/6773611#Agent700-37	http://id.loc.gov/authorities/names/nb2011003715
Collins, George (George Benjamin), 1989-	309829811	1	Person		http://example.org/6766249#Agent100-19	http://id.loc.gov/authorities/names/n2014186109
Davis, James (James Stephen), 1989-	309829812	1	Person		http://example.org/6766249#Agent700-32	http://id.loc.gov/authorities/names/n2014186110
Swift, Oscar, 1988-	309829740	1	Person		http://example.org/6766249#Agent700-33	http://id.loc.gov/authorities/names/n2014186023
Beynon, H. L. C	48356675	0.9375	Person		http://example.org/6766249#Agent700-34	http://id.loc.gov/authorities/names/n89133219
Gansky, Alton	46021598	1	Person		http://example.org/6815374#Agent100-15	http://id.loc.gov/authorities/names/n96003614
Caffee, Marc W			Person		http://example.org/6720301#Agent700-37	
King, R. (Roger), 1942-	32069238	1	Person		http://example.org/6809086#Agent100-24	http://id.loc.gov/authorities/names/n88072789
