Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Richards, Ian	110529269	110529269	1.0	Richards, Ian			Person		http://example.org/1084268#Agent100-14
Cappi Bentivegna, Ferruccia	88354304	88354304	1.0	Cappi Bentivegna, Ferruccia			Person		http://example.org/1086629#Agent700-20
Yeomans, Henry Aaron, 1877-				Yeomans, Henry Aaron, 1877-			Person		http://example.org/1072070#Agent100-10
Lowell, A. Lawrence (Abbott Lawrence), 1856-1943	94177631	94177631	1.0	Lowell, A. Lawrence (Abbott Lawrence), 1856-1943			Person		http://example.org/1072070#Agent600-18
Geiss, Heinz	69374850	69374850	0.9230769230769231	Geiss, Heinz			Person		http://example.org/1089763#Agent100-15
Deutsche Akademie der Wissenschaften zu Berlin. Sektion für Altertumswissenschaft		168339446		Deutsche Akademie der Wissenschaften zu Berlin. Sektion für Altertumswissenschaft	168339446	0.975609756097561	Organization		http://example.org/1089763#Agent810-27
De Sola, Ralph, 1908-1993	71435888	71435888	1.0	De Sola, Ralph, 1908-1993			Person		http://example.org/1019263#Agent100-16
United States. Joint Publications Research Service		147716838		United States. Joint Publications Research Service	147716838	1.0	Jurisdiction		http://example.org/1089475#Agent110-13
United States. Joint Publications Research Service		147716838		United States. Joint Publications Research Service	147716838	1.0	Jurisdiction		http://example.org/1089476#Agent110-13
Leipert, Josef	83806864	83806864	1.0	Leipert, Josef			Person		http://example.org/1058475#Agent100-11
Bacal, Jacques W., 1906-	427146936759413781879	427146936759413781879	1.0	Bacal, Jacques W., 1906-			Person		http://example.org/1029943#Agent100-11
Sloane, Louise, 1908-	79146936740913781616	79146936740913781616	1.0	Sloane, Louise, 1908- 			Person		http://example.org/1029943#Agent700-21
Engelbrecht, Anton, approximately 1485-1558	62342755	62342755	1.0	Engelbrecht, Anton, approximately 1485-1558			Person		http://example.org/1013791#Agent100-11
Bellardi, Werner	17667226	17667226	1.0	Bellardi, Werner			Person		http://example.org/1013791#Agent700-20
Bureau of National Affairs (Washington, D.C.)		144126615		Bureau of National Affairs (Washington, D.C.)	144126615	0.9111111111111111	Organization		http://example.org/1078766#Agent110-11
Mannino, Philip				Mannino, Philip			Person		http://example.org/1061260#Agent100-10
Mangi, Jean	63647851	63647851	1.0	Mangi, Jean			Person		http://example.org/100981#Agent100-10
Abrams, Kathie	18537901	18537901	1.0	Abrams, Kathie			Person		http://example.org/100981#Agent700-22
Le Camus, Antoine, 1722-1772	66776769	66776769	1.0	Le Camus, Antoine, 1722-1772			Person		http://example.org/1079085#Agent100-12
Abd el-Krim, 1883?-1963	316448051	316448051	1.0	Abd el-Krim, 1883?-1963			Person		http://example.org/104615#Agent600-17
Kalisch, Jules R	55392028	55392028	0.9411764705882353	Kalisch, Jules R			Person		http://example.org/1058750#Agent100-10
