Val	match-ID-F	score-lc	Column 1	LC-VP	match-ID	score	Cor	LC-VC	score-c	org	Column 3	Column 4	blank
Pattison, Mark, 1813-1884	n50050689	100	Pattison, Mark, 1813-1884	n50050689	n50050689	1	Pattison, Mark, 1813-1884			Person		http://example.org/1026182#Agent100-12	
Estienne family			Estienne family				Estienne family			Family		http://example.org/1026182#Agent600-24	
Grabhorn, Robert	n50037045	100	Grabhorn, Robert	n50037045	n50037045	1	Grabhorn, Robert			Person		http://example.org/1026182#Agent700-26	
Adair, Bryan	n82201015	100	Adair, Bryan	n82201015	n82201015	1	Adair, Bryan			Person		http://example.org/104356#Agent100-11	
Hammer, Thomas Ross	n91025765	80	Hammer, Thomas Ross				Hammer, Thomas Ross			Person		http://example.org/1077165#Agent100-9	
Pennar, Jaan	n50009493	100	Pennar, Jaan	n50009493	n50009493	1	Pennar, Jaan			Person		http://example.org/107467#Agent100-16	
Parming, Tönu			Parming, Tönu				Parming, Tönu			Person		http://example.org/107467#Agent700-27	
Rebane, P. Peter	no96023932	100	Rebane, P. Peter	no96023932	no96023932	0.9411764706	Rebane, P. Peter			Person		http://example.org/107467#Agent700-28	
Milne-Home, David, 1805-1890	n84134262	100	Milne-Home, David, 1805-1890	n84134262	n84134262	1	Milne-Home, David, 1805-1890			Person		http://example.org/1010788#Agent100-11	
Davies, Arthur B. (Arthur Bowen), 1862-1928	n79142810	100	Davies, Arthur B. (Arthur Bowen), 1862-1928	n79142810	n79142810	1	Davies, Arthur B. (Arthur Bowen), 1862-1928			Person		http://example.org/1087309#Agent100-11	
Price, F. Newlin (Frederic Newlin)	nr93033656	100	Price, F. Newlin (Frederic Newlin)	nr93033656	nr93033656	1	Price, F. Newlin (Frederic Newlin)			Person		http://example.org/1087309#Agent700-21	
Canaletto, 1697-1768	n79065963	100	Canaletto, 1697-1768	n79065963	n79065963	0.9523809524	Canaletto, 1697-1768			Person		http://example.org/1088365#Agent100-11	
Kainen, Jacob	n50045092	100	Kainen, Jacob	n50045092	n50045092	1	Kainen, Jacob			Person		http://example.org/1088365#Agent700-21	
Appleton, Sheldon	no2006108582	100	Appleton, Sheldon	no2006108582	no2006108582	1	Appleton, Sheldon			Person		http://example.org/1055060#Agent100-14	
United Nations	n79021345	100	United Nations		n79021345		United Nations	n79021345	0.9333333333	Organization		http://example.org/1055060#Agent610-22	
Mo, Di, active 400 B.C.	n79105731	100	Mo, Di, active 400 B.C	n79105731	n79105731	0.9565217391	Mo, Di, active 400 B.C			Person		http://example.org/109950#Agent100-12	
Mei, Yibao, 1900-	n83311069	100	Mei, Yibao, 1900-	n83311069	n83311069	1	Mei, Yibao, 1900-			Person		http://example.org/109950#Agent700-22	
Wilde, Norman, 1867-1936	n79100188	100	Wilde, Norman, 1867-1936	n79100188	n79100188	1	Wilde, Norman, 1867-1936			Person		http://example.org/1041434#Agent100-10	
Heermance, Edgar Laing, 1876-	n85158383	87	Heermance, Edgar Laing, 1876-				Heermance, Edgar Laing, 1876-			Person		http://example.org/1010789#Agent100-10	
Eckel, Malcolm W			Eckel, Malcolm W				Eckel, Malcolm W			Person		http://example.org/1010774#Agent100-14	
Fletcher, Joseph F.	n79126825	100	Fletcher, Joseph F	n79126825	n79126825	0.9473684211	Fletcher, Joseph F			Person		http://example.org/1018244#Agent100-13	
Stackhouse, Max L.	n50024390	100	Stackhouse, Max L	n50024390	n50024390	0.9444444444	Stackhouse, Max L			Person		http://example.org/1027518#Agent100-14	
Moberly, W. H. (Walter Hamilton), Sir, 1881-	no97069234	88	Moberly, W. H. (Walter Hamilton), Sir, 1881-				Moberly, W. H. (Walter Hamilton), Sir, 1881-			Person		http://example.org/1036507#Agent100-16	
Levy, Mark R.	n85176375	100	Levy, Mark R	n85176375	n85176375	0.9230769231	Levy, Mark R			Person		http://example.org/1044228#Agent100-14	
Kramer, Michael S.	no2010063318	100	Kramer, Michael S	no2010063318	no2010063318	0.9444444444	Kramer, Michael S			Person		http://example.org/1044228#Agent700-26	
Hawkins, Brett W.	n50025122	100	Hawkins, Brett W	n50025122	n50025122	0.9411764706	Hawkins, Brett W			Person		http://example.org/1043967#Agent100-15	
Lorinskas, Robert A			Lorinskas, Robert A				Lorinskas, Robert A			Person		http://example.org/1043967#Agent700-27	
Risley, Herbert Hope, Sir, 1851-1911	n81071729	100	Risley, Herbert Hope, Sir, 1851-1911	n81071729	n81071729	1	Risley, Herbert Hope, Sir, 1851-1911			Person		http://example.org/106435#Agent100-10	
Grierson, George Abraham, Sir, 1851-1941	n50031628	100	Grierson, George Abraham, Sir, 1851-1941	n50031628	n50031628	1	Grierson, George Abraham, Sir, 1851-1941			Person		http://example.org/106435#Agent700-22	
Crooke, William, 1848-1923	n50018384	100	Crooke, William, 1848-1923	n50018384	n50018384	1	Crooke, William, 1848-1923			Person		http://example.org/106435#Agent700-23	
Lopez, Raymond Henry	no96058935	100	Lopez, Raymond Henry	no96058935	no96058935	1	Lopez, Raymond Henry			Person		http://example.org/1005392#Agent100-12	
Papaioannou, Anaxagoras N			Papaioannou, Anaxagoras N				Papaioannou, Anaxagoras N			Person		http://example.org/1021725#Agent100-11	
Kerr, C. B. (Charles Baldwin), 1932-	n92096976	100	Kerr, C. B. (Charles Baldwin), 1932-	n92096976	n92096976	1	Kerr, C. B. (Charles Baldwin), 1932-			Person		http://example.org/1021854#Agent700-19	
Brown, Roy E. (Roy Edward), 1931-	n86833395	100	Brown, Roy E. (Roy Edward), 1931-	n86833395	n86833395	1	Brown, Roy E. (Roy Edward), 1931-			Person		http://example.org/1021854#Agent700-20	
Rucknagel, Donald L.	n85279418	100	Rucknagel, Donald L	n85279418	n85279418	0.95	Rucknagel, Donald L			Person		http://example.org/1021854#Agent700-21	
Morton, Edward	no2009195008	100	Morton, Edward				Morton, Edward			Person		http://example.org/1026410#Agent100-9	
Richardson, Emeline Hill	n50044923	100	Richardson, Emeline Hill				Richardson, Emeline Hill			Person		http://example.org/1076884#Agent100-16	
Pallottino, Massimo	n80086730	100	Pallottino, Massimo	n80086730	n80086730	1	Pallottino, Massimo			Person		http://example.org/1078187#Agent100-10	
Waltari, Mika, 1908-1979	n78095466	100	Waltari, Mika, 1908-1979	n78095466	n78095466	0.96	Waltari, Mika, 1908-1979			Person		http://example.org/1097565#Agent100-11	
Marcovici-Cléja, Simon	no97002158	98	Marcovici-Cléja, Simon	no97002158	no97002158	1	Marcovici-Cléja, Simon			Person		http://example.org/1017647#Agent100-11	
Park, Yoon S., 1935-	n50050321	100	Park, Yoon S., 1935-	n50050321	n50050321	1	Park, Yoon S., 1935-			Person		http://example.org/1015822#Agent100-12	
Einzig, Paul, 1897-1973	n50030288	100	Einzig, Paul, 1897-1973	n50030288	n50030288	0.9583333333	Einzig, Paul, 1897-1973			Person		http://example.org/1019745#Agent100-13	
Bell, Geoffrey, 1939-	n82085529	100	Bell, Geoffrey, 1939-	n82085529	n82085529	0.84	Bell, Geoffrey, 1939-			Person		http://example.org/1031037#Agent100-15	
Klopstock, Fred H.	no94014376	100	Klopstock, Fred H	no94014376	no94014376	0.9444444444	Klopstock, Fred H			Person		http://example.org/1019823#Agent100-11	
Clendenning, E. Wayne	no94014038	100	Clendenning, E. Wayne	no94014038	no94014038	0.9545454545	Clendenning, E. Wayne			Person		http://example.org/1019737#Agent100-15	
Martenson, G. Carroll			Martenson, G. Carroll				Martenson, G. Carroll			Person		http://example.org/1017271#Agent100-10	
Prochnow, Herbert V. (Herbert Victor), 1897-1998	n50021445	100	Prochnow, Herbert V. (Herbert Victor), 1897-1998	n50021445	n50021445	1	Prochnow, Herbert V. (Herbert Victor), 1897-1998			Person		http://example.org/1019747#Agent700-21	
Bernstein, Edward M. (Edward Morris), 1904-1996	n84183463	100	Bernstein, Edward M. (Edward Morris), 1904-1996	n84183463	n84183463	1	Bernstein, Edward M. (Edward Morris), 1904-1996			Person		http://example.org/1019747#Agent700-22	
Alexandrowicz, Charles Henry	n50033333	100	Alexandrowicz, Charles Henry	n50033333	n50033333	1	Alexandrowicz, Charles Henry			Person		http://example.org/1022774#Agent100-12	
Macbeath, Innis	n50037438	100	Macbeath, Innis	n50037438	n50037438	1	Macbeath, Innis			Person		http://example.org/1015502#Agent100-14	
Bolton, George Lewis French, Sir, 1900-			Bolton, George Lewis French, Sir, 1900-				Bolton, George Lewis French, Sir, 1900-			Person		http://example.org/1019749#Agent700-24	
Federal Trust for Education and Research	n80069003	100	Federal Trust for Education and Research		n80069003		Federal Trust for Education and Research	n80069003	0.9756097561	Organization		http://example.org/1019749#Agent710-25	
Federal Trust for Education and Research	n80069003	100	Federal Trust for Education and Research		n80069003		Federal Trust for Education and Research	n80069003	0.9756097561	Organization		http://example.org/1019749#Agent810-26	
Armand, Louis, 1905-1971	n79063757	100	Armand, Louis, 1905-1971	n79063757	n79063757	1	Armand, Louis, 1905-1971			Person		http://example.org/1047844#Agent100-14	
Drancourt, Michel	n50027228	100	Drancourt, Michel	n50027228	n50027228	1	Drancourt, Michel			Person		http://example.org/1047844#Agent700-31	
Camps, Miriam	n81005232	100	Camps, Miriam	n81005232	n81005232	0.9285714286	Camps, Miriam			Person		http://example.org/1010105#Agent100-11	
European Economic Community	n79054869	100	European Economic Community		n79054869		European Economic Community	n79054869	0.9642857143	Organization		http://example.org/1010105#Agent610-19	
Camps, Miriam	n81005232	100	Camps, Miriam	n81005232	n81005232	0.9285714286	Camps, Miriam			Person		http://example.org/1010110#Agent100-10	
European Economic Community	n79054869	100	European Economic Community		n79054869		European Economic Community	n79054869	0.9642857143	Organization		http://example.org/1010110#Agent610-18	
Committee for Economic Development	n79075287	100	Committee for Economic Development				Committee for Economic Development			Organization		http://example.org/1010114#Agent110-10	
Europe			Europe				Europe			Organization		http://example.org/1010114#Agent610-19	
Comité européen pour le progrès économique et social	n80104762	96	Comité européen pour le progrès économique et social		n80104762		Comité européen pour le progrès économique et social	n80104762	0.9811320755	Organization		http://example.org/1010114#Agent710-20	
European Economic Community	n79054869	100	European Economic Community		n79054869		European Economic Community	n79054869	0.9642857143	Organization		http://example.org/1010114#Agent710-21	
Frank, Isaiah, 1917-2006	n79139701	100	Frank, Isaiah, 1917-2006	n79139701	n79139701	1	Frank, Isaiah, 1917-2006			Person		http://example.org/1010139#Agent100-11	
Europe			Europe				Europe			Organization		http://example.org/1010139#Agent610-19	
Mally, Gerhard	no97000606	100	Mally, Gerhard	no97000606	no97000606	0.9333333333	Mally, Gerhard			Person		http://example.org/1047857#Agent100-13	
Everts, Philip P.	n81100524	100	Everts, Philip P	n81100524	n81100524	0.9411764706	Everts, Philip P			Person		http://example.org/1017729#Agent700-20	
