Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Bernart, de Ventadorn, active 12th century	n84149890	100	Bernart, de Ventadorn, active 12th century	n84149890	n84149890	0.9545454545	Bernart, de Ventadorn, active 12th century			Person		http://example.org/1093024#Agent100-10	
Nichols, Stephen G.	n82058662	100	Nichols, Stephen G	n82058662	n82058662	0.9473684211	Nichols, Stephen G			Person		http://example.org/1093024#Agent700-19	
Gibb, Robert Wilson, 1893-			Gibb, Robert Wilson, 1893-				Gibb, Robert Wilson, 1893-			Person		http://example.org/1040333#Agent100-10	
Choruses, Secular (Mixed voices, 3 pts.) with piano			Choruses, Secular (Mixed voices, 3 pts.) with piano				Choruses, Secular (Mixed voices, 3 pts.) with piano			Person		http://example.org/1040333#Agent600-17	
Herbert, Victor, 1859-1924	n79105792	100	Herbert, Victor, 1859-1924	n79105792	n79105792	1	Herbert, Victor, 1859-1924			Person		http://example.org/1040939#Agent100-10	
Bartlett, Ella Herbert	no93023206	100	Bartlett, Ella Herbert	no93023206	no93023206	1	Bartlett, Ella Herbert			Person		http://example.org/1040939#Agent700-18	
Bush, Margaret	no2008174338	100	Bush, Margaret				Bush, Margaret			Person		http://example.org/1040939#Agent700-19	
Dagg, Mel, 1941-			Dagg, Mel, 1941-				Dagg, Mel, 1941-			Person		http://example.org/1069761#Agent100-9	
Reoch, Richard	n91011410	100	Reoch, Richard	n91011410	n91011410	1	Reoch, Richard			Person		http://example.org/1023216#Agent100-9	
Cole, Harriet	n92101242	92	Cole, Harriet				Cole, Harriet			Person		http://example.org/1011226#Agent100-9	
Gelineau, R. Phyllis	n85333392	100	Gelineau, R. Phyllis	n85333392	n85333392	1	Gelineau, R. Phyllis			Person		http://example.org/1045323#Agent100-14	
Vanoverbergh, Morice	n86804022	100	Vanoverbergh, Morice	n86804022	n86804022	0.9523809524	Vanoverbergh, Morice			Person		http://example.org/1099428#Agent100-10	
O'Donnell, John P	n82092353	94	O'Donnell, John P				O'Donnell, John P			Person		http://example.org/1010969#Agent100-9	
Anderson, Hugh	n50022371	100	Anderson, Hugh	n50022371	n50022371	1	Anderson, Hugh			Person		http://example.org/1083275#Agent100-10	
Dunsmore, J. M			Dunsmore, J. M				Dunsmore, J. M			Person		http://example.org/1069336#Agent100-9	
Silber, Irwin, 1925-2010	n86001816	100	Silber, Irwin, 1925-2010	n86001816	n86001816	1	Silber, Irwin, 1925-2010			Person		http://example.org/1051318#Agent100-13	
Blake, William, 1757-1827	n78095331	100	Blake, William, 1757-1827	n78095331	n78095331	0.9615384615	Blake, William, 1757-1827			Person		http://example.org/1020292#Agent100-9	
Krone, Beatrice Perham, 1901-2000	no90017229	100	Krone, Beatrice Perham, 1901-2000	no90017229	no90017229	1	Krone, Beatrice Perham, 1901-2000			Person		http://example.org/1040321#Agent100-11	
Ostlund, Ruth Vivian			Ostlund, Ruth Vivian				Ostlund, Ruth Vivian			Person		http://example.org/1040321#Agent700-20	
Denisoff, R. Serge	n50074499	100	Denisoff, R. Serge	n50074499	n50074499	1	Denisoff, R. Serge			Person		http://example.org/1062589#Agent100-12	
Krone, Beatrice Perham, 1901-2000	no90017229	100	Krone, Beatrice Perham, 1901-2000	no90017229	no90017229	1	Krone, Beatrice Perham, 1901-2000			Person		http://example.org/1040323#Agent100-11	
Ostlund, Ruth Vivian			Ostlund, Ruth Vivian				Ostlund, Ruth Vivian			Person		http://example.org/1040323#Agent700-20	
Gaynor, Jessie Lovel (Smith), 1863-1921	no90009768	83	Gaynor, Jessie Lovel (Smith), 1863-1921				Gaynor, Jessie Lovel (Smith), 1863-1921			Person		http://example.org/1002468#Agent100-10	
Riley, Alice C. D. (Alice Cushing Donaldson), 1867-1953	no90013262	100	Riley, Alice C. D. (Alice Cushing Donaldson), 1867-1953	no90013262	no90013262	1	Riley, Alice C. D. (Alice Cushing Donaldson), 1867-1953			Person		http://example.org/1002468#Agent700-20	
Fenwick, G. Roy (George Roy)	no93006926	100	Fenwick, G. Roy (George Roy)	no93006926	no93006926	1	Fenwick, G. Roy (George Roy)			Person		http://example.org/1042173#Agent100-11	
Gibbon, John Murray, 1875-1952	n87116365	100	Gibbon, John Murray, 1875-1952	n87116365	n87116365	1	Gibbon, John Murray, 1875-1952			Person		http://example.org/1042173#Agent700-20	
Paige, Harry W., 1922-	n82032439	100	Paige, Harry W., 1922-	n82032439	n82032439	1	Paige, Harry W., 1922-			Person		http://example.org/1082868#Agent100-12	
Burrows, Edwin Grant			Burrows, Edwin Grant				Burrows, Edwin Grant			Person		http://example.org/1083276#Agent100-10	
Borror, Donald Joyce, 1907-1988	n50048231	87	Borror, Donald Joyce, 1907-1988				Borror, Donald Joyce, 1907-1988			Person		http://example.org/103207#Agent100-11	
Wright, Frances	no99012242	100	Wright, Frances				Wright, Frances			Person		http://example.org/1081978#Agent100-10	
Lossing, Laverna Lucy, 1884- 			Lossing, Laverna Lucy, 1884- 				Lossing, Laverna Lucy, 1884- 			Person		http://example.org/1081978#Agent700-20	
Columbia University	n81024714	100	Columbia University		n81024714		Columbia University	n81024714	0.95	Organization		http://example.org/1081978#Agent810-21	
Dorn, Edward	n82006333	100	Dorn, Edward	n82006333	n82006333	1	Dorn, Edward			Person		http://example.org/1026408#Agent100-9	
Hogg, James, 1770-1835	n80062998	100	Hogg, James, 1770-1835	n80062998	n80062998	1	Hogg, James, 1770-1835			Person		http://example.org/1022428#Agent100-9	
Russell, Vera E., 1895-			Russell, Vera E., 1895-				Russell, Vera E., 1895-			Person		http://example.org/1042158#Agent100-10	
Rasulov, Rasul			Rasulov, Rasul				Rasulov, Rasul			Person		http://example.org/1014020#Agent700-17	
Tailhade, Laurent, 1854-1919	n82116360	100	Tailhade, Laurent, 1854-1919	n82116360	n82116360	1	Tailhade, Laurent, 1854-1919			Person		http://example.org/1055840#Agent100-9	
Ralph, Raoul	nr99034339	100	Ralph, Raoul				Ralph, Raoul			Person		http://example.org/1055840#Agent700-17	
Schlendrian			Schlendrian				Schlendrian			Person		http://example.org/1050686#Agent100-9	
Cabell, James Branch, 1879-1958	n80039689	100	Cabell, James Branch, 1879-1958	n80039689	n80039689	1	Cabell, James Branch, 1879-1958			Person		http://example.org/1020434#Agent100-11	
Oddy, G. S			Oddy, G. S				Oddy, G. S			Person		http://example.org/1012096#Agent100-9	
Wood, Charles Erskine Scott, 1852-1944	n82132745	100	Wood, Charles Erskine Scott, 1852-1944	n82132745	n82132745	1	Wood, Charles Erskine Scott, 1852-1944			Person		http://example.org/1023595#Agent100-10	
León, María Teresa	n80035708	94	León, María Teresa				León, María Teresa			Person		http://example.org/1068930#Agent100-11	
Alberti, Rafael, 1902-1999	n79021551	100	Alberti, Rafael, 1902-1999	n79021551	n79021551	0.962962963	Alberti, Rafael, 1902-1999			Person		http://example.org/1068930#Agent700-20	
Ross, Ishbel, 1897-1975	n50047737	100	Ross, Ishbel, 1897-1975	n50047737	n50047737	1	Ross, Ishbel, 1897-1975			Person		http://example.org/1031775#Agent100-13	
Villiers, Alan, 1903-1982	n50014468	100	Villiers, Alan, 1903-1982	n50014468	n50014468	1	Villiers, Alan, 1903-1982			Person		http://example.org/1063337#Agent100-9	
Goldrich, Daniel	no00007784	100	Goldrich, Daniel	no00007784	no00007784	1	Goldrich, Daniel			Person		http://example.org/1046067#Agent100-11	
Voloshyn, Ivan Ivanovych			Voloshyn, Ivan Ivanovych				Voloshyn, Ivan Ivanovych			Person		http://example.org/1095670#Agent100-10	
Grabhorn Press	n50071770	100	Grabhorn Press		n50071770		Grabhorn Press	n50071770	1	Organization		http://example.org/1020406#Agent110-10	
De Kolb, Eric	n88631119	100	De Kolb, Eric	n88631119	n88631119	1	De Kolb, Eric			Person		http://example.org/1089047#Agent100-11	
Kozlov, I͡Uriĭ Markovich	n82080317	88	Kozlov, I͡Uriĭ Markovich				Kozlov, I͡Uriĭ Markovich			Person		http://example.org/1050855#Agent100-11	
Orlovskiĭ, Ilʹi͡a Aleksandrovich			Orlovskiĭ, Ilʹi͡a Aleksandrovich				Orlovskiĭ, Ilʹi͡a Aleksandrovich			Person		http://example.org/1000035#Agent100-11	
Sergeeva, G. P. (Galina Petrovna)	n87904029	100	Sergeeva, G. P. (Galina Petrovna)	n87904029	n87904029	1	Sergeeva, G. P. (Galina Petrovna)			Person		http://example.org/1000035#Agent700-21	
Kucherov, Ivan Danilovich			Kucherov, Ivan Danilovich				Kucherov, Ivan Danilovich			Person		http://example.org/1035072#Agent100-10	
Lieb, Fritz, 1892-1970	nr91010989	100	Lieb, Fritz, 1892-1970	nr91010989	nr91010989	1	Lieb, Fritz, 1892-1970			Person		http://example.org/105845#Agent100-10	
Rohkrämer, Martin, 1922-1991	n97113714	98	Rohkrämer, Martin, 1922-1991	n97113714	n97113714	1	Rohkrämer, Martin, 1922-1991			Person		http://example.org/105845#Agent700-20	
Lennox, Charlotte, approximately 1729-1804	n50049767	100	Lennox, Charlotte, approximately 1729-1804	n50049767	n50049767	1	Lennox, Charlotte, approximately 1729-1804			Person		http://example.org/1079292#Agent100-11	
Jung, Franz, 1888-1963	n81040543	100	Jung, Franz, 1888-1963	n81040543	n81040543	1	Jung, Franz, 1888-1963			Person		http://example.org/1014609#Agent100-9	
Sternberg, Jacques	n50022534	100	Sternberg, Jacques	n50022534	n50022534	1	Sternberg, Jacques			Person		http://example.org/100021#Agent100-10	
Monteilhet, Hubert	n50004240	100	Monteilhet, Hubert	n50004240	n50004240	1	Monteilhet, Hubert			Person		http://example.org/106509#Agent100-9	
Bowra, C. M. (Cecil Maurice), 1898-1971	n80077870	100	Bowra, C. M. (Cecil Maurice), 1898-1971	n80077870	n80077870	1	Bowra, C. M. (Cecil Maurice), 1898-1971			Person		http://example.org/1090645#Agent100-11	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090645#Agent600-19	
Méautis, Georges, 1890-1970	n91123735	98	Méautis, Georges, 1890-1970	n91123735	n91123735	1	Méautis, Georges, 1890-1970			Person		http://example.org/1090653#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090653#Agent600-18	
Ronnet, Gilberte	no2004047719	100	Ronnet, Gilberte	no2004047719	no2004047719	0.9411764706	Ronnet, Gilberte			Person		http://example.org/1090657#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090657#Agent600-18	
Opstelten, J. C. (Johannes Cornelis), 1891-	n2001020762	100	Opstelten, J. C. (Johannes Cornelis), 1891-	n2001020762	n2001020762	0.976744186	Opstelten, J. C. (Johannes Cornelis), 1891-			Person		http://example.org/1090654#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090654#Agent600-19	
Gellie, G. H. (George Henry)	no2004034710	100	Gellie, G. H. (George Henry)	no2004034710	no2004034710	1	Gellie, G. H. (George Henry)			Person		http://example.org/1065588#Agent100-12	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1065588#Agent600-20	
Whitman, Cedric Hubbell	n82043635	100	Whitman, Cedric Hubbell	n82043635	n82043635	1	Whitman, Cedric Hubbell			Person		http://example.org/1091840#Agent100-15	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1091840#Agent600-23	
Kitto, H. D. F. (Humphrey Davy Findley)	n50047213	100	Kitto, H. D. F. (Humphrey Davy Findley)	n50047213	n50047213	0.9487179487	Kitto, H. D. F. (Humphrey Davy Findley)			Person		http://example.org/1090650#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090650#Agent600-18	
Adams, Sinclair MacLardy, 1891-	no2015142439	86	Adams, Sinclair MacLardy, 1891-				Adams, Sinclair MacLardy, 1891-			Person		http://example.org/1090644#Agent100-11	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090644#Agent600-19	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090623#Agent100-10	
Campbell, Lewis, 1830-1908	n50030943	100	Campbell, Lewis, 1830-1908	n50030943	n50030943	1	Campbell, Lewis, 1830-1908			Person		http://example.org/1090623#Agent700-18	
Germain, Gabriel	n82125197	100	Germain, Gabriel				Germain, Gabriel			Person		http://example.org/1090648#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090648#Agent600-18	
Bourberēs, Kōnstantinos I., 1899-			Bourberēs, Kōnstantinos I., 1899-				Bourberēs, Kōnstantinos I., 1899-			Person		http://example.org/1021338#Agent100-9	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1021338#Agent600-19	
Hellenikē Anthrōpistikē Hetaireia	nr98018305	94	Hellenikē Anthrōpistikē Hetaireia		nr98018305		Hellenikē Anthrōpistikē Hetaireia	nr98018305	0.9696969697	Organization		http://example.org/1021338#Agent810-21	
Müller, Heiner, 1929-1995	n79081711	98	Müller, Heiner, 1929-1995	n79081711	n79081711	0.9615384615	Müller, Heiner, 1929-1995			Person		http://example.org/1090632#Agent100-10	
Sophocles	n79127755	100	Sophocles	n79127755	n79127755	0.9	Sophocles			Person		http://example.org/1090632#Agent600-19	
