Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Andrew, Warren, 1910-1982	n85801478	100	Andrew, Warren, 1910-1982	n85801478	n85801478	1	Andrew, Warren, 1910-1982			Person		http://example.org/1023798#Agent100-15	
Hickman, Cleveland Pendleton, 1895-			Hickman, Cleveland Pendleton, 1895-				Hickman, Cleveland Pendleton, 1895-			Person		http://example.org/1023798#Agent700-25	
Boulton, Alfredo	n50045284	100	Boulton, Alfredo	n50045284	n50045284	1	Boulton, Alfredo			Person		http://example.org/1092538#Agent100-11	
Piwocki, Ksawery	n83145592	100	Piwocki, Ksawery	n83145592	n83145592	1	Piwocki, Ksawery			Person		http://example.org/1078186#Agent100-10	
Akademia Sztuk Pięknych w Warszawie	n81128406	99	Akademia Sztuk Pięknych w Warszawie		n81128406		Akademia Sztuk Pięknych w Warszawie	n81128406	0.9444444444	Organization		http://example.org/1078186#Agent610-19	
Vergil, Polydore, 1470?-1555	n50014328	100	Vergil, Polydore, 1470?-1555	n50014328	n50014328	1	Vergil, Polydore, 1470?-1555			Person		http://example.org/1012448#Agent100-12	
Apollonius of Tyre			Apollonius of Tyre				Apollonius of Tyre			Organization		http://example.org/1089965#Agent110-10	
Riese, Alexander, 1840-1922	n85297365	100	Riese, Alexander, 1840-1922	n85297365	n85297365	1	Riese, Alexander, 1840-1922			Person		http://example.org/1089965#Agent700-18	
Galletti, Alfredo, 1912-			Galletti, Alfredo, 1912-				Galletti, Alfredo, 1912-			Person		http://example.org/1046085#Agent100-11	
Sopeña Ibáñez, Federico, 1917-1991	n79115280	95	Sopeña Ibáñez, Federico, 1917-1991	n79115280	n79115280	1	Sopeña Ibáñez, Federico, 1917-1991			Person		http://example.org/1083448#Agent100-10	
Conservatorio Superior de Música	n84186607	84	Conservatorio Superior de Música				Conservatorio Superior de Música			Organization		http://example.org/1083448#Agent610-18	
Puiggrós, Rodolfo, 1906-1980	n88232712	98	Puiggrós, Rodolfo, 1906-1980	n88232712	n88232712	1	Puiggrós, Rodolfo, 1906-1980			Person		http://example.org/1046124#Agent100-11	
Silva Neto, Serafim da, 1917-1960	n80152925	100	Silva Neto, Serafim da, 1917-1960	n80152925	n80152925	0.9411764706	Silva Neto, Serafim da, 1917-1960			Person		http://example.org/1005476#Agent100-10	
