Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Frank, Benjamin, 1904- 			Frank, Benjamin, 1904- 				Frank, Benjamin, 1904- 			Person		http://example.org/1055908#Agent100-15	
Tappan, Paul W. (Paul Wilbur), 1911- 	n88071145	92	Tappan, Paul W. (Paul Wilbur), 1911- 	n88071145	n88071145	0.9	Tappan, Paul W. (Paul Wilbur), 1911- 			Person		http://example.org/1035635#Agent100-10	
Tidball, Harriet	n84155788	100	Tidball, Harriet	n84155788	n84155788	1	Tidball, Harriet			Person		http://example.org/1077179#Agent100-10	
Seliger, Robert Victor, 1900- 			Seliger, Robert Victor, 1900- 				Seliger, Robert Victor, 1900- 			Person		http://example.org/1035296#Agent100-10	
Lukas, Edwin J. (Edwin Jay), 1902-1973	n90720577	100	Lukas, Edwin J. (Edwin Jay), 1902-1973	n90720577	n90720577	1	Lukas, Edwin J. (Edwin Jay), 1902-1973			Person		http://example.org/1035296#Agent700-21	
Lindner, Robert Mitchell, 1914-1956	n82050709	100	Lindner, Robert Mitchell, 1914-1956	n82050709	n82050709	1	Lindner, Robert Mitchell, 1914-1956			Person		http://example.org/1035296#Agent700-22	
Ozmon, Howard	n50051546	100	Ozmon, Howard	n50051546	n50051546	0.9285714286	Ozmon, Howard			Person		http://example.org/1059406#Agent100-15	
Heath, Dwight B.	n50025635	100	Heath, Dwight B	n50025635	n50025635	0.9375	Heath, Dwight B			Person		http://example.org/1027638#Agent100-15	
Adams, Richard N. (Richard Newbold), 1924-	n79115926	100	Adams, Richard N. (Richard Newbold), 1924-	n79115926	n79115926	1	Adams, Richard N. (Richard Newbold), 1924-			Person		http://example.org/1027638#Agent700-27	
Gardavský, Čeněk	nr2001047679	89	Gardavský, Čeněk	nr2001047679	nr2001047679	1	Gardavský, Čeněk			Person		http://example.org/1007235#Agent100-12	
Kappel, Vagn	no97027584	100	Kappel, Vagn	no97027584	no97027584	0.9230769231	Kappel, Vagn			Person		http://example.org/1082452#Agent100-14	
