Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4
Richards, Ian	n88073780	100	Richards, Ian				Richards, Ian			Person		http://example.org/1084268#Agent100-14
Cappi Bentivegna, Ferruccia	no2001060952	100	Cappi Bentivegna, Ferruccia	no2001060952	no2001060952	0.9642857142857143	Cappi Bentivegna, Ferruccia			Person		http://example.org/1086629#Agent700-20
Yeomans, Henry Aaron, 1877-			Yeomans, Henry Aaron, 1877-				Yeomans, Henry Aaron, 1877-			Person		http://example.org/1072070#Agent100-10
Lowell, A. Lawrence (Abbott Lawrence), 1856-1943	n50040391	100	Lowell, A. Lawrence (Abbott Lawrence), 1856-1943	n50040391	n50040391	1	Lowell, A. Lawrence (Abbott Lawrence), 1856-1943			Person		http://example.org/1072070#Agent600-18
Geiss, Heinz	n85811968	100	Geiss, Heinz	n85811968	n85811968	0.9230769230769231	Geiss, Heinz			Person		http://example.org/1089763#Agent100-15
Deutsche Akademie der Wissenschaften zu Berlin. Sektion für Altertumswissenschaft	n82070474	99	Deutsche Akademie der Wissenschaften zu Berlin. Sektion für Altertumswissenschaft		n82070474		Deutsche Akademie der Wissenschaften zu Berlin. Sektion für Altertumswissenschaft	n82070474	0.975609756097561	Organization		http://example.org/1089763#Agent810-27
De Sola, Ralph, 1908-1993	n50040418	100	De Sola, Ralph, 1908-1993	n50040418	n50040418	1	De Sola, Ralph, 1908-1993			Person		http://example.org/1019263#Agent100-16
United States. Joint Publications Research Service	n50064770	100	United States. Joint Publications Research Service		n50064770		United States. Joint Publications Research Service	n50064770	1	Jurisdiction		http://example.org/1089475#Agent110-13
United States. Joint Publications Research Service	n50064770	100	United States. Joint Publications Research Service		n50064770		United States. Joint Publications Research Service	n50064770	1	Jurisdiction		http://example.org/1089476#Agent110-13
Leipert, Josef			Leipert, Josef				Leipert, Josef			Person		http://example.org/1058475#Agent100-11
Bacal, Jacques W., 1906-	no2016086841	100	Bacal, Jacques W., 1906-	no2016086841	no2016086841	1	Bacal, Jacques W., 1906-			Person		http://example.org/1029943#Agent100-11
Sloane, Louise, 1908-	no2016086755	100	Sloane, Louise, 1908-	no2016086755	no2016086755	1	Sloane, Louise, 1908- 			Person		http://example.org/1029943#Agent700-21
Engelbrecht, Anton, approximately 1485-1558	no2007107397	100	Engelbrecht, Anton, approximately 1485-1558	no2007107397	no2007107397	1	Engelbrecht, Anton, approximately 1485-1558			Person		http://example.org/1013791#Agent100-11
Bellardi, Werner	n96061912	100	Bellardi, Werner	n96061912	n96061912	1	Bellardi, Werner			Person		http://example.org/1013791#Agent700-20
Bureau of National Affairs (Washington, D.C.)	n79034822		Bureau of National Affairs (Washington, D.C.)		n79034822		Bureau of National Affairs (Washington, D.C.)	n79034822	0.8444444444444444	Organization		http://example.org/1078766#Agent110-11
Mannino, Philip			Mannino, Philip				Mannino, Philip			Person		http://example.org/1061260#Agent100-10
Mangi, Jean	no99071777	100	Mangi, Jean	no99071777	no99071777	1	Mangi, Jean			Person		http://example.org/100981#Agent100-10
Abrams, Kathie	n81016671	100	Abrams, Kathie	n81016671	n81016671	1	Abrams, Kathie			Person		http://example.org/100981#Agent700-22
Le Camus, Antoine, 1722-1772	nr93020280	100	Le Camus, Antoine, 1722-1772	nr93020280	nr93020280	1	Le Camus, Antoine, 1722-1772			Person		http://example.org/1079085#Agent100-12
Abd el-Krim, 1883?-1963	n50057528	95	Abd el-Krim, 1883?-1963	n50057528	n50057528	0.8260869565217391	Abd el-Krim, 1883?-1963			Person		http://example.org/104615#Agent600-17
Kalisch, Jules R.	n50046196	100	Kalisch, Jules R	n50046196	n50046196	0.9411764705882353	Kalisch, Jules R			Person		http://example.org/1058750#Agent100-10
Williams, Harold, 1921-	n50015724	100	Williams, Harold, 1921- 	n50015724	n50015724	1	Williams, Harold, 1921- 			Person		http://example.org/1058750#Agent700-21
Maingot, Rodney, 1893-1982	n84025479	100	Maingot, Rodney, 1893-1982	n84025479	n84025479	1	Maingot, Rodney, 1893-1982			Person		http://example.org/1021703#Agent100-11
Holm, Hans Henrik	n80070639	100	Holm, Hans Henrik	n80070639	n80070639	1	Holm, Hans Henrik			Person		http://example.org/101175#Agent700-20
Czechoslovakia. Ústřední správa spojů			Czechoslovakia. Ústřední správa spojů				Czechoslovakia. Ústřední správa spojů			Jurisdiction		http://example.org/1003606#Agent110-11
Funk, Robert Walter, 1926-2005	n50015377	86	Funk, Robert Walter, 1926-2005				Funk, Robert Walter, 1926-2005			Person		http://example.org/1079562#Agent100-16
Wright, Jack, 1933-	n50028670	100	Wright, Jack, 1933-	n50028670	n50028670	1	Wright, Jack, 1933-			Person		http://example.org/1057356#Agent100-12
James, Ralph E.	no2004080678	100	James, Ralph E				James, Ralph E			Person		http://example.org/1057356#Agent700-23
Baird, Joseph Hugh			Baird, Joseph Hugh				Baird, Joseph Hugh			Person		http://example.org/1078835#Agent700-17
Compayré, Gabriel, 1843-1913	n50031444	98	Compayré, Gabriel, 1843-1913	n50031444	n50031444	0.9655172413793104	Compayré, Gabriel, 1843-1913			Person		http://example.org/1058048#Agent100-12
Abelard, Peter, 1079-1142	n79142562	100	Abelard, Peter, 1079-1142	n79142562	n79142562	1	Abelard, Peter, 1079-1142			Person		http://example.org/1058048#Agent600-21
Wroth, Lawrence C. (Lawrence Counselman), 1884-1970	n83013542	100	Wroth, Lawrence C. (Lawrence Counselman), 1884-1970	n83013542	n83013542	1	Wroth, Lawrence C. (Lawrence Counselman), 1884-1970			Person		http://example.org/1088984#Agent100-10
Buell, Abel, 1742-1822	no88002216	100	Buell, Abel, 1742-1822	no88002216	no88002216	1	Buell, Abel, 1742-1822			Person		http://example.org/1088984#Agent600-19
Abeles Symposium: Fatigue of Concrete (1972-1973 : Hollywood, Fla. and Atlantic City, N.J.)			Abeles Symposium: Fatigue of Concrete (1972-1973 : Hollywood, Fla. and Atlantic City, N.J.)				Abeles Symposium: Fatigue of Concrete (1972-1973 : Hollywood, Fla. and Atlantic City, N.J.)			Meeting		http://example.org/1060003#Agent111-10
American Concrete Institute. Committee 215			American Concrete Institute. Committee 215				American Concrete Institute. Committee 215			Organization		http://example.org/1060003#Agent710-21
Jeanne, René, 1887-			Jeanne, René, 1887-				Jeanne, René, 1887-			Person		http://example.org/1048395#Agent100-10
Gance, Abel	n82080740	100	Gance, Abel	n82080740	n82080740	0.9166666666666666	Gance, Abel			Person		http://example.org/1048395#Agent600-19
Ford, Charles, 1908-1989	n50024810	100	Ford, Charles, 1908-1989	n50024810	n50024810	1	Ford, Charles, 1908-1989			Person		http://example.org/1048395#Agent700-20
Popescu, Nicolae	n83214098	100	Popescu, Nicolae	n84235077	n84235077	0.8421052631578947	Popescu, Nicolae			Person		http://example.org/106320#Agent100-11
Hazewinkel, Michiel	n81068587	100	Hazewinkel, Michiel	n81068587	n81068587	0.95	Hazewinkel, Michiel			Person		http://example.org/1010875#Agent100-10
Auslander, Louis	n79053899	100	Auslander, Louis	n79053899	n79053899	1	Auslander, Louis			Person		http://example.org/1075536#Agent100-11
Tolimieri, Richard, 1940-	n88164030	100	Tolimieri, Richard, 1940- 	n88164030	n88164030	0.8620689655172413	Tolimieri, Richard, 1940- 			Person		http://example.org/1075536#Agent700-24
Tasman, Abel Janszoon, 1603?-1659	n85114957	100	Tasman, Abel Janszoon, 1603?-1659	n85114957	n85114957	1	Tasman, Abel Janszoon, 1603?-1659			Person		http://example.org/1010132#Agent100-10
Curnow, Allen, 1911-2001	n50018549	100	Curnow, Allen, 1911-2001	n50018549	n50018549	1	Curnow, Allen, 1911-2001			Person		http://example.org/1010132#Agent700-22
Beaglehole, J. C. (John Cawte)	n50005709	100	Beaglehole, J. C. (John Cawte)	n50005709	n50005709	0.9666666666666667	Beaglehole, J. C. (John Cawte)			Person		http://example.org/1010132#Agent700-23
Anderson, William Dickson			Anderson, William Dickson				Anderson, William Dickson			Person		http://example.org/1005737#Agent100-10
Bibb Manufacturing Company	no91019712	100	Bibb Manufacturing Company		no91019712		Bibb Manufacturing Company	no91019712	1	Organization		http://example.org/1005737#Agent610-18
Boar, Bernard H., 1947-	n83175250	100	Boar, Bernard H., 1947-	n83175250	n83175250	1	Boar, Bernard H., 1947-			Person		http://example.org/104511#Agent100-11
Österreichische Nationalbibliothek	n79068404	99	Österreichische Nationalbibliothek		n79068404		Österreichische Nationalbibliothek	n79068404	1	Organization		http://example.org/1087071#Agent110-11
Unterkircher, Franz	n50046265	100	Unterkircher, Franz				Unterkircher, Franz			Person		http://example.org/1087071#Agent700-20
Verdross, Alfred, 1890-1980	n50014356	100	Verdross, Alfred, 1890-1980	n50014356	n50014356	1	Verdross, Alfred, 1890-1980			Person		http://example.org/1043705#Agent100-10
Messner, Stephen D.	n50036941	100	Messner, Stephen D	n50036941	n50036941	0.9473684210526315	Messner, Stephen D			Person		http://example.org/1030489#Agent100-11
Miller, Joan B	n79067189	87	Miller, Joan B				Miller, Joan B			Person		http://example.org/1069291#Agent100-12
Seixas, Carlos, 1704-1742	n79150264	100	Seixas, Carlos, 1704-1742	n79150264	n79150264	1	Seixas, Carlos, 1704-1742			Person		http://example.org/1053039#Agent100-10
Salzmann, Pierre	no92003919	100	Salzmann, Pierre	no92003919	no92003919	1	Salzmann, Pierre			Person		http://example.org/1053039#Agent700-21
Reid, John Phillip	n79144624	100	Reid, John Phillip	n79144624	n79144624	1	Reid, John Phillip			Person		http://example.org/105001#Agent100-11
