Column 1	LC-ID	match-ID	score	VIAF-C	VIAF-IDC	score-c	org	Column 3	Column 4	blank
Pattison, Mark, 1813-1884.	134317	134317	0.9615384615	Pattison, Mark, 1813-1884.			Person		http://example.org/1026182#Agent100-12	
Estienne family.	316574896	316574896	0.9375	Estienne family.			Family		http://example.org/1026182#Agent600-24	
Grabhorn, Robert.	305853501	305853501	0.9411764706	Grabhorn, Robert.			Person		http://example.org/1026182#Agent700-26	
Adair, Bryan.	75210613	75210613	0.9230769231	Adair, Bryan.			Person		http://example.org/104356#Agent100-11	
Hammer, Thomas Ross.				Hammer, Thomas Ross.			Person		http://example.org/1077165#Agent100-9	
Pennar, Jaan.	38158189	38158189	0.9230769231	Pennar, Jaan.			Person		http://example.org/107467#Agent100-16	
Parming, Tönu.,				Parming, Tönu.,			Person		http://example.org/107467#Agent700-27	
Rebane, P. Peter,	66063375	66063375	0.9411764706	Rebane, P. Peter,			Person		http://example.org/107467#Agent700-28	
Milne-Home, David, 1805-1890.	23544978	23544978	0.9655172414	Milne-Home, David, 1805-1890.			Person		http://example.org/1010788#Agent100-11	
Davies, Arthur B. (Arthur Bowen), 1862-1928.				Davies, Arthur B. (Arthur Bowen), 1862-1928.			Person		http://example.org/1087309#Agent100-11	
Price, F. Newlin (Frederic Newlin),	71265946	71265946	0.9714285714	Price, F. Newlin (Frederic Newlin),			Person		http://example.org/1087309#Agent700-21	
Canaletto, 1697-1768.	88652637	88652637	1	Canaletto, 1697-1768.			Person		http://example.org/1088365#Agent100-11	
Kainen, Jacob.	52494130	52494130	0.9285714286	Kainen, Jacob.			Person		http://example.org/1088365#Agent700-21	
Appleton, Sheldon.	9607349	9607349	0.9444444444	Appleton, Sheldon.			Person		http://example.org/1055060#Agent100-14	
United Nations		144904638		United Nations	144904638	0.9333333333	Organization		http://example.org/1055060#Agent610-22	
Mo, Di, active 400 B.C.	86994370	86994370	1	Mo, Di, active 400 B.C.			Person		http://example.org/109950#Agent100-12	
Mei, Yibao, 1900-	69027474	69027474	1	Mei, Yibao, 1900-			Person		http://example.org/109950#Agent700-22	
Wilde, Norman, 1867-1936.	64368778	64368778	0.96	Wilde, Norman, 1867-1936.			Person		http://example.org/1041434#Agent100-10	
Heermance, Edgar Laing, 1876-				Heermance, Edgar Laing, 1876-			Person		http://example.org/1010789#Agent100-10	
Eckel, Malcolm W.				Eckel, Malcolm W.			Person		http://example.org/1010774#Agent100-14	
Fletcher, Joseph F.	109405819	109405819	1	Fletcher, Joseph F.			Person		http://example.org/1018244#Agent100-13	
Stackhouse, Max L.	17405370	17405370	1	Stackhouse, Max L.			Person		http://example.org/1027518#Agent100-14	
