Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Bernart, de Ventadorn, active 12th century				Bernart, de Ventadorn, active 12th century			Person		http://example.org/1093024#Agent100-10	
Nichols, Stephen G	266607965	266607965	0.9473684211	Nichols, Stephen G			Person		http://example.org/1093024#Agent700-19	
Gibb, Robert Wilson, 1893-				Gibb, Robert Wilson, 1893-			Person		http://example.org/1040333#Agent100-10	
Choruses, Secular (Mixed voices, 3 pts.) with piano				Choruses, Secular (Mixed voices, 3 pts.) with piano			Person		http://example.org/1040333#Agent600-17	
Herbert, Victor, 1859-1924	12491557	12491557	1	Herbert, Victor, 1859-1924			Person		http://example.org/1040939#Agent100-10	
Bartlett, Ella Herbert	53722889	53722889	1	Bartlett, Ella Herbert			Person		http://example.org/1040939#Agent700-18	
Bush, Margaret				Bush, Margaret			Person		http://example.org/1040939#Agent700-19	
Dagg, Mel, 1941-	45679028	45679028	1	Dagg, Mel, 1941-			Person		http://example.org/1069761#Agent100-9	
Reoch, Richard	259671379	259671379	1	Reoch, Richard			Person		http://example.org/1023216#Agent100-9	
Cole, Harriet				Cole, Harriet			Person		http://example.org/1011226#Agent100-9	
Gelineau, R. Phyllis	28530217	28530217	1	Gelineau, R. Phyllis			Person		http://example.org/1045323#Agent100-14	
Vanoverbergh, Morice	2.95150264365306E+020	2.95150264365306E+020	1	Vanoverbergh, Morice			Person		http://example.org/1099428#Agent100-10	
O'Donnell, John P				O'Donnell, John P			Person		http://example.org/1010969#Agent100-9	
Anderson, Hugh	192686275	192686275	1	Anderson, Hugh			Person		http://example.org/1083275#Agent100-10	
Dunsmore, J. M				Dunsmore, J. M			Person		http://example.org/1069336#Agent100-9	
Silber, Irwin, 1925-2010	114152848	114152848	1	Silber, Irwin, 1925-2010			Person		http://example.org/1051318#Agent100-13	
Blake, William, 1757-1827	54144439	54144439	0.9615384615	Blake, William, 1757-1827			Person		http://example.org/1020292#Agent100-9	
Krone, Beatrice Perham, 1901-2000	11866273	11866273	1	Krone, Beatrice Perham, 1901-2000			Person		http://example.org/1040321#Agent100-11	
Ostlund, Ruth Vivian				Ostlund, Ruth Vivian			Person		http://example.org/1040321#Agent700-20	
Denisoff, R. Serge	288308809	288308809	1	Denisoff, R. Serge			Person		http://example.org/1062589#Agent100-12	
Krone, Beatrice Perham, 1901-2000	11866273	11866273	1	Krone, Beatrice Perham, 1901-2000			Person		http://example.org/1040323#Agent100-11	
Ostlund, Ruth Vivian				Ostlund, Ruth Vivian			Person		http://example.org/1040323#Agent700-20	
Gaynor, Jessie Lovel (Smith), 1863-1921				Gaynor, Jessie Lovel (Smith), 1863-1921			Person		http://example.org/1002468#Agent100-10	
Riley, Alice C. D. (Alice Cushing Donaldson), 1867-1953	38934670	38934670	1	Riley, Alice C. D. (Alice Cushing Donaldson), 1867-1953			Person		http://example.org/1002468#Agent700-20	
Fenwick, G. Roy (George Roy)	63578409	63578409	1	Fenwick, G. Roy (George Roy)			Person		http://example.org/1042173#Agent100-11	
Gibbon, John Murray, 1875-1952	52121171	52121171	1	Gibbon, John Murray, 1875-1952			Person		http://example.org/1042173#Agent700-20	
Paige, Harry W., 1922-	112034234	112034234	1	Paige, Harry W., 1922-			Person		http://example.org/1082868#Agent100-12	
Burrows, Edwin Grant				Burrows, Edwin Grant			Person		http://example.org/1083276#Agent100-10	
Borror, Donald Joyce, 1907-1988	104928504	104928504	1	Borror, Donald Joyce, 1907-1988			Person		http://example.org/103207#Agent100-11	
Wright, Frances				Wright, Frances			Person		http://example.org/1081978#Agent100-10	
Lossing, Laverna Lucy, 1884- 				Lossing, Laverna Lucy, 1884- 			Person		http://example.org/1081978#Agent700-20	
Columbia University		156836332		Columbia University	156836332	0.95	Organization		http://example.org/1081978#Agent810-21	
Dorn, Edward	25166087	25166087	1	Dorn, Edward			Person		http://example.org/1026408#Agent100-9	
Hogg, James, 1770-1835				Hogg, James, 1770-1835			Person		http://example.org/1022428#Agent100-9	
Russell, Vera E., 1895-				Russell, Vera E., 1895-			Person		http://example.org/1042158#Agent100-10	
Rasulov, Rasul				Rasulov, Rasul			Person		http://example.org/1014020#Agent700-17	
Tailhade, Laurent, 1854-1919	7400378	7400378	1	Tailhade, Laurent, 1854-1919			Person		http://example.org/1055840#Agent100-9	
Ralph, Raoul				Ralph, Raoul			Person		http://example.org/1055840#Agent700-17	
Schlendrian		123953592		Schlendrian	123953592	1	Person		http://example.org/1050686#Agent100-9	
Cabell, James Branch, 1879-1958	51705206	51705206	1	Cabell, James Branch, 1879-1958			Person		http://example.org/1020434#Agent100-11	
Oddy, G. S				Oddy, G. S			Person		http://example.org/1012096#Agent100-9	
Wood, Charles Erskine Scott, 1852-1944	42672419	42672419	1	Wood, Charles Erskine Scott, 1852-1944			Person		http://example.org/1023595#Agent100-10	
León, María Teresa				León, María Teresa			Person		http://example.org/1068930#Agent100-11	
Alberti, Rafael, 1902-1999				Alberti, Rafael, 1902-1999			Person		http://example.org/1068930#Agent700-20	
Ross, Ishbel, 1897-1975	11092347	11092347	1	Ross, Ishbel, 1897-1975			Person		http://example.org/1031775#Agent100-13	
Villiers, Alan, 1903-1982	9969093	9969093	1	Villiers, Alan, 1903-1982			Person		http://example.org/1063337#Agent100-9	
Goldrich, Daniel	2005533	2005533	1	Goldrich, Daniel			Person		http://example.org/1046067#Agent100-11	
Voloshyn, Ivan Ivanovych				Voloshyn, Ivan Ivanovych			Person		http://example.org/1095670#Agent100-10	
Grabhorn Press		140564813		Grabhorn Press	140564813	1	Organization		http://example.org/1020406#Agent110-10	
De Kolb, Eric	65586371	65586371	1	De Kolb, Eric			Person		http://example.org/1089047#Agent100-11	
Kozlov, I͡Uriĭ Markovich	110034340	110034340	0.92	Kozlov, I͡Uriĭ Markovich			Person		http://example.org/1050855#Agent100-11	
Orlovskiĭ, Ilʹi͡a Aleksandrovich				Orlovskiĭ, Ilʹi͡a Aleksandrovich			Person		http://example.org/1000035#Agent100-11	
Sergeeva, G. P. (Galina Petrovna)	113460588	113460588	1	Sergeeva, G. P. (Galina Petrovna)			Person		http://example.org/1000035#Agent700-21	
Kucherov, Ivan Danilovich	305965701	305965701	1	Kucherov, Ivan Danilovich			Person		http://example.org/1035072#Agent100-10	
Lieb, Fritz, 1892-1970	35256195	35256195	1	Lieb, Fritz, 1892-1970			Person		http://example.org/105845#Agent100-10	
Rohkrämer, Martin, 1922-1991	20168138	20168138	1	Rohkrämer, Martin, 1922-1991			Person		http://example.org/105845#Agent700-20	
Lennox, Charlotte, approximately 1729-1804	100288562	100288562	1	Lennox, Charlotte, approximately 1729-1804			Person		http://example.org/1079292#Agent100-11	
Jung, Franz, 1888-1963	9.59314727048874E+021	9.59314727048874E+021	1	Jung, Franz, 1888-1963			Person		http://example.org/1014609#Agent100-9	
Sternberg, Jacques	110921479	110921479	1	Sternberg, Jacques			Person		http://example.org/100021#Agent100-10	
Monteilhet, Hubert	71395204	71395204	1	Monteilhet, Hubert			Person		http://example.org/106509#Agent100-9	
Bowra, C. M. (Cecil Maurice), 1898-1971	44295952	44295952	1	Bowra, C. M. (Cecil Maurice), 1898-1971			Person		http://example.org/1090645#Agent100-11	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090645#Agent600-19	
Méautis, Georges, 1890-1970	42639501	42639501	1	Méautis, Georges, 1890-1970			Person		http://example.org/1090653#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090653#Agent600-18	
Ronnet, Gilberte	59152171	59152171	0.9411764706	Ronnet, Gilberte			Person		http://example.org/1090657#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090657#Agent600-18	
Opstelten, J. C. (Johannes Cornelis), 1891-	46104657	46104657	0.976744186	Opstelten, J. C. (Johannes Cornelis), 1891-			Person		http://example.org/1090654#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090654#Agent600-19	
Gellie, G. H. (George Henry)	66178994	66178994	1	Gellie, G. H. (George Henry)			Person		http://example.org/1065588#Agent100-12	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1065588#Agent600-20	
Whitman, Cedric Hubbell	797804	797804	1	Whitman, Cedric Hubbell			Person		http://example.org/1091840#Agent100-15	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1091840#Agent600-23	
Kitto, H. D. F. (Humphrey Davy Findley)	292853248	292853248	0.9487179487	Kitto, H. D. F. (Humphrey Davy Findley)			Person		http://example.org/1090650#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090650#Agent600-18	
Adams, Sinclair MacLardy, 1891-				Adams, Sinclair MacLardy, 1891-			Person		http://example.org/1090644#Agent100-11	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090644#Agent600-19	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090623#Agent100-10	
Campbell, Lewis, 1830-1908	59125904	59125904	1	Campbell, Lewis, 1830-1908			Person		http://example.org/1090623#Agent700-18	
Germain, Gabriel				Germain, Gabriel			Person		http://example.org/1090648#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090648#Agent600-18	
Bourberēs, Kōnstantinos I., 1899-				Bourberēs, Kōnstantinos I., 1899-			Person		http://example.org/1021338#Agent100-9	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1021338#Agent600-19	
Hellenikē Anthrōpistikē Hetaireia		154491397		Hellenikē Anthrōpistikē Hetaireia	154491397	0.9696969697	Organization		http://example.org/1021338#Agent810-21	
Müller, Heiner, 1929-1995	1.46145664680805E+020	1.46145664680805E+020	0.9615384615	Müller, Heiner, 1929-1995			Person		http://example.org/1090632#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090632#Agent600-19	
Hölderlin, Friedrich, 1770-1843	95147974	95147974	0.96875	Hölderlin, Friedrich, 1770-1843			Person		http://example.org/1090632#Agent700-20	
Sophocles Oedipus tryannus. German. 1969				Sophocles Oedipus tryannus. German. 1969			Person		http://example.org/1090632#Agent700-21	
Schmidt, Jens-Uwe	304994266	304994266	1	Schmidt, Jens-Uwe			Person		http://example.org/1044124#Agent100-11	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1044124#Agent600-21	
Reinhardt, Karl, 1886-1958	49271779	49271779	0.962962963	Reinhardt, Karl, 1886-1958			Person		http://example.org/1090656#Agent100-10	
Sophocles	101760867	101760867	0.9	Sophocles			Person		http://example.org/1090656#Agent600-19	
Đurić, Vojislav J., 1925-	25399956	25399956	0.8275862069	Đurić, Vojislav J., 1925-			Person		http://example.org/1083765#Agent100-10	
Goletʻiani, G	112888469	112888469	0.8571428571	Goletʻiani, G			Person		http://example.org/1098311#Agent100-10	
Baskakov, Nikolaĭ Aleksandrovich	3.24146998379719E+020	3.24146998379719E+020	1	Baskakov, Nikolaĭ Aleksandrovich			Person		http://example.org/1099101#Agent700-20	
Tīl bīlīmī instituty (Qazaq SSR ghylym akademii͡asy)		236586243		Tīl bīlīmī instituty (Qazaq SSR ghylym akademii͡asy)	236586243	0.9622641509	Organization		http://example.org/1099101#Agent710-21	
Semenova, M. F				Semenova, M. F			Person		http://example.org/1012106#Agent100-9	
Belonosov, I. I				Belonosov, I. I			Person		http://example.org/1000829#Agent700-21	
Bautzen, Ger. Institut za serbski ludospyt				Bautzen, Ger. Institut za serbski ludospyt			Person		http://example.org/1096256#Agent100-10	
Fasske, Helmut	162234862	162234862	1	Fasske, Helmut			Person		http://example.org/1096256#Agent700-19	
Jentsch, H	1.73314919828597E+021	1.73314919828597E+021	0.9090909091	Jentsch, H			Person		http://example.org/1096256#Agent700-20	
Michalk, Siegfried	56732106	56732106	1	Michalk, Siegfried			Person		http://example.org/1096256#Agent700-21	
Śliziński, Jerzy	22161711	22161711	1	Śliziński, Jerzy			Person		http://example.org/1096278#Agent100-10	
Deutsche Akademie der Wissenschaften zu Berlin				Deutsche Akademie der Wissenschaften zu Berlin			Organization		http://example.org/1096278#Agent810-20	
Nedo, Pawoł	60145740	60145740	1	Nedo, Pawoł			Person		http://example.org/1096277#Agent100-11	
Rawp, Jan	37388492	37388492	1	Rawp, Jan			Person		http://example.org/1096275#Agent100-12	
Bouteiller, Marcelle, 1904-	109968284	109968284	1	Bouteiller, Marcelle, 1904-			Person		http://example.org/101414#Agent100-10	
Holm, Søren, 1901-	74224526	74224526	1	Holm, Søren, 1901-			Person		http://example.org/1053428#Agent100-11	
Kierkegaard, Søren, 1813-1855	7392250	7392250	0.9666666667	Kierkegaard, Søren, 1813-1855			Person		http://example.org/1053428#Agent600-21	
Kierkegaard, Søren, 1813-1855	7392250	7392250	0.9666666667	Kierkegaard, Søren, 1813-1855			Person		http://example.org/1065095#Agent100-10	
Kierkegaard, Søren, 1813-1855	7392250	7392250	0.9666666667	Kierkegaard, Søren, 1813-1855			Person		http://example.org/108372#Agent100-9	
Bärthold, A. (Albert)				Bärthold, A. (Albert)			Person		http://example.org/108372#Agent700-18	
Schulz, Klaus Peter				Schulz, Klaus Peter			Person		http://example.org/1049448#Agent100-10	
Sozialdemokratische Partei Deutschlands		151021191		Sozialdemokratische Partei Deutschlands	151021191	0.975	Organization		http://example.org/1049448#Agent610-18	
Tarikh Institutu (Azărbai̐jan SSR Elmlăr Akademii̐asy)		147747732		Tarikh Institutu (Azărbai̐jan SSR Elmlăr Akademii̐asy)	147747732	1	Organization		http://example.org/1051613#Agent110-11	
Guseĭnov, I. A				Guseĭnov, I. A			Person		http://example.org/1051613#Agent700-22	
Ibragimov, Z				Ibragimov, Z			Person		http://example.org/1051613#Agent700-23	
Ukrainian National Women's League of America		157732594		Ukrainian National Women's League of America	157732594	1	Organization		http://example.org/1031887#Agent110-10	
Rabinovich, I. S. (Izrailʹ Savelʹevich)	9408875	9408875	1	Rabinovich, I. S. (Izrailʹ Savelʹevich)			Person		http://example.org/1098802#Agent100-10	
Ghyka, Matila C. (Matila Costiescu), 1881-1965				Ghyka, Matila C. (Matila Costiescu), 1881-1965			Person		http://example.org/1092951#Agent100-10	
Kamei, Marlene	1321201	1321201	0.9333333333	Kamei, Marlene			Person		http://example.org/1088847#Agent100-11	
Burgess, Sara	2.55145541846097E+020	2.55145541846097E+020	0.9285714286	Burgess, Sara			Person		http://example.org/1088847#Agent700-20	
Martin, Glenn				Martin, Glenn			Person		http://example.org/1035638#Agent100-9	
Martin, Elinor	1922759	1922759	1	Martin, Elinor			Person		http://example.org/1035638#Agent700-20	
Belanger, Joseph				Belanger, Joseph			Person		http://example.org/1035638#Agent700-21	
Sakaki, Akihiro				Sakaki, Akihiro			Person		http://example.org/1078678#Agent100-9	
Livant͡sev, K. E. (Konstantin Evgenʹevich)				Livant͡sev, K. E. (Konstantin Evgenʹevich)			Person		http://example.org/1051653#Agent100-11	
