Search_results_order	ORCID-ID	Family-name	Given-name	NAME_frim_ERA
1	0000-0001-8471-4876	Wen	Nicole	Austin-W-
2	0000-0001-9612-8612	Austin	Mark	Austin-W-
3	0000-0002-4136-8499	Walker	Shane	Austin-W-
4	0000-0002-9377-4966	Stark	W Richard	Austin-W-
5	0000-0002-6956-6075	Devine	Scott	Austin-W-
6	0000-0002-1589-9333	Hecker	Jennifer	Austin-W-
7	0000-0002-4988-9686	Da Silva Mello	Alberto	Austin-W-
8	0000-0003-4768-4588	Bergman	Margo	Austin-W-
9	0000-0003-1081-1280	Campbell	Doris W	Austin-W-
10	0000-0002-6085-9955	Wiesner	Maciej	Austin-W-
1	0000-0002-3626-6084	Bernik	Nataliia	Billay-D-
2	0000-0002-1657-0927	R	Roman	Billay-D-
3	0000-0001-6552-7485	gorina	gorina	Billay-D-
4	0000-0001-8544-8100	Dal Picolo Dal Secco de Oliveira	Letícia	Billay-D-
5	0000-0003-4367-2651	Stalter	Daniel	Billay-D-
6	0000-0002-1502-6495	Riochet	David	Billay-D-
7	0000-0002-2302-406X	Ulrich	Wulff D.	Billay-D-
8	0000-0001-5871-1903	Ashkenazi	Dana	Billay-D-
9	0000-0003-0882-8307	Dewhurst	Debra	Billay-D-
10	0000-0003-0056-5952	PARTHIBAN D	PARTHIBAN D	Billay-D-
1	0000-0002-5637-3717	Caufield-Noll	Christine	Caufield-C-
2	0000-0002-3725-3648	Caufield	William	Caufield-C-
3	0000-0001-5705-7831	Caufield	J. Harry	Caufield-C-
4	0000-0003-3996-3907	Lupberger	Joachim	Caufield-C-
5	0000-0002-9989-1397	Rodrigues	Carlos	Caufield-C-
6	0000-0001-6412-5206	valentini	nadia	Caufield-C-
7	0000-0002-2479-2001	Bastias	Cristina C. 	Caufield-C-
8	0000-0001-8894-6316	Chan	Clarice	Caufield-C-
9	0000-0002-4597-1383	Gathercole	Virginia	Caufield-C-
10	0000-0002-1758-0334	Okada	Carolina Tiemi Cardoso	Caufield-C-
1	0000-0003-2261-9886	Estabrooks	Paul	Estabrooks-C-A-
2	0000-0003-3440-0603	Bomfeti	Cleide	Estabrooks-C-A-
3	0000-0001-8178-123X	Royle	Thomas C.A.	Estabrooks-C-A-
4	0000-0001-6679-0605	Ayala Garcia	Camilo	Estabrooks-C-A-
5	0000-0002-3131-6791	C.A.	Lawrance	Estabrooks-C-A-
6	0000-0002-6105-2651	C.A.	SRIBALAJI	Estabrooks-C-A-
7	0000-0002-6608-728X	Goedhart	Rien (C.A.)	Estabrooks-C-A-
8	0000-0001-8433-0389	Betty	C.A.	Estabrooks-C-A-
9	0000-0003-2969-6411	Martínez	Oscar	Estabrooks-C-A-
10	0000-0003-1534-0561	Rovere	Carlos Alberto Della	Estabrooks-C-A-
1	0000-0002-3196-9493	Ferguson	Barbara	Ferguson-L-
2	0000-0002-0125-0234	Ferguson	Elaine	Ferguson-L-
3	0000-0002-6137-1580	Ferguson	Matthew	Ferguson-L-
4	0000-0002-1779-2249	Ferguson	Marta	Ferguson-L-
5	0000-0001-6310-8295	Ferguson	James	Ferguson-L-
6	0000-0001-5848-0340	Ferguson	William	Ferguson-L-
7	0000-0001-8197-0364	Ferguson	Benjamin	Ferguson-L-
8	0000-0003-2383-7666	Ferguson	Timothy	Ferguson-L-
9	0000-0001-8410-6010	Ferguson	Christine	Ferguson-L-
10	0000-0002-5221-4401	Ferguson	Michael	Ferguson-L-
1	0000-0001-5148-7689	Foley	Kevin	Foley-V-
2	0000-0001-5550-0123	Foley	Liza	Foley-V-
3	0000-0003-1013-462X	Foley	Kevin	Foley-V-
4	0000-0001-8814-4444	Foley	Jonathan	Foley-V-
5	0000-0003-2515-1799	Foley	Joseph	Foley-V-
6	0000-0003-2786-7432	Foley	Bethany	Foley-V-
7	0000-0002-1314-6813	Foley	Helen	Foley-V-
8	0000-0001-9374-1841	Foley	Ashton	Foley-V-
9	0000-0003-0272-2819	Foley	Mike	Foley-V-
10	0000-0002-0925-5435	Martel-Foley	Joseph	Foley-V-
1	0000-0002-3881-5083	Gray	David	Gray-G-
2	0000-0002-4439-561X	Gray	David	Gray-G-
3	0000-0001-6405-3126	Gray	Susan	Gray-G-
4	0000-0002-5398-9559	Gray	Benjamin	Gray-G-
5	0000-0001-5863-6835	Gray	Jonathan	Gray-G-
6	0000-0003-4467-1597	Wu	Kai	Gray-G-
7	0000-0001-9655-3926	Panara	Valentina	Gray-G-
8	0000-0002-8814-6818	Gray	Lucas	Gray-G-
9	0000-0003-1871-3415	Gray	Jacqueline	Gray-G-
10	0000-0001-8244-1616	Boulders	Sam Gray	Gray-G-
1	0000-0003-3161-5502	Grundy	Starr	Grundy-Q-
2	0000-0003-0213-6318	Grundy	Maureen	Grundy-Q-
3	0000-0003-2645-8266	Grundy	Paul	Grundy-Q-
4	0000-0002-3978-4151	Grundy	Paul	Grundy-Q-
5	0000-0002-6562-6894	Grundy	Andrew	Grundy-Q-
6	0000-0002-7042-2394	Grundy	Chris	Grundy-Q-
7	0000-0002-6826-6484	Grundy	Jane	Grundy-Q-
8	0000-0002-7438-1374	Grundy	Bruce	Grundy-Q-
9	0000-0002-6751-6277	Grundy	Helen	Grundy-Q-
10	0000-0002-0985-4171	Grundy	David	Grundy-Q-
1	0000-0003-3917-8626	Visser	Herman	Herman-B-
2	0000-0003-4926-4237	Wirshing	Herman H.	Herman-B-
3	0000-0003-2119-4433	Van Oyen	Herman	Herman-B-
4	0000-0002-2432-7740	Castañeda	Herman	Herman-B-
5	0000-0001-6976-7005	Overkleeft	Herman	Herman-B-
6	0000-0003-2816-6195	Herman	Jonathan	Herman-B-
7	0000-0001-6979-103X	Herman	Mark	Herman-B-
8	0000-0003-0426-5973	Herman	Frederik	Herman-B-
9	0000-0003-3469-6627	Herman	Beno	Herman-B-
10	0000-0001-7246-9113	Guerrini	Marco	Herman-B-
1	0000-0002-8631-2763	Jackman	Charles	Jackman-D-
2	0000-0002-5920-6391	Jackman	Dana	Jackman-D-
3	0000-0003-4344-3672	Jackman	Jennifer	Jackman-D-
4	0000-0003-1188-2355	Jackman	Kyle	Jackman-D-
5	0000-0003-2871-9909	Jackman	Alexis	Jackman-D-
6	0000-0003-0034-4965	Jackman	James	Jackman-D-
7	0000-0003-3935-4060	Jackman	Bill	Jackman-D-
8	0000-0001-7421-4034	Jackman	Simon	Jackman-D-
9	0000-0001-8021-3513	Jackman	Grace-Anne	Jackman-D-
10	0000-0001-7208-9348	Jackman-Murphy	Kathryn	Jackman-D-
1	0000-0002-5357-9912	NE;LSON	RAHILA	lson-J-
2	0000-0002-3915-5056	Hofmeister	Jeňýk	lson-J-
3	0000-0002-6794-4909	Park	Ji Hoon	lson-J-
4	0000-0002-7397-4135	Liang	Jingtao	lson-J-
5	0000-0003-3996-3907	Lupberger	Joachim	lson-J-
6	0000-0002-1521-4453	Hnizda	Ales	lson-J-
7	0000-0003-2249-5668	Jacobs	John J. L.	lson-J-
8	0000-0002-2498-1945	Bayón	J. Carles	lson-J-
9	0000-0002-1089-6766	da Silva	Juliana	lson-J-
10	0000-0002-2363-0406	caillier	bruno	lson-J-
1	0000-0002-9207-735X	Musumadi	Luhanga	Luhanga-F-L-
2	0000-0001-9973-137X	Luhanga	Ulemu	Luhanga-F-L-
3	0000-0003-1540-6102	Luhanga	Edgar	Luhanga-F-L-
4	0000-0001-7767-5231	Luhanga	Andrew	Luhanga-F-L-
5	0000-0003-2036-9123	Souza	Flavio L	Luhanga-F-L-
6	0000-0003-1343-074X	Gao	F.L. 	Luhanga-F-L-
7	0000-0003-1793-2157	Bentivegna	Florian F.L.	Luhanga-F-L-
8	0000-0002-3205-2177	Linda F.L.	Tse	Luhanga-F-L-
9	0000-0003-4262-9555	Pazini	Francis	Luhanga-F-L-
10	0000-0002-9323-5444	Long	Fengli	Luhanga-F-L-
1	0000-0002-7311-6632	Marrie	Ann	Marrie-T-J-
2	0000-0002-8552-975X	Bekker	Marrie	Marrie-T-J-
3	0000-0001-8552-4708	marrie	thomas	Marrie-T-J-
4	0000-0003-3193-7341	Lusher	T.J.	Marrie-T-J-
5	0000-0003-4004-0384	Weber	T.J.	Marrie-T-J-
