orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0002-9269-7444,Wu,Yen-Ku,"Wu, Yen-Ku",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/x6/33/f2/70/x633f270d
0000-0002-6756-0278,Shalchi Amirkhiz,Babak,"Shalchi Amirkhiz, Babak",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q2/37/ht/55/q237ht558
0000-0002-2301-075X,Bates,Heidi,"Bates, Heidi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5q/47/rp/66/5q47rp661
0000-0001-6753-9009,Radzikowska,Milena,"Radzikowska, Milena",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9p/29/0c/93/9p290c93d
0000-0003-2257-8762,Samuel,Ryan,"Samuel, Ryan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z8/90/rt/60/z890rt60n
0000-0002-8628-7190,Yurchenko,Olga,"Yurchenko, Olga",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jh/34/3v/12/jh343v12x
0000-0002-6623-6994,Terada,Tasuku,"Terada, Tasuku",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sb/39/79/25/sb397925z
0000-0003-2353-8252,Biittner,Katie,"Biittner, Katie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gt/54/kp/33/gt54kp33t
0000-0002-7113-9224,Viczko,Melody,"Viczko, Melody",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vm/40/xs/26/vm40xs262
0000-0003-0819-8245,Zheng,Yu,"Zheng, Yu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cj/82/k7/68/cj82k768m
0000-0001-8784-0042,Stanford,Kim,"Stanford, Kim",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q5/24/jr/44/q524jr446
0000-0002-9057-1514,Indraratna,Buddhima,"Indraratna, Buddhima",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/xs/55/mf/40/xs55mf40g
0000-0001-9699-5927,Mustafy,Tanvir,"Mustafy,Tanvir",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b6/41/4b29b641g
0000-0001-9335-231X,Tan,Yilan ,"Tan, Yilan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/v9/35/29/cnv935291b
0000-0003-4249-6174,Lin,Feng,"Lin, Feng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/8w/32/r6/55/8w32r6558
0000-0002-7389-5066,Wang,Yinan,"Wang, Yinan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/g4/51/h5/cng451h559
0000-0002-4482-1949,Ahmed,Mohammed,"Ahmed, Mohammed",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/41/68/7j/18/41687j18w
,Ahmed,Mohammed,"Ahmed, Mohammed",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6q/18/2m/12/6q182m12q
0000-0003-1801-4593,Etieyibo,Edwin,"Etieyibo, Edwin",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6d/56/zx/71/6d56zx71r
0000-0002-5317-0447,George,Michael,"George, Michael",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/69/2t/63/cv692t630j
0000-0003-2774-4133,Kuang,Yang,"Kuang, Yang",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/64/4t/86/b5644t863
0000-0003-1673-7130,Yang,Jie,"Yang, Jie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/wh/24/6s/60/wh246s60x
,Yang,Jie,"Yang, Jie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/s0/64/60/cns064604m
0000-0002-6088-291X,Albrecht,Lauren,"Albrecht, Lauren",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k3/56/94/77/k35694774
0000-0002-6297-5933,Wan,Zhongxiao,"Wan, Zhongxiao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6w/92/4d/07/6w924d079
0000-0002-8089-5419,Liang,Xiaodong,"Liang, Xiaodong",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/73/c1/33/bv73c133v
0000-0003-4764-8472,Nungu,Musembi,"Nungu, Musembi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0c/48/3j/60/0c483j60j
0000-0002-7379-2569,Bertrand,Edward,"Bertrand, Edward",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/15/44/bp/73/1544bp73q
0000-0002-7208-515X,Liu,Qi,"Liu, Qi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cb/r8/6b/35/cbr86b3584
0000-0002-0334-3856,Liu,Wei Victor,"Liu, Wei Victor",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/64/4t/12/b5644t129
0000-0002-0910-2535,Erickson,Timothy,"Erickson, Timothy",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/12/57/9s/33/12579s33h
0000-0001-9568-5871,Kowalczewski,Jan,"Kowalczewski, Jan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7p/88/ch/43/7p88ch43b
0000-0003-0305-7873,Imer,Ali,"Imer, Ali",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hd/76/s2/84/hd76s2849
0000-0003-0325-7509,D'Amours,Réal,"D'Amours, Réal",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6w/92/4f/50/6w924f50s
0000-0002-6005-0769,Liu,Xiaoji,"Liu, Xiaoji",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rv/04/2v/26/rv042v26p
,Liu,Xiaoji,"Liu, Xiaoji",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qr/46/r2/30/qr46r230d
0000-0001-6414-9611,Krajacic,Aleksandra,"Krajacic, Aleksandra",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/r2/07/tq/51/r207tq51t
0000-0003-0477-2705,Gray,Laura,"Gray, Laura",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0z/70/8z/06/0z708z06g
0000-0001-8135-7447,Richardson,John,"Richardson, John",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v4/05/sc/59/v405sc59r
0000-0003-0569-0816,Pan,Xue,"Pan, Xue",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b8/51/5q/99/b8515q99d
0000-0001-9993-6383,Islam,Md Saiful ,"Islam,Md Saiful",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q2/37/hv/82/q237hv82c
0000-0003-1444-4828,Joner Wiest,Matheus,"Joner Wiest, Matheus",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/c7/7s/q2/czc77sq200
0000-0003-0396-2574,Forcier,Eric,"Forcier, Eric",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7h/14/9p/88/7h149p88r
0000-0003-0328-4291,Zhang,Junfeng,"Zhang, Junfeng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cf/t8/48/q7/cft848q790
0000-0002-5279-3239,Shi,Yi,"Shi, Yi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dn/39/x2/21/dn39x2213
0000-0002-0484-2163,Reyes-Galaviz,Orion Fausto,"Reyes-Galaviz, Orion Fausto",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/r4/6r/08/cqr46r084p
0000-0002-1089-3872,Mohammadi,Alireza,"Mohammadi, Alireza",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3r/07/4v/27/3r074v27v
0000-0003-4874-540X,Najar,Ahmed,"Najar, Ahmed",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/28/01/pj/03/2801pj03b
0000-0002-6802-2068,Hodgetts,Sandra,"Hodgetts, Sandra",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sn/00/9z/10/sn009z10p
0000-0002-0521-3131,Liu,Sibiao,"Liu,Sibiao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7s/75/dd/32/7s75dd322
0000-0002-8990-8247,Hamilton,Trevor,"Hamilton, Trevor",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/31/97/xn/35/3197xn35r
0000-0003-0766-7708,Wells,Kristopher,"Wells, Kristopher",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v4/05/sc/24/v405sc24n
0000-0002-7408-3764,Nabi,Saleh,"Nabi, Saleh",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hx/11/xh/92/hx11xh923
0000-0003-1604-7471,Zhang,Wenqing,"Zhang,Wenqing",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/cz/91/bz60cz911
0000-0002-0254-9000,Yang,Fan,"Yang, Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2b/69/w0892b699
,Yang,Fan,"Yang, Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9m/90/fx719m90m
,Yang,Fan,"Yang,Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/m7/0m/v1/ctm70mv18c
0000-0002-2497-1296,LeBlanc,Aaron,"LeBlanc, Aaron",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pr/76/f4/35/pr76f435x
0000-0003-1215-1669,Jung,Jennifer,"Jung, Jennifer",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/kd/17/ct/42/kd17ct42v
0000-0001-8782-0615,Fan,Rongfei,"Fan, Rongfei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/70/79/59/22/70795922z
0000-0001-9933-5414,Miar,Younes,"Miar, Younes",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b9/12/4b29b912n
0000-0003-3315-1772,Harrison,Adam,"Harrison, Adam",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/td/96/k3/30/td96k330p
0000-0001-6764-1089,Sigaeva,Taisiya,"Sigaeva, Taisiya",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4q/77/ft/92/4q77ft926
0000-0002-3519-2802,Chen,Ke,"Chen, Ke",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hg/94/cc08hg940
,Chen,Ke,"Chen, Ke",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/n8/70/zs/37/n870zs375
0000-0003-1357-4567,Hatami,Sarvenaz,"Hatami, Sarvenaz",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/r9/67/38/c0r967385v
0000-0003-4953-4751,Zhang,Xiaoming,"Zhang, Xiaoming",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2j/03/f4752j03m
0000-0002-4184-0730,Cheng,Tao,"Cheng, Tao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dv/13/zv/30/dv13zv30c
0000-0001-9643-0408,Shardt,Orest,"Shardt, Orest",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/x9/20/fz/54/x920fz543
0000-0003-3690-3378,Shamseer,Larissa,"Shamseer, Larissa",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z6/03/qx/56/z603qx56v
0000-0003-0894-6557,Li,Chen,"Li, Chen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8h/09/44558h09k
,Li,Chen,"Li, Chen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/st/74/cq/44/st74cq441
0000-0002-3757-808X,Cresswell,James,"Cresswell, James",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8f/47/44558f47k
0000-0003-4049-3607,Yanez Jaramillo,Lina Maria,"Yanez Jaramillo, Lina Maria",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c9/p2/90/93/c9p290935f
0000-0001-9787-9952,Olstad,Dana Lee,"Olstad, Dana Lee",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/43/nz/48/cv43nz485
