orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0003-0758-9818,Almasud,Alaa,"Almasud, Alaa A",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/08/61/2p/10/08612p101
0000-0003-4686-9206,Miciak,Maxi,"Miciak, Maxi A",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9z/90/32/46/9z903246q
0000-0002-6756-0278,Shalchi Amirkhiz,Babak,"Shalchi Amirkhiz, Babak",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q2/37/ht/55/q237ht558
0000-0002-2806-6568,Paranjape,Manu,"Paranjape, Makarand.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/m9/00/nw/88/m900nw881
0000-0002-2301-075X,Bates,Heidi,"Bates, Heidi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5q/47/rp/66/5q47rp661
0000-0003-1686-2978,Pilarski,Patrick M.,"Pilarski, Patrick Michael",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bn/99/96/73/bn9996734
0000-0001-7725-8032,Brenna,Beverley,"Brenna, Beverley A.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/26/08/3f4626081
0000-0002-5677-8482,MacPhedran,Ian,"MacPhedran, Ian James",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sb/39/79/81/sb3979819
0000-0001-6753-9009,Radzikowska,Milena,"Radzikowska, Milena",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9p/29/0c/93/9p290c93d
0000-0002-5041-3079,Stevens,Abigail,"Stevens, Abigail L",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5h/73/px/48/5h73px48j
0000-0003-4237-0512,Carroll,Matthew,"Carroll, Malachy.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/34/84/zk/24/3484zk24p
0000-0003-4601-3678,Halas,Joannie,"Halas, Joan Marie.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k9/30/c0/24/k930c0240
0000-0003-0305-3290,Lambert,Robert,"Lambert, Ruth Carolyn",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qb/98/mh/66/qb98mh66r
0000-0003-0916-3263,Speta,Michelle,"Speta, Michelle A",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c4/j0/3c/z7/c4j03cz788
0000-0003-2257-8762,Samuel,Ryan,"Samuel, Ryan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z8/90/rt/60/z890rt60n
0000-0002-5048-6905,Sattler,Derek,"Sattler, Derek F",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/p8/41/8r/46/p8418r46b
0000-0002-2363-0289,Wood,Peter,"Wood, Peter William",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/90/19/s3/27/9019s327n
0000-0003-1491-3516,Radomski,Ashley,"Radomski, Ashley D",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/st/74/cr/33/st74cr33q
0000-0002-0333-8205,Knopp-Sihota,Jennifer,"Knopp-Sihota, Jennifer A",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b2/77/3w/04/b2773w045
0000-0003-2348-8558,Ophus,Colin,"Ophus, Colin L",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zp/38/wd/52/zp38wd52g
0000-0002-1911-752X,Harris,Linda J.,"Harris, L. J.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/64/4t/92/b5644t927
0000-0002-5381-277X,Blais,Stephanie,"Blais, Stephanie A.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/10/8v/b3/c6108vb34x
0000-0002-8628-7190,Yurchenko,Olga,"Yurchenko, Olga",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jh/34/3v/12/jh343v12x
0000-0002-6623-6994,Terada,Tasuku,"Terada, Tasuku",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sb/39/79/25/sb397925z
0000-0001-7133-0566,Crawford,Jennifer J.,"Crawford, Janet Maureen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/28/33/3f462833s
0000-0003-2353-8252,Biittner,Katie,"Biittner, Katie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gt/54/kp/33/gt54kp33t
0000-0002-0665-7041,Pinto,Devanand,"Pinto, Devanand Michael.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qz/20/sv/67/qz20sv67c
0000-0002-1006-0774,Ratner,Pamela,"Ratner, Pamela Anne.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hq/37/vq/97/hq37vq970
0000-0002-1326-684X,Benesch,Matthew,"Benesch, Matthew GK",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/nh/66/h128nh66c
0000-0003-4534-8978,Lange,Benjamin Allen,"Lange, Benjamin A.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qz/20/st/64/qz20st64b
0000-0002-9057-1514,Indraratna,Buddhima,"Indraratna, Buddhima",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/xs/55/mf/40/xs55mf40g
0000-0001-9699-5927,Mustafy,Tanvir,"Mustafy,Tanvir",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b6/41/4b29b641g
0000-0001-9517-8677,Koch,James,"Koch, Jordan R",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/j0/98/zd/75/j098zd75z
0000-0002-2754-3895,Goffinet,Bernard,"Goffinet, Bernard.",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1v/53/jz/74/1v53jz741
