ia id	catkey	title	subjects
villageofthorhil00albe_0	4294379	Village of Thorhild : [electronic resource] dissolution study / Alberta Municipal Affairs.	Municipal services--Alberta--Thorhild.--Municipal finance--Alberta--Thorhild.--Municipal government--Alberta--Thorhild.--Finance, Public--Alberta--Thorhild.--City planning--Alberta--Thorhild.--Local government--Alberta--Thorhild.--Thorhild (Alta.).;
albertanewslette113albe	818552	Alberta newsletter / [electronic resource] Industrial Development Board of the Province of Alberta, Dept. of Economic Affairs.	Alberta.--Industrial Development Branch--Information services--Periodicals.--Cities and towns--Alberta--Economic aspects--Periodicals.--Alberta--Industries--Periodicals.--Alberta--Industries, Rural--Periodicals.;
internationaltrade2010	642442	Alberta international trade review. [electronic resource]	Export sales contracts--Alberta--Statistics--Periodicals.--International trade--Alberta--Periodicals.--Export sales contracts--Alberta--Periodicals--Alberta--Commerce--Statistics--Periodicals.--Canada--Commerce--Statistics--Periodicals.;
boarddecisions80no24_27	777307	Board decisions. [electronic resource]	Petroleum law and legislation--Alberta--Cases.--Natural gas--Law and legislation--Alberta--Cases.--Natural resources--Law and legislation--Alberta--Cases.;
albertachildren2003albe_0	2339011	Alberta Children's Services annual report / [electronic resource] Alberta Children's Services.	Alberta.--Alberta Children's Services--Periodicals.--Child welfare--Alberta--Periodicals.--Family services--Alberta--Periodicals.--Children--Services for--Alberta--Periodicals.;
energyresources1994114	1996768	Informational letter / [electronic resource] ERCB.	Alberta.--Energy Resources Conservation Board--Periodicals.--Power resources--Alberta--Periodicals.--Petroleum industry and trade--Alberta--Periodicals.--Natural gas--Alberta--Periodicals.;
plandinterventio08albe	4035269	Plan d'intervention personnalisé : [electronic resource] maternelle - 12e année.	Éducation spéciale--Alberta.--Programmes éducatifs individualisés--Alberta.--Enseignement individualisé--Alberta.;
newslinealbertar96albe	3447122	Newsline. [electronic resource]	Alberta Research Council--Periodicals.;
oilprorationdata00albe_3	6625299	Oil proration data. [electronic resource]	Petroleum--Alberta--Statistics--Periodicals.;
provincialreport02albe_1	932798	Provincial report. Achievement tests. [electronic resource]	Examinations--Alberta--Statistics--Periodicals.--Examinations--Alberta--Questions--Periodicals.--Achievement tests--Alberta--Periodicals.;
legislativeassem00albe_2	801678	Legislative Assembly estimates. [electronic resource]	Alberta.--Legislative Assembly--Appropriations and expenditures--Periodicals.--Alberta--Appropriations and expenditures--Statistics--Periodicals.;
newslinealbertar104albe_0	3447122	Newsline. [electronic resource]	Alberta Research Council--Periodicals.;
