typeOfEntity	authorizedFormOfName	datesOfExistence	history	blank
Corporate body	Office of the Vice-President (Administration)			
Corporate body	69th Street Frenchman			
Corporate body	75th Anniversary Committee			
Person	A.G. Russell Books			
Person	Aamodt, Olaf Sverre			
Person	Abu-Laban, Baha			
Corporate body	Academic Women's Association	1975 -	"After three years of informal meetings, the Academic Women's Association was formally begun in 1975 to encourage implementation of the recommendations of the University of Alberta Senate's Task Force on the Status of Women. The purpose of the association is to foster collegiality among academic women, to promote and encourage equal opportunities for moment in university affairs, and to provide a forum and mechanism for affirmative action for women at the university. The original name, ""Academic Women's Association of Alberta"" was designed to provide an inCorporate bodyd body under which branched from Alberta universities could function."	
Person	Adam, Grace			
Person	Adam, Ian W.			
Person	Adamski, Peter			
Person	Adkins, William Elmer	8.4.1915 - 1985	William Elmer Adkins was born in Burnt River, Ontario on August 4, 1915. He attended public and high schools in Medicine Hat, Alberta where he graduated with honours and scholarships in 1933. He graduated with a B.Sc. in Chemical Engineering from the University of Alberta in 1937. He completed post-graduate studies with Dr. E.H. Boomer from 1937-38. In 1938 he became the superintendent of the International Bitumen Company Ltd, a pioneer oil sands venture from R.C. Fitzsimmon. He was made responsible for the design and construction of the Bitumount oil sands extraction plant, 80 km north of Ft. McMurray. He oversaw the shipment of the first commercial tar sand from the plant in 1938: roofing asphalt sent to Gary, Indiana. From 1938 to 1941 Adkins worked with Born Engineering Co. of Tulsa, Oklahoma. He supervised or participated in the construction of Dubbs Thermal Cracking Units and other types of oil refinery units at Anglo-Canadian Oils in Brandon, Manitoba; Gas and Oil Products in Turner Valley, Alberta; Consumer Co-operative Refineries in Regina, Saskatchewan; and North Star Oil in Winnipeg, Manitoba. In this period he was appointed to direct Canadian operations for Born Engineering. In July 1941 Adkins joined Defence Industries Ltd., first as a maintenance engineer in Transcona, Manitoba and then as Resident Engineer in Nitro, Quebec. In 1945 he joined Oil Sands Ltd. of Edmonton, Alberta and the following year he was appointed superintendent of the Alberta Government Oil Sands Project, to build and operate a demonstration plant at Bitumount. This was the original International Bitumen Company Ltd. plant. The plant was closed in 1942 and Lloyd Champion purchased the site anc created Oil Sands Ltd.with the intention of supporting the government's plan to develop the Alaska Highway. Champion intended to sell tar sand to the project for use as a road surfacing agent and convince the provincial government to place a $500,000 investment in the project. By 1948 the government had taken over the project and it became known as the Alberta Government Oil Sands Demonstration Plant. Elmer remained plant superintendent for the project's 6-year life until it closed in 1951. During his tenure he initiated several effective labour initiatives that continue today. He brought in a 10 per cent isolation bonus, a policy widely adopted in other northern projects. He also brought the first snow mobiles to the area to help relieve a bit of the isolation. By 1949, the Demonstation Plant at Bitumont was processing dailly 450 tonnes of oil sand. To promote this success the entire provincial legislature was brought to the plant and Adkins oversaw the demonstration. In April 1950 Adkins started a consulting practice in association with Born Engineering. He continued a consultant to the Alberta Government Oil Sands Project. During this period he also completely remodeled and enlarged the Consumers Co-operative Refinery in Regina, Saskatchewan. In June 1951 Adkins joined Domtar Inc. as a project engineer on their ethelyne glycol plant in Montreal, Quebec. He was appointed Chief Engineer, Domtar Inc in 1953. He eventually became Domtar's Vice-President, Development, Research and Engineering before leaving the company for earlly retirement in 1967. In July of 1967 he became President of Champion Savings Corporation, and Champion Mutual Fund, he was previously a director in both companies. He He succeeded Lucien Maynard, Q.C. as President of Oil Sands Ltd. in 1967. He subsequently resumed a private consulting practice boasting such clients as Great Canadian Oil Sands Ltd., Czarnicow Ltd., Sugar Refiners and Brokers, and the Foundation Company of Canada. Betwwn 1969 and 1974 he worked on the liquidation and distribution of assets of Oil Sands Ltd. to shareholders and debenture holders of Oil Sands Ltd. and International Bitumen. Adkins spent his retirement in Victoria with his wife Evelyn. He passed away in 1985.	
Corporate body	Administrator of Student Awards			
Corporate body	Admissions Policy, Evaluation and LIaison Division (A.P.E.L.)			
Person	Adshed, Leonard Reginald			
Corporate body	Advisor on Native Affairs			
Corporate body	Advisor to Foreign Students			
Corporate body	Advisor to Men Students			
Corporate body	Advisor to Student Veterans			
Corporate body	Advisor to Women Students			
Corporate body	Advisor to Women Students and Warden of Pembina Hall			
Person	Affleck, Alan Ferguson			
Person	Affleck, Muriel			
Corporate body	Agriculture Supervisor			
Corporate body	Agriculture, Forestry and Home Economics			
Person	Ahrens, Arthur Christian	1904 - 1985	Dr. Ahrens was a graduate in dentistry from the University of Alberta (DDS, 1927) and Northwestern University (1940). He served in the Canadian Dental Corps and was an active member of the Canada in Dental Association and in the Alberta Dental Association. He was active in visits to rural Alberta schools, teaching dental hygiene to children and their parents.	
Person	Ainley, Marianne Gosztonyi			
Person	Aitken-Hepler, Leslie			
Person	Albert, J. Ray			
Corporate body	Alberta ACCESS			
Corporate body	Alberta Advanced Education			
Corporate body	Alberta Advanced Education and Manpower			
Corporate body	Alberta Advisory Committee for Educational Studies	1966 -	AACES began as the Alberta Advisory Committee on Educational Research in 1954 but became the Alberta Advisory Committee for Educational Studies in 1966. Its original membership consisted of the University's Faculty of Education, The Alberta Department of Education, the Alberta School Trustees Association (ASTA), and the Alberta Federation of Home and School Associations (HSA). ASTA and HSA dropped out of the Advisory Committee during the 1980's while the University of Calgary (1966) and Lethbridge (1987) have since joined. The aim of AACES is to finance research in educational studies. To assist in the dissemination of research results it published the Alberta Journal of Educational Research and the Journal of Educational Thought.	
Corporate body	Alberta Advisory Committee on Educational Research		AACES began as the Alberta Advisory Committee on Educational Research in 1954 but became the Alberta Advisory Committee for Education Studies in 1966. Its original membership consisted of the University's Faculty of Education, The Alberta Department of Education, the Alberta School Trustees Association (ASTA), and the Alberta Federation of Home and School Associations (HSA). ASTA and HSA dropped out of the Advisory Committee during the 1980's while the University of Calgary (1966) and Lethbridge (1987) have since joined. The aim of AACES is to finance research in educational studies. To assist in the dissemination of research results it published the Alberta Journal of Educational Research and the Journal of Educational Thought.	
