typeOfEntity	authorizedFormOfName	datesOfExistence	history	biogHist	XML file
Person	Eastman, William G.	[ 19-- ] -	William G. Eastman was a staff engineer at Honeywell Corporation in Watertown, Massachusetts for ten years before returning to academic life in 1966 as professor of philosophy at the University of Alberta. His scholarly interests lay in the philosophical analysis of cognition in computers. He was also involved with the Peace and Friendship Caravan International 1984 during its Edmonton visit. Dr.Eastman retired from the University in 1986.	Philosopher, [19þ]- .  William G. Eastman was a staff engineer at Honeywell Corporation in Watertown, Massachusetts for ten years before returning to academic life in 1966 as professor of philosophy at the University of Alberta. His scholarly interest lay in the philosophical analysis of cognition in computers.  He was also involved with the Peace and Friendship Caravan International 1984 during its Edmonton visit.  Dr. Eastman retired from the University in 1986.	eastman-william-g.xml
Person	Campbell, Duncan Archibald	1910 -	Mr. Campbell received his BSc in Mining engineering in 1934. His collection of memorabilia illustrates student life in the 1930s.	Engineer, 1910- .  Mr. Campbell received his BSc in Mining Engineering in 1934.  His collection of memorabilia illustrates student life in the 1930s.	campbell-duncan-archibald.xml
Person	MacLean, Hector Robertson	1904 -	An alumnus of the University's Faculty of Dentistry, H.R MacLean rejoined the university in 1935 as demonstrator in operative dentistry. In 1938 he became head of the Department of Operative Dentistry, in 1946 professor of restorative dentistry, and in 1948 head of the Oral Diagnosis Section. He left his private practice in 1958 in order to act as Dean of the Faculty, a position he held until 1970 . Active in several local and national dental associations, Dr. MacLean published a history of Dentistry in Alberta	Dentist, Administrator, 1904-1988.  An alumnus of the Universityþs Faculty of Dentistry, H.R.  MacLean rejoined the University in 1935 as demonstrator in operative dentistry.  In 1938 he became  head of the Department of Operative Dentistry, in 1946 professor of restorative dentistry, and in  1948 head of the Oral Diagnosis Section.  He left his private practice in 1958 in order to act as  Dean of the Faculty, a position he held until 1970.  Active in several local and national dental  associations, Dr. MacLean published A History of Dentistry in Alberta, 1880-1980, in 1987.	maclean-hector-robertson.xml
Corporate body	Edmonton Board of Health Staff Nurses Association	1964 -	The Association regulates relations between the employer and employees; promotes the development of unity among staff members and between the Association and other units of the Board of Health; and strengthens public relations with the community and the nursing profession at large.	The Association regulates relations between the employer and the employees; promotes the development of unity among staff members and between the Association and other units of the Board of Health; and strengthens public relations with the community and the nursing profession at large.	edmonton-board-of-health-staff-nurses-association.xml
Person	Oslie, Muriel	1904 -	Muriel Oslie was a school teacher before settling down as a farmer in Weyburn, Saskatchewan in 1931. In 1937 she moved to the Peace River District of Alberta, where she operated a trading post in Martin River until the early forties and a store in Three Creeks until 1969. Mrs Oslie recorded interviews with Peace River residnets, and together with her detailed diaries, she has preserved a personal history of frontier life in northern Alberta.	Teacher, Farmer, Merchant, 1904-  .  Muriel Oslie was a school teacher before settling down as a  farmer in Weyburn, Saskatchewan in 1931.  In 1937 she moved to the Peace River District of  Alberta, where she operated a trading post in Martin River until the early forties and a store in  Three Creeks until 1969.  Mrs. Oslie recorded interviews with Peace River residents, and together  with her detailed diaries, she has preserved a personal history of frontier life in northern Alberta.	oslie-muriel.xml
Person	Morrison, Hugh Whitney	1908 -	After graduating with a BA from the University in 1930, Hugh Whitney Morrison studied in England on a Rhodes Scholarship, then worked as a news reporter in London, England and Toronto before joining the Canadian Broadcasting Company in 1938 as Director of Talks and Public affairs. From 1942 on he held several positions as a publicist in New York, Montreal and Toronto and from 1972 to 1978 he served as Director of the Public Relations Studies Program at Humber College.	Journalist, Publicist, 1908-  .  After graduating with a BA from the University in 1930, Hugh  Whitney Morrison  studied in England on a Rhodes Scholarship, then worked as a news reporter in  London, England and Toronto before joining the Canadian Broadcasting Company in 1938 as  Director of Talks and Public Affairs.  From 1942 on he held several positions as a publicist in New  York, Montreal and Toronto and from 1972 to 1978 he served as Director of the Public Relations  Studies Program at Humber College.	morrison-hugh-whitney.xml
Person	Bauer, Milton Frank	1926 - 1980	Dr. Milton Bauer joined the University staff in 1956. He taught the Department of Economics, supervised graduate studies in money and finance, and researched Canadian monetary institutions with particular reference to the credit union movement.	Economist, 1926-1980.  Dr. Milton Bauer joined the University staff in 1956. He taught in the  Department of Economics, supervised graduate studies in money and finance, and researched  Canadian monetary institutions with particular reference to the credit union movement.	bauer-milton-frank.xml
Corporate body	Canadian Association for Research in Home Economics			In 1959, the Canadian University Teachers of Home Economics/ Professeurs d'Economie Familiale des Universités Canadienne (CUTHE/PEFUC) was organized at a Learned Societies meeting in Saskatoon. It was founded for the purpose of bringing together Home Economics Faculty Members to hear and discuss scholarly papers and to study matters of common concern. In 1977 CUTHE affiliated with the Social Science Federation of Canada in order to become more active in the academic community and in 1982 was formally linked with the Canadian Home Economics Association. In 1985, in attempt to broaden its mandate CUTHE changed its name to the Canadian Association for Research in Home Economics/ Association Canadienne pour la Recherche in Economie Familiale  (CARHE/ ACREF) and allowed graduate student members. CARHE holds an annual conference affiliated with the Learned Societies, publishes conference proceedings, publishes a newsletter twice yearly, and funds graduate research in home economics. In 1990, CARHE had 127 members.	canadian-association-for-research-in-home-economics.xml
Person	Williams, Rupert Jabez Duncan	[ 1893 ] - 1973	Rupert Williams, deaf since the age of five, graduated from the Manitoba School for the Deaf in Winnipeg and established a successful career in the printing trade. He moved to Saskatchewan in 1927 to work as a printer and to campaign for a provincial school for the deaf similar to the one in Manitoba. When the school was finally established in Saskatoon he was offered a position which he thought would be temporary. He stayed for 30 years as chief supervisor of resident students. He served frequently on the executive of the Western Canada Association of the Deaf, as well as on the board of its journal.	Educator, [1893]-1973.  Rupert Williams, deaf since the age of five, graduated from the Manitoba School for the Deaf in Winnipeg and established a successful career in the printing trade.  He moved to Saskatchewan in 1927 to work as a printer and to campaign for a provincial school for the deaf similar to the one in Manitoba.  When the school was finally established in Saskatoon he was offered a position which he thought would be temporary.  He stayed for 30 years as chief supervisor of resident students.  He served frequently on the executive of the Western Canada Association of the Deaf, as well as on the board of its journal.	williams-rupert-jabez-duncan.xml
Corporate body	Canadian Institute of Ukrainian Studies	1976 -	The Institute was established in 1976 to encourage research and publications in Ukrainian studies; to serve as a resource centre for English- Ukrainian bilingual education; and to encourage contacts among scholars and students in Ukrainian studies through seminars and conferences. The institute offers no course or degree programs (Calendar, 1990/91).    At the time of its formation the Institute reported to the Dean of interdisciplinary Studies; it now is under the Vice-President (research). The following units and projects are supported: the Archive on Contemporary Ukraine, the Canadian Institute of Ukrainian Studies Press, the Encyclopedia of Ukraine. the Journal of Ukrainian studies, the Peter Jacyk Centre for Ukrainian Historical Research, the Stasiuk Programme for the Study of Contemporary Ukraine, and the Ukrainian Language Education Centre.	The Institute was established in 1976 to encourage research and publications in Ukrainian studies;  to serve as a resource centre for English-Ukrainian bilingual education; and to encourage contacts  among scholars and students in Ukrainian studies through seminars and conferences.  The Institute  offers no courses or degree programs (Calendar, 1990/91).  At the time of its formation the Institute  reported to the Dean of Interdisciplinary Studies; it now is under the Vice-President (Research).  The following units and projects are supported:  the Archive on Contemporary Ukraine, the  Canadian Institute of Ukrainian Studies Press, the Encyclopedia of Ukraine, the Journal of Ukrainian Studies, the Peter Jacyk Centre for Ukrainian Historical Research, the Stasiuk Programme  for the Study of Contemporary Ukraine, and the Ukrainian Language Education Centre. Directors: 1976-1986 Manoly R. Lupul; 1986-  Bohdan Krawchenko; 1991-1992 Frank E. Sysyn  (Acting).	canadian-institute-of-ukrainian-studies.xml
Person	Hynam, Charles A.S	1909 - 1979	C.A.S Hynam joined the University as assistant professor of sociology in 1962 after holding various public service positions in agriculture and education in the Caribbean. He became a full professor in 1973. From 1965-1972 he held a joint appointment with the Department of Agricultural Economics. He continued to teach part-time after his retirement in1974. A specialist in rural sociology he conducted research and acted as a consultant on community development and agricultural education.	Agronomist, Sociologist, 1909-1979.  C.A.S. Hynam joined the University as assistant professor  of sociology in 1962 after holding various public service positions in agriculture and education in  the Caribbean.  He became a full professor in 1973.  From 1965 to 1972 he held a joint  appointment with the Department of Agricultural Economics.  He continued to teach part-time after his retirement in 1974.  A specialist in rural sociology, he conducted research and acted as a  consultant on community development and agricultural education.	hynam-charles-s.xml
Corporate body	Project 2005	1988 - [ 19-- ]	In the year 2005 Alberta will celebrate one hundred years as a Canadian Province. In order to determine the potential for a centennial history project, scholars from across Canada met at Red Deer College from May 12th to 14th, 1988. The Steering Committee for this workshop consisted of Professors David Hall, Rod Macleod, and John Foster of the University of Alberta, Professors Howard Palmer and David Jones of the University of Calgary, Professor Bill Baker of the University of Lethbridge, and John Tobias, Dean of Arts and Education at Red Deer College. Funding for the workshop came from the Alberta Historical Resources Foundation, Red Deer College, and the Universities of Alberta and Calgary and Lethbridge. This is the first document in planing process for a comprehensive centennial project. (Summary report of the Project 2005 Workshop, edited by David R. Elliott, Red Deer College, 1988). Copies of the report have been deposited in the Provincial Archives of Alberta, the Glenbow Alberta Institute, and the Archives of the Universities of Lethbridge, Calgary and Alberta	In the year 2005 Alberta will celebrate one hundred years as a Canadian Province.  In order to determine the potential for a centennial history project, scholars from across Canada met at Red Deer College from May 12th to 14th, 1988.  The Steering Committee for this workshop consisted of Professors David Hall, Rod Macleod, and John Foster of the University of Alberta, Professors Howard Palmer and David Jones of the University of Calgary, Professor Bill Baker of the University of Lethbridge, and John Tobias, Dean of Arts and Education at Red Deer College.  Funding for the workshop came from the Alberta Historical Resources Foundation, Red Deer College, and the Universities of Alberta, Calgary, and Lethbridge.  This is the first document in the planning process for a comprehensive centennial project.  (Summary report of the Project 2005 Workshop, edited by David R. Elliott, Red Deer College, 1988).  Copies of the report have been deposited in the Provincial Archives of Alberta, the Glenbow-Alberta Institute, and the Archives of the Universities of Lethbridge, Calgary and Alberta.	project-2005.xml
Corporate body	University of Alberta in Calgary	1945 - 1966	The forerunner to the University of Calgary was a branch of the University of Alberta, administered from   Edmonton by the President under the Board of Governors. The branch became an Independent University with the passing of the Universitis Act, 1966.	The forerunner of the University of Calgary was a branch campus  of the University of Alberta, administered from Edmonton by the  President under the Board of Governors.  The branch became an  independent university with the passing of the Universities Act,  1966.  Directors: 1947-1960 Andrew Leo Doucette.  Principals:  1960-1963 Malcolm Gordon Taylor.  Presidents: 1963-1966 Herbert  Stoker Armstrong.	university-of-alberta-in-calgary.xml
Person	Nitecki, Andre	1925 -	Andre Nitecki came to the University in 1975 as associate of the Library and Information Studies, gaining his full professorship in 1981. A specialist in library classification, he also taught African art at the University of Lagos, Ibadan and Ghana, and participated in the Thai Royal Household Library Project. He has been active in Canadian University services Overseas (CUSO) and assisted in organizing the Conference of Africanists, held at the University in 1986.	Librarian. 1925-.  Andre Nitecki came to the University in 1975 as associate professor of Library  and Information Studies, gaining his full professorship in 1981.  A specialist in library classification,  he has also taught African art at the Universities of Lagos, Ibadan and Ghana, and participated in  the Thai Royal Household Library Project.  He has been active in Canadian University Services  Overseas (CUSO) and assisted in organizing the Conference of Africanists, held at the University in  1986.	nitecki-andre.xml
Person	Wilson, Harry Jackson	1896 - 1983	A graduate of the University in 1915 and President of the Alumni Association in 1936, Harry J. Wilson served as Deputy Attorney of Alberta from 1930s until 1961, when he was appointed provincial court judge, retiring in 1971. During World War I he served in France with the Tank Corps.	Lawyer, Judge, Civil servant, 1896-1983.  A graduate of the University in 1915 and President of the Alumni Association in 1936, Harry J. Wilson served as Deputy Attorney General of Alberta from the 1930s until 1961, when he was appointed provincial court judge, retiring in 1971.  During World War I he served in France with the Tank Corps.	wilson-harry-jackson.xml
Person	Allen, Willard Finlay		Dr.Willard Allen joined the staff of the Department of Chemistry in 1948. He Served as president of the Canadian Association of University Teachers, 1969-1970. In 1971 he was appointed associate Vice-President (Academic), to assist in the office's responsibility for faculties, schools, research institutes and ancillary services, as well as the research and Student Awards offices. Dr. Allen retired in 1984	Chemist, Administrator, 1924- .  Dr. Willard Allen joined the staff of the Department of  Chemistry in 1948.  He served as president of the Canadian Association of University Teachers,  1969-1970.  In 1971 he was appointed Associate Vice-President (Academic), to assist in the office's  responsibility for faculties, schools, research institutes and ancillary services, as well as the research  and Student Awards offices.  Dr. Allen retired in 1984.	allen-willard-finlay.xml
Corporate body	Friends of the University of Alberta	1943 -	The aim of the Friends of the University of Alberta is to promote good relations between the University and the citizens of the province and to raise money for University programs not covered by normal funding sources like government grants and students' fees. Its fundraising support services such as special library acquisitions, scholarships and bursaries, and sponsorship of the Henry Marshall Tory Lecture Series, which was instituted by the Friends in 1956.	The aim of the Friends of the University of Alberta is to promote good relations between the University and the citizens of the province and to raise money for University programs not covered by normal funding sources like government grants and students' fees.  Its fundraising supports services such as special library acquisitions, scholarships and bursaries, and sponsorship of the Henry Marshall Tory Lecture Series, which was instituted by the Friends in 1956.	friends-of-university-of-alberta.xml
