typeOfEntity	authorizedFormOfName	nameEntry-part	datesOfExistence	history	biogHist	XML file
Person	Eastman, William G.	Eastman William G	[ 19-- ] -	William G. Eastman was a staff engineer at Honeywell Corporation in Watertown, Massachusetts for ten years before returning to academic life in 1966 as professor of philosophy at the University of Alberta. His scholarly interests lay in the philosophical analysis of cognition in computers. He was also involved with the Peace and Friendship Caravan International 1984 during its Edmonton visit. Dr.Eastman retired from the University in 1986.	Philosopher, [19þ]- .  William G. Eastman was a staff engineer at Honeywell Corporation in Watertown, Massachusetts for ten years before returning to academic life in 1966 as professor of philosophy at the University of Alberta. His scholarly interest lay in the philosophical analysis of cognition in computers.  He was also involved with the Peace and Friendship Caravan International 1984 during its Edmonton visit.  Dr. Eastman retired from the University in 1986.	eastman-william-g.xml
Corporate body	Faculty of Physical Education and Recreation	University of Alberta Faculty of Physical Education and Recreation	1945 -	Sports teams and organized physical training were part of the University's activites from its beginning in 1908. Formal instruction in this discipline originated in the Department of Physical Education in the Faculty of Education (1945-1954), which became a School (1954) and finally a Faculty (1964) of Physical Education, the first such institution in the Commonwealth. Undergraduate degree programs include: Bachelor of Physical Education (BPE), Bachelor of Science in Kinesiology (BScKIN), Bachelor of Arts in Recreation and Leisure Studies (BARLS), and the 5-Year Combined Bachelor of Physical Education/Bachelor of Education degrees (BPE/BEd) in both Elementary and Secondary Education. Graduate programs in Physcial Education are also offered. The Faculty is linked to the other Health Sciences Faculties on the U of A campus through the Coordinating Council of Health Sciences.	Sports teams and organized physical training were part of the Universityþs activities from its  beginning in 1908.  Formal instruction in this discipline originated in the Department of Physical  Education in the Faculty of Education (1945-1954), which became a School (1954) and finally a  Faculty (1964) of Physical Education, the first such institution in the Commonwealth. The Faculty  offers undergraduate degrees in physical education (BPE) and recreation administration (BA, Rec.  Admin.) as well as teacher training in conjunction with the Faculty of Education.  Along with  supporting academic endeavours through graduate studies and research, the Faculty administers intramural and recreational programs on campus and acts as an advisor for intercollegiate athletics.  Currently the Faculty is comprised of the Departments of Physical Education and Sports Studies,  Recreation and Leisure Studies, and Athletics. Heads: 1945-1954 Maurice Lewis "Maury" Van Vliet.   Directors: 1954-1964 Maurice Lewis  "Maury" VanVliet.   Deans: 1964-1975 Maurice Lewis "Maury" VanVliet; 1975-1976 Herbert John  McLachlin (Acting); 1976-1981 Herbert John McLachlin; 1981-1990 Robert Gerald  Glassford; [1990]-  E. Jane Watkinson.	university-of-alberta-faculty-of-physical-education-and-recreation.xml
Person	Campbell, Duncan Archibald	Campbell Duncan Archibald	1910 -	Mr. Campbell received his BSc in Mining engineering in 1934. His collection of memorabilia illustrates student life in the 1930s.	Engineer, 1910- .  Mr. Campbell received his BSc in Mining Engineering in 1934.  His collection of memorabilia illustrates student life in the 1930s.	campbell-duncan-archibald.xml
Person	MacLean, Hector Robertson	MacLean Hector Robertson	1904 -	An alumnus of the University's Faculty of Dentistry, H.R MacLean rejoined the university in 1935 as demonstrator in operative dentistry. In 1938 he became head of the Department of Operative Dentistry, in 1946 professor of restorative dentistry, and in 1948 head of the Oral Diagnosis Section. He left his private practice in 1958 in order to act as Dean of the Faculty, a position he held until 1970 . Active in several local and national dental associations, Dr. MacLean published a history of Dentistry in Alberta	Dentist, Administrator, 1904-1988.  An alumnus of the Universityþs Faculty of Dentistry, H.R.  MacLean rejoined the University in 1935 as demonstrator in operative dentistry.  In 1938 he became  head of the Department of Operative Dentistry, in 1946 professor of restorative dentistry, and in  1948 head of the Oral Diagnosis Section.  He left his private practice in 1958 in order to act as  Dean of the Faculty, a position he held until 1970.  Active in several local and national dental  associations, Dr. MacLean published A History of Dentistry in Alberta, 1880-1980, in 1987.	maclean-hector-robertson.xml
Corporate body	Edmonton Board of Health Staff Nurses Association	Edmonton Board of Health Staff Nurses Association	1964 -	The Association regulates relations between the employer and employees; promotes the development of unity among staff members and between the Association and other units of the Board of Health; and strengthens public relations with the community and the nursing profession at large.	The Association regulates relations between the employer and the employees; promotes the development of unity among staff members and between the Association and other units of the Board of Health; and strengthens public relations with the community and the nursing profession at large.	edmonton-board-of-health-staff-nurses-association.xml
Corporate body	Department of Educational Administration	University of Alberta Department of Educational Administration	1956 -	The Department's goals are to provide graduate programs and contribute to the teacher education program in the Faculty of education while conducting research and offering professional services to educators and educational institutions. Included in its mandate is assisting other countries with developing their educational administrative systems (PACCR, 1983).	The Department's goals are to provide graduate programs and  contribute to the teacher education program in the Faculty of  Education while conducting research and offering professional  services to educators and educational institutions.  Included in  its mandate is assisting other countries with developing their  educational administrative systems (PACCR, 1983). Heads: 1956-1967 Arthur Weir Reeves; 1967-1968 Frederick Enns  (Acting); 1968-1969 Gordon L. Mowat.   Chairs: 1969-1973 Gordon L.  Mowart; 1973-1977 Erwin Miklos; 1977-1982 John E. Seger; 1982-  1990 Chester S. Bumbarger; [1989-1990] Walter Holmes Worth;  1990-  Eugene William Ratsoy.	university-of-alberta-department-of-educational-administration.xml
Corporate body	Office of the Dean of Men	University of Alberta Office of the Dean of Men	1960 - 1975	The Office of the Dean of Men and Foreign Student Advisor, established in 1960, had the responsibility to advise and assist male students, to supervise fraternities and to assist with student discipline. The Office acted as coordinator for Canadian University Services Overseas (CUSO) and the Canadian International Development Agency. The functions of the office were assumed by the Office of the Dean of Student in 1976.	The Office of the Dean of Men and Foreign Student Advisor, established in 1960, had the responsibility to advise and assist male students, to supervise fraternities and to assist with student discipline.  The Office acted as coordinator for Canadian University Services Overseas (CUSO) and the Canadian International Development Agency.  The functions of the office were assumed by the Office of the Dean of Student in 1976. Dean of Men:  1960-1975 Roland Charles Wilkins Hooper.	university-of-alberta-office-of-dean-of-men.xml
Person	Oslie, Muriel	Oslie Muriel	1904 -	Muriel Oslie was a school teacher before settling down as a farmer in Weyburn, Saskatchewan in 1931. In 1937 she moved to the Peace River District of Alberta, where she operated a trading post in Martin River until the early forties and a store in Three Creeks until 1969. Mrs Oslie recorded interviews with Peace River residnets, and together with her detailed diaries, she has preserved a personal history of frontier life in northern Alberta.	Teacher, Farmer, Merchant, 1904-  .  Muriel Oslie was a school teacher before settling down as a  farmer in Weyburn, Saskatchewan in 1931.  In 1937 she moved to the Peace River District of  Alberta, where she operated a trading post in Martin River until the early forties and a store in  Three Creeks until 1969.  Mrs. Oslie recorded interviews with Peace River residents, and together  with her detailed diaries, she has preserved a personal history of frontier life in northern Alberta.	oslie-muriel.xml
Person	Morrison, Hugh Whitney	Morrison Hugh Whitney	1908 -	After graduating with a BA from the University in 1930, Hugh Whitney Morrison studied in England on a Rhodes Scholarship, then worked as a news reporter in London, England and Toronto before joining the Canadian Broadcasting Company in 1938 as Director of Talks and Public affairs. From 1942 on he held several positions as a publicist in New York, Montreal and Toronto and from 1972 to 1978 he served as Director of the Public Relations Studies Program at Humber College.	Journalist, Publicist, 1908-  .  After graduating with a BA from the University in 1930, Hugh  Whitney Morrison  studied in England on a Rhodes Scholarship, then worked as a news reporter in  London, England and Toronto before joining the Canadian Broadcasting Company in 1938 as  Director of Talks and Public Affairs.  From 1942 on he held several positions as a publicist in New  York, Montreal and Toronto and from 1972 to 1978 he served as Director of the Public Relations  Studies Program at Humber College.	morrison-hugh-whitney.xml
Person	Bauer, Milton Frank	Bauer Milton Frank	1926 - 1980	Dr. Milton Bauer joined the University staff in 1956. He taught the Department of Economics, supervised graduate studies in money and finance, and researched Canadian monetary institutions with particular reference to the credit union movement.	Economist, 1926-1980.  Dr. Milton Bauer joined the University staff in 1956. He taught in the  Department of Economics, supervised graduate studies in money and finance, and researched  Canadian monetary institutions with particular reference to the credit union movement.	bauer-milton-frank.xml
Corporate body	Department of Animal Science	University of Alberta Department of Animal Science	1942 -	This department offers coursework in animal physiology, genetics, biochemistry, nutrition and related topics necessary to teach students to solve problems in animal production. It was formed through the amalgamation of three former departments in the Faculty of Agriculture: Animal Husbandry (founded 1917), Veterinary Science (1918) and Poultry Husbandry (1928). Besides preparing undergraduates with career- related training, the Department offers graduate work leading to MSc of PhD degrees.	This department offers coursework in animal physiology, genetics, biochemistry, nutrition and related topics necessary to teach students to solve problems in animal production.  It was formed through the amalgamation of three former departments in the Faculty of Agriculture:  Animal Husbandry (founded 1917), Veterinary Science (1918) and Poultry Husbandry (1928). Besides preparing undergraduates with career-related training, the Department offers graduate work leading to MSc or PhD degrees. Heads: 1942-1947 John Percy Sackville; 1947-1950 Robert David Sinclair; 1950-1969 Laird Ward McElroy.   Chairs: 1969-1972 Laird Ward McElroy; 1972-1977 Larry Patrick Milligan; 1977-1982 Roy Torgny Berg; 1982-1987 Robert Toombs Hardin; 1987-  Michael A. "Mick" Price	university-of-alberta-department-of-animal-science.xml
Corporate body	Canadian Association for Research in Home Economics	Canadian Association for Research in Home Economics			In 1959, the Canadian University Teachers of Home Economics/ Professeurs d'Economie Familiale des Universités Canadienne (CUTHE/PEFUC) was organized at a Learned Societies meeting in Saskatoon. It was founded for the purpose of bringing together Home Economics Faculty Members to hear and discuss scholarly papers and to study matters of common concern. In 1977 CUTHE affiliated with the Social Science Federation of Canada in order to become more active in the academic community and in 1982 was formally linked with the Canadian Home Economics Association. In 1985, in attempt to broaden its mandate CUTHE changed its name to the Canadian Association for Research in Home Economics/ Association Canadienne pour la Recherche in Economie Familiale  (CARHE/ ACREF) and allowed graduate student members. CARHE holds an annual conference affiliated with the Learned Societies, publishes conference proceedings, publishes a newsletter twice yearly, and funds graduate research in home economics. In 1990, CARHE had 127 members.	canadian-association-for-research-in-home-economics.xml
Corporate body	Personnel Services and Staff Relations	University of Alberta Personnel Services and Staff Relations	1957 -	During the 1940s, the Bursar assumed responsibility for non-academic staff matters. In 1957 the Personnel Office was established within the Bursar's Office, and ten years later it became a separate department. PSSR, reporting to the Vice-President (Finance and Administration), provides advice, assistance and services to departmental administrators on all matters affecting non-academic personnel, and ensures tat policies, regulations and guidelines are consistently applied throughout the campus. The department overseas the operation of six divisions: Employee Relations, Employment Services, Classification and Compensation, Information Systems, Training and Development, and Occupational Health and Safety.	During the 1940s, the Bursar assumed responsibility for non-  academic staff matters.  In 1957 the Personnel Office was  established within the Bursar's Office, and ten years later it  became a separate department.  PSSR, reporting to the Vice-  President (Finance and Administration), provides advice, assistance and services to departmental administrators on all  matters affecting non-academic personnel, and ensures that  policies, regulations and guidelines are consistently applied  throughout the campus.  The Department oversees the operation of  six divisions:  Employee Relations, Employment Services,  Classification and Compensation, Information Systems, Training and Development, and Occupational Health and Safety. Personnel Officers:  1957-1967 Murray Stewart Cooke.  Directors:  1967-1976 Murray Stewart Cooke; 1976-  Brian Caunt.	university-of-alberta-personnel-services-and-staff-relations.xml
