"UAL Avalon test batch",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bibligraphic id","id label","other identifier","other identifier type","title","creator","role","creator","role","creator","role","creator","role","genre","genre","genre","genre","date issued","date created","abstract","language","related item url","related item label","topical subject","topical subject","terms of use","publish","hidden","file","label","file","label","file","label"
,,"7w62f8897","other","Open Discussion on Research Data and Data Management","Hik, David","pre","Romaniuk, Mary-Jo","pre",,,,,"Panel","Educational","Talk","Question and Answer Session","2012/03/22",,"Open discussion (led by David Hik) on research data and data management","eng","https://era.library.ualberta.ca/files/7w62f8897","Education & Research Archive","topical subject","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","﻿sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/7w62f8897_file%3Dwebm.mp4",,,,,
,,"j6731387r","other","Challenges in collecting, managing and archiving data: vignettes: Biological Sciences ","Williamson, Scott","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Scott Williamson (PhD student, Biological Sciences) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/j6731387r","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/j6731387r_file%3Dwebm.mp4",,,,,
,,"k930bx170","other","Polar Data Commons: national infrastructure to support international research","Carlson, David","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/23",,"Presentation given at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/k930bx170","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/k930bx170_file%3Dwebm.mp4",,,,,
,,"r494vm07g","other","Preliminary Results from the Campus Data Management Survey","Humphrey, Chuck","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Chuck Humphrey (Data Library Coordinator, University of Alberta) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/r494vm07g","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/r494vm07g_file%3Dwebm.mp4",,,,,
,,"t722hb127","other","Challenges in collecting, managing and archiving data: vignettes: Anthropology","Kristensen, Todd","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Todd Kristensen (PhD student, Anthropology) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/t722hb127","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/t722hb127_file%3Dwebm.mp4",,,,,
,,"v692t6588","other","University of Alberta Service and Academic Unit Responses to Panel Discussion on Coordinating Research Data Practices 
and Infrastructure","Babcock, Susan","pre","Deydey, Lorraine","pre","Paszkowski, Cindy","pre",,,"Panel","Educational","Talk","Question and Answer Session","2012/03/23",,"Responses by Susan Babcock (University of Alberta Research Ethics Office), Lorraine Deydey (University of Alberta Research Services Office) and Cindy Paszkowski (Associate Chair, Research, Biological Sciences, University of Alberta) to a panel discussion on coordinating research data practices and infrastructure. Part of the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/v692t6588","Education & Research Archive","Data preservation","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/v692t6588_file%3Dwebm.mp4",,,,,
,,"v692t666z","other","Introduction to day 2 of the 2012 University of Alberta Campus Data Summit","Hik, David","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/23",,"David Hik introducing day 2 of the 2012 University of Alberta Campus Data Summit","eng","https://era.library.ualberta.ca/files/v692t666z","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/v692t666z_file%3Dwebm.mp4",,,,,
,,"xg94hq786","other","Challenges in collecting, managing and archiving data: vignettes: Physical Education and Recreation","Robinson, Zac","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Zac Robinson (Professor, Physical Education and Recreation) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/xg94hq786","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/xg94hq786_file%3Dwebm.mp4",,,,,
,,"q524jp274","other","Susan Babcock on collaborations and partnerships","Babcock, Susan","pre","Tomlinson, Scott","pre","Broome, John","pre","Nickels, Scot","pre","Panel","Educational","Talk",,"2012/03/20",,"Presentation by Susan Babcock (Research Ethics Office, University of Alberta) with panel responses by John Broome (Chair, CDN National Committee - CODATA International), Scot Nickels (Director, Inuit Qaujisarvingat, Inuit Knowledge Centre, Inuit Tapiriit Kanatami) and Scott Tomlinson (Environmental Scientist, Northern Contaminants Program, Gov. of Canada).","eng","https://era.library.ualberta.ca/files/q524jp274","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/q524jp274_file%3Dwebm.mp4",,,,,
,,"8c97kr95z","other","Data Assembly Centre Network Infrastructure: making it all work","Johnston, Lindsay","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/23",,"Presentation given at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/8c97kr95z","Education & Research Archive","Data preservation","International Polar Year","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/8c97kr95z_file%3Dwebm.mp4",,,,,
,,"qf85nc52f","other","Inuit Tapiriit Kanatami (ITK): working with Inuit communities to preserve their data","Nickels, Scot","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/23",,"Presentation given at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/qf85nc52f","Education & Research Archive","Data preservation","Inuit Tapiriit Kanatami (ITK)","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/qf85nc52f_file%3Dwebm.mp4",,,,,
,,"mp48sf10d","other","Challenges in collecting, managing and archiving data: vignettes: Biological Sciences ","Barrio, Isabel C.","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Isabel Barrio (Postdoc, Biologicial Sciences) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/mp48sf10d","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/mp48sf10d_file%3Dwebm.mp4",,,,,
,,"jh343s62q","other","Open Data: Legal and Conceptual Issues","Bubela, Tania","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/23",,"Presentation given at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/jh343s62q","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/jh343s62q_file%3Dwebm.mp4",,,,,
,,"w37638277","other","Challenges in collecting, managing and archiving data: vignettes: Earth and Atmospheric Sciences","Pastorello, Gilberto Z.","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Gilberto Z. Pastorello (Postdoc, Earth and Atmospheric Sciences) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/w37638277","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/w37638277_file%3Dwebm.mp4",,,,,
,,"zp38wd673","other","Challenges in collecting, managing and archiving data: vignettes: History","Piper, Liza","pre",,,,,,,"Panel","Educational","Talk",,"2012/03/22",,"Presentation given by Liza Piper (Professor, History) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/zp38wd673","Education & Research Archive","Data management","Research data","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/CDSIDay1Piper.mp4","Part 1","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/CDSIDayPiperpt2.mp4","Part 2",,
,,"3x816n856","other","2012 Data Summit Keynote Presentation by David Carlson","Carlson, David","pre",,,,,,,"Panel","Educational","Talk","Question and Answer Session","2012/03/22",,"Presentation given by David Carlson (former Director, International Polar Year Program Office) at the 2012 University of Alberta Campus Data Summit, March 22-23, 2012.","eng","https://era.library.ualberta.ca/files/3x816n856","Education & Research Archive","Data management","Data-intensive research","Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported","yes","no","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/CDSIDay1keynote.mp4","Keynote","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/CDSIDay1keynotediscussion.mp4","Keynote Discussion","sftp://avalondrop@avalon.library.ualberta.ca/dropbox/Campus_Data_Summit/2012/CDSIDay1keynotequestions.mp4","Keynote Questions"
