titles	num
Grade 12 diploma examination.	430
Annual report /	358
Within our borders.	226
Permit no.	217
Examen en vue du diplÃ´me douziÃ¨me annÃ©e.	137
Ce que mon enfant apprend Ã  l'Ã©cole :	115
PSU, block and project approvals, monthly update.	107
Alberta provincial electoral division profile.	83
Environment views.	76
Newsline.	72
Alberta municipal counsellor.	71
Agri-news.	61
Diploma examinations program.	56
Information bulletin.	55
The status report /	51
Alberta statistical review.	48
Specified gas emitters regulation :	46
Company name and address.	44
Annual report.	42
Curriculum handbook for parents.	42
Informational letter /	41
Provincial report.	38
Grade one thematic.	37
Curriculum express for parents.	36
Grade two thematic.	36
Mathematics 5.	36
Mathematics 7.	35
Mathematics 8.	35
Research report /	35
Grade three thematic.	34
Occupational injuries and diseases in Alberta.	33
Focus :	31
Cornerstone :	30
Pure mathematics 30.	29
Grade three mathematics.	27
Grade two mathematics.	27
Alberta industrial newsletter /	25
Custom rates survey.	25
Rock chips :	25
AgTech Centre innovator.	24
Alberta international trade review.	24
Alberta population growth.	24
Annual report of the Auditor General.	24
Diploma examination results examiners' report for ...	24
English language arts 9 /	24
Sheep footnotes.	24
Social studies 30.	24
Alberta newsletter /	23
Board decisions.	23
English language arts 30-1.	23
English language arts 30-2.	23
Examen en vue du diplÃ´me 12e annÃ©e.	23
Achievement test.	22
Ag file.	22
Ag-knowledge :	22
Field and pool codes numeric list /	22
Physics 30 /	22
Alberta municipalities, urban and rural, including the chief officials of all cities, towns, villages, counties and municipal districts.	21
Applied mathematics 10.	21
English language arts 10-2.	21
English language arts 20-1.	21
English language arts 7.	21
English language arts 8 /	21
English language arts 9.	21
Mathematics 33.	21
Monthly economic review /	21
Science 7 /	21
Alberta oil sands plant statistics monthly supplement.	20
Biology 30 diploma examination results.	20
English 33 diploma examination results.	20
English language arts 10-1.	20
Mathematics 30 diploma examination results.	20
Oil and gas units, quarterly update.	20
Physics 30 diploma examination results.	20
Survival.	20
Chemistry 30 diploma examination results.	19
English 30 diploma examination results.	19
Field alphabetic list /	19
Mathematics 24.	19
Science 8 /	19
Social studies 30 diploma examination results.	19
Alberta's reserves of gas :	18
English language arts 20-2.	18
Grade one mathematics.	18
Mathematics 31 /	18
Mathematics 4.	18
Mathematics 6.	18
Science 4.	18
Alberta's agricultural processing industry directory.	17
Innovative Housing Grants Program :	17
Reported feed grain prices.	17
Science 14 /	17
Student achievement testing program bulletin :	17
Water supply outlook for Alberta /	17
Annual review /	16
Biology 20.	16
Biology 30.	16
Chemistry 20 /	16
Field and pool codes and names, supplementary list.	16
Grade 12 diploma examinations program.	16
Science 10.	16
Science 7.	16
Science 8.	16
Transearch :	16
Zoot capri.	16
Agriculture in the classroom.	15
Alberta municipal assistance programs :	15
Alberta oil sands annual statistics /	15
Alberta's reserves of crude oil, oil sands, gas, natural gas liquids, and sulphur.	15
Departmental examinations, 1928.	15
French 13.	15
Offices of the Legislative Assembly estimates.	15
Science 9.	15
Social studies 33.	15
Statistical report /	15
The Water hauler's bulletin.	15
Applied mathematics 20.	14
Chemistry 20.	14
Crop protection.	14
Forestry, lands & wildlife.	14
Occupational injuries and diseases in Alberta :	14
Alberta bird atlas newsletter.	13
Alberta economic quick facts.	13
Individualized program planning (IPP) :	13
Legislative Assembly estimates.	13
Lost-time claims and claim rates ... summary /	13
Mathematics 9 :	13
Plan d'intervention personnalisÃ© :	13
Programs for seniors /	13
Alberta Children's Services annual report /	12
Annual report of the Alberta Dairy Control Board for the fiscal year ending March 31, ...	12
Applied mathematics 30.	12
Cost analysis of egg production in Alberta.	12
English 10-1.	12
English 10-2.	12
Home test report.	12
Math 6 /	12
Mathematics 14.	12
Occupational injury and disease in Alberta.	12
Oil proration data.	12
Permit and licence no.	12
Pure mathematics 20 /	12
School jurisdictions audited financial statements for the year ended ...	12
Science 14.	12
Science 30 grade 12 diploma examination.	12
Zoot capri :	12
Advisory aspects.	11
Alberta guide to hunting regulations.	11
Departmental examinations, 1926.	11
English 20-2.	11
Government estimates.	11
Licensee or agent and address.	11
Mathematics preparation 10.	11
Residential construction in Alberta.	11
School bus driver improvement program.	11
Social studies 23.	11
Techciting Alberta.	11
The Alberta investment guide /	11
The link.	11
Zoot :	11
Annual Alberta labour market review.	10
Annual report, Diploma Examinations Program.	10
CIACA construction bulletin /	10
Departmental examinations, 1927.	10
English 30 /	10
French 10 /	10
Guide to crop protection in Alberta.	10
Mathematics 23.	10
Mathematics 9.	10
Programme diagnostique de mathÃ©matiques :	10
Pure mathematics 10.	10
Pure mathematics 20.	10
Science 24.	10
Water supply outlook for southern and central Alberta /	10
A guide to aboriginal organizations in Alberta.	9
Agricultural statistics.	9
Alberta house cost comparison study.	9
Art 11.	9
Assessment highlights.	9
Consumer tips.	9
Departmental examinations, [grade 12] 1969, August.	9
Departmental examinations, 1922, grade VII.	9
Diploma examinations program information bulletin.	9
Energy Alberta.	9
English 10 /	9
English 20.	9
English 23 /	9
General psychology 20 :	9
General publications of Alberta Energy and Natural Resources.	9
General sociology 20 :	9
Information bulletin re Alberta cost of service /	9
Irrigation and Resource Management Division :	9
Math 4.	9
Math 5.	9
Mathematics 10 /	9
Mathematics 13.	9
Mathematics 31.	9
ModÃ¨les de rendement langagier :	9
Oil allocation data.	9
Parent guide to provincial achievement testing.	9
Perspectives on ideology.	9
Physics 20 /	9
Promotion tests, grade VIII, 1936.	9
Science 20 /	9
Science 24 /	9
Science 30 :	9
Technical publications of Alberta Energy and Natural Resources.	9
A multi-species conservation strategy for species at risk in the Milk River basin ... progress report	8
Air quality monitoring in Alberta.	8
Alberta performing artists.	8
Albertans & climate change :	8
Art 21.	8
Art 31.	8
Biology 20 /	8
Biology 30 / Alberta Education ; Distance Learning.	8
Budget /	8
Bulletin d'information.	8
Chemistry 30 /	8
Departmental examinations, 1929.	8
Diploma examinations program	8
English 13 /	8
English as a second language :	8
French 13 /	8
French 30.	8
Good moves.	8
Land forest wildlife.	8
Mathematics 30.	8
Personal psychology 20 :	8
Range plant community types and carrying capacity for the montane subregion :	8
Satisfaction with education in Alberta survey, ... :	8
Science 9 /	8
Social resources inventory.	8
Supplementary supply estimates, general revenue fund.	8
The triennial report /	8
Agricultural land base study :	7
Alberta Resources Railway Corporation financial statements, December 31, ...	7
Annual report for ... to the Minister of Seniors /	7
Assessment highlights :	7
Birth and death statistics by health units of Alberta.	7
Child welfare in progress newsletter.	7
Child welfare in progress.	7
Departmental examinations, [grade 12] 1968, August.	7
Diploma examinations program update.	7
Field crops project book.	7
Government estimates and capital fund estimates.	7
Guide de l'Ã©ducation :	7
Math factor	7
Mathematics 30 /	7
Mathematics 30 information bulletin, diploma examinations program.	7
Report of the Auditor General of Alberta.	7
Report of the Auditor General.	7
Seniors programs and services information guide /	7
Training manual for drivers of the disabled in Alberta.	7
Treasury annual report /	7
Water for life :	7
6e annÃ©e test de rendement.	6
Advancing primary health care in Alberta.	6
Alberta First Nations population :	6
Alberta machinery & equipment assessment manual.	6
Alberta north.	6
Beef 'n bacon.	6
Career information catalogue.	6
Cold Lake baseline study :	6
Collective bargaining scene labour fact book.	6
Communities on tap.	6
Companies--Alberta.	6
Currents, the employee newsletter of Alberta Labour.	6
Departmental examinations, [grade 12] 1967.	6
Departmental examinations, [grade 12] 1968.	6
Departmental examinations, 1938, grade IX.	6
Environmental and outdoor education, year one /	6
Government estimates, general revenue fund, lottery fund.	6
Grade 9 achievement test.	6
Health costing in Alberta ... annual report.	6
La planification des Ã©tudes postsecondaires :	6
Laws for Albertans.	6
Occupational health and safety manual for small business /	6
Planning for post-secondary studies :	6
Program unit funding :	6
Rocky Mountain national parks utilization study, stage 1 :	6
Sport and recreation resource guide /	6
Subsurface pressure data, quarterly update.	6
Visitation statistics, provincial parks & recreation areas /	6
Water quality and streamflow data	6
Water supply outlook /	6
Agricultural societies newsletter.	5
Alberta Hire a Student handbook.	5
Alberta Library Board report.	5
Alberta municipality profile, 2001 census of agriculture :	5
Alberta species at risk program and projects.	5
Alberta vacation planner /	5
Alberta's energy reserves ... and supply/demand outlook.	5
Alberta's reserves ... and supply/demand outlook.	5
Annual report :	5
Annual report of production and sales for ... /	5
Apprenticeship update.	5
Art information catalogue /	5
Breaking the pattern :	5
Bulletin d'information, programme des examens en vue du diplÃ´me.	5
Bulletin du programme de tests de rendement.	5
Crop protection with chemicals.	5
Departmental examinations, [grade 12] 1969.	5
Departmental examinations, grade VIII, 1925.	5
Directory of custom operators in Alberta.	5
English 33 /	5
First Nations of Alberta :	5
General information bulletin, achievement testing program, grades 3, 6, and 9.	5
General information bulletin, achievement testing program.	5
Guide for charter school planning and results reporting.	5
HIV/AIDS education in schools evaluation /	5
Immigrant aid organizations in Alberta.	5
Inside/out :	5
Language learning level 5 /	5
Laws of interest to the women of Alberta.	5
Le plan d'activitÃ©s d'Alberta Learning.	5
Les plans et les rapports :	5
Library consumer resources /	5
List of Alberta publications and legislation.	5
Lost-time claims, disabling injury claims and claim rates ... summary /	5
Marketing food in Alberta :	5
Oil and gas well blowout report, events of ... /	5
Park user statistics /	5
Park user statistics.	5
Plan triennal /	5
Program guidelines /	5
Public post-secondary institutions audited financial statements.	5
Rangeland reference areas :	5
Report of activities for ... /	5
Sense & nonsense :	5
Term examination, June, 1922.	5
The Southern headwaters at risk project :	5
Victims Services Branch Status report.	5
Vision 2020.	5
Alberta downhill ski market analysis, 1983/84.	4
Alberta property assessment manual for managed woodlot operations.	4
