File_name,Title,Department,Community,Publisher,Creator
proceedingsofzer00zero,"Proceedings of Zero Tillage In-Service Training Course, July 24 & 25, 1979, Calgary, Alberta",Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,"[Edmonton, Alta.] : Alberta Agriculture","Zero Tillage In-Service Training Course (1979 : Calgary, Alta.) Alberta. Alberta Agriculture"
albertansrespond00albe,Albertans respond to the proposed environmental regulations : a summary of public comments September 1991-June 1992,Alberta Environment and Parks. Alberta Environmental Protection.,Alberta Environment and Parks,"[Edmonton, AB] : Alberta Environmental Protection",Alberta. Alberta Environmental Protection
surveyofvillageo00albe,Survey of village of Berwyn / Rev. Aug. 1963.,Alberta Economic Development and Trade. Industrial Development Branch. Dept. of Industry and Development.,Alberta Economic Development and Trade,[Edmonton : The Dept.],Alberta. Industrial Development Branch Alberta. Dept. of Industry and Development
englishlanguagea05albe_28,English language arts 10-1,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Alberta Learning. Learning Technologies Branch Alberta. Alberta Learning
albertasreserves2,Alberta's reserves / 1999,Alberta Energy.,Alberta Energy,Calgary : Alberta Energy and Utilities Board,Alberta Energy and Utilities Board
buildingcommunit00unse_0,Building community support for your project : Success by design,Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,"Edmonton, Alta. : Alberta Agriculture, Food and Rural Development",
customratessurvey2010,Custom rates survey / 1985,"Alberta Agriculture and Forestry. Statistics Branch. Alberta Agriculture, Food and Rural Development. Market Analysis & Statistics Branch. Alberta Agriculture, Food, and Rural Development. Production Economics and Statistics Branch. Alberta Agriculture, Food, and Rural Development. Statistics & Data Development Unit. Alberta Agriculture and Food. Statistics & Data Development Unit. Alberta Agriculture and Rural Development. Statistics & Data Development Unit. Economics and Competitiveness Division. Statistics and Data Development Branch.",Alberta Agriculture and Forestry,"[Edmonton] : Alberta Agriculture, Statistics Branch","Alberta. Alberta Agriculture. Statistics Branch Alberta. Alberta Agriculture, Food and Rural Development. Market Analysis & Statistics Branch Alberta. Alberta Agriculture, Food, and Rural Development. Production Economics and Statistics Branch Alberta. Alberta Agriculture, Food, and Rural Development. Statistics & Data Development Unit Alberta. Alberta Agriculture and Food. Statistics & Data Development Unit Alberta. Alberta Agriculture and Rural Development. Statistics & Data Development Unit Alberta. Economics and Competitiveness Division. Statistics and Data Development Branch"
customratessurvey1986,Custom rates survey / 1985,"Alberta Agriculture and Forestry. Statistics Branch. Alberta Agriculture, Food and Rural Development. Market Analysis & Statistics Branch. Alberta Agriculture, Food, and Rural Development. Production Economics and Statistics Branch. Alberta Agriculture, Food, and Rural Development. Statistics & Data Development Unit. Alberta Agriculture and Food. Statistics & Data Development Unit. Alberta Agriculture and Rural Development. Statistics & Data Development Unit. Economics and Competitiveness Division. Statistics and Data Development Branch.",Alberta Agriculture and Forestry,"[Edmonton] : Alberta Agriculture, Statistics Branch","Alberta. Alberta Agriculture. Statistics Branch Alberta. Alberta Agriculture, Food and Rural Development. Market Analysis & Statistics Branch Alberta. Alberta Agriculture, Food, and Rural Development. Production Economics and Statistics Branch Alberta. Alberta Agriculture, Food, and Rural Development. Statistics & Data Development Unit Alberta. Alberta Agriculture and Food. Statistics & Data Development Unit Alberta. Alberta Agriculture and Rural Development. Statistics & Data Development Unit Alberta. Economics and Competitiveness Division. Statistics and Data Development Branch"
cequemonenfantap00albe_73,Ce que mon enfant apprend à l'école : manuel à l'intention des parents. Septième année. 2007/2008 / 2007,Alberta Education. Alberta Learning.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education Alberta. Alberta Learning
albertainglobale00albe,Alberta in the global energy spectrum,Alberta Energy. Alberta Energy and Natural Resources.,Alberta Energy,[Edmonton] : Alberta Energy Information Centre,Alberta. Alberta Energy and Natural Resources
statutgrainfrei1987_88,Statutory grain freight rates from Alberta to Vancouver/Prince Rupert and Thunder Bay / 1988,Alberta Agriculture and Forestry. Alberta Agriculture. Production and Resource Economics Branch. Distribution and Transportation Services. Transportation Services.,Alberta Agriculture and Forestry,"[Edmonton] : Alberta Agriculture, Economic Services Division, Production and Resource Economics Branch",Alberta. Alberta Agriculture. Production and Resource Economics Branch Alberta. Distribution and Transportation Services Alberta. Transportation Services
appliedmathemati05albe_1,Applied mathematics 30,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Learning Technologies Branch
annualreportrest2004albe,Annual Report : Restructuring and Government Efficiency / 2005,Government of Alberta. Restructuring and Government Efficiency.,Government of Alberta,Edmonton : Restructuring and Government Efficiency,Alberta. Restructuring and Government Efficiency
growingforwardca05grow,Growing forward : the Capital Region growth plan,Alberta Municipal Affairs.,Alberta Municipal Affairs,[Edmonton : Alberta Municipal Affairs],Growing Forward (Canada) Alberta. Alberta Municipal Affairs Capital Region Board (Alberta)
electricalrewind00albe,Electrical rewind mechanic program,Alberta Labour. Alberta Manpower. Apprenticeship and Trade Certification Branch.,Alberta Labour,"[Edmonton, Alta.] : Alberta Manpower, Apprenticeship and Trade Certification",Alberta. Alberta Manpower Alberta. Apprenticeship and Trade Certification Branch
birdpopulationso00pres_0,Bird populations on the shoreline of Buffalo Lake : identification of priority areas for conservation,Alberta Environment and Parks. Alberta Sustainable Resource Development.,Alberta Environment and Parks,"Edmonton : Alberta Sustainable Resource Development, Fish & Wildlife Division, Species At Risk","Prescott, David R. C. (David Robert Charles) Stevens, Scott D Alberta. Alberta Sustainable Resource Development"
volunteeringhowt00albe,Volunteering : how to build your career by helping others,Alberta Advanced Education. Alberta Advanced Education and Career Development. Information Development and Marketing.,Alberta Advanced Education,"Edmonton : Information Development and Marketing, Career and Labour Market Information, Alberta Advanced Education and Career Development",Alberta. Alberta Advanced Education and Career Development Information Development and Marketing
consensusofcosts00andr_1,A consensus of costs and returns for barley production in the Leduc district,Alberta Agriculture and Forestry. Alberta Agriculture. Production and Resource Economics Branch.,Alberta Agriculture and Forestry,"[Edmonton] : Alberta Agriculture, Economic Services Division, Production and Resource Economics Branch","Andruchow, L. J Alberta. Alberta Agriculture. Production and Resource Economics Branch"
withinourborders00albe_94,"Within our borders, 1960-08 / 1960-08",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
autobodytechnici00albe_0,Auto body technician : apprenticeship course outline,Alberta Advanced Education. Alberta Advanced Education and Technology. Apprenticeship and Industry Training.,Alberta Advanced Education,"Edmonton, AB : Alberta Advanced Education and Technology",Alberta. Alberta Advanced Education and Technology. Apprenticeship and Industry Training
withinourborders47albe,"Within our borders, volume 4 no. 7 1951-09-15 / 4 no. 7",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
parentguidetopro00albe_2,Parent guide to provincial achievement testing. Grade 6 / 1996,Alberta Education. Student Evaluation Branch.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation Branch
english3301albe,English 33,Alberta Education. Distance Learning.,Alberta Education,,Alberta. Alberta Education Alberta. Distance Learning
mathematics30di1994unse_0,Mathematics 30 diploma examination results / Jan 1994,Alberta Education. Student Evaluation.,Alberta Education,"[Edmonton] : Alberta Education, Student Evaluation",
requirementsfors00albe,Requirements for special education in accredited-funded private schools,Alberta Education.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Alberta Education
withinourborders00alb_3ia,"Within our borders, 1964-01 / 1964-01",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
psublockprojappr198704,"PSU, block and project approvals, monthly update / 1987-04",Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : Energy Resources Conservation Board,Alberta. Energy Resources Conservation Board Alberta Energy and Utilities Board
quickndirtyshort00albe,The quick 'n dirty : a short guide to farm survival,Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,"Edmonton, Alta. : Alberta Agriculture and Food",Alberta. Alberta Agriculture and Food
permno87no190,Permit no / GR 1987: no. 190,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,"[Calgary] : Province of Alberta, Energy Resources Conservation Board",Alberta. Energy Resources Conservation Board
fromphantomtofib00moor_0,From phantom to fibre : personal recollections of telephone engineering,Government of Alberta.,Government of Alberta,Edmonton : Alberta Government Telephones,"Moore, R. J. (Robert J.) Alberta Government Telephones"
assessmentreview2005albe,Assessment review board training manual / 2005,Alberta Municipal Affairs. Assessment Services Branch.,Alberta Municipal Affairs,"[Edmonton] : Alberta Municipal Affairs, Assessment Services Branch",Alberta. Alberta Municipal Affairs Alberta. Assessment Services Branch
curriculumhandbo9199albe,Curriculum handbook for parents. Catholic school version. Grade 9 / 1997,Alberta Education.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education
english33diploma1998albe,English 33 diploma examination results / Jun 1998,Alberta Education. Student Evaluation Branch.,Alberta Education,"[Edmonton] : Alberta Education, Student Evaluation",Alberta. Student Evaluation Branch
hometestreport1987septdec,Home test report / 1987,Government of Alberta. Alberta Swine Improvement Program,Government of Alberta,[Edmonton] : Alberta Swine Improvement Program,Alberta Swine Improvement Program (Canada)
mathematics1006albe,Mathematics 10,Alberta Education. Alberta Distance Learning Centre.,Alberta Education,,Alberta. Alberta Education. Alberta Distance Learning Centre Alberta. Alberta Education
beefcowcalfmanua00marx,The beef cow-calf manual / [Updated 4th ed.],Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,"Edmonton : Alberta Agriculture and Food, Information Packaging Centre","Marx, Tennis Alberta. Alberta Agriculture and Food"
satisfactionwith2011albe,"Satisfaction with education in Alberta survey, ... : summary report / 2011",Alberta Education. Performance Measurement and Reporting Branch.,Alberta Education,"Edmonton, AB : Alberta Education",Alberta. Performance Measurement and Reporting Branch
questionsanswers00albe_0,Questions and answers on the draft South Saskatchewan River Basin water management plan,Alberta Environment and Parks.,Alberta Environment and Parks,"[Edmonton, AB?] : Alberta Environment",Alberta. Alberta Environment
withinourborders00albe_78,"Within our borders, 1959-04-01 / 1959-04-01",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
psublockprojappr199110,"PSU, block and project approvals, monthly update / 1991-10",Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : Energy Resources Conservation Board,Alberta. Energy Resources Conservation Board Alberta Energy and Utilities Board
canadianplaysfor00albe_0,Canadian plays for community theatres : a selected annotated bibliography,Alberta Culture and Tourism. Alberta Culture and Multiculturalism. Performing Arts.,Alberta Culture and Tourism,[Edmonton] : Alberta Culture and Multiculturalism,Alberta. Alberta Culture and Multiculturalism Alberta. Performing Arts
perspectivesonid04unse,Perspectives on ideology,Alberta Education.,Alberta Education,"Edmonton, Alta. : Alberta Education",
albertalabournew00albe,Alberta labour news / 1987,Alberta Labour.,Alberta Labour,Edmonton : Alberta Labour,Alberta. Alberta Labour
reportofchiefele00albe_8,"Report of the Chief Electoral Officer on the Edmonton-Strathcona by-election held Monday, December 17, 1990",Legislative Assembly Office. Chief Electoral Officer.,Legislative Assembly Office,"[Edmonton, Alta.] : Province of Alberta",Alberta Alberta. Chief Electoral Officer
livretdedonnesch00albe,Livret de donnes : chimie / Ãdition rÃ©visÃ©e.,Alberta Education.,Alberta Education,,"Alberta. Alberta Education, issuing body"
seriiachytanokdl02turk,Serii͡a chytanok dli͡a rozvitku ukraïnsʹkoï movy,Alberta Education.,Alberta Education,Edmonton : Alberta Education,"Turko, Xenia C Zyp, Hank C. J. M"
grade12diplomae1999albe_8,"Grade 12 diploma examination. English 30. Part A, Written response / Jun 1999",Alberta Education. Student Evaluation and Records. Student Evaluation Branch.,Alberta Education,[Edmonton] : Alberta Education,Alberta. Alberta Education Alberta. Student Evaluation and Records Alberta. Student Evaluation Branch
applyingforconse00fami_0,Applying for a consent order that includes child support,Government of Alberta. Family Law Information Centre.,Government of Alberta,Edmonton : Family Law Information Centre,Family Law Information Centre
companynameaddre00albe_23,Company name and address. Numeric list / 1994-02,Alberta Energy. Energy Resources Conservation Board.,Alberta Energy,Calgary : Energy Resources Conservation Board,Alberta. Energy Resources Conservation Board
collectivebarg1987,Collective bargaining scene labour fact book / 1987,Alberta Labour. Statistics & Information Services.,Alberta Labour,"[Edmonton] : Information & Statistics, Planning & Research, Alberta Labour",Alberta. Alberta Labour. Statistics & Information Services
withinourborders315albe,"Within our borders, volume 3 no. 15 1951-04-15 / 3 no. 15",Alberta Economic Development and Trade. Dept. of Economic Affairs. Publicity Branch.,Alberta Economic Development and Trade,"Edmonton, Govt. of Alberta",Alberta. Dept. of Economic Affairs. Publicity Branch
educationcaringa00albe,"Education and caring : Alberta's program for the prevention, management and control of AIDS",Alberta Health. Alberta Community and Occupational Health.,Alberta Health,[Edmonton] : Alberta Community and Occupational Health,Alberta. Alberta Community and Occupational Health
curriculumexpre3201albe_2,Curriculum express for parents. Grade 3 / 2011,Alberta Education.,Alberta Education,Edmonton : Alberta Education,Alberta. Alberta Education
albertadairy1988,Annual report of the Alberta Dairy Control Board for the fiscal year ending March 31 / 1988,Alberta Agriculture and Forestry.,Alberta Agriculture and Forestry,"[Edmonton, Alta.] : Alberta Agriculture",Alberta Dairy Control Board Alberta. Alberta Agriculture
agendaforactionr00albe,An Agenda for action : report of the Advisory Committee on the Utilization of Medical Services,Government of Alberta. Advisory Committee on the Utilization of Medical Services.,Government of Alberta,[Edmonton : The Committee],"Alberta. Advisory Committee on the Utilization of Medical Services Watanabe, M"
annualreportfort2006seni,Annual report for ... to the Minister of Seniors / 2006 - 2007,Government of Alberta.,Government of Alberta,[Edmonton] : The Council,Seniors Advisory Council for Alberta
glassworkerprogr00albe,Glassworker program,Alberta Advanced Education; Alberta Labour. Apprenticeship and Trade Certification.,Alberta Advanced Education; Alberta Labour,"[Edmonton, Alta.] : Alberta Career Development and Employment, Apprenticeship and Trade Certification",Alberta. Apprenticeship and Trade Certification
filmalberta00albe,Film Alberta,Alberta Economic Development and Trade.,Alberta Economic Development and Trade,"Edmonton, AB : The Department",Alberta. Alberta Economic Development and Trade
gradetwothematic02albe_0,Grade two thematic,Alberta Education. Learning Technologies Branch.,Alberta Education,[Edmonton] : Alberta Learning,Alberta. Alberta Learning Alberta. Learning Technologies Branch
surveyofhighprai00albe,Survey of High Prairie / Rev. Aug. 1962.,Alberta Economic Development and Trade. Industrial Development Branch. Dept. of Industry and Development.,Alberta Economic Development and Trade,[Edmonton : The Dept.],Alberta. Industrial Development Branch Alberta. Dept. of Industry and Development
annualreportdipl1993albe,"Annual report, Diploma Examinations Program / 1990",Alberta Education. Student Evaluation Branch.,Alberta Education,"Edmonton : Alberta Education, Student Evaluation",Alberta. Student Evaluation Branch
airtoxicsmanagem00albe,Air toxics management program in Alberta,Alberta Environment and Parks. Alberta Environmental Protection. Environmental Service. Alberta Environment and Parks. Alberta Environmental Protection. Air and Water Approvals Division. Environmental Regulatory Service Chemicals Assessment and Management Division.,Alberta Environment and Parks,Edmonton : The Dept.,Alberta. Alberta Environmental Protection. Environmental Service Alberta. Alberta Environmental Protection. Air and Water Approvals Division Alberta. Environmental Regulatory Service Chemicals Assessment and Management Division
guidelinesforqua00pegg,Guidelines for the quality assurance of geomembrane liners for environmental protection,Alberta Environment and Parks. Alberta Environment. Standards and Approvals Division.,Alberta Environment and Parks,"Edmonton, Alta. : Alberta Environment","Peggs, Ian D Alberta. Alberta Environment. Standards and Approvals Division"
repfeedgrainpri86_01_27,Reported feed grain prices / 1986-01-27,Alberta Agriculture and Forestry. Food and Rural Development.,Alberta Agriculture and Forestry,Edmonton : Alberta Grain Commission,"Alberta Grain Commission Alberta. Alberta Agriculture, Food and Rural Development"
albertaenvironme00albe_0,Alberta Environment interpretation of the reference method for the Canada-wide standard for petroleum hydrocarbons in soil validation of performance-based alternative methods,Alberta Environment and Parks.,Alberta Environment and Parks,Edmonton : Alberta Environment,Alberta. Alberta Environment
visionforfuturer00albe,A vision for the future : responses to a discussion paper from the Alberta Apprenticeship and Industry Training Board and the Alberta Apprenticeship and Industry Training Division,Alberta Advanced Education. Apprenticeship and Industry Training Division.,Alberta Advanced Education,"Edmonton, Alta. : Alberta Apprenticeship and Industry Training, Advanced Education and Career Development",Alberta Apprenticeship and Industry Training Board Alberta. Apprenticeship and Industry Training Division
overviewoffishco00gold,Overview of fish contaminant monitoring programs in jurisdictions and summary of Alberta studies : final report,Alberta Environment and Parks.,Alberta Environment and Parks,[Edmonton] : Alberta Environment,Golder Associates Alberta. Alberta Environment
motionpicture83_84,Annual report / Alberta Motion Picture Development Corporation / 1984,Government of Alberta. Alberta Motion Picture Development Corporation.,Government of Alberta,[Edmonton] : The Corporation,Alberta Motion Picture Development Corporation
howtohireconsult00lapp,How to hire a consultant,Alberta Culture and Tourism. Historic Sites and Archives Service.,Alberta Culture and Tourism,"Edmonton, Alta. : Alberta Culture and Multiculturalism, Historic Sites and Archives Service","Lapp, David"
reviewofagricult00albe,"Review of agricultural real estate values in Alberta, 1994-1999","Alberta Agriculture and Forestry. Alberta Agriculture, Food and Rural Development. Statistics and Data Development Unit.",Alberta Agriculture and Forestry,"[Edmonton?] : Statistics and Data Development Unit, Economics and Competitiveness Division, Alberta Agriculture Food & Rural Development","Alberta. Alberta Agriculture, Food, and Rural Development. Statistics & Data Development Unit"
frenchimmersionk00albe,French immersion kindergarten : a handbook for parents,Alberta Education. Alberta Learning. Direction de l'Ã©ducation franÃ§aise.,Alberta Education,"Edmonton, AB : Alberta Learning",Alberta. Alberta Learning. Direction de l'éducation française
