Alberta	14079
Alberta.	8056
Canada.	281
Canada	149
Alberta, Southern.	100
Alberta, Northern.	50
Oldman River Dam Region.	47
Edmonton.	43
South Saskatchewan River Basin.	40
Athabasca Tar Sands.	28
Oldman River.	27
Calgary.	26
Prairie Provinces	26
Bow River.	25
Milk River Watershed (Mont. and Alta.)	24
Canada, Western	23
British Columbia	21
Oldman River Basin.	21
Edmonton Region.	18
Alberta, Northwestern	16
Willow Creek Region.	16
Highwood River.	16
Peace River.	15
Battle River Region.	15
Muskeg River.	15
Athabasca River.	14
Willmore Wilderness Park.	13
Canada, Western.	13
Kananaskis Country.	12
Edmonton	12
Red Deer River.	11
Calgary	11
Alberta, Southern	11
Alberta, Northern	11
Canmore.	11
Wainwright Dunes Ecological Reserve.	10
Highvale Region.	10
United States.	10
Oldman River	10
Bow Valley.	10
Waterton Lakes National Park.	10
Peace River Region.	9
British Columbia.	9
South Saskatchewan River.	9
Smoky River.	9
Eastern Slopes Region.	9
Elbow River.	9
Wabamun Lake.	9
Prairie Provinces.	9
North Saskatchewan River.	9
Oldman River Dam Region	9
Athabasca Region.	9
Southern Rockies.	9
Northwest Territories	8
Game Country Tourist Zone.	8
Highwood River	8
Wabamun.	8
Bow River Valley.	8
Edmonton Region	8
Canadian Rockies (B.C. and Alta.).	8
Pine Lake.	8
Calgary Region	7
Oldman River Dam.	7
Parkland Region.	7
Oldman River Region.	7
Canmore Region.	7
Swan Hills.	7
Hinton	7
Bow Corridor.	7
Slave Lake.	7
Grande Prairie	7
Bruderheim.	6
Battle River.	6
Fort McMurray	6
Athabasca Tar Sands	6
Fort McMurray.	6
Hughenden.	6
Fort McMurray region	6
Milk River.	6
Wapiti River.	6
Japan.	6
Devonshire Beach.	6
Lesser Slave Lake Provincial Park.	6
Nampa.	6
Kinuso.	6
Caroline.	6
Sangudo.	6
Alliance.	6
Swan Hills Region.	6
Canadian Rockies (B.C. and Alta.)	6
Heisler.	6
Vegreville Region.	6
Red Deer River Valley	6
Thorhild.	6
Onoway.	6
Buffalo Lake.	5
South Saskatchewan River Basin	5
Fort McMurray Region.	5
Willow Creek Basin.	5
Livingstone-Porcupine Hills Planning Area.	5
Milk River Basin.	5
Morinville Region.	5
Eastern Slopes Region	5
Athabasca Region	5
Paddle River.	5
Saskatoon Island Provincial Park.	5
Lesser Slave Lake.	5
Chisholm.	5
Fort Assiniboine Sandhills Wildland Park.	4
Head-Smashed-In Buffalo Jump National Site.	4
Red Deer.	4
Crowsnest Pass.	4
Eden Valley Region.	4
Alberta, Northeastern.	4
Willow Creek Region	4
Vermilion Provincial Park region.	4
McLeod River.	4
Parkland Region	4
St. Mary River.	4
Canmore Corridor Region.	4
Lesser Slave Lake Basin.	4
Lesser Slave River Basin.	4
Gleniffer Lake.	4
Whaleback Ridge area.	4
Bering Sea Region	4
Fort Dunvegan.	4
Peace River (B.C. and Alta.).	4
Lower Foothills Subregion.	4
Lethbridge Region	4
Pine Coulee Region.	4
Saskatchewan	4
Foothills Region.	4
Pigeon Lake.	4
Kootenay Plains Ecological Reserve.	4
Lesser Slave River.	4
Westlock.	4
Cold Lake Region	4
Red Deer River Valley.	4
Brooks Region.	4
Highvale.	4
Highvale Mine.	4
Battle River Basin.	4
Finland.	4
Wainwright Region.	3
Fidler-Greywillow Wildland Provincial Park.	3
Andrew Lake Region.	3
Saskatchewan.	3
Montana	3
Lamont.	3
Beaverhill Natural Area.	3
Crowsnest Pass Region.	3
Drayton Valley Region.	3
Elbow River	3
Little Bow River	3
Little Bow River Basin.	3
Cardinal Divide.	3
Burnstick Lake.	3
Bow River Valley	3
Management.	3
Gregoire Lake.	3
Twin Butte Region.	3
Seven Mile Creek.	3
Athabasca (County)	3
Sand River Region.	3
Castle River.	3
Oldman Reservoir.	3
Lethbridge.	3
Little Fish Lake Region.	3
Beaver.	3
Rocky Mountain Forest Reserve.	3
North Saskatchewan River (Alta. and Sask.).	3
Chimney Rock South.	3
Willingdon.	3
Gull Lake.	3
Airdrie Region.	3
Andrew	3
St. Albert.	3
Athabasca.	3
Bow Corridor Region.	3
Shandro.	3
Cold Lake.	3
Lower Bow River.	3
Lac La Biche.	3
Athabasca River Region.	3
Cold Lake (Alta. and Sask. : Lake)	3
Manning Region.	3
Muskeg River Watershed.	3
Carbondale River.	3
Frost Hills Region.	3
La Butte Creek Wildland Provincial Park.	3
Northwest, Canadian.	3
Whitecourt Region.	3
Bistcho Lake Region.	3
Lac La Biche	3
Turtle Mountain	3
Turtle Mountain.	3
Wapiti River Region.	3
Athabasca Oil Sands Region.	3
Writing-on-Stone Provincial Park.	3
Holden.	3
Tri-Creeks basin.	3
South Saskatchewan River Watershed.	3
Leduc.	3
Lower Peace River Valley.	3
Oldman River Drainage.	3
Bow River Basin.	3
Halfmoon Lake.	3
Developing countries.	3
Keg River.	2
Mexico.	2
Dickson Dam.	2
Brazeau-Pembina.	2
Northern East Slopes Region.	2
Citizen participation.	2
Bow-Canmore Valley.	2
Stettler.	2
Big Hill Springs Provincial Park.	2
Buczacz	2
Australia.	2
Spruce Grove.	2
North Buck Lake Region.	2
Pincher Creek.	2
Medicine Hat Region.	2
Paintearth County.	2
North America	2
Bonnyville.	2
Provost Region.	2
Jutland Region.	2
Strathcona County.	2
Smoky Lake (County)	2
Radway	2
Pembina River.	2
Grande Prairie West Region.	2
Barrhead Region.	2
Peace River Region (B.C. and Alta.)	2
Wainwright region.	2
Lesser Slave Lake Region.	2
Evan Thomas Creek Region.	2
Whitecourt	2
Edson	2
Banff.	2
Canmore	2
Canmore Region	2
Head-Smashed-In Buffalo Jump National Historic Site.	2
St. Paul (County)	2
Killam Region.	2
Jasper	2
Calling Lake.	2
Athabasca Tar Sands Region.	2
County of Athabasca	2
Duvernay Region.	2
Pine Coulee Region	2
Viking.	2
Smoky Lake Region.	2
Grizzly Ridge Wildland Park.	2
Grassland Region.	2
Elizabeth Metis Settlement.	2
North Saskatchewan River (Alta. and Sask.)	2
Little Bow River.	2
Mosquito Creek.	2
California	2
Northeast Slopes Region.	2
Montana.	2
Westlock	2
Dickson Dam Reservoir	2
Moore Lake Region.	2
Alberta, Northeastern	2
Castle River Region.	2
Strathcona Site.	2
Effect of dams on.	2
Oldman River Region	2
Plamondon.	2
Little Bow River Region	2
Plateau Mountain Region.	2
Caslan Settlement.	2
ALberta.	2
Lamont (County)	2
Goose Mountain.	2
Hanna Region.	2
Jean D'Or Prairie Region.	2
Lac La Biche Region	2
Redwater.	2
Athabasca region.	2
Pincher Creek Region.	2
Blackmud Creek.	2
Ponoka.	2
Rumsey Region.	2
Oldman River Reservoir.	2
Wainwright	2
Nose Creek region.	2
Baptiste Lake Region.	2
Lac La Nonne	2
Fairview.	2
Lakeland Region.	2
Lakeland Region	2
Smoky-Peace Point Region	2
Ellerslie Region.	2
Manning.	2
Willow Creek.	2
Whispering Hills.	2
Eaglenest Portage	2
Police Outpost Provincial Park.	2
Lower Athabasca	2
Alberta, Central.	2
Sundre Region.	2
Drumheller	2
Stettler	2
Beaver County.	2
Kananaskis Country	2
Soviet Union.	2
Nordegg.	2
Field Lake.	2
Beauvais Lake Provincial Park.	2
Grand Valley Creek.	2
West Baptiste.	2
Calgary Region.	2
Gift Lake Metis Settlement.	2
Leduc Region.	1
Pakowki Lake.	1
Wabamun Lake	1
Astotin Lake.	1
Castle River Range Region.	1
Carbondale Region.	1
Brazeau-Pembina	1
Beauvais Lake.	1
Victoria Post Site.	1
Tofield.	1
Kananaskis Region.	1
Kananaskis.	1
