Alberta oil sands annual statistics	20
Field and pool codes numeric list	16
Government estimates,	7
Capital fund estimates,	7
Water supply outlook and snow survey bulletin (Alberta. Environmental Engineering Support Services. Technical Services Division)	6
Annual report,	3
Estimates of expenditure. Legislative Assembly estimates.	2
Estimates of expenditure. Programme estimates.	1
Estimates of expenditure. Legislative Assembly estimates, government estimates.	1
Legislative Assembly estimates.	1
Government estimates.	1
Library recent additions	1
Status of the fish and wildlife resource in Alberta.	1
Annual report	1
Annual repport	1
Government estimates	1
Legislative Assembly estimates	1
