0701-6840	76
0401-2542	61
0707-705X	30
0825-7140	25
1184-6437	24
0228-314X	24
0839-6469	24
0702-9640	24
0706-3199	20
0319-0617	19
0848-385X	17
1184-2776	17
0837-208X	17
0319-9800	17
0700-2645	17
0837-3124	16
0702-3111	16
1189-4458	15
1493-4515	14
0831-1439	14
0380-3120	14
0319-3535	14
0318-3971.	14
0828-1084	13
0833-398X	13
0700-222X	12
0705-5986.	12
0700-2688	12
0846-4863	12
0702-7702	12
1198-5054	11
0823-4825	11
1491-3631	11
0828-1092	11
1182-2104	10
0715-237X	10
0822-1952	10
0828-8534	9
0839-9727	9
0840-206X	9
1182-5014	9
0701-7006	9
0715-1640	9
0825-1525	9
0703-2382	8
0842-7259	8
0701-6514.	8
0703-0797	8
1198-1717	8
1491-8781	8
1191-1425	7
1704-8818	7
1494-0973	7
0702-9756	7
0383-3658	7
1193-0039	7
1704-2313	7
0845-0897	7
1193-1159	6
1207-3814	6
1497-8288	6
0820-6708	6
0837-6360.	6
1209-2126	6
0836-9542.	5
1700-5728	5
1710-1387	5
0834-4043	5
0836-1509	5
1494-6068	5
1485-8932	5
1189-3664	5
1201-219X	5
0821-0683	5
0836-0715.	5
0830-064X	4
0228-1317.	4
1700-3504	4
0845-0900	4
1715-5029	4
0845-0889	4
1716-7590	4
0825-1657	4
0833-3505	4
0845-0536	4
0833-3998	4
0837-6395.	4
0844-7977.	4
1480-1876	4
1199-2980	3
0842-4829	3
1187-8916	3
1185-3034	3
0701-5127.	3
0709-3047	3
0707-8870	3
0227-8936.	3
1193-0845	3
1193-6266	3
0713-0864	3
0837-4996	3
1497-0694	3
1703-8510	3
0715-2140	3
1207-5477	3
1202-3280	2
0700-2688.	2
0711-1282	2
0842-697X	2
0828-0908	2
1206-1344	2
0838-8385	2
0824-2674	2
0711-1274	2
0822-3572	2
0823-3055.	2
1193-1167	2
1194-5729	2
0839-8135	2
0319-5937	2
0825-8678.	2
1703-4019	2
1497-052X	2
1715-4987	2
1185-2933	2
1485-0257	2
1703-7646	2
0709-3284	2
1484-1940	2
1189-2501	2
1715-0973	1
0715-9625.	1
0228-1279.	1
1919-1529	1
0826-323X	1
1189-444X	1
0319-0628	1
1485-4368	1
1207-1307	1
0835-9296.	1
0827-9829	1
1209-6121	1
1483-3522	1
1182-7726	1
1913-7753	1
1193-6258	1
0842-389X	1
1492-871X	1
0845-0544	1
7027494	1
0228-1341.	1
0228-1260.	1
1205-6553	1
0848-7502	1
1185-2984.	1
1705-7450	1
0702-3030	1
0825-5245	1
1718-3138	1
1485-435X	1
0826-5895	1
1497-0562	1
1703-8596	1
1203-9934	1
1483-1171	1
0844-6431	1
