HV1559 .C2 S73 PERIODICAL	51
GOV DOC CA2 AL Z8 S76	51
Alberta/PremCou	51
TA1001 .T73 PERIODICAL	16
HV1559 .C2 S728 PERIODICAL	3
QC 787 C8 P97	2
HG3729 .C2 A423 PERIODICAL; http://www.atb.com/atb/atb_finance.html	2
HV5840 .C32 A34 UNANALYZED SERIAL	2
HV 5840 C22 A3 A333; http://www.aadac.com/documents/alberta_profile_social_and_health_indicators_of_addiction.pdf	2
Internet Access; HV 5309 A4 A436; http://www.aadac.com/documents/alberta_profile_social_and_health_indicators_of_addiction.pdf	2
CA2AL AD.... ..A54	2
RA 781 H43 2002	1
COP.AL.2.2003-123	1
COP.AL.2.2006-90	1
COP.AL.2.2004-113	1
COP.AL.2.2007-93	1
TC 426.5 A3 L76 A333 2008; Internet Access; http://www.nrcb.gov.ab.ca/downloads/documentloader.aspx?id=4684	1
TC 426.5 A3 A673 2008; Internet Access; http://www.nrcb.gov.ab.ca/downloads/documentloader.aspx?id=4684	1
COP.AL.2.2008-113	1
COP.AL.2.2006-108	1
COP.AL.2.2007-1	1
COP.AL.2.2007-317	1
CAN6 ALB1 M6.7 P62 B42	1
COP.AL.2.2007-4	1
COP.AL.2.2007-19	1
COP.AL.2.2008-284	1
COP.AL.2.2005-167	1
COP.AL.2.2007-161	1
COP.AL.2.2007-18	1
E 96.65 A3 A333 2007	1
COP.AL.2.2007-269	1
COP.AL.2.2008-195	1
COP.AL.2.2007-65	1
COP.AL.2.2008-38	1
COP.AL.2.1999-172	1
AC901 .A4 2003-175	1
COP.AL.2.2003-257	1
COP.AL.2.2007-63	1
W20.5 .K57 2004	1
R 850 A2 K59 2004	1
COP.AL.2.2005-130	1
microlog; http://www.ahfmr.ab.ca; http://www.ahfmr.ab.ca/frames3.html	1
WY100 .H24 2001	1
COP.AL.2.2005-117	1
COP.AL.2.2007-67	1
