title	duplicates	num
Grade 12 diploma examination.	430	grade12diplomae992albe_12
Grade 12 diploma examination.	430	grade12diplomae991albe_19
Grade 12 diploma examination.	430	grade12diplomae986albe_19
Grade 12 diploma examination.	430	grade12diplomae984albe_13
Grade 12 diploma examination.	430	grade12diplomae1998albe_4
Grade 12 diploma examination.	430	grade12diplomae994albe_17
Grade 12 diploma examination.	430	grade12diplomae1997albe_1
Grade 12 diploma examination.	430	grade12diplomae998albe_15
Grade 12 diploma examination.	430	grade12diplomae1994albe_4
Grade 12 diploma examination.	430	grade12diplomae994albe_14
Grade 12 diploma examination.	430	grade12diplomae992albe_10
Grade 12 diploma examination.	430	grade12diplomae1984albe_3
Grade 12 diploma examination.	430	grade12diplomae1997albe_2
Grade 12 diploma examination.	430	grade12diplomae1997albe_0
Grade 12 diploma examination.	430	grade12diplomae1993albe_3
Grade 12 diploma examination.	430	grade12diplomae1990albe_1
Grade 12 diploma examination.	430	grade12diplomae2001albe_3
Grade 12 diploma examination.	430	grade12diplomae991albe_17
Grade 12 diploma examination.	430	grade12diplomae987albe_18
Grade 12 diploma examination.	430	grade12diplomaex2001albe
Grade 12 diploma examination.	430	grade12diplomae998albe_18
Grade 12 diploma examination.	430	grade12diplomae992albe_19
Grade 12 diploma examination.	430	grade12diplomae1998albe_2
Grade 12 diploma examination.	430	grade12diplomae993albe_19
Grade 12 diploma examination.	430	grade12diplomae001albe_23
Grade 12 diploma examination.	430	grade12diplomae987albe_13
Grade 12 diploma examination.	430	grade12diplomae987albe_11
Grade 12 diploma examination.	430	grade12diplomae1986albe_5
Grade 12 diploma examination.	430	grade12diplomae993albe_11
Grade 12 diploma examination.	430	grade12diplomae1989albe_8
Grade 12 diploma examination.	430	grade12diplomae988albe_18
Grade 12 diploma examination.	430	grade12diplomae000albe_14
Grade 12 diploma examination.	430	grade12diplomae1984albe_8
Grade 12 diploma examination.	430	grade12diplomae995albe_13
Grade 12 diploma examination.	430	grade12diplomae1995albe_1
Grade 12 diploma examination.	430	grade12diplomae001albe_19
Grade 12 diploma examination.	430	grade12diplomae985albe_19
Grade 12 diploma examination.	430	grade12diplomae989albe_17
Grade 12 diploma examination.	430	grade12diplomae988albe_13
Grade 12 diploma examination.	430	grade12diplomae989albe_14
Grade 12 diploma examination.	430	grade12diplomae988albe_22
Grade 12 diploma examination.	430	grade12diplomae984albe_20
Grade 12 diploma examination.	430	grade12diplomae001albe_17
Grade 12 diploma examination.	430	grade12diplomae1999albe_0
Grade 12 diploma examination.	430	grade12diplomae988albe_15
Grade 12 diploma examination.	430	grade12diplomae991albe_18
Grade 12 diploma examination.	430	grade12diplomae991albe_15
Grade 12 diploma examination.	430	grade12diplomae986albe_21
Grade 12 diploma examination.	430	grade12diplomae1992albe_1
Grade 12 diploma examination.	430	grade12diplomae1992albe_7
Grade 12 diploma examination.	430	grade12diplomae1996albe_8
Grade 12 diploma examination.	430	grade12diplomae997albe_19
Grade 12 diploma examination.	430	grade12diplomaex1995albe
Grade 12 diploma examination.	430	grade12diplomae993albe_13
Grade 12 diploma examination.	430	grade12diplomae999albe_14
Grade 12 diploma examination.	430	grade12diplomae000albe_21
Grade 12 diploma examination.	430	grade12diplomae1994albe_5
Grade 12 diploma examination.	430	grade12diplomae001albe_20
Grade 12 diploma examination.	430	grade12diplomae1990albe_5
Grade 12 diploma examination.	430	grade12diplomae1991albe_6
Grade 12 diploma examination.	430	grade12diplomae1993albe_2
Grade 12 diploma examination.	430	grade12diplomae1998albe_1
Grade 12 diploma examination.	430	grade12diplomae996albe_11
Grade 12 diploma examination.	430	grade12diplomae987albe_16
Grade 12 diploma examination.	430	grade12diplomae996albe_22
Grade 12 diploma examination.	430	grade12diplomae986albe_16
Grade 12 diploma examination.	430	grade12diplomae998albe_12
Grade 12 diploma examination.	430	grade12diplomae001albe_16
Grade 12 diploma examination.	430	grade12diplomae1995albe_3
Grade 12 diploma examination.	430	grade12diplomae1998albe_9
Grade 12 diploma examination.	430	grade12diplomaex2004albe
Grade 12 diploma examination.	430	grade12diplomae984albe_15
Grade 12 diploma examination.	430	grade12diplomae997albe_14
Grade 12 diploma examination.	430	grade12diplomae1996albe_6
Grade 12 diploma examination.	430	grade12diplomae1989albe_3
Grade 12 diploma examination.	430	grade12diplomae997albe_11
Grade 12 diploma examination.	430	grade12diplomae1999albe_3
Grade 12 diploma examination.	430	grade12diplomae998albe_20
Grade 12 diploma examination.	430	grade12diplomae986albe_18
Grade 12 diploma examination.	430	grade12diplomae998albe_16
Grade 12 diploma examination.	430	grade12diplomae995albe_16
Grade 12 diploma examination.	430	grade12diplomae1998albe_5
Grade 12 diploma examination.	430	grade12diplomae001albe_24
Grade 12 diploma examination.	430	grade12diplomae1992albe_5
Grade 12 diploma examination.	430	grade12diplomae1984albe_9
Grade 12 diploma examination.	430	grade12diplomae995albe_18
Grade 12 diploma examination.	430	grade12diplomae993albe_17
Grade 12 diploma examination.	430	grade12diplomae997albe_10
Grade 12 diploma examination.	430	grade12diplomae999albe_19
Grade 12 diploma examination.	430	grade12diplomae987albe_12
Grade 12 diploma examination.	430	grade12diplomae990albe_13
Grade 12 diploma examination.	430	grade12diplomae1996albe_1
Grade 12 diploma examination.	430	grade12diplomae994albe_11
Grade 12 diploma examination.	430	grade12diplomae1988albe_5
Grade 12 diploma examination.	430	grade12diplomae1984albe_1
Grade 12 diploma examination.	430	grade12diplomae2001albe_7
Grade 12 diploma examination.	430	grade12diplomae1985albe_4
Grade 12 diploma examination.	430	grade12diplomae1990albe_2
Grade 12 diploma examination.	430	grade12diplomae2002albe_9
Grade 12 diploma examination.	430	grade12diplomae000albe_22
Grade 12 diploma examination.	430	grade12diplomae989albe_13
Grade 12 diploma examination.	430	grade12diplomae1987albe_7
Grade 12 diploma examination.	430	grade12diplomae1984albe_2
Grade 12 diploma examination.	430	grade12diplomae986albe_12
Grade 12 diploma examination.	430	grade12diplomae991albe_11
Grade 12 diploma examination.	430	grade12diplomae986albe_10
Grade 12 diploma examination.	430	grade12diplomae1994albe_7
Grade 12 diploma examination.	430	grade12diplomae988albe_12
Grade 12 diploma examination.	430	grade12diplomae996albe_14
Grade 12 diploma examination.	430	grade12diplomae1987albe_2
Grade 12 diploma examination.	430	grade12diplomae2002albe_0
Grade 12 diploma examination.	430	grade12diplomae1989albe_0
Grade 12 diploma examination.	430	grade12diplomae001albe_21
Grade 12 diploma examination.	430	grade12diplomae2001albe_6
Grade 12 diploma examination.	430	grade12diplomae992albe_18
Grade 12 diploma examination.	430	grade12diplomae993albe_12
Grade 12 diploma examination.	430	grade12diplomae1997albe_3
Grade 12 diploma examination.	430	grade12diplomae1999albe_4
Grade 12 diploma examination.	430	grade12diplomae986albe_17
Grade 12 diploma examination.	430	grade12diplomae1987albe_8
Grade 12 diploma examination.	430	grade12diplomae1994albe_0
Grade 12 diploma examination.	430	grade12diplomae984albe_14
Grade 12 diploma examination.	430	grade12diplomae2001albe_9
Grade 12 diploma examination.	430	grade12diplomae985albe_16
Grade 12 diploma examination.	430	grade12diplomae984albe_17
Grade 12 diploma examination.	430	grade12diplomae1998albe_7
Grade 12 diploma examination.	430	grade12diplomae993albe_14
Grade 12 diploma examination.	430	grade12diplomae989albe_20
Grade 12 diploma examination.	430	grade12diplomae998albe_19
Grade 12 diploma examination.	430	grade12diplomae999albe_12
Grade 12 diploma examination.	430	grade12diplomae1993albe_6
Grade 12 diploma examination.	430	grade12diplomae1990albe_7
Grade 12 diploma examination.	430	grade12diplomaex1988albe
Grade 12 diploma examination.	430	grade12diplomaex1996albe
Grade 12 diploma examination.	430	grade12diplomae1985albe_1
