collection,filename,elementName,elementValue,elementOccurrence
albertagovernmentpublications,abpublegis199011_meta.xml,addeddate,2015-02-12 17:17:42.154565,1
albertagovernmentpublications,abpublegis199011_meta.xml,camera,Canon EOS 5D Mark II,1
albertagovernmentpublications,abpublegis199011_meta.xml,cat_key,880656,1
albertagovernmentpublications,abpublegis199011_meta.xml,collection,toronto,3
albertagovernmentpublications,abpublegis199011_meta.xml,collection,university_of_alberta_libraries,3
albertagovernmentpublications,abpublegis199011_meta.xml,collection,albertagovernmentpublications,3
albertagovernmentpublications,abpublegis199011_meta.xml,contributor,University of Alberta Libraries,1
albertagovernmentpublications,abpublegis199011_meta.xml,creator,Alberta. Public Affairs Bureau,1
albertagovernmentpublications,abpublegis199011_meta.xml,date,1987,1
albertagovernmentpublications,abpublegis199011_meta.xml,description,38,1
albertagovernmentpublications,abpublegis199011_meta.xml,foldoutcount,0,1
albertagovernmentpublications,abpublegis199011_meta.xml,identifier,abpublegis199011,1
albertagovernmentpublications,abpublegis199011_meta.xml,identifier-access,http://archive.org/details/abpublegis199011,1
albertagovernmentpublications,abpublegis199011_meta.xml,identifier-ark,ark:/13960/t55f22q5m,1
albertagovernmentpublications,abpublegis199011_meta.xml,imagecount,82,1
albertagovernmentpublications,abpublegis199011_meta.xml,invoice,1,1
albertagovernmentpublications,abpublegis199011_meta.xml,language,eng,1
albertagovernmentpublications,abpublegis199011_meta.xml,mediatype,texts,1
albertagovernmentpublications,abpublegis199011_meta.xml,notes,No copyright page found.,1
albertagovernmentpublications,abpublegis199011_meta.xml,ocr,ABBYY FineReader 9.0,1
albertagovernmentpublications,abpublegis199011_meta.xml,operator,ekaitlyn@ualberta.ca,1
albertagovernmentpublications,abpublegis199011_meta.xml,page-progression,lr,1
albertagovernmentpublications,abpublegis199011_meta.xml,ppi,500,1
albertagovernmentpublications,abpublegis199011_meta.xml,publicdate,2015-02-12 16:05:51,1
albertagovernmentpublications,abpublegis199011_meta.xml,publisher,"[Edmonton, Alta. : Alberta Public Affairs Bureau]",1
albertagovernmentpublications,abpublegis199011_meta.xml,repub_seconds,156,1
albertagovernmentpublications,abpublegis199011_meta.xml,repub_state,4,1
albertagovernmentpublications,abpublegis199011_meta.xml,republisher,associate-alex-white@archive.org,1
albertagovernmentpublications,abpublegis199011_meta.xml,scandate,20150213191058,1
albertagovernmentpublications,abpublegis199011_meta.xml,scanfee,200,1
albertagovernmentpublications,abpublegis199011_meta.xml,scanner,scribe1.alberta.archive.org,1
albertagovernmentpublications,abpublegis199011_meta.xml,scanningcenter,alberta,1
albertagovernmentpublications,abpublegis199011_meta.xml,shiptracking,agov10,1
albertagovernmentpublications,abpublegis199011_meta.xml,sponsor,University of Alberta Libraries,1
albertagovernmentpublications,abpublegis199011_meta.xml,sponsordate,20150228,1
albertagovernmentpublications,abpublegis199011_meta.xml,subject,Legislation,1
