MARC field	Subfield and count		
926	a95079		----
926	c95079		----
926	f95079		----
926	b95045		----
926	d95045		----
20	a25904		ISBN
650	a14580		Subject Added Entry-Topical Term - Topical term or geographic name entry element
90	a13084		Local CallNo
650	z12464		Subject Added Entry-Topical Term – Geographic subdivision
90	b11918		Local CallNo
949	i10760		----
949	h10754		----
949	a10661		----
949	v10569		----
949	z10554		----
927	b9900		----
927	c9900		----
710	a7991		Added Entry-Corporate Name - Corporate name or jurisdiction name as entry element
710	b7942		Added Entry-Corporate Name – Subordinate unit
650	v7487		Subject Added Entry-Topical Term - Form subdivision
597	a7411		Local notes
20	q7020		ISBN - Qualifying information
500	a6448		General note
650	x5945		Subject Added Entry-Topical Term – General subdivision
926	e5901		----
240	a5743		Uniform title
245	a5721		Title
1	5716		Control No
8	5716		Fixed-Length Data Elements
leader	5716		
300	a5674		Physical Description – Extent 
596	a5646		Local notes
35	a5635		System control number
40	b5633		Cataloging Source - Language of cataloging
260	b5607		Publication, Distribution, etc. (Imprint) - Name of publisher, distributor, etc.  
300	c5573		Physical Description – Dimensions
260	a5550		Publication, Distribution, etc. (Imprint) – Place of publication, distribution, etc.
40	d5099		Cataloging Source – Modifying agency
260	c5099		Publication, Distribution, etc. (Imprint) – Date of publication, distribution, etc.
927	a4828		----
336	24644		Content Type – Source
336	a4644		Content type term
336	b4641		Content type code
337	24620		Media Type – Source
337	a4620		Media type term
337	b4617		Media type code 
338	24615		Carrier type source 
338	a4615		Carrier type term 
338	b4612		Carrier type code
40	a4123		Cataloging Source –Original cataloging agency
43	a3513		Geographic area code
300	b3396		Physical Description - Other physical details
55	a2990		Classification number assigned in Canada
246	a2900		Varying Form of Title - Title proper/short title
830	a2705		Series Added Entry-Uniform Title - Uniform title
362	a2432		Dates of publication and/or sequential designation
830	v2416		Series Added Entry-Uniform Title – Volume/sequential designation
310	a2261		Current publication frequency
40	c2252		Cataloging Source –Transcribing agency
49	a2169		?????
5	2132		Date and Time of Latest Transaction
42	a2034		Authentication code
49	b1959		?????
240	c1848		This should be merged with 240 $a
245	c1845		Title statement - Statement of responsibility, etc.
82	a1830		Dewey Decimal Classification Number
50	a1792		LC classification No
22	a1776		ISSN
50	b1710		LC Item number
3	1596		Control Number Identifier
82	21561		DDC - Edition number
55	b1559		Classification Numbers Assigned in Canada – item No
245	b1455		Title Statement - Remainder of title 
240	b1451		This should be merged with 240 $a
550	a1410		Issuing body note
590	a1351		Local notes
515	a1326		Numbering peculiarities note
740	a1301		Added Entry-Uncontrolled related/analytical title
490	a1285		Series statement
940	a1284		----
16	a1244		National Bibliographic Agency Control Number - Record control number
10	a1113		LC control number
785	t1113		Succeeding Entry – Title
110	a1111		Main Entry-Corporate Name - Corporate name or jurisdiction name as entry element
651	a1050		Subject Added Entry-Geographic Name - Geographic name
505	a985		Formatted contents note
110	b963		Main Entry-Corporate Name – Subordinate unit 
222	a895		Key title
780	t866		Preceding Entry – title
490	v848		Series statement – Volume/sequential designation
240	p830		This should be merged with 240 $a
245	p830		Title Statement - Name of part/section of a work
856	u814		Electronic Location and Access - Uniform Resource Identifier
