resource	Community	ualId:belongsToCommunity	ualid:belongsToCommunity	ualId:hasCollectionId	ualId:hasCollection	ualid:hasCollectionId	ualid:hasCollection	ualids:doi	ualId:fedora3handle	ualids:fedora3handle	http://fedora.info/definitions/v4/repository#uuid	info:hasModel	http://id.loc.gov/vocabulary/relators/dpt	ualId:fedora3uuid	ualids:fedora3uuid	dcterm:creator	dcterm:description	dcterm:modified	dcterm:title	dcterm:relation	dcterm:source	http://scholarsphere.psu.edu/ns#relativePath	dcterm:contributor	dcterm:license	dcterm:type	dcterm:created	dcterm:dateAccepted	dcterm:dateSubmitted	dcterm:isVersionOf	dcterm:language	dcterm:subject	ualId:year_created	ualid:year_created	ualid:ingestbatch	ualId:ingestbatch	http://fedora.info/definitions/v4/repository#created	http://fedora.info/definitions/v4/repository#createdBy	http://fedora.info/definitions/v4/repository#exportsAs	http://fedora.info/definitions/v4/repository#hasParent	http://fedora.info/definitions/v4/repository#lastModified	http://fedora.info/definitions/v4/repository#lastModifiedBy	http://fedora.info/definitions/v4/repository#mixinTypes	http://fedora.info/definitions/v4/repository#primaryType	http://fedora.info/definitions/v4/repository#writable	info:downloadFilename	info:createdDate	AASM::Persistence::ActiveFedoraPersistence::AASMTermsaasmstate	info:fedora/fedora-system:def/relations-external#isPartOf	rdf:type	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/90/19/s3/63/9019s363h>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558t12r	Readings	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R38K74X6H	http://hdl.handle.net/10402/era.32510	http://hdl.handle.net/10402/era.32510	265b5f23-d7f0-407c-98ca-4fd9da8ab9fa	GenericFile	gapsshrc@ualberta.ca	uuid:b9e019d5-0c7f-4196-997b-afda955885ed	uuid:b9e019d5-0c7f-4196-997b-afda955885ed	Grant Assist Program (Social Sciences and Humanities) | Stelmach, Bonnie L.	N/A	2016-03-08T13:52:43.674Z	Proposal Structure & Aims	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2013/08/02	2013-08-02T11:02:13Z	2013-08-02T11:02:13Z	N/A	English	SSHRC Application | SSHRC Grant | Grant Writing | Research Proposal	2013	2013	cr56n225s	cr56n225s	2015-10-10T00:43:15.833Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/90/19/s3/63/9019s363h/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-23T04:59:06.557Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Proposal Structure and Aims.pdf	2013-08-02T17:02:13.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mk/61/rj/24/mk61rj247	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1j/92/g7/92/1j92g792x>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8s/61/44558s61g	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R32B8VG12	http://hdl.handle.net/10402/era.36887	http://hdl.handle.net/10402/era.36887	caf4dc19-917e-4c09-afc9-9c64b27dc30b	GenericFile	gapsshrc@ualberta.ca	uuid:59eb67d9-3fdf-4f91-bb40-22ea6fc30f5b	uuid:59eb67d9-3fdf-4f91-bb40-22ea6fc30f5b	Grant Assist Program, SS&H	Workshop materials	2016-06-08T15:27:39.010Z	Research Problem, Purpose & Objectives	Gap SSHRC	N/A	N/A	B. Stelmach	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2013/10/14	2013-10-15T12:31:28Z	2013-10-15T12:31:28Z	N/A	English	grant writing | SSHRC | research goals | research objectives	2013	2013	n870zr319	n870zr319	2015-10-04T18:22:11.146Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1j/92/g7/92/1j92g792x/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Research Problem, Purpose (Goal) & Objectives.pdf	2013-10-15T18:31:28.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/gz/95/gh93gz95m	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/22/27/mr/07/2227mr07z>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3FJ29D1R	http://hdl.handle.net/10402/era.37117	http://hdl.handle.net/10402/era.37117	c12d217a-2a27-4224-b130-90368d938a8e	GenericFile	gapsshrc@ualberta.ca	uuid:b9a32a49-fe6a-4b3e-aab3-a501f4c2caa4	uuid:b9a32a49-fe6a-4b3e-aab3-a501f4c2caa4	Grant Assist Program (Social Sciences and Humanites)	N/A	2016-06-08T15:36:46.402Z	Environmental Scan for Policy Change	N/A	GAP SSHRC	N/A	B. Stelmach	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2013/10/28	2013-10-28T09:29:47Z	2013-10-28T09:29:47Z	N/A	English	knowledge mobilization | Knowledge Mobilization Framework | Policy impact | SSHRC	2013	2013	cr56n225s	cr56n225s	2015-10-10T00:39:27.935Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/22/27/mr/07/2227mr07z/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Environmental Scan for Policy Change.pdf	2013-10-28T15:29:48.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qj/72/p8/28/qj72p828m	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2j/62/s5/80/2j62s5800>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558s61g	Grant-Writing (Social Sciences and Humanities)	doi:10.7939/R32N4ZR6W	http://hdl.handle.net/10402/era.37607	http://hdl.handle.net/10402/era.37607	eae54772-3188-40ed-9046-b6ec451764bd	GenericFile	gapsshrc@ualberta.ca	uuid:9c8435be-0a5c-44af-a071-51e243335411	uuid:9c8435be-0a5c-44af-a071-51e243335411	B. Stelmach	N/A	2014-07-31T21:26:04.909Z	Cutting Words, Saving Space	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2014/01/06	2014-01-06T15:01:35Z	2014-01-06T15:01:35Z	N/A	English	Grant Writing | Editing | Style	2014	2014	cc08hg30f	cc08hg30f	2015-10-06T03:38:01.043Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2j/62/s5/80/2j62s5800/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Cutting Words Saving Space.pdf	2014-01-06T22:01:35.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/12/57/9t/16/12579t162	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7d/27/8t/26/7d278t26q>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558s61g	Grant-Writing (Social Sciences and Humanities)	doi:10.7939/R3B56DC4S	http://hdl.handle.net/10402/era.37652	http://hdl.handle.net/10402/era.37652	81fb35e5-92d1-497b-b863-071ab49251e8	GenericFile	gapsshrc@ualberta.ca	uuid:2828a615-b1ea-4f4a-ac9c-9cb1d47662f4	uuid:2828a615-b1ea-4f4a-ac9c-9cb1d47662f4	B. Stelmach	N/A	2014-07-31T21:45:42.839Z	Looking for a Publisher?	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2014/01/09	2014-01-09T11:20:48Z	2014-01-09T11:20:48Z	N/A	English	knowledge mobilization | SSHRC | Grant Proposals	2014	2014	2n49t186z	2n49t186z	2015-10-03T10:10:58.701Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7d/27/8t/26/7d278t26q/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Looking for a Publisher.pdf	2014-01-09T18:20:48.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9m/61/fx719m615	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7m/01/bk/97/7m01bk97z>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558t12r	Taken for Grant-Ed	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3XK84T7X	http://hdl.handle.net/10402/era.36889	http://hdl.handle.net/10402/era.36889	2178ea9d-63a8-4489-91f5-72978f15cb6a	GenericFile	gapsshrc@ualberta.ca	uuid:2cfb628a-48a0-4eed-a440-9515e28cb92c	uuid:2cfb628a-48a0-4eed-a440-9515e28cb92c	GAP SSHRC	Workshop materials for grant writing.	2016-03-08T16:12:38.400Z	Strategy Approach to Knowledge Mobilization	N/A	N/A	N/A	Stelmach, B.	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2013/10/16	2013-10-16T07:37:36Z	2013-10-16T07:37:36Z	N/A	English	knowledge mobilization | SSHRC | SSHRC application	2013	2013	g158bh51g	g158bh51g	2015-10-03T20:10:35.633Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7m/01/bk/97/7m01bk97z/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Strategy Approach to Knowledge Mobilization.pdf	2013-10-16T13:37:37.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mg/74/qm/44/mg74qm448	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/90/19/s3/08/9019s308f>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3WH2DN9P	http://hdl.handle.net/10402/era.36884	http://hdl.handle.net/10402/era.36884	202b0b96-ae5d-4db5-9019-5c5fb786de7c	GenericFile	gapsshrc@ualberta.ca	uuid:76b347e3-a8ae-4d7b-9e6c-758ff5645827	uuid:76b347e3-a8ae-4d7b-9e6c-758ff5645827	GAP SSHRC	N/A	2016-06-08T12:24:27.130Z	Expected Outcomes Versus Knowledge Mobilization	N/A	GAP SSHRC	N/A	B. Stelmach	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2013	2013-10-15T09:50:29Z	2013-10-15T09:50:29Z	N/A	English	knowledge mobilization | SSHRC | expected outcomes | grantsmanship	N/A	2013	dv13zt925	dv13zt925	2015-10-05T05:29:07.536Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/90/19/s3/08/9019s308f/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Expected Outcomes versus KMb.pdf	2013-10-15T15:50:29.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/37/72/0d/39/37720d398	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9s/16/16/73/9s161673r>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3PV6BF8S	http://hdl.handle.net/10402/era.37609	http://hdl.handle.net/10402/era.37609	0433c287-5750-4570-9594-c854f82bc044	GenericFile	gapsshrc@ualberta.ca	uuid:670e498f-1cc3-45d1-83a1-78550d19156c	uuid:670e498f-1cc3-45d1-83a1-78550d19156c	GAP SSHRC	N/A	2016-06-08T12:29:16.981Z	How the Proposal Summary Differs from the Description	N/A	GAP SSHRC	N/A	B. Stelmach	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2014/01/06	2014-01-06T15:03:07Z	2014-01-06T15:03:07Z	N/A	English	SSHRC | grantsmanship | Grant Proposals | Detailed Description | Proposal Summary	2014	2014	zc77sq559	zc77sq559	2015-10-04T22:37:04.956Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9s/16/16/73/9s161673r/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	How the Proposal Summary Differs from the Description.pdf	2014-01-06T22:03:07.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pz/50/gw/81/pz50gw814	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2h/66/f4752h66p>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s61g	Taken for Grant-Ed	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3SX64D4J	http://hdl.handle.net/10402/era.35024	http://hdl.handle.net/10402/era.35024	02cf456c-b179-4137-9100-560894be2965	GenericFile	gapsshrc@ualberta.ca	uuid:8b465d5e-8121-4e62-854f-6fb840e745ab	uuid:8b465d5e-8121-4e62-854f-6fb840e745ab	GAP SSHRC	N/A	2016-06-08T15:43:43.676Z	Reviewers Expectations	N/A	GAP SSHRC	N/A	B. Stelmach	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	October 7, 2013	2013-10-07T10:36:48Z	2013-10-07T10:36:48Z	N/A	English	SSHRC | grantsmanship | grant adjudication | grant proposal development	2013	2013	nz806057k	nz806057k	2015-10-06T00:29:13.108Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2h/66/f4752h66p/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Taken for Grant-Ed Reviewers Expectations.pdf	2013-10-07T16:36:49.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f1/88/1m/66/f1881m66f	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bh/72/g158bh727>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558t12r	Workshop Materials (SSHRC)	doi:10.7939/R3610VS2P	http://hdl.handle.net/10402/era.37056	http://hdl.handle.net/10402/era.37056	6b8bdcbe-90b5-4417-bf60-3291251bd694	GenericFile	gapsshrc@ualberta.ca	uuid:58fb9f59-2d3c-46c2-a269-d983ef678bd4	uuid:58fb9f59-2d3c-46c2-a269-d983ef678bd4	Grant Assist Program, SS&H	Workshop materials: Tips and strategies for developing a SSHRC PG LoI or PG	2016-06-08T16:25:15.663Z	Considering a Collaborative Research Grant?	N/A	GAP SSHRC	N/A	Stelmach, Bonnie	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2013/10/24	2013-10-24T14:20:07Z	2013-10-24T14:20:07Z	N/A	English	SSHRC | grantsmanship | collaboration | partnering | tactics	2013	2013	zk51vh21z	zk51vh21z	2015-10-04T17:59:29.304Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bh/72/g158bh727/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T01:36:23.733Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Considering Collaborating on a Research Grant.pdf	2013-10-24T20:20:07.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2v/23/vt/84/2v23vt84q	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
