resource	Community	ualId:belongsToCommunity	ualid:belongsToCommunity	ualId:hasCollectionId	ualId:hasCollection	ualid:hasCollectionId	ualid:hasCollection	ualids:doi	ualId:fedora3handle	ualids:fedora3handle	http://fedora.info/definitions/v4/repository#uuid	info:hasModel	http://id.loc.gov/vocabulary/relators/dpt	ualId:fedora3uuid	ualids:fedora3uuid	dcterm:creator	dcterm:description	dcterm:modified	dcterm:title	dcterm:relation	dcterm:source	http://scholarsphere.psu.edu/ns#relativePath	dcterm:contributor	dcterm:license	dcterm:type	dcterm:created	dcterm:dateAccepted	dcterm:dateSubmitted	dcterm:isVersionOf	dcterm:language	dcterm:subject	ualId:year_created	ualid:year_created	ualid:ingestbatch	ualId:ingestbatch	http://fedora.info/definitions/v4/repository#created	http://fedora.info/definitions/v4/repository#createdBy	http://fedora.info/definitions/v4/repository#exportsAs	http://fedora.info/definitions/v4/repository#hasParent	http://fedora.info/definitions/v4/repository#lastModified	http://fedora.info/definitions/v4/repository#lastModifiedBy	http://fedora.info/definitions/v4/repository#mixinTypes	http://fedora.info/definitions/v4/repository#primaryType	http://fedora.info/definitions/v4/repository#writable	info:downloadFilename	info:createdDate	AASM::Persistence::ActiveFedoraPersistence::AASMTermsaasmstate	info:fedora/fedora-system:def/relations-external#isPartOf	rdf:type	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h7/02/q7/20/h702q720t>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R3697014V	http://hdl.handle.net/10402/era.39312	http://hdl.handle.net/10402/era.39312	7b2f1b75-8b04-4da6-893e-d4315bd6b10d	GenericFile	iwona.pawlina@ualberta.ca	uuid:8c42f120-f004-4e06-b83e-b1fc887081f1	uuid:8c42f120-f004-4e06-b83e-b1fc887081f1	Hoarcio Marquez	N/A	2017-08-02T13:02:06.197Z	2014 Discovery Grant Evaluation Group 1510 Round Table Presentation	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2014/08/14	2014-08-15T08:57:16Z	2014-08-15T08:57:16Z	N/A	English	Discovery Grant Evaluation | NSERC application | NSERC Grants	2014	2014	ms35t937v	ms35t937v	2015-10-06T00:54:11.719Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h7/02/q7/20/h702q720t/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-10-13T19:29:41.145Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Dr. Horacio Marquez Round Table EG 1510.pdf	2014-08-15T14:57:16.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v9/79/v3/91/v979v391t	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k3/56/95/70/k3569570d>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3028PC8N	http://hdl.handle.net/10402/era.41361	http://hdl.handle.net/10402/era.41361	d84ea529-b9af-4946-9c1d-8b24f14e9594	GenericFile	iwona.pawlina@ualberta.ca	uuid:f15ceede-f4c4-4aa0-961e-925ac1b85005	uuid:f15ceede-f4c4-4aa0-961e-925ac1b85005	Wilman, Alan	N/A	2015-06-22T05:23:47.844Z	NSERC Discovery Grant Roundtable for EG 1505 by Dr. Alan Wilman June 22 2015	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	June 22, 2015	2015-06-21T23:23:41Z	2015-06-21T23:23:41Z	N/A	English	NSERC | NSERC Discovery Grant | NSERC Discovery Grants	2015	2015	m613n011b	m613n011b	2015-10-10T19:03:36.137Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k3/56/95/70/k3569570d/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T08:12:31.590Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Wilman_NSERC_talk2015.pdf	2015-06-22T05:23:41.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cf/95/jc/71/cf95jc71w	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bs/n0/09/x8/bsn009x87n>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558v58k	Newsletters	doi:10.7939/R37P8TF92	N/A	N/A	fd284146-e7f1-4e61-a55b-6abdb117bbe3	GenericFile	nsercgap@ualberta.ca	N/A	N/A	GAP NSE	N/A	2016-07-28T18:28:47.679Z	Funding Opportunity: WCIO Nano funding 2016. Announcement.	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/07/28	N/A	N/A	N/A	English	Funding Opportunity	N/A	2016	N/A	N/A	2016-07-28T18:28:48.438Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bs/n0/09/x8/bsn009x87n/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T03:46:55.939Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	WCIO Nano funding opportunity 2016.pdf	2016-07-28T18:28:47.679Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6m/31/1r/93/6m311r93m	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/d0/17/bz60d0174>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R39P2WK6K	N/A	N/A	cd88580a-5a19-4686-8170-c5c4cde6e05a	GenericFile	nsercgap@ualberta.ca	N/A	N/A	NSERC	- RTI Program Objective- 2017 Competition Results- RTI Program Eligibility (equipment, subject matter, and applicants)- Applying to the RTI program- Evaluation Criteria for RTI applications- Research Portal Submission Step-by-Step	2017-09-01T14:24:39.941Z	Research Tools and Instruments (RTI) Program Information Session 2018 Competition	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2018/08/31	N/A	N/A	N/A	English	NSERC | RTI | Research Tools and Instruments	N/A	2018	N/A	N/A	2017-09-01T14:24:41.455Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/d0/17/bz60d0174/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-09-01T14:56:58.672Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	2017_RTI_Webinar_CY-2018_INDEX-En (1).pdf	2017-09-01T14:24:39.941Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/p8/41/8r/58/p8418r584	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hq/37/vr/42/hq37vr42m>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R3JW8719H	N/A	N/A	e4cfed61-61a5-459e-a7cc-efd04f846895	GenericFile	ipawlina@ualberta.ca	N/A	N/A	Iwona Pawlina	N/A	2017-10-13T13:29:43.853Z	Crowdfunding 101	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2017/10/13	N/A	N/A	N/A	English	fundraising | Entrepreneurship	N/A	2017	N/A	N/A	2017-10-05T23:02:25.830Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hq/37/vr/42/hq37vr42m/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-10-13T19:29:43.983Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Crowdfunding 101.pdf	2017-10-05T23:02:25.554Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bk/h0/4d/p8/bkh04dp85t	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6w/92/4f/27/6w924f270>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3D795B5C	http://hdl.handle.net/10402/era.41992	http://hdl.handle.net/10402/era.41992	4c38bdb7-bc6e-48ee-9d4f-ce15d79a4dd1	GenericFile	iwona.pawlina@ualberta.ca	uuid:0993496b-26f3-4e58-a978-e0d07c52c968	uuid:0993496b-26f3-4e58-a978-e0d07c52c968	Ingolfsson, Armann	N/A	2015-09-10T16:07:58.388Z	NSERC Discovery Grant Roundtable EG 1509 June 3 2015	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2015/06/03	2015-09-10T10:07:50Z	2015-09-10T10:07:50Z	N/A	English	Discovery Grant | NSERC | Discovery Grant Application	2015	2015	rx913s56t	rx913s56t	2015-10-20T01:41:06.131Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6w/92/4f/27/6w924f270/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-23T03:03:03.690Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	NSERC DG Roundtable EG 1509 with Dr. Armann Ingolfsson June 3 15.pdf	2015-09-10T16:07:50.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1z/40/kw/41/1z40kw41x	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/28/47/3f4628474>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R37S7J58B	N/A	N/A	fa05f5d5-b906-4e63-abc9-b388655d09d2	GenericFile	nsercgap@ualberta.ca	N/A	N/A	Marquez, Horacio	N/A	2017-07-28T14:19:38.687Z	NSERC Discovery Grant Roundtable Presentation EG 1510 & 1511 - July 26, 2017	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2017/07/26	N/A	N/A	N/A	English	Discovery Grant | NSERC | DG | Electrical & Computer Engineering | Engineering	N/A	2017	N/A	N/A	2017-07-28T14:19:39.446Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/28/47/3f4628474/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-07-28T14:22:47.874Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	NSERC Roundtbale EG 1510&1511 - Horacio Marquez.pdf	2017-07-28T14:19:38.687Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bq/23/7h/s1/bq237hs13g	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zw/12/z6/65/zw12z6651>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3PC2TC8B	http://hdl.handle.net/10402/era.41300	http://hdl.handle.net/10402/era.41300	838a505f-63a2-4807-a152-9e9622a80e01	GenericFile	iwona.pawlina@ualberta.ca	uuid:c46b030b-3787-4e87-98f4-4ebde0b949ce	uuid:c46b030b-3787-4e87-98f4-4ebde0b949ce	Thorlakson, Jessica	N/A	2015-06-10T21:39:25.487Z	Bibliometrics and Research Impact (Winter 2014-2015)	N/A	N/A	N/A	Klassen, Timothy	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	2014/09/15	2015-06-10T15:39:22Z	2015-06-10T15:39:22Z	N/A	English	Research impact | Bibliomterics	2014	2014	j098zc52f	j098zc52f	2015-10-10T11:13:10.357Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zw/12/z6/65/zw12z6651/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T14:29:48.021Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	BibliometricsWorkshop Winter2015.pdf	2015-06-10T21:39:22.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z8/90/rv/51/z890rv51w	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ws/85/9j/50/ws859j502>		Grant Assist Program (Natural Sciences and Engineering)	N/A	44558r50r	N/A	N/A	44558s08z	Workshops (NSE)	doi:10.7939/R34J0B867	N/A	N/A	8b278a1c-176d-48a2-a28d-184f7f63e45d	GenericFile	ipawlina@ualberta.ca	N/A	N/A	Jonathan Veinot	N/A	2017-02-06T20:43:02.768Z	ATUMS (NSERC CREATE)	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-sa/4.0/	Learning Object	2016/09/12	N/A	N/A	N/A	English	NSERC CREATE, ATUMS	N/A	2016	N/A	N/A	2017-02-06T20:43:03.849Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ws/85/9j/50/ws859j502/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-02-06T20:47:13.102Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	ATUMS information_2016.pdf	2017-02-06T20:43:02.768Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bj/m2/14/p2/bjm214p246	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/r4/94/vk/50/r494vk50j>		Grant Assist Program (Natural Sciences and Engineering)	44558r50r	44558r50r	44558s08z	Workshops	44558s08z	Workshops	doi:10.7939/R3XC2S	http://hdl.handle.net/10402/era.39214	http://hdl.handle.net/10402/era.39214	24b71b86-1c36-474d-84c1-91921e7b0c18	GenericFile	iwona.pawlina@ualberta.ca	uuid:2f05e7d9-e04b-4411-a96b-3fd407c6d744	uuid:2f05e7d9-e04b-4411-a96b-3fd407c6d744	Charles Lucy	N/A	2014-07-29T19:15:39.604Z	2014 Discovery Grant Evaluation Group 1504 Round Table Presentation	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Learning Object	N/A	2014-07-29T13:15:32Z	2014-07-29T13:15:32Z	N/A	English	NSERC Discovery Grant | Discovery Grant Evaluation | NSERC Grants	N/A	N/A	bg257f34x	bg257f34x	2015-10-03T21:09:49.476Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/r4/94/vk/50/r494vk50j/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T00:45:26.607Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Dr Charles Lucy Discover Grant Round Table EG 1504 presentation.pdf	2014-07-29T19:15:32.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fq/97/7v/05/fq977v05j	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource	
