resource	Community	ualId:belongsToCommunity	ualid:belongsToCommunity	ualId:hasCollectionId	ualId:hasCollection	ualid:hasCollectionId	ualid:hasCollection	ualids:doi	ualId:fedora3handle	ualids:fedora3handle	http://fedora.info/definitions/v4/repository#uuid	info:hasModel	http://id.loc.gov/vocabulary/relators/dpt	ualId:fedora3uuid	ualids:fedora3uuid	dcterm:creator	dcterm:description	dcterm:modified	dcterm:title	dcterm:relation	dcterm:source	http://scholarsphere.psu.edu/ns#relativePath	dcterm:contributor	dcterm:license	dcterm:type	dcterm:created	dcterm:dateAccepted	dcterm:dateSubmitted	dcterm:isVersionOf	dcterm:language	dcterm:subject	ualId:year_created	ualid:year_created	ualid:ingestbatch	ualId:ingestbatch	http://fedora.info/definitions/v4/repository#created	http://fedora.info/definitions/v4/repository#createdBy	http://fedora.info/definitions/v4/repository#exportsAs	http://fedora.info/definitions/v4/repository#hasParent	http://fedora.info/definitions/v4/repository#lastModified	http://fedora.info/definitions/v4/repository#lastModifiedBy	http://fedora.info/definitions/v4/repository#mixinTypes	http://fedora.info/definitions/v4/repository#primaryType	http://fedora.info/definitions/v4/repository#writable	info:downloadFilename	info:createdDate	AASM::Persistence::ActiveFedoraPersistence::AASMTermsaasmstate	info:fedora/fedora-system:def/relations-external#isPartOf	rdf:type
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g7/32/d9/49/g732d949x>	Grant Assist Program (Health Sciences)	44558r821	44558r821	44558t55j	N/A	44558t55j	University Delegate (CIHR) Information	doi:10.7939/R3J96095N	http://hdl.handle.net/10402/era.37841	http://hdl.handle.net/10402/era.37841	36fbf914-27a2-4b8c-8486-1ebfa4d2ffde	GenericFile	cihrgrants@ualberta.ca	uuid:67cc8add-0245-4f5d-b06a-c48f39db8347	uuid:67cc8add-0245-4f5d-b06a-c48f39db8347	CIHR	Teleconference minutes are available for download for November 7, 2013 University Delegate teleconference. Jonathan Faulkner (Manager, CIHR Strategic Investment Planning and Reporting) provided an update on the CIHR Signature Initiatives. The link to the presentation is found within the minutes. Jen ODonoughue (Executive Director, Reforms Implementation,CIHR) provided an update on the foundation scheme live pilot and the transitional OOGP competitions.	2014-01-28T18:18:47.596Z	University Delegate Teleconference Minutes November 7, 2013	N/A	N/A	N/A	N/A	CC0 1.0 Universal	Conference/workshop Presentation	2013/11/07	2014-01-28T11:18:33Z	2014-01-28T11:18:33Z	N/A	English	foundation scheme | strategic initiatives	2013	2013	zc77sq559	zc77sq559	2015-10-04T22:52:04.325Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g7/32/d9/49/g732d949x/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T11:45:19.917Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	UD November 7 2013 Minutes_EN.pdf	2014-01-28T18:18:33.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2r/36/tz/27/2r36tz272	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/td/96/k3/87/td96k387t>	Grant Assist Program (Health Sciences)	44558r821	44558r821	44558s50z	Support	44558s50z	Support	doi:10.7939/R3T727N59	http://hdl.handle.net/10402/era.40885	http://hdl.handle.net/10402/era.40885	906b727c-c5f2-4526-88c2-d432edc505e4	GenericFile	cihrgrants@ualberta.ca	uuid:bff9c01f-2f16-4e98-a3ff-ac1f0f56a193	uuid:bff9c01f-2f16-4e98-a3ff-ac1f0f56a193	Simala-Grant, Joanne - Director, Health Funding Research Initiatives	CIHR created an unavoidable gap in research funding for investigators holding open CIHR awards with March 31, 2015 award end dates (i.e. Open Operating Grant Program or Partnerships for Health Systems Improvement Awards). This inevitable gap is due to the long Foundation peer review process, combined with the Foundation 2014 and March 2015 Open Operating Grant Program (OOGP) award start date of July 2015.<br></br>Consequently, individuals meeting the criteria below are eligible to apply for bridge funding of up to $20,000. These interim bridge awards will help maintain research momentum for investigators with CIHR awards ending March 31, 2015, until July 2015, which is the start date of Foundation and OOGP awards. <br></br> Eligibility to apply for bridge funding does not guarantee receipt of an interim bridge award.	2015-03-31T20:58:51.543Z	University Bridge Funding Program for Foundation 2014 Stage 1 Applications	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2015/03/31	2015-03-31T13:56:26Z	2015-03-31T13:56:26Z	N/A	English	stage 1 | bridge funding | interim bridge	2015	2015	p2676w77f	p2676w77f	2015-10-10T09:21:59.000Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/td/96/k3/87/td96k387t/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-18T17:49:04.437Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Interim Bridge 1April2015 F.pdf	2015-03-31T19:56:26.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gm/80/hw/67/gm80hw67w	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/ng/24/h128ng24n>	Grant Assist Program (Health Sciences)	44558r821	44558r821	44558s17x	Resources - Checklists and Guidelines	44558s17x	Resources - Checklists and Guidelines	doi:10.7939/R3S17T05B	http://hdl.handle.net/10402/era.23217	http://hdl.handle.net/10402/era.23217	a1011bf1-dcda-4241-9566-0285d0234c5a	GenericFile	cihrgrants@ualberta.ca	uuid:e9987630-227f-4eeb-bf45-4edef2613bde	uuid:e9987630-227f-4eeb-bf45-4edef2613bde	Colmers, William - Professor, Department of Pharmacology | Eurich, Dean - Assistant Professor, Public Health Sciences | Raine, Kim - Professor, Professor, Center for Health Promotion Studies | Rowe, Brian - Professor & Research Director, Department of Emergency Medicine	This resource provides insights from Drs. William Colmers, Brian Rowe, Dean Eurich and Kim Raine into the preparation of a successful grant application summary page across the 4 Themes/Pillars of CIHR. A carefully prepared and clearly organized application prejudices the reviewer in your favor. This document provides guidelines for communicating with reviewers through the summary page about what is and is not know within the research area and what the general approach will be in addressing the unresolved questions.  4 examples of an effective summary page for each theme are shown. First, Dr. Colmers describes a Theme/Pillar 1 -(Biomedical - experimental medicine) summary page followed by an example of a Theme/Pillar 2  (Clinical - clinical science) summary page written by Dr. Rowe. Next, Theme/Pillar 3 (Health Systems & Services) example has been written by Dr. Eurich and Dr. Raine provides a Theme/Pillar 4 (Social, Cultural, Environmental & Population Health). Together, through the use of Toejam, these authors convey what makes a clear summary page for each CIHR Theme.	2014-05-01T03:19:08.549Z	Writing a Successful Research Summary for CIHR Grant Applications (Themes I-IV)	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2011/10/19	2011-05-17T14:51:47Z	2011-05-17T14:51:47Z	N/A	English	clinical | theme 2 | biomedical | theme 3 | theme 1 | social, cultural, environmental and population health | theme 4 | health systems services | research summart	2011	2011	cf95jc73f	cf95jc73f	2015-10-10T20:31:57.869Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h1/28/ng/24/h128ng24n/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-18T22:12:38.361Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Writing a Successful Research Summary for CIHR Grant Applications (Themes I-IV) 20Oct2011_merged[1].pdf	2011-05-17T20:51:47.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h9/89/r4/84/h989r484v	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/h6/3s/w0/bhh63sw009>	Grant Assist Program (Health Sciences)	N/A	44558r821	N/A	N/A	44558v757	Foundation Competition Workshops	doi:10.7939/R3K35MH64	N/A	N/A	d761111e-6c08-4086-81a0-ef9b0e7b2296	GenericFile	cihrgrants@ualberta.ca	N/A	N/A	Simala-Grant, Joanne - Director, Health Funding Research Initiatives | Melançon, Paul | Michelakis, Evangelos	We will have the opportunity to hear Dr. Paul Melançon (CIHR Stage 1 Foundation Reviewer) and Dr. Evangelos Michelakis (CIHR Foundation awardee & reviewer) share their insights into the CIHR Stage 1 Foundation application and review process.	2016-09-30T15:02:01.564Z	Preparing a CIHR Stage 1 Foundation Application, Sept 2016	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/09/30	N/A	N/A	N/A	English	CIHR | Foundation | Stage 1	N/A	2016	N/A	N/A	2016-09-30T20:14:09.167Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/h6/3s/w0/bhh63sw009/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T14:40:16.305Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Slides - Preparing a CIHR Stage 1 Foundation Application, Sept 2016.pdf	2016-09-30T20:14:08.654Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/76/53/73/94/76537394p	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/66/82/x6/62/6682x662m>	Grant Assist Program (Health Sciences)	44558r821	44558r821	N/A	N/A	44558s17x	Resources - Checklists and Guidelines	doi:10.7939/R3WH2DF6J	N/A	N/A	a17b7a2a-6c93-486e-9f81-90a01735aac7	GenericFile	cihrgrants@ualberta.ca	N/A	N/A	Simala-Grant, Joanne	N/A	2017-08-02T12:55:08.959Z	Strategic Checklist for Project 2016, January 2016	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Conference/workshop Presentation	2015/12/08	N/A	2016-03-24T21:14:35.099Z	N/A	English	Project 2016 | Checklist	2015	2015	N/A	N/A	2016-03-24T21:14:35.618Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/66/82/x6/62/6682x662m/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-08-02T18:55:09.075Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Strategic Checklist Project Scheme January 2016.pdf	N/A	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1c/18/dj/31/1c18dj31c	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b7/d2/78/t1/b7d278t15t>	Grant Assist Program (Health Sciences)	N/A	44558r821	N/A	N/A	44558s50z	Support	doi:10.7939/R30V89Q8H	N/A	N/A	b3dc2e3e-27d5-4460-adb1-38615773a49f	GenericFile	cihrgrants@ualberta.ca	N/A	N/A	Grant Assist Program | Dr. Joanne Simala-Grant	N/A	2016-09-16T10:09:28.885Z	Wordle Analysis of Funded 2014 and 2015 CIHR Foundation Grant Title	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/09/16	N/A	N/A	N/A	English	CIHR | Analysis | Foundation | Wordle | Grant TItles	N/A	2016	N/A	N/A	2016-09-16T15:44:58.088Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b7/d2/78/t1/b7d278t15t/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-19T01:21:46.857Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Project.pdf	2016-09-16T15:44:57.800Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/20/7t/p4/br207tp45q	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/gz/82/gh93gz82j>	Grant Assist Program (Health Sciences)	44558r821	44558r821	N/A	N/A	44558t55j	University Delegate (CIHR) Information	doi:10.7939/R3TT4FS56	http://hdl.handle.net/10402/era.38419	http://hdl.handle.net/10402/era.38419	812de7a1-a6af-4488-813c-758bb879a68e	GenericFile	cihrgrants@ualberta.ca	uuid:5008d6f1-d1a5-4719-ab87-a447b0253583	uuid:5008d6f1-d1a5-4719-ab87-a447b0253583	CIHR	Teleconference minutes are available for download for March 13,  2014 University Delegate teleconference. Discussion included the March 2014 OOGP, an update to the reforms, the federal budget, an update to the Institute Model Review, and SPOR.	2017-08-02T12:41:23.299Z	University Delegate Teleconference Minutes March 13, 2014	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Conference/workshop Presentation	2014/03/14	2014-04-03T12:36:01Z	2014-04-03T12:36:01Z	N/A	English	reforms | SPOR | federal budget | institute advisory board | march 2014 OOGP update	2014	2014	mc87pq64h	mc87pq64h	2015-10-04T04:35:58.834Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/gz/82/gh93gz82j/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-08-02T18:41:23.445Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Minutes of the March 13, 2014 UD Meeting.pdf	2014-04-03T18:36:01.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9s/16/16/51/9s161651q	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/t4/35/gg/70/t435gg703>	Grant Assist Program (Health Sciences)	N/A	44558r821	N/A	N/A	44558s50z	Support	doi:10.7939/R3WD3Q542	N/A	N/A	52dffed9-31b6-4dae-8894-ea05d3a8dfc3	GenericFile	cihrgrants@ualberta.ca	N/A	N/A	Dr. Joanne Simala-Grant	This document lists important CIHR and Internal Review deadlines for the Fall 2016 Project, Spring 2017 Project, and 2016 Foundation competitions.	2017-01-04T20:59:12.443Z	Update on Project & Foundation Competitions	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2017/01/04	N/A	N/A	N/A	English	Project 2016 | Feedback Processes | Foundation 2016 | Project 2017	N/A	2017	N/A	N/A	2017-01-04T20:59:12.831Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/t4/35/gg/70/t435gg703/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-04T21:01:37.912Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Project Foundation Dates & Support Dec2016 F.pdf	2017-01-04T20:59:12.443Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mg/74/qp/79/mg74qp79s	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pg/15/bg/20/pg15bg20j>	Grant Assist Program (Health Sciences)	44558r821	44558r821	44558s100	Workshops – non-OOGP non-training competitions	44558s100	Workshops – non-OOGP non-training competitions	doi:10.7939/R3QG06	http://hdl.handle.net/10402/era.38022	http://hdl.handle.net/10402/era.38022	8e0c05e5-65a2-48ee-8901-b5ba2ca2ef58	GenericFile	cihrgrants@ualberta.ca	uuid:cb3d014c-956b-4c4a-a28b-4b3498608813	uuid:cb3d014c-956b-4c4a-a28b-4b3498608813	McAlister, Finlay - Professor, General Internal Medicine, Faculty of Medicine & Dentistry | Murphy, Tim - Executive Director, Alberta SPOR SUPPORT Unit | Rowe, Brian - Associate Dean (Clinical Research), Faculty of Medicine & Dentistry; Professor, Emergency Medicine	The Strategy for Patient Oriented Research (SPOR) is a CIHR initiative that integrates funding, research and health care. SPOR is also a coalition of federal, provincial, and territorial partners comprised of SUpport for People and Patient-Oriented Research and Trials (SUPPORT) Units and Networks. The SPOR SUPPORT Units are specialized, multidisciplinary research service centres to be located across Canada working with provincial or territorial health services in supporting the use of research evidence in decision-making and inform best practices. This session discussed the Alberta SPOR SUPPORT Unit.	2014-05-01T00:51:09.417Z	SPOR SUPPORT Unit	N/A	N/A	N/A	N/A	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Conference/workshop Presentation	2014/02/06	2014-02-11T10:27:36Z	2014-02-11T10:27:36Z	N/A	English	SPOR | SUPPORT units | strategy for patient-oriented research | SUpport for People and Patient-Oriented Research and Trials Units	2014	2014	gm80hw90p	gm80hw90p	2015-10-11T03:48:53.539Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pg/15/bg/20/pg15bg20j/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-21T23:52:19.341Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	SPOR SUPPORT Unit_Revised Feb 6_2014 final for posting.pdf	2014-02-11T17:27:36.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9p/29/0b/84/9p290b847	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/30/pw/61/cz30pw615>	Grant Assist Program (Health Sciences)	N/A	44558r821	N/A	N/A	44558t55j	University Delegate (CIHR) Information	doi:10.7939/R3XW4877J	N/A	N/A	e2336853-b9aa-46c3-b840-efe6d4636677	GenericFile	cihrgrants@ualberta.ca	N/A	N/A	CIHR	N/A	2017-04-05T20:46:21.392Z	University Delegate Teleconference Minutes, March 2, 2017	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2017/03/02	N/A	N/A	N/A	English	CIHR | Project Grant | Foundation Grant | Peer Review	N/A	2017	N/A	N/A	2017-04-05T20:46:22.090Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/30/pw/61/cz30pw615/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-04-05T20:50:54.550Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Draft English Minutes of the March 2 2017 Meeting.pdf	2017-04-05T20:46:21.392Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bb/27/73/v7/bb2773v79s	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
