NOID	Author	Title	Alternative title	Year	
r494vn21h	Gibson, Barry John.	An attributional analysis of performance outcomes and the alleviation of learned helplessness on motor performance tasks: a comparative study of educable mentally retarded and non-retarded boys	Attribution theory and learned helplessness.	1980
r494vn21h	Gibson, Barry John.	An attributional analysis of performance outcomes and the alleviation of learned helplessness on motor performance tasks: a comparative study of educable mentally retarded and non-retarded boys	Comparative study of educable mentally retarded and non-retarded boys.	1980
bk128d37d	Shariff, Riyaz	Automation of water treatment plants with artificial neural networks and remote monitoring systems	Automation of water treatment plants	2002
h128nh04c	Wang, Xuesi.	Calculation of time variations in mineral grades from high resolution geostatistical models	Time variation calculation	2000
sf268705x	Giesbrecht, Barry Lee.	Masking by object substitution: interactions between visual perception and attention	Interactions between visual perception and attention	1999
4t64gq43h	Aherne, Michael J.	Learning in professional engineering and earth science: an exploratory study	Learning in engineering and earth science.	1996
1v53k052c	Imo, Ulunma Obioma.	Effects of formulation and chemical modification on peptides: stability in human serum and mouse serum	Stability in human serum and mouse serum	1998
h128ng89g	Mishra, Jai Prakash.	Economic analysis of energy use in the modernization of Indian agriculture	Energy use in Indian agriculture	1977
k930c045r	Negi, Saloni.	The Satanic Verses and the Rushdie affair: an exploration of the world and the book from the perspective of comparative literature and cultural studies	Exploration of the world and the book from the perspective of comparative literature and cultural studies	1998
x920g0226	McCarthy, Peter.	A study of two childrens learning of base complement additions	Study of base complement additions	2002
qb98mh81v	Dalton, Danielle Alice Marie.	The childs right to an education for open-mindedness: a moral and legal theory of materials access and selection in educational curricula	Moral and legal theory of materials access and selection in educational curricula.	1999
qb98mh81v	Dalton, Danielle Alice Marie.	The childs right to an education for open-mindedness: a moral and legal theory of materials access and selection in educational curricula	Right to an education for open-mindedness.	1999
r494vm821	Oduor, Saulo Ochieng.	Simultaneous air, heat and moisture transfer in fibrous building insulation	... Transfer in fibrous building insulation	1999
h128nh386	Bangura, Ahmed S.	The politics of representation: Islam and the sub-Saharan African novel	Islam and Sub-Saharan African fiction	1994
x920g0447	Stephen, Tracey.	Effect of exposure to computer-assisted instruction with CD-ROM technology on nursing students attitude towards computer-assisted instruction	Students attitude toward CAI.	1998
qb98mh514	Marshall, Jody Lynn.	Learning spirituality: narratives of five South Asian women	Narratives of five South Asian women.	1998
qb98mh514	Marshall, Jody Lynn.	Learning spirituality: narratives of five South Asian women	S. Asian womens stories.	1998
4t64gq541	Nickel, Dawn Dorothy	Realities and reflections: women and the Yukon frontier during the Alaska Highway period	Women and the Yukon frontier during the Alaska Highway period	1998
k930c0479	Velde, Jeannette Amanda Edith van der.	Participatory action research: merging theory and practice in a community-based mental health project for immigrants and refugees	Participatory action research, merging theory and practice.	2002
jd472z37j	Lang, Linda L.	Teaching with drama: a collaborative study in innovation	Collaborative study in innovation.	1998
1v53jz92z	Graf, Alfred H.	Loneliness, depression and nutritional status among low income women	Loneliness, depression & nutritional risk	2002
1v53jz92z	Graf, Alfred H.	Loneliness, depression and nutritional status among low income women	Loneliness, depression and nutritional risk	2002
qb98mh92c	Falkenstein, Leonard Robert.	Renovating the kitchen: Irishness, nationalism, and form in the theatre of John B. Keane, Tom Murphy, Hugh Leonard, Brian Friel, and Thomas Kilroy	Irishness, nationalism, and form in the theatre of John B. Keane, Tom Murphy, Hugh Leonard, Brian Friel, and Thomas Kilroy	1997
sf268736x	Kunyk, Diane	Parental school-related support and bullying among Canadian youth	Parental support and bullying in youth	2002
jd472z589	Obayemi, Olumide Kolawole.	Statutory derivative actions: the locus standi of a minority shareholder to enforce corporate rights in Alberta and Nigeria	Derivative actions	1999
jd472z589	Obayemi, Olumide Kolawole.	Statutory derivative actions: the locus standi of a minority shareholder to enforce corporate rights in Alberta and Nigeria	Locus standi of a minority shareholder to enforce corporate rights in Alberta and Nigeria	1999
nk322g75q	Bednarski, Jan.	Glacier fluctuations and sea level history of Clements Markham Inlet, Northern Ellesmere Island	Glaciation and sea levels N. Ellesmere IS. NWT	1984
h128ng96w	Bernard, Shelly.	Experiences of hope in a domestic abuse shelter worker: a case study	Experiences of hope.	2000
9z903199j	Peters, Sherry L.	An exploration of the experience of having a disability sometimes: the uncertainty	Having a disability sometimes	1994
4t64gq06c	Massey, Valerie J.	Listening to the voiceless ones: women with fetal alcohol syndrome and fetal alcohol effect	Voiceless ones, women with FAS/FAE	1997
4t64gq06c	Massey, Valerie J.	Listening to the voiceless ones: women with fetal alcohol syndrome and fetal alcohol effect	Women with fetal alcohol syndrome and fetal alcohol effect	1997
jd472z93w	Hoiles, Harley H. K.	Nature and genesis of the Afton Copper Deposit, Kamloops, British Columbia	Afton porphyry copper deposit B.C.	1978
4t64gq38n	Williamson, Frances Helen Alexandria.	Impact of myocardial infarction on patient and partner quality of life	Impact of m.i. on quality of life.	1996
2v23vw577	Sultanian, Richard A.	Characterization of the mechanism of ANF-induced fluid extravasation from the spleen	ANF-induced fluid extravasation	2000
x633f320d	Witwicki, Nicole Eve.	Analysis of the determinants of success in agricultural marketing and production clubs	Determinants of success in agricultural clubs	1999
jd472z53x	Maluwa-Banda, Dixie W.	Adolescent sexuality and HIV/AIDS in Malawi: knowledge, attitudes and behaviour of secondary school students	Knowledge attitudes and behaviour of secondary school students.	1999
pr76f552s	Pitman, Timothy David	Effect of fines and gradation on the collapse surface of a loose saturated soil	Effect fines on collapse surface, loose sands	1993
r494vn44t	Murphy, Kathryn Marie.	Galectin expression and effect of galectin hapten inhibitors on epithelial cell phenotype in the embryonic chick mesonephros	Galectins in mesonephric differentiation	1999
41687k97r	O'Connor, Lise Hélène.	Surveillance and validation of self-reported sexual behaviours of secondary school students in the Kabarole district of western Uganda	Adolescent sexual behaviours in Uganda	1999
