resource	Community	ualId:belongsToCommunity	ualid:belongsToCommunity	ualId:hasCollectionId	ualId:hasCollection	ualid:hasCollectionId	ualid:hasCollection	ualids:doi	ualId:fedora3handle	ualids:fedora3handle	http://fedora.info/definitions/v4/repository#uuid	info:hasModel	http://id.loc.gov/vocabulary/relators/dpt	ualId:fedora3uuid	ualids:fedora3uuid	dcterm:creator	dcterm:description	dcterm:modified	dcterm:title	dcterm:relation	dcterm:source	http://scholarsphere.psu.edu/ns#relativePath	dcterm:contributor	dcterm:license	dcterm:type	dcterm:created	dcterm:dateAccepted	dcterm:dateSubmitted	dcterm:isVersionOf	dcterm:language	dcterm:subject	ualId:year_created	ualid:year_created	ualid:ingestbatch	ualId:ingestbatch	http://fedora.info/definitions/v4/repository#created	http://fedora.info/definitions/v4/repository#createdBy	http://fedora.info/definitions/v4/repository#exportsAs	http://fedora.info/definitions/v4/repository#hasParent	http://fedora.info/definitions/v4/repository#lastModified	http://fedora.info/definitions/v4/repository#lastModifiedBy	http://fedora.info/definitions/v4/repository#mixinTypes	http://fedora.info/definitions/v4/repository#primaryType	http://fedora.info/definitions/v4/repository#writable	info:downloadFilename	info:createdDate	AASM::Persistence::ActiveFedoraPersistence::AASMTermsaasmstate	info:fedora/fedora-system:def/relations-external#isPartOf	rdf:type
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/28/35/3f462835b>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s984	Successful Grants Library (SSHRC)	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3VM42X65	N/A	N/A	0e4651e5-cda1-4539-b458-1280ab97b002	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	GAPSSHRC | Meagher, Michelle	SSHRC IG awarded 2014 (2013 competition): This four year project that will analyse the influential but under-examined feminist periodical Heresies: A Feminist Publication on Art and Politics. Heresies was a quasi-biannual magazine edited and produced by a collective that included artists, art historians, activists, and critics. Heresies branded itself as a place where many womens voices would be heard. The central claim of this research project is that the periodicals commitment to representing opposing points of view makes it a particularly valuable document for understanding feminist thinking about art and politics from 1977 to 1993. Heresies stands as a gauge for what its participants -- many of whom would continue to play a central role in feminist art practice, criticism and history well after the periodical folded -- understood to be the key issues of the time. I argue that Heresies is additionally a valuable gauge for understanding the contours of the debates that animated feminist discourses and feminist art thinking during the 1980s -- a period that has been largely overlooked by feminist art historians and critics.	2016-08-26T15:58:46.391Z	Art, Politics, and Feminist Periodicals: The Case of Heresies (1977-1993)	N/A	Meagher, Michelle	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2013/10/07	N/A	2016-03-15T18:20:38.133Z	N/A	English	Women | Successful SSHRC | cultural studies | Insight Grant | Grant application | Media Studies | Arts and culture | book culture | feminist activism | feminist art history | feminist cultural production | Fine Arts | heresies | IG | Interdisciplinary Studies | periodical studies | women-in-print movement	2013	2013	N/A	N/A	2016-03-15T18:20:39.122Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3f/46/28/35/3f462835b/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-22T11:21:42.969Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	MeagherMichelle-IG-2013.pdf	N/A	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tb/09/j8/36/tb09j836j	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b1/54/4b/p1/b1544bp166>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s984	Successful Grants Library (SSHRC)	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3154DW7D	N/A	N/A	71bcce5f-2b4a-4b2f-b357-b492a0f17bbb	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	GAPSSHRC | Terri Tomski	SSHRC Connection grant awarded in 2016:  Memory Economies will be a two-day symposium, hosted by the University of Albertas Departments of English & Film Studies and Womens & Gender Studies on September 4-5, 2015. It is designed to contribute new concepts and theorizations to the multidisciplinary field of memory studies as well asbuild an international network for future collaboration. The symposium is premised on a question: what is the relationship between memory and economy?	2016-08-26T16:09:45.787Z	Memory Economies	N/A	Tomsky, Terri	N/A	Luhmann, Susanne	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2014/11/01	N/A	2016-03-15T17:05:02.570Z	N/A	English	CG | Connection Grant | Successful SSHRC | Literature | SSHRC Grant | Communications | Grant application | Tourism | Ghana | Globalization | human rights | Media Studies | Ukraine | Conference |  global capitalism | circulation of memories | collective histories | cultural heritage | Cultural memory | dissemination of memories | historical trauma | Memorabilia | Memorial | Poland	2014	2014	N/A	N/A	2016-03-15T17:05:03.269Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b1/54/4b/p1/b1544bp166/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-19T01:14:28.074Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Tomsky,TerriConnectionGrant2015.pdf	N/A	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bj/67/31/38/bj6731384x	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b3/77/20/c8/b37720c80f>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s61g	Grant-Writing (SSHRC)	N/A	N/A	N/A	d041e11a-b8cb-4dc5-bbb5-5dd10fe59e52	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	Szeman, Imre	Sample PG-LOI (not funded). Private copy for educational and archival documentation purposes.	2017-06-19T17:07:27.747Z	After Oil: The Future Cultures Project [PG-LOI]	N/A	Szeman, Imre	N/A	GAPSSHRC	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2014	N/A	N/A	N/A	English	SSHRC | Grant application | Partnership | PG-LOI | Unsuccessful	N/A	2014	N/A	N/A	2016-09-03T04:52:47.816Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b3/77/20/c8/b37720c80f/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-06-19T23:07:29.778Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Szeman-PG-LOI-2014.pdf	2016-09-03T04:52:46.235Z	not_available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bj/67/31/38/bj6731387v	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bm/p4/8s/c9/bmp48sc923>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3PN8XV3G	N/A	N/A	5881aff9-d3ff-465a-a8af-9937b061b5da	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	Lund, Anna	SSHRC IDG funded 2017:  Although bankruptcy should not be a side effect of sickness, many Canadians are pushed over this financial precipice by an illness or injury. In the United States, uncovered medical expenses wreak havoc on the finances of the ill and injured, whereas in Canada, the income lost while convalescing leaves many individuals struggling to make ends meet. Public programs, such as the federal employment insurance sickness benefit and provincial workers compensation programs, are intended to insulate ill and injured Canadians from financial distress by providing them with replacement income. The frequency with which medical events trigger bankruptcy suggests that these programs are not fulfilling this goal; this project seeks to understand why.	2017-10-05T20:44:52.314Z	Providing Income Support to the Ill and Injured	N/A	Anna Lund	N/A	GAPSSHRC	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2017/02/01	N/A	N/A	N/A	English	Successful SSHRC | 2017 | IDG | Law | Bankruptcy | Employment insurance | Financial distress | Medical poverty | Sickness benefit | Workers compensation	N/A	2017	N/A	N/A	2017-10-05T20:44:53.057Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bm/p4/8s/c9/bmp48sc923/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-10-05T21:29:36.424Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	LundAnna-IDG-2017.pdf	2017-10-05T20:44:52.314Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/26/76/v6/bp2676v672	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ws/85/9j/48/ws859j481>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3FB4WP7Z	N/A	N/A	5700fc0a-4ea4-47ee-9adb-53539317cf95	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	GAPSSHRC | Szeman, Imre	SSHRC Knowledge Synthesis grant awarded 2015: The dominant form of energy of any given era shapes the characteristics and capacities of societies in an essential way; energy is a key aspect of the fabric of our social experience, and not just a neutral input that helps run the engines of our economies and societies. Given such social significance, what repercussions might follow a transition from fossil fuels to renewable energy? The developing field of the “energy humanities”1 has begun to help us understand more fully the many types of cultural impasse—habits and practices of being, believing and belonging—that stand in the way of the forms of energy transition we will need to undertake this century as we move to a post-fossil fuel world.	2016-12-06T13:32:02.651Z	On Energy Humanities: Contributions from the humanities, social sciences and arts to understanding energy transition and energy impasse	http://www.outil.ost.uqam.ca/CRSH/Detail.aspx?Cle=147374&Langue=2	Imre Szeman	/Szeman-2015.pdf	Beer, Ruth | Wilson, Sheena | Simpson, Mark | Cariou, Warren	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2015/	N/A	N/A	N/A	English	Grant Application | Cultural Studies | SSHRC | Successful Grant | Energy Humanities | Knowledge Synthesis | KS	N/A	2015	N/A	N/A	2016-12-06T00:05:15.099Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ws/85/9j/48/ws859j481/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2016-12-24T09:30:14.011Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Szeman-2015.pdf	2016-12-06T00:05:14.665Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zc/77/ss/77/zc77ss77r	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hj/30/cc08hj30v>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R33B5WM1F	N/A	N/A	3c5ea1f2-20f9-4263-afa7-4662924941c9	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	Laforest, Daniel	SSHRC IG awarded 2017: This project focuses on the representations of health and the biomedical body in post-1960s Anglo-Canada and Franco-Québec literatures. It is interested in the representation of urban middle-classes and the ways in which the notion of responsibility towards health informs the literary self. It possesses a resolutely interdisciplinary dimension because its results as well as part of its methodology will intersect with the field of health humanities. With the rapidly growing, yet widely different problems of public health management in Canada, the personal relation to ones body and health in light of the often-conflicting rhythms of urban life has become crucial. The relative sobriety and calculations required by health regimens, by the physical and mental declines of old age, by the accidents that radically alter ones identity, or by the unequal rhythms and lifespan of organs along with the possibility of their transplant, quickly prove to be incompatible with the subjective flourishing of the ideal of the good life that dominates our images of citizenship.	2017-05-17T18:34:09.098Z	The Biomedical Body and Everyday Life in Quebec	N/A	Laforest, Daniel	N/A	GAPSSHRC	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2017/04/11	N/A	N/A	N/A	English	2017 | Literature | Insight Grant | Cultural Studies | Modern Languages | SSHRC | Storytelling | IG | Successful Grant |  Québécoise | Biomedical | French Canadian | Health Humanities | Health Narratives | Medical Experiences | Narration | Narrative	N/A	2017	N/A	N/A	2017-04-11T22:23:11.900Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hj/30/cc08hj30v/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-05-18T00:34:09.286Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	LaForest-IG-2016-17.pdf	2017-04-11T22:23:10.651Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/st/74/ct/03/st74ct03d	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tb/09/j8/41/tb09j841d>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3N29PJ85	N/A	N/A	344b8744-10fb-455c-a80a-dd76a87171b4	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	GAPSSHRC	SSHRC Insight grant awarded 2017:	2017-04-12T19:00:54.260Z	Understanding childrens processing of reference in interaction	N/A	N/A	N/A	N/A	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/10/15	N/A	N/A	N/A	English	Insight Grant | SSHRC | IG | Successful Grant	N/A	2016	N/A	N/A	2017-04-12T19:00:55.110Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tb/09/j8/41/tb09j841d/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-04-12T19:08:06.280Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Jarvikivi-IG-2016-17.pdf	2017-04-12T19:00:54.260Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mg/74/qp/82/mg74qp823	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/66/82/x4/94/6682x494g>	Grant Assist Program (Social Sciences / Humanities)	44558r03c	44558r03c	44558s984	Successful Grants Library (SSHRC)	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3RJ49553	http://hdl.handle.net/10402/era.32360	http://hdl.handle.net/10402/era.32360	151f2d87-f9a7-4163-9ef8-80c6adbfcd6f	GenericFile	gapsshrc@ualberta.ca	uuid:9decac8e-4d43-4c82-886c-dfa747278fb3	uuid:9decac8e-4d43-4c82-886c-dfa747278fb3	Parkins, John	SSHRC awarded 2012:  This project aims to gather new scientific insights, foster civic deliberation, facilitate learning, and explore energy choices in Canada. Our approach is innovative, comparative, interdisciplinary, and organized around three broad objectives, to: (1) use elicitation and visualization techniques to understand how individually held landscape values influence citizen responses to energy development; (2) use Q methodology and survey research to understand cultural values and gauge technical literacy related to energy development in Canada; and, (3) draw on insights from objectives 1 and 2 (and use deliberative democratic techniques) to facilitate citizen deliberations and learning to identify acceptable energy alternatives. These objectives are intended to elucidate a cultural imaginary of energy development and to help find ways to re-imagine it for the future. Adaptation to and mitigation of climate change will involve widespread transitions to technologies such as renewable energy and carbon capture and storage that will affect our landscapes and our cultural imaginaries, but these transitions can only take place where civil society has shifted their understanding of what is needed, what is desirable, and what is possible. Gaining deeper insight into public understandings of energy development alternatives will be an essential component to making the transition successfully and democratically. Working with civil society organizations and regional institutions within our study locations, this project has strong potential to contribute to public understanding of alternative energy development, encourage an appropriate mix of energy supply and conservation measures, improve energy development protocols and contribute to the adaptation and mitigation of climate change.	2016-11-23T15:39:22.098Z	Exploring and transforming a cultural imaginary of energy development in Canada	N/A	John Parkins	N/A	Beckley, Thomas//UNB | Sherren, Kate//Dalhousie University	Creative Commons Attribution-Non-Commercial-No Derivatives 3.0 Unported	Research Material	2011/10/12	2013-07-29T08:23:45Z	2013-07-29T08:23:45Z	N/A	English	2012 | Energy | Insight Grant | Policy | IG | Environment | Energy transition |  Civic deliberation | Alternative energy development | Cultural imaginary | Energy Policy | Environmental issues | Grant Proposal | Multidisciplinary research | Successful SSHRC Grant	2011	2011	4j03d057v	4j03d057v	2015-10-06T04:15:37.539Z	fedoraAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/66/82/x4/94/6682x494g/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-01-20T17:31:47.003Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Dr. John Parkins IG.pdf	2013-07-29T14:23:45.000Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5d/86/p1/31/5d86p1319	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/99/9n/35/b5999n351r>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R38K7595C	N/A	N/A	3de1b2d1-676a-4704-8119-ab26dc5e0cc2	GenericFile	youngles@ualberta.ca	N/A	N/A	Wilson, Sheena	Insight Grant funded in 2017. the world of the present is a Petroculture, where  cultural, economic,  ideological, legal and political relationships --locally and globally-- have been shaped by oil and its networks of power.  Energy transition demands social transformation. This research is driven by two ideas: 1) the future will be shaped by those who are able to imagine it. 2) feminist and inclusive thinkers interested in equity, under whatever name they go by, should be shaping that future. Feminists of all genders, and stories and cultural production of all forms, are critically important to imagining less carbon intensive and socially just futures, as we power-down.   Using feminist intersectional theories and qualitative methods, the project will record and create an archive of energy transition texts (stories, video, art, textiles, artefacts), analyze how feminists outputs and marginalized womens social reproduction may be mobilized to shift public perceptions toward more equitable imaginaries of our collective energy future.	2017-10-02T19:32:49.244Z	Feminist Energy Futures: Power Shift and Environmental Social Justice	N/A	Sheena Wilson	N/A	GAPSSHRC | Dorow, Sara | Beer, Ruth | Ikeda, Satoshi | Loveless, Natalie | Mookerjea, Sourayan | Moore, Lisa	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/10/17	N/A	N/A	N/A	English	Women | Alberta | 2017 | Gender | Climate change | Feminist | IG | Feminism | Activism | Anti-oil | Carbon footprint | Communication studies | Cultural studies | Energy humanities | Energy transition | Environmentalism | Feminist counter-narratives | Feminist knowledge | Future imagining | Intermedia communication | Northern Gateway Pipeline | Participatory action research | Petrocultures | Political engagement | Research-Creation	N/A	2016	N/A	N/A	2017-10-02T19:32:50.257Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b5/99/9n/35/b5999n351r/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-10-02T20:02:21.598Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Wilson-IG-2016-17.pdf	2017-10-02T19:32:49.244Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bn/v9/35/29/bnv9352975	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
<http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b2/z1/0w/q4/b2z10wq48j>	Grant Assist Program (Social Sciences / Humanities)	N/A	44558r03c	N/A	N/A	44558s984	Successful Grants Library (SSHRC)	doi:10.7939/R3GM82281	N/A	N/A	40110a0d-d87d-4cb7-ab14-527f3a2f4026	GenericFile	gapsshrc@ualberta.ca	N/A	N/A	N/A	PDG awarded 2016: This international case study partnership research initiative will respond to this urgent need to help teachers and students develop the necessaryknowledge and proficiencies for our digital age, by generating theory, curricula, and classroom strategies. We will recommend future research areas, policy development for education administrators and policy -makers, and practice strategies in digital literacyeducation for students in grades K to 6.	2017-11-14T15:34:46.759Z	Reimagining literacy education: Being literate in the twenty-first century	N/A	Linda Laidlaw	N/A	GAPSSHRC	http://creativecommons.org/licenses/by-nc-nd/4.0/	Research Material	2016/12/05	N/A	N/A	N/A	English	PDG | Successful SSHRC Application | Partnership Development	N/A	2016	N/A	N/A	2017-11-14T19:15:18.821Z	bypassAdmin	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b2/z1/0w/q4/b2z10wq48j/fcr:export?format=jcr/xml	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod	2017-11-14T22:34:46.896Z	bypassAdmin	fedora:Container | fedora:Resource	nt:folder	true	Laidlaw-PDG-2016-17.pdf	2017-11-14T19:15:17.659Z	available	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2z/10/wt/25/2z10wt25d	http://fedora.info/definitions/v4/repository#Container | http://fedora.info/definitions/v4/repository#Resource | http://www.jcp.org/jcr/mix/1.0created | http://www.jcp.org/jcr/mix/1.0lastModified | http://www.jcp.org/jcr/mix/1.0referenceable | http://www.jcp.org/jcr/nt/1.0base | http://www.jcp.org/jcr/nt/1.0folder | http://www.jcp.org/jcr/nt/1.0hierarchyNode | http://www.w3.org/ns/ldp#Container | http://www.w3.org/ns/ldp#RDFSource
