NOID	Number of Supervisors
c1v53jx12z	5
t148fj70n	5
44558d91x	4
p5547s06q	4
dj52w5188	4
2j62s5818	4
2n49t243c	4
3x816n82c	4
gt54kn67f	4
1n79h478m	4
pr76f356g	4
73666481z	4
1831ck31f	4
c8c97kq66m	4
5t34sj80w	4
gm80hv832	4
j6731515x	4
cjd472w703	4
4t64gp596	4
2r36tz582	4
cpn89d696n	3
w37638013	3
z603r008s	3
c2514nk70t	3
vx021h75b	3
w3763955m	3
c02870v88m	3
c2n49t1697	3
cm900nt56h	3
cw9505055r	3
c8w32r5749	3
f1881p364	3
z603qx43s	3
k0698876t	3
pc289j19b	3
cd791sg56q	3
w0892d632	3
c5425kb006	3
cvt150j35t	3
bz60cx14q	3
hx11xg68t	3
cn009w247c	3
cxp68kg71n	3
0p096811t	3
cdj52w496k	3
00000014b	3
ks65hc213	3
3j3333045	3
cxs55mc320	3
c5m60qs093	3
cjq085j996	3
cdr26xx386	3
c1v53jx138	3
6969z178m	3
cmk61rh24b	3
c9g54xh84g	3
kh04dr144	3
c5m60qs13h	3
ccc08hf85n	3
0z708x34f	3
ccj82k7308	3
pc289k47q	3
8623hz16k	3
5d86p313s	3
j098zb67v	3
js956g79v	3
m039k576g	3
d791sg391	3
q237ht29n	3
cbz60cw65j	3
0c483j60j	3
csn009z142	3
c3n203z301	3
xg94hr22j	3
79407z51r	3
xs55mc91j	3
3484zh72x	3
c707957687	3
br86b4754	3
9c67wn68q	3
mc87pr39c	3
3r074w12f	3
cj82kb16g	3
dr26xz215	3
0z708x246	3
c9s1616643	3
8g84mm85r	3
8w32r616k	3
v692t662v	3
8336h234f	3
c247dt21p	3
jh343v96z	3
cxs55mc142	3
6d570054t	3
zp38wc642	3
c1r66j117k	3
c2j62s516f	3
chd76s007k	3
2v23vx319	3
cns064604m	3
c2v23vt60h	3
gf06g409x	3
jh343t084	3
n583xw02t	3
pz50gx14g	3
1c18dg58c	3
1c18dg416	3
02870z495	3
05741v16v	3
cfx719m630	3
g158bk94p	3
cqz20ss63w	3
79407z15w	3
ff3656911	3
c6108vb30p	3
pk02cb28s	3
c44558d48r	3
c4q77fr539	3
c8c97kq687	3
ch989r335n	3
6395w9702	3
xk81jm44m	3
4m90dw35v	3
c8049g513b	3
d791sh664	3
csx61dm574	3
1544br81t	3
qv33rx40h	3
c1n79h429b	3
x920fx199	3
sb397875z	3
4x51hj490	3
zs25x878n	3
fn107155v	3
9s161637w	3
gh93h094q	3
j67314178	3
41687m37h	3
3n204009s	3
fj2363188	3
cjw827b679	3
cjq085k150	3
mp48sc78n	3
ft848r44g	3
m900nt90n	3
cn009w2523	3
cn69m550w	3
s4655h23n	3
rr171x54d	3
0k225d884	3
bn999845c	3
r494vk77z	3
n583xv11k	3
sn00b137p	3
crf55z804r	3
nk322f81n	3
5t34sn555	3
gf06g3759	3
rx913s73g	3
s1784m82k	3
ng451j758	3
9p290c93d	3
dj52w739f	3
6h440t89k	3
ctt44pm90q	3
ckp78gg44k	3
ckw52j8202	3
cgm80hv570	3
cw0892b24f	3
cmc87pq45x	3
cgq67jr581	3
cpg15bf20z	3
q237hs54s	2
c05741s11w	2
c05741r91v	2
bc386j919	2
f1881p339	2
k3569696r	2
ch702q641p	2
cf95jb62q	2
m326m262c	2
c79407x34c	2
qj72p865r	2
5425kb49s	2
mw22v595s	2
vt150k47q	2
x920fz119	2
c44558d32m	2
v118rg04x	2
tq57ns390	2
fb4949591	2
z890rv64z	2
ng451j783	2
9p290c924	2
bk128c198	2
08612n66p	2
csj139206g	2
t722h986t	2
4q77fv027	2
44558f21f	2
44558f39w	2
44558f63z	2
pk02cb356	2
rf55z884c	2
