olac - dc:contributor	olac - dc:identifier
Du Bois, John W.	LDC2000S85
Chafe, Wallace L.	LDC2000S85
Meyer, Charles	LDC2000S85
Thompson, Sandra A.	LDC2000S85
Linguistic Data Consortium	LDC2000S86
Schmidt-Nielsen, Astrid	LDC2000S87
Marsh, Elaine	LDC2000S87
Tardelli, John	LDC2000S87
Gatewood, Paul	LDC2000S87
Kreamer, Elizabeth	LDC2000S87
Tremain, Thomas	LDC2000S87
Cieri, Christopher	LDC2000S87
Wright, Jonathan	LDC2000S87
Linguistic Data Consortium	LDC2000S88
Graff, David	LDC2000S89
Garofolo, John S.	LDC2000S92
Graff, David	LDC2000S92
Schmidt-Nielsen, Astrid	LDC2000S96
Marsh, Elaine	LDC2000S96
Tardelli, John	LDC2000S96
Gatewood, Paul	LDC2000S96
Kreamer, Elizabeth	LDC2000S96
Tremain, Thomas	LDC2000S96
Cieri, Christopher	LDC2000S96
Wright, Jonathan	LDC2000S96
Charniak, Eugene	LDC2000T43
Blaheta, Don	LDC2000T43
Ge, Niyu	LDC2000T43
Hall, Keith	LDC2000T43
Hale, John	LDC2000T43
Johnson, Mark	LDC2000T43
Strassel, Stephanie	LDC2000T44
Martey, Nii	LDC2000T44
Cole, Andy	LDC2000T45
Walker, Kevin	LDC2000T45
Ma, Xiaoyi	LDC2000T46
Ma, Xiaoyi	LDC2000T47
Schmidt-Nielsen, Astrid	LDC2000T49
Marsh, Elaine	LDC2000T49
Cieri, Christopher	LDC2000T49
Strassel, Stephanie	LDC2000T49
Rennert, Kara	LDC2000T49
Ma, Xiaoyi	LDC2000T50
Rogers, Willie	LDC2000T51
Rogers, Willie	LDC2000T52
Psutka, J.	LDC2000T53
Radova, V.	LDC2000T53
Muller, L.	LDC2000T53
Matouse, J.	LDC2000T53
Ircing, P.	LDC2000T53
Schmidt-Nielsen, Astrid	LDC2000T54
Marsh, Elaine	LDC2000T54
Cieri, Christopher	LDC2000T54
Strassel, Stephanie	LDC2000T54
Rennert, Kara	LDC2000T54
Schmidt-Nielsen, Astrid	LDC2001S04
Marsh, Elaine	LDC2001S04
Tardelli, John	LDC2001S04
Gatewood, Paul	LDC2001S04
Kreamer, Elizabeth	LDC2001S04
Tremain, Thomas	LDC2001S04
Cieri, Christopher	LDC2001S04
Strassel, Stephanie	LDC2001S04
Martey, Nii	LDC2001S04
Graff, David	LDC2001S04
Tofan, Cristina	LDC2001S04
Schmidt-Nielsen, Astrid	LDC2001S06
Marsh, Elaine	LDC2001S06
Tardelli, John	LDC2001S06
Gatewood, Paul	LDC2001S06
Kreamer, Elizabeth	LDC2001S06
Tremain, Thomas	LDC2001S06
Cieri, Christopher	LDC2001S06
Strassel, Stephanie	LDC2001S06
Martey, Nii	LDC2001S06
Graff, David	LDC2001S06
Tofan, Cristina	LDC2001S06
Schmidt-Nielsen, Astrid	LDC2001S08
Marsh, Elaine	LDC2001S08
Tardelli, John	LDC2001S08
Gatewood, Paul	LDC2001S08
Kreamer, Elizabeth	LDC2001S08
Tremain, Thomas	LDC2001S08
Cieri, Christopher	LDC2001S08
Strassel, Stephanie	LDC2001S08
Martey, Nii	LDC2001S08
Graff, David	LDC2001S08
Tofan, Cristina	LDC2001S08
Graff, David	LDC2001S13
Walker, Kevin	LDC2001S13
Miller, David	LDC2001S13
Graff, David	LDC2001S15
Walker, Kevin	LDC2001S15
Miller, David	LDC2001S15
Martell, Craig	LDC2004V01
Osborn, Chris	LDC2004V01
Britt, Lisa	LDC2004V01
Myers, Kari	LDC2004V01
Appen Pty Ltd, Sydney, Australia	LDC2006T15
Bird, Steven	LDC2001S16
Bell, John	LDC2001S16
Fiscus, Jonathan G.	LDC2001S91
Garofolo, John S.	LDC2001S91
Przybocki, Mark	LDC2001S91
Fisher, William	LDC2001S91
Pallett, David	LDC2001S91
Graff, David	LDC2001S93
Graff, David	LDC2001S94
Graff, David	LDC2001S95
Przybocki, Mark	LDC2001S97
Martin, Alvin	LDC2001S97
Schmidt-Nielsen, Astrid	LDC2001S99
Marsh, Elaine	LDC2001S99
Tardelli, John	LDC2001S99
Gatewood, Paul	LDC2001S99
Kreamer, Elizabeth	LDC2001S99
Tremain, Thomas	LDC2001S99
Cieri, Christopher	LDC2001S99
Graff, David	LDC2001S99
Tofan, Cristina	LDC2001S99
Soo, Kai Shun	LDC2001S99
Chinchor, Nancy	LDC2001T02
Gatewood, Paul	LDC2001T05
Kreamer, Elizabeth	LDC2001T05
Tremain, Thomas	LDC2001T05
Schmidt-Neilsen, Astrid	LDC2001T05
Marsh, Elaine	LDC2001T05
Tardelli, John	LDC2001T05
Cieri, Christopher	LDC2001T05
Strassel, Stephanie	LDC2001T05
Martey, Nii	LDC2001T05
Graff, David	LDC2001T05
Tofan, Cristina	LDC2001T05
Schmidt-Nielsen, Astrid	LDC2001T07
Marsh, Elaine	LDC2001T07
Tardelli, John	LDC2001T07
Gatewood, Paul	LDC2001T07
Kreamer, Elizabeth	LDC2001T07
Tremain, Thomas	LDC2001T07
Cieri, Christopher	LDC2001T07
Strassel, Stephanie	LDC2001T07
Martey, Nii	LDC2001T07
Graff, David	LDC2001T07
Tofan, Cristina	LDC2001T07
Schmidt-Nielsen, Astrid	LDC2001T09
Marsh, Elaine	LDC2001T09
Tardelli, John	LDC2001T09
Gatewood, Paul	LDC2001T09
Kreamer, Elizabeth	LDC2001T09
Tremain, Thomas	LDC2001T09
Cieri, Christopher	LDC2001T09
Strassel, Stephanie	LDC2001T09
Martey, Nii	LDC2001T09
Graff, David	LDC2001T09
Tofan, Cristina	LDC2001T09
Hajič, Jan	LDC2001T10
Hajičová, Eva	LDC2001T10
Pajas, Petr	LDC2001T10
Panevová, Jarmila	LDC2001T10
Sgall, Petr	LDC2001T10
