"PubNames","EXTRACT_MARC","EXTRACT_CSV","PDF_FULL_TEXT","EXTRACT_SUPPLEMENT",
"MR54155","Y","Y","Y","N",
"MR54609","Y","Y","Y","N",
"MR54612","Y","Y","Y","N",
"MR54632","Y","Y","Y","N",
"MR55710","Y","Y","Y","N",
"MR55736","Y","Y","Y","N",
"MR55738","Y","Y","Y","N",
"MR71242","Y","Y","Y","N",
"MR71243","Y","Y","Y","N",
"MR71244","Y","Y","Y","N",
"MR71251","Y","Y","Y","N",
"MR71261","Y","Y","Y","N",
"MR71272","Y","Y","Y","N",
"MR71278","Y","Y","Y","N",
"MR71280","Y","Y","Y","N",
"MR80978","Y","Y","Y","N",
"MR80981","Y","Y","Y","N",
"MR81269","Y","Y","Y","N",
"MR81281","Y","Y","Y","N",
"MR81299","Y","Y","Y","N",
"MR81300","Y","Y","Y","N",
"MR81303","Y","Y","Y","N",
"MR81304","Y","Y","Y","N",
"MR81312","Y","Y","Y","N",
"MR85128","Y","Y","Y","N",
"MR87861","Y","Y","Y","N",
"MR87862","Y","Y","Y","N",
"MR87868","Y","Y","Y","N",
"MR87871","Y","Y","Y","N",
"MR87872","Y","Y","Y","N",
"MR87875","Y","Y","Y","N",
"MR91434","Y","Y","Y","N",
"MR91864","Y","Y","Y","N",
"MR96303","Y","Y","Y","N",
"MR96304","Y","Y","Y","N",
"MR96404","Y","Y","Y","N",
"MR96406","Y","Y","Y","N",
"MR96407","Y","Y","Y","N",
"NR54060","Y","Y","Y","N",
"NR55343","Y","Y","Y","N",
"NR55350","Y","Y","Y","N",
"NR55596","Y","Y","Y","N",
"NR55630","Y","Y","Y","N",
"NR55649","Y","Y","Y","N",
"NR55805","Y","Y","Y","N",
"NR55838","Y","Y","Y","N",
"NR71197","Y","Y","Y","N",
"NR71203","Y","Y","Y","N",
"NR71215","Y","Y","Y","N",
"NR71219","Y","Y","Y","N",
"NR71226","Y","Y","Y","N",
"NR71229","Y","Y","Y","N",
"NR71234","Y","Y","Y","N",
"NR80950","Y","Y","Y","N",
"NR80954","Y","Y","Y","N",
"NR80963","Y","Y","Y","N",
"NR80965","Y","Y","Y","N",
"NR81253","Y","Y","Y","N",
"NR81258","Y","Y","Y","N",
"NR81260","Y","Y","Y","N",
"NR81265","Y","Y","Y","N",
"NR81267","Y","Y","Y","N",
"NR87891","Y","Y","Y","N",
"NR91436","Y","Y","Y","N",
"NR91439","Y","Y","Y","N",
"NR91441","Y","Y","Y","N",
"NR91443","Y","Y","Y","N",
"NR96369","Y","Y","Y","N",
"NR96370","Y","Y","Y","N",
"NR96371","Y","Y","Y","N",
"NR96372","Y","Y","Y","N",
"NR96408","Y","Y","Y","N",
"NR96409","Y","Y","Y","N",
"NR96410","Y","Y","Y","N",
"NR96411","Y","Y","Y","N",
"NR96412","Y","Y","Y","N",
"NR96413","Y","Y","Y","N",
"NR96414","Y","Y","Y","N",
"NR96415","Y","Y","Y","N",
