001	024	100$a	245	246	605	651$a	652$a	520$a	501	544$c	556$b	557$a	544$d	555$l	544$b	556$a	008
"uab462003857"		"Toll, Kerry Arlene, 1951-"	"10$aHospital bed utilization by levels of care in Alberta$h[electronic resource] /$cby Kerry Arlene Toll."														"140319s1983\\\\abcabf\\obm\\\000\0\eng\d"
"uab150719492"		"Barry, S. J."	"10$aMark-recapture estimates for an age-structured, time-dependent population$h[electronic resource] /$cby Samuel J. Barry."														"140319s1982\\\\abcabf\\obms\\000\0\eng\d"
"uab16182099\"		"Dubrule, Sylvia,"	"10$aInfluences of the new technologies on books by mail libraries$h[electronic resource] /$cby Sylvia Dubrule."														"140319s1982\\\\abc\\\\\ob\\\\000\0\eng\d"
"uab858205672"		"Gil, Olga Joan,"	"10$aReading patterns in languages other than English in Lethbridge$h[electronic resource] /$cby Olga Joan Gil."			"Lethbridge (Alta.)"											"140319s1982\\\\abcdf\\\o\\bm\000\0\eng\d"
"uab22676077\"		"Courtright, John T. D.,"	"10$aAspects of the development of securities regulation of take-over bids in Ontario and Alberta since 1967$h[electronic resource] /$cby John T.D. Courtright."														"140319s1982\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab15229820\"		"Berg, Sylvia Alexa,"	"10$aRomeo and Juliet on the English stage$h[electronic resource] :$bfour centuries of interpretation /$cby Sylvia Alexa Berg."														"140319s1982\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab25443282\"		"Stotyn, Keith."	"14$aThe development of the Bow River Irrigation Project, 1906-1950$h[electronic resource] /$cby Keith Stotyn."			"Bow River (Alta.)"											"140319s1982\\\\abcabf\\obm\\\000\0\eng\d"
"uab22039078\"		"Boulding, Elizabeth Grace,"	"14$aThe ecology and biomechanics of crab predation on infaunal bivalves$h[electronic resource] /$cby Elizabeth Grace Boulding."														"140319s1983\\\\xx\adf\\obm\\\000\0\eng\d"
"uab65685927\"		"Manderscheid, Donald John."	"10$aSome problems with the condominium law in Alberta$h[electronic resource] /$cby Donald John Manderscheid."														"140319s1983\\\\abc\\\\\obm\\\000\0\eng\d"
"uab623474118"		"Hill, Elizabeth Frances,"	"12$aA comparative study of youth's values and perceptions of society as portrayed in selected young adult novels of the 1950's and 1970's$h[electronic resource] /$cby Elizabeth F. Hill."														"140319s1984\\\\abcaf\\\obm\\\000\0\eng\d"
"uab51296603\"		"Hudson-Rockliff, Doreen,"	"10$aFire retardant finishes for fiber art$h[electronic resource] :$ba conservation perspective /$cby Doreen Hudson-Rockliff."														"140319s1984\\\\xx\af\\\obm\\\000\0\eng\d"
"uab150453766"		"Buckler, Lillian."	"14$aThe use of folk music in Harry Somers' opera Louis Riel$h[electronic resource] /$cby Lillian Buckler."														"140319s1984\\\\abcfg\\\obm\\\000\0deng\d"
"uab70388061\"		"Jennings, Donald Brian."	"14$aThe late quaternary geomorphology of Elk Island National Park, Central Alberta$h[electronic resource] /$cby Donald Brian Jennings."			"Elk Island National Park (Alta.)"											"140319s1988\\\\abcabdf\obm\\\000\0\eng\d"
"uab150498314"		"Berndt, Kathleen A."	"10$aPetrology and tectonic setting of the satellitic Tertiary Coryell intrusives of southeastern British Columbia$h[electronic resource] /$cby Kathleen A. Berndt."														"140319s1983\\\\abcabdf\obm\\\000\0\eng\d"
"uab184740376"		"Hlus, Carolyn D."	"14$aThe theme of alienation in Henry Kreisel's fiction and criticism$h[electronic resource] /$cby Carolyn D. Hlus."														"140319s1983\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab797159020"		"Mc Nicholas, Sean,"	"14$aThe isolation of functionally axenic filaments of Pseudanabaena catenata and other planktonic cyanobacteria$h[electronic resource] /$cby Sean Mc Nicholas."														"140319s1983\\\\abcaf\\\obm\\\000\0\eng\d"
"uab51824729\"		"St. Louis, Robert Michael,"	"10$aGeochemistry of the platinum group elements in the Tulameen Ultramafic Complex, British Columbia$h[electronic resource] /$cby Robert Michael St. Louis."			"British Columbia."											"140319s1984\\\\xx\abdf\obm\\\000\0\eng\d"
"uab19847856\"		"Molina-de-Orozco, Vivian Regina,"	"10$aAlbumin and insulin conjugates of a-glucosidases$h[electronic resource] :$bpreparation and kinetic characterization /$cby Vivian Regina Molina-de-Orozco."														"140319s1987\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab70420545\"		"Popiel-Krotki, Barbara A."	"14$aLas manifestaciones de la cultura carnavalesca popular en el teatro espa{tilde}nol, siglos XVI-XVIII$h[electronic resource] /$cby Barbara A. Popiel-Krotki."														"140319s1995\\\\xx\\\\\\obm\\\000\0bspa\d"
"uab42078220\"		"Massing, Dana Christine."	"10$a""Shoulder to shoulder for a common cause?""$h[electronic resource] :$bJewish, Italian, and Black women garment workers in New York City, 1900-1930 /$cby Dana Christine Massing."			"New York (N.Y.);New York (N.Y.);New York (N.Y.)"											"140319s1995\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab70614156\"		"Harlton, Shauna-Vi Marie."	"10$aEcological perspectives of eldercare$h[electronic resource] /$cby Shauna-Vi Marie Harlton."														"140319s1997\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab70482461\"		"Cavanagh, Martine Odile."	"12$aL'effet de l'enseignement d'une strat{acute}egie de planification sur la production {acute}ecrite en fran{cedil}cais langue maternelle et langue seconde$h[electronic resource] /$cpar Martine Odile Cavanagh."	"18$aL'effet d'une strat{acute}egie d'{acute}ecriture en L1 et L2"													"140319s1997\\\\xx\a\\\\obm\\\000\0\fre\d"
