PerformerNum,CompositionNum,RecitalNum,PerformanceNum,PerformanceIndex,PerformanceRole,PerformanceLabel,InstrumentURL,RCode,RecitalType,RecitalName,DateRecorded,Location,CompositionTitle,ComposerName,ComposerNum,ComposerURL,ComposerVerified,PerformerName
S381,8581,969,974,5,conductor,conductor,,esw,Symphonic Wind Ensemble,Symphonic Wind Ensemble,2006-10-29,Convocation Hall,"Lollapalooza, for orchestra / transcribed for wind ensemble by Spinazzola","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Schroeder, Angela"
A887,13477,1041,1042,1,conductor,conductor,,eas,Academy Strings,Academy Strings,2008-10-05,Convocation Hall,"Shaker Loops, for string orchestra","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Au, Aaron"
S381,13519,1004,1005,1,conductor,conductor,,esw,Symphonic Wind Ensemble,Symphonic Wind Ensemble,2007-11-09,Convocation Hall,"Short ride on a fast machine, for orchestra / transcribed for band by Lawrence T. Odom","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Schroeder, Angela"
C137,15383,170,173,3,tenor,tenor,,ecc,Concert Choir,Concert Choir,1996-03-29,Convocation Hall,Sydney dreaming,"Adams, Stephen",,http://www.musicbrainz.org/artist/f7e4efcd-8891-47a6-8979-f1862d69dfee,Prog. 29 Mar 1996,"Caister, Michael"
K32,15383,170,173,3,conductor,conductor,,ecc,Concert Choir,Concert Choir,1996-03-29,Convocation Hall,Sydney dreaming,"Adams, Stephen",,http://www.musicbrainz.org/artist/f7e4efcd-8891-47a6-8979-f1862d69dfee,Prog. 29 Mar 1996,"Kempster, William"
S719,10262,460,465,5,electroacoustic music,electroacoustic music,,ccp,Composition class,"Student Composers, New Music Concert",1993-01-11,Convocation Hall,"Nocturne, piano and tape","Admiral, Roger",19,,Gate,Sound Recording
B493,12978,26,39,13,conductor,conductor,,ecc,Concert Choir,Concert Choir,1997-11-23,Convocation Hall,Salmo 150,"Aguiar, Ernani",27,,LCMARC,"Berg, Joy"
C136,12980,718,728,10,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Salmo 150, for mixed voices","Aguiar, Ernani",27,,LCMARC,"Cairns, Debra"
W314,6484,1085,1102,17,conductor,conductor,,v,Visiting artist recital,"Visiting Artist Recital, Vancouver Chamber Choir",2007-03-10,Convocation Hall,"Huella Argentina, for piano / arranged for mixed chorus by Fabiana Katz","Aguirre, Julian, 1868-1924",,http://www.musicbrainz.org/artist/3709ea5a-69c7-4e22-8990-c0adfea0db31,LCAUTH,"Washburn, Jon"
C136,13765,718,733,15,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Sommarpsalm, for mixed voices","Åhlén, Waldemar, 1894-1982",,http://www.musicbrainz.org/artist/68b20edd-5a80-4a6e-b163-f29d01faac1b,"LCAUTH, Gaylord","Cairns, Debra"
E68,13765,389,403,14,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Sommarpsalm, for mixed voices","Åhlén, Waldemar, 1894-1982",,http://www.musicbrainz.org/artist/68b20edd-5a80-4a6e-b163-f29d01faac1b,"LCAUTH, Gaylord","Ericson, Eric"
G626,2978,791,792,1,conductor,conductor,,dm,MMus recital,"MMus Recital, James Chilton, trombone",2003-03-25,Convocation Hall,"Concerto, trombone and string orchestra, B flat major","Albrechtsberger, Johann Georg, 1736-1809",,http://www.musicbrainz.org/artist/879fccb4-44e2-4865-9eed-1f4163557c33,Gate,"Golias, Ondrej"
N684,15645,506,507,1,percusssion,percussion,,o,Other,Sonor Borealis,1990-01-20,Convocation Hall,"Take that, for percussion ensemble","Albright, William, 1944-",,http://www.musicbrainz.org/artist/3fe17bfd-df10-4068-8ea5-e045299d4741,Gate,"Nigam, Raj"
P615,14976,573,577,4,conductor,conductor,,ecb,Concert Band,Concert Band,1988-03-27,Convocation Hall,"Standard of St. George, for band","Alford, Kenneth J.",91,,LC81,"Pier, Fordyce"
G767,16272,1037,1038,1,conductor,conductor,,ecb,Concert Band,Concert Band,2008-11-30,Convocation Hall,"TheStandard of St. George, for band","Alford, Kenneth J.",91,,LC81,"Grasdahl, Wendy"
C136,530,858,871,13,conductor,conductor,,ecc,Concert Choir,Concert Choir,2003-11-28,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
C136,530,55,62,7,conductor,conductor,,ecc,Concert Choir,Concert Choir,1998-11-22,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
E68,530,389,401,12,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Ericson, Eric"
H747,530,440,455,15,conductor,conductor,,dm,MMus recital,"MMus Recital, Thomas Holm, conductor",1993-04-16,West End Christian Reformed Church,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Holm, Thomas"
S957,530,977,995,18,conductor,conductor,,v,Visiting artist recital,"Visiting Artist, Robert Sund, conductor",2006-11-09,West End Christian Reformed Church,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Sund, Robert"
C136,10462,718,732,14,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Och, jungfrun hon går I ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
E68,10464,389,402,13,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Och jungfrun ho går i ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Ericson, Eric"
S957,10467,977,996,19,conductor,conductor,,v,Visiting artist recital,"Visiting Artist, Robert Sund, conductor",2006-11-09,West End Christian Reformed Church,"Och jungfrun hon går I ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Sund, Robert"
C678,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Cohen, Lyndsey"
D2555,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Davies, Michelle"
H425,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Hays, Karly"
M968,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Munro, Ian"
