Filename	Identifier	Title	Name	Role	Publication_Statement	Date_Issued	Language	Place	Extent	Description	Subject	To	From	Address	Message	Postmark_Date	On_Back	On_Front	General_Note		
1/114	PC018096	High Street (Looking East), Moose Jaw, Canada.	Lewis Rice	Photographer, Illustrator, and Publisher	Lewis Rice, Illustrator and Publisher, Moose Jaw, Canada.	June 1st, 1912	English	Canada, Saskatchewan, Moose Jaw	1 postcard : col. ; 9 x 14 cm	Street scene in Moose Jaw, Saskatchewan with automobiles and streetcarts in front of the Dominion Bank 	Streets ; Street railroads ; Automobiles ; Cities & towns ; Land settlement--Canada ; Tourism						Some towns are afraid to see new people come in, fearing that there will not be enough for all ; That's not Moose Jaw ; Moose Jaw Post Card Day, June 1st, 1912				
2/114	PC032374	They all turned out to meet me at Francis, Sask.					English	Canada, Saskatchewan, Francis	1 postcard : col. ; 9 x 14 cm	Illustration depicting a man with an oversized head disembarking from a train; a crowd throw their hats in the air to greet him	Railroad trains ; Crowds ; Cities & towns ; Tourism	Mrs. H. A Worden	[S].B.W.	Indian Head, Sask.	Arrived here safely this morning. Great place this I must say. Are going out w Fred Dukes this afternoon. Yours Sincirly[sic], [S].B.W.	FRANCIS OC 30. 12 SASK.		740			
3/114	PC032375	I wrote this at Francis, Sask. a pleasant place					English	Canada, Saskatchewan, Francis	1 postcard : col. ; 9 x 14 cm	Illustration depicting a man and a woman with oversized heads sitting at a table and writing letters	Correspondence ; Writing ; Cities & towns ; Tourism	Mrs. H. A. Worden	Jack	Indian Head, Sask.	Arrived in Francis O.K. and went at once to the Country. We are leaving for Colfax in the Morning. Yours [Reo] Jack	FRANCIS AM NO 04 12 SASK		740			
4/114	PC032724	They gave us a rousing welcome at Portage La Prairie, Man.					English	Canada, Manitoba, Portage La Prairie	1 postcard : col. ; 9 x 14 cm	Illustration depicting a man and a woman with oversized heads standing on a car while a crowd greets them by throwing their hats in the air	Crowds ; Automobiles ; Cities & towns ; Tourism	Miss Jessie Wilson	Mrs. Wishart	c/o Y. W. C. A. Branding House Winnipeg Man	Read your card today, and will be very pleased to see you and your friend next sat. if we are not at station to meet you, go to Albion Hotel and we will meet you there	PORTAGE LA PRAIRIE 10 JUN 12 13 MAN					
5/114	PC020228	GEE! BUT IT MAKES ME SAD TO THINK OF LEAVING WINNIPEG, MAN.					English	Canada, Manitoba, Winnipeg	1 postcard : col. ; 9 x 14 cm	Illustration depicting a man and a woman with oversized heads sitting on the bank of a body of water	Cities & towns ; Pennants ; Tourism	Miss Dagny Nilson	Christine	Clan William Box 24 Man.	Dear Sister. Thank you for your letter, now Arthur is soon coming up to see you, What did you think of his picture, It has been raining dow[n] h[er]e [for days] good[bye] [write] again. [?] Christine X X X X from Arthur	WINNIPEG MAN JUN 7 5:30 AM 7	Written in ms.: June 5				
6/114	PC031225	THE ONLY TOWN ON THE MAP : INDIAN HEAD					English	Canada, Saskatchewan, Indian Head	1 postcard : col. ; 9 x 14.5 cm	Map of Canada showing where Indian Head is located	Maps ; Cities & towns ; Tourism										
7/114	PC024627	"UNITY, SASKATCHEWAN ""A good town in a good district"""					English	Canada, Saskatchewan, Unity	1 postcard : b&w ; 9 x 14 cm	"Picture of a building with the word ""CANADA"" on the front"	Buildings ; Cities & towns ; Tourism										
8/114	PC025177	THIRD ST. WEYBURN	Bloom Bros.	Publisher	Published by Bloom Bros., Minneapolis, Minn.		English	Canada, Saskatchewan, Weyburn	1 postcard : col. ; 9 x 14 cm	Small b&w photograph of Third St. in Weyburn, Saskatchewan pasted onto a postcard; accompanied by poem 	Poetry ; Streets ; Cities & towns ; Tourism	Bert Weaver Esq	[J Baird]	Quappelle, Sask	Hello Bert Just to let you know I am still one of the living. Was down to Weyburn last Wed and sure had some [?], Will write a letter in a few days [J Baird]	LANG AP 29	Written in ms.: Colfax 4/27/13	I've traveled near, I've traveled far, But in all my rambles wide, A town like this, I'd never miss, I speak of it with pride.			
9/114	PC024450	GREETINGS FROM COLONSAY					English	Canada, Saskatchewan, Colonsay	1 postcard : col. ; 9 x 13.5 cm	Small b&w photograph of a street in Colonsay, Saskatchewan; accompanied by a poem	Poetry ; Streets ; Cities & towns ; Tourism							They say some towns are rather dry, While other towns are wet, But the town that has us beat Has not been heard from yet.			
10/114	PC016917	C.P.R. DAM - NEEPAWA, MAN.	Bloom Bros.	Publisher	Published by Bloom Bros., Minneapolis, Minn.		English	Canada, Manitoba, Neepawa	1 postcard : col. ; 9 x 14 cm	Small b&w photograph of the C.P.R. dam in Neepawa, Manitoba; accompanied by a poem	Poetry ; Cities & Towns ; Dams ; Tourism							This sure is some town, You've heard of its renown, It's equal you ne'er can find; But Oh, how I pine, For one tiny line, Our friendship of old to bind.			
11/114	PC021361	Shadow Effect on The Bow. CALGARY - ALTA	Bloom Bros.	Publisher	Published by Bloom Bros., Minneapolis, Minn.		English	Canada, Alberta, Calgary	1 postcard : col. ; 9 x 14 cm	Small b&w photograph of a man and a horse reflecting of the Bow River in Calgary, Alberta; accompanied by a poem	Rivers ; Poetry ; Cities & towns ; Horses ; Tourism						Written in ms.: Real Photo	The Rose is red, The violet's blue This town's a hummer, Let me hear from you.			
12/114	PC028349	SNAP SHOT TAKEN IN Ninette					English	Canada, Manitoba, Ninette	1 postcard : col. ; 9 x 14 cm	b&w photograph of two girls sitting with guns inlaid on a peeling parchment illustration on a blue background	Hunting ; Women ; Cities & towns ; Tourism	Mrs. M [L] Clement	M. [E] Holland	16th Street Brandon Man.	Am having a lovely time down here. The Weather is grand. Have been in the water every day. [But] don't swim like a fish like half a drowned mermaid. M. [E]. Holland	NINETTE JUL 22 13 MAN	Written in ms.: 4				
