Filename	Identifier	Title	Name	Role	Publication_Statement	Date_Issued	Language	Place	Extent	Description	Subject	To	From	Address	Message	Postmark_Date	On_Back	On_Front	General_Note
049/050	PC015437	Cowboys and Cowgirls at Calgary Exhibition, Alta., Canada	The Valentine & Sons Publishing Co., Ltd. 	Publisher	Montreal and Toronto	not before 1915	English	Canada, Alberta, Calgary	1 postcard : col. ; 8 x 13 cm	Mounted crowd of cowboys and cowgirls near large building with a cupola	Parades & Processions ; Horses ; Cowboys ; Cowgirls ; Cupolas		Charlie	617-7 Ave. West, Calgary, Alberta	Feb 27/15. Arrive here on the 24 [$ inst;?], am staying with a friend. Expect to leave again next week for the South. Nothing new. Hope you all are well, with love + kisses. Charlie., Do not write until I send a permanent, address.		Printed in Great Britain	Cowboys and Cowgirls at Calgary Exhibition, Alta., Canada ; 109776, JV [circled]	109776 with JV in clrcle - internal index for Valentine and Sons and refers to the image, not the card. (http://torontopostcardclub.com/canadian-postcard-publishers-2/valentine-sons/)
PC031698	PC031698	Military on Their Way to the Front, Street Car Strike Winnipeg	Cleven Photo	[Photographer] 	[Winnipeg]	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : sepia ; 8.5 x 14 cm	Armed military marching on unpaved street near Albion Hotel	Street railroad strikes--Canada--Winnipeg ; Military personnel--Canadian--Canada--Winnipeg ; City & town life--Canada--Winnipeg						handwritten on back from bottom to top on the left: 91 st Royal Winnipeg Rifles WWI., handwritten on back from bottom to top on the right: F Mitch[e]l Photo Ol[a]ll[e] 1983	Military on their way to the front, Street car strike Winnipeg [?]	Date_Issued from postcard| last sentence On_Front unreadable
PC033310	PC033310	Off-Her-Trolley	Gibson	[Photographer] 	[Winnipeg]	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : sepia ; 8.5 x 14 cm	Crowd of people on street near street car and Banfields Carpet Store 	Street railroad strikes--Canada--Winnipeg ; City & town life--Canada--Winnipeg ; Crowds--Canada--Winnipeg	Mrs J Kennedy & [am]id Turnell [88]				Jan 2, 1907	handwritten on back St Rwy Strike 1906	Off-Her-Trolley ; St RW Strike 3\[0]9\ Winnipeg	Date_Issued from postcard
PC033315	PC033315	Crowd of people near Street Car	Gibson	[Photographer] 	[Winnipeg]	[1906]	English	[Canada, Manitoba, Winnipeg]	1 postcard : sepia ; 8.5 x 14 cm	People near street car with sign that says "Strike Declares [?]"	Street railroad strikes--Canada--Winnipeg ; City & town life--Canada--Winnipeg	Miss Nora M Thomson		 4 Kir[klee Gdns] Glasgow Scotland	The original conductor of this car back to his job once more	[May 23, 1906]		April 14th 1906 4.10 P.M.	Date-Issued from postcard
PC033323	PC033323	Soldiers Awaiting Orders, Street Car Strike Winnipeg March 30th 06	Cleven Photo	[Photographer] 	Winnipeg	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : sepia ; 8.5 x 14 cm	Armed military standing on unpaved street near Dominion Bank	Street railroad strikes--Canada--Winnipeg ; Military personnel--Canadian--Canada--Winnipeg ; City & town life--Canada--Winnipeg							Soldiers awaiting orders ; street car strike Winnipeg March 30th 06	Date_Issued from postcard
PC033326	PC033326	Car Strike Winnipeg March 29,1906			Winnipeg	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : sepia ; 8.5 x 14 cm	Crowd of people gathered on Portage Avenue near Grand Trunk Pacific Employment Office	Street railroad strikes--Canada--Winnipeg ; City & town life--Canada--Winnipeg ; Crowds--Canada--Winnipeg							Car Strike Winnipeg March 29 1906	Date_Issued from postcard
PC035384	PC035384	Car Strike Winnipeg March 29,1906	Sutton	[Photographer]	Winnipeg	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : sepia ; 8.5 x 14 cm	Crowd of people, including military and children, crossing unpaved street	Street railroad strikes--Canada--Winnipeg ; Military personnel--Canadian--Canada--Winnipeg ; City & town life--Canada--Winnipeg	Miss Nora M Thomson 		4 Kir[klee Gdns] Glasgow Scotland	A strike breaker being rescued from the strikes by policemen	[May 1, 1906]		Car Strike Winnipeg March 29 1906	Date_Issued from postcard
PC033309	PC033309	Large Crowd Gathered Around Imperial Hotel			[Winnipeg]	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : b&w ; 9 x 14 cm	Crowd of people gathered in and near the Imperial hotel	Crowds--Canada--Winnipeg								Date_Issued from postcard
PC035385	PC035385	Wagon [Full] Railway Strike Winnipeg Mar 30th 1906	Gibson	[Photographer]	Winnipeg	[1906]	English	Canada, Manitoba, Winnipeg	1 postcard : b&w ; 8.5 x 14 cm	Armed military and Police Patrol wagon on paved street near Windsor Hotel	Street railroad strikes--Canada--Winnipeg ; Military personnel--Canadian--Canada--Winnipeg ; Police--Canada--Winnipeg ; City & town life--Canada--Winnipeg ; Carts & wagons--Canadian--Canada--Winnipeg	Miss Nora M Thomson|H. A. Leake|J. [Fleiuf] Welch 		Date_Issued from postcard|last sentence On_Front unreadable		April 25, 1906| May 6, 1906|May 8, 1906|May 9, 1906		Wagon [Full] Railway Strike Winnipeg Mar 30th 1906	Date_Issued from postcard|To from postcard, there are at least 3 people listed|Address from postcard, there are at least 4 addresses listed|Postmark_Date from card, there are at least 4 postmark dates
PC035383	PC035383	[Police] and Soldiers Clearing the Streets 	Gibson	[Photographer]	Winnipeg	[1906]	English|French	Canada, Manitoba, Winnipeg	1 postcard : b&w ; 8.5 x 14 cm	Armed military and Police Patrol wagon on paved street near Albion Hotel	Street railroad strikes--Canada--Winnipeg ; Military personnel--Canadian--Canada--Winnipeg ; City & town life--Canada--Winnipeg ; Carts & wagons--Canadian--Canada--Winnipeg	Miss Nora M Thomson		4 Kirklee Gdns Glasgow Scotland	at [foiort of bayonel]	April 26, 1906		[Police] and Soldiers Clearing the Streets ; Strike Mar 30 Winnipeg	Date_Issued from Postmark_Date
