Hewish1966	Austin's speech acts and teaching /	Hewish, Dennis A
Stevenson1967_0	Geological and groundwater investigations in the Marmot Creek experimental basin of southwestern Alberta, Canada /	Stevenson, Douglas Roy
Frank1968	A further study of two theories concerning nonintellective attributes negatively related to performance in beginning reading /	Frank, Nancy
Johnson1977	Decision theory and automatic planning /	Johnson, Daniel T
Sware1969	A study of parental perception of the role of the junior high school counsellor /	Sware, Anton Jon
Molyneux1965	A description of verbal interaction among Edmonton Public School Board trustees and officials /	Molyneux, Albert Keith
Lee1972	Uranium-lead geochronology of Kenoran rocks and minerals of the Charles Lake area, Alberta /	Lee, Kuo Say
Jones1965	An investigation of the relationship of integration setting to need for achievement /	Jones, Pauline Alice
Lucas1966	Strength of Edmonton school children /	Howell, Maxwell Leo,
Falquero1965	Effect of a magnetic field on ageing in Al(rich)-Cu alloys /	Falquero, Emilio Alfredo
gashydratesystem00ldso	The gas hydrate systems of sulfur hexafluoride and sulfur hexafluoride-methane /	Sortland, L D
someeffectsofvar00rich	Some effects of various chemical treatments on legumes and certain other crops /	Frankish, Richard Baker,
Stewart1974	Team building utilizing process training :	Stewart, William Howard
McRae1971	An investigation into the relationship of the inductive cognitive operation and modes of presentation /	McRae, John D
Balchen1968	A multi-dimensional classification of theses in education completed at the university of Alberta, 1929-1967 /	Balchen, Allan Richard
Eggert1977	Teacher process variables and pupil products /	Eggert, Wallace V
Mosychuk1969	Differential home environments and mental ability patterns /	Mosychuk, Harry
Ewasiuk1966	The relationship of role perceptions of principals to selected characteristics of schools and principals /	Ewasiuk, Daniel
Hayden1984	An economic analysis of cattle production costs under various leasing arrangements /	by Dana Hayden  [et al] for the Alberta Cattle Commission
Carran1968	A study of auditory blending ability and its relationship to reading achievement in grade II /	Carran, Ethel Georgina
Semenchuk1965	A survey of juvenile Canadianna to establish a recommended list of books for junior high school students /	Semenchuk, Steven John
Beaver1980	Breeding behaviour of white pelican in the Birch Mountains, Northeastern Alberta /	Beaver, Rick Darryl
Schreiber1967	Attitude congruency and its relationship to student teaching success /	Schreiber, Fred O,
Millar1966	The relationship between academic achievement and the organizational climate of schools /	Millar, Donald E
McLachlin1970	The spring and summer dispersion of male franklin's grouse in lodgepole fine forest in southwestern Alberta /	McLachlin, Roderick Archibald,
Fonstad1981	The explosive demolition of ice sheets /	Fonstad, Gordon Donald,
Lust1966	Academic achievement of slow learners in the Edmonton Continuous Progress Plan /	Lust, Albert
Butcher1979	Ecology and toxonomy of hybridizing cyprinid fishes from upper and lower Kananaskis reservoirs /	Butcher, G A
salariesofcanadi00powe	Salaries of Canadian teachers :	Powell, Arthur Joseph Howson
Norman1966	Age differences in the work capacity of Alberta secondary school students as measured by the Astrand predicted maximal oxygen intake test /	Norman, Robert W,
Apon1980	Upper Devonian conodonts from Hay River - Fort Simpson area	Apon, J F
studyoffertilize00bent	A study of the fertilizer requirements of Alberta peats for barley production /	Bentley, C F
Branson1966	Electric arc furnace control system /	Branson, James R
Mannallfretwell1971	Aural and reading comprehension of spatial prepositions in grades two, three and four /	Mannall-Fretwell, Gloria
Stickland1976	A grain handling and transportation policy system /	Stickland, Ken W
Sidla1970	Influence of gas environments on fatigue of copper /	Sidla, Gustav
Allen1970	Homogeneity and separability of irrational beliefs /	Allen, Stanley
MacLellan1979_0	Differential values, beliefs and concerns of achieving and underachieving high school students /	MacLellan, Haidee Patricia
studyofacademicu00seam	A study of the academic underachievement among Education students at the University of Alberta /	Seaman, Bernard E
Sirichoti1971	Grade XII external examinations in relation to university achievement in Thailand /	Sirichoti, Chirapan
Hedley1971	Acculturation studies of North American Indians :	Hedley, Max
Bates1971	Flexibility training :	Bates, Richard Alan
Anderson1965	A study of the application of linear programming and the associated technique of decomposition for use on farm management problems in Alberta /	Anderson, Allan Wayne
Bailey-Cristall1983	Mapleridge :	Bailey-Cristall, Sheila Joan,
vocabularyprofic00gert	Vocabulary proficiency of bilingual grade nine students in Beaver County of Alberta /	Conn, Gertrude Mary
studyoforganizat00ruth	A study of organization for art instruction in the elementary schools of Alberta /	Ford, Ruth G
Caplan1971	The drift instability in the presence of nonuniform electric and diagmagnetic rotations /	Caplan, Malcolm
Lang1968	A comparison of the Social Studies 30 and Social Studies 30X courses /	Lang, Sharon C
Knox1968	Intellectual attitudes and their relationship to authoritarianism in teachers /	Knox, Mary A
Blowers1969_0	A longitudinal study of administrative ratios in urban school systems in western Canada /	Blowers, Thomas Anthony
Jain1970	Pattern confinement and the Higgins-Leighton method /	Jain, A
Fairbanks1966	A normative study of selected track and field events for Edmonton high school boys /	Fairbanks, Lee S
Barron1979	Attitudes of members of educational interest groups towards the school placement of exceptional children /	Barron, Robert F
systematicdevelo00krug	The systematic development of a program of extracurricular activities in science /	Kruger, James E
experimentalappl00glyn	An experimental application of the principle of incongruity tolerance to the counseling setting	Jones, Glyn Brian,
appealsofschoolb00denn	Appeals of school board requisitions in Alberta, 1948-1960 /	Dibski, Dennis John
Aulay1965	Word recognition as a function of sensory mode of learning for first grade entrants /	Mac Aulay, Dorothy Shirley
Kildaw1969	A multimode interface allowing typewriter operation by paraplegics (MITOP) /	Kildaw, Richard
Laidlaw1971	The Black Spruce (Picea mariana) vegetation of Jasper and Banff Parks /	Laidlaw, Ted Fraser
effectofenergyam00mcdo	Effect of energy and amino acid levels on protein requirements of poultry /	McDonald, B E
Spirydowicz1969	Domestic architecture in Imperial Rome :	Spirydowicz, Krystyna Eileen
comparativestudy00bodn	A comparative study of examination results, grades IX and XII in one town school and in three rural centralized schools in the county of Ponoka /	Bodnaruk, William
Precht1968	An academic-achievement orientation scale /	Precht, Daniel J
Mihok1979	Demography, behavior, and protein polymorphism in subarctic Clethrionomys gapperi	Mihok, Steve
Hird1974	The role of the physical education supervisor in Alberta /	Hird, Michael Sidney
Ripley1967	Sulfur dioxide and its effect on displacement efficiency and permeability /	Ripley, Harry E
Dumont1971	Some factors which distinguish early school leavers from high school graduates in the High Prairie School Division no 48 /	Dumont, Fred J
Ng1971	Interaction virial coefficients in binary mixtures of methane, nitrogen and carbon dioxide /	Ng, Heng-Joo,
Mbeo1975	A conceptual framework for developing and implementing a program for geographic education for self-reliance in Tanzanian secondary schools /	Mbeo, Frederick Edward
financingeducati00pjph	Financing education in Newfoundland /	Warren, P J,
Laroch1968	Liaisons dangereuses :	Laroch, Philippe,
Bailey1971	A school counsellor, a blind child and the sighted school /	Bailey, Charles Anthony
martensiteintita00laks	Martensite in titanium, zirconium and titanium-copper alloys /	Srivastava, Lakshmi Prakash
