items that has a value in ual:year_created but no values in dcterms:isVersionOf or dcterms:created	
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/6w/92/4f/07/6w924f07h 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0v/83/82/31/0v838231r 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dv/13/zw/58/dv13zw588 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/n8/70/zt/15/n870zt15b 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5m/60/qv/30/5m60qv30j 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pr/76/f5/87/pr76f587w 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/69/69/z2/55/6969z255h 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/k9/30/bx/33/k930bx33c 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ks/65/hd/21/ks65hd219 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cj/82/k8/42/cj82k842p 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2v/23/vw/76/2v23vw76f 	1970
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/h7/02/q6/54/h702q654f 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ns/06/46/78/ns064678w 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/xs/55/mc/63/xs55mc63c 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/t4/35/gd/29/t435gd29z 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0c/48/3k/32/0c483k32k 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qr/46/r1/16/qr46r116c 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/rf/55/z8/43/rf55z8434 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fj/23/63/40/fj236340s 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jw/82/7c/69/jw827c69v 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jh/34/3s/98/jh343s983 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/tm/70/mv/50/tm70mv508 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/m0/39/k5/69/m039k5692 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zp/38/wd/04/zp38wd04t 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2b/69/w0892b699 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4j/03/d0/08/4j03d008x 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/jh/34/3t/88/jh343t882 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/98/80/vr/61/9880vr618 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/8c/97/kr/71/8c97kr71c 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0z/70/8x/47/0z708x47h 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/95/93/tv/38/9593tv387 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mw/22/v6/08/mw22v608n 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/th/83/m0/00/th83m0006 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/kd/17/ct/43/kd17ct434 	2010
http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vd/66/w0/69/vd66w069j 	2010
