;
-----------------------------------------------------------
:
-----------------------------------------------------------
-
Research Material 	 10	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1v/53/jx/97/1v53jx974
Dataset 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/79/1s/g2/cd791sg29t
-----------------------------------------------------------
/
Learning Object 	 9	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2k/26/f4752k264
Report 	 23	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/j6/73/14/09/j6731409k
Research Material 	 11	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2f/75/r8/69/2f75r869r
Image 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pz/50/gw/09/pz50gw09d
Journal Article (Published) 	 4	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bd/f6/5v/78/bdf65v7892
Conference/workshop Poster 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5q/47/rr/45/5q47rr45p
Review 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/r4/94/vn/97/r494vn97v
Book 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/np/19/3b/83/np193b83q
-----------------------------------------------------------
.
-----------------------------------------------------------
,
-----------------------------------------------------------
 
Learning Object 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bq/v3/3r/w7/bqv33rw76x
Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bg/44/5c/d2/bg445cd271
Research Material 	 7	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/25/14/nm/09/2514nm09j
Journal Article (Published) 	 17	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/59/99/n3/74/5999n374n
Dataset 	 17	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/15/44/br/96/1544br96f
Structural Engineering Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dz/01/0q/19/dz010q19j
-----------------------------------------------------------
