"Duplicate found in gillingham"	"Problematic URI"	"accessRights"	"Title"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c1/j9/2g/77/c1j92g772t"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c4/45/58/d4/c44558d464"	"None"	"Simulating the diachronic tonal change in Taiwan Mandarin"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/25/cn009w253d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/40/c6682x4096"	"None"	"Simulating the acquisition of final devoicing in an Output-Output model"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ch/t2/4w/j5/cht24wj56b"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x410p"	"None"	"Modeling the acquisition of Dutch final devoicing"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/94/07/x3/c79407x35p"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x4110"	"None"	"Demo of learning final devoicing"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/25/cn009w253d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/w6/2f/83/c7w62f8361"	"None"	"Simulating the acquisition of final devoicing in an Output-Output model"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/25/cn009w253d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/j8/2k/74/ccj82k743g"	"None"	"Simulating the acquisition of final devoicing in an Output-Output model"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/p1/93/94/cnp193940b"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cm/p4/8s/c9/cmp48sc999"	"None"	"Simulating Korean stem-final obstruent variations"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/94/07/x3/c79407x35p"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/b0/9j/58/ctb09j588t"	"None"	"Demo of learning final devoicing"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/p1/93/94/cnp193940b"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/x0/21/f2/cvx021f29x"	"None"	"Simulating Korean stem-final obstruent variations"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/25/cn009w253d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/08/92/b0/cw0892b04w"	"None"	"Simulating the acquisition of final devoicing in an Output-Output model"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cn/00/9w/25/cn009w253d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/92/0f/x0/cx920fx06h"	"None"	"Simulating the acquisition of final devoicing in an Output-Output model"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/b3/97/84/csb397841r"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/v8/38/08/c0v838083c"	"None"	"Identifying nonspecific ligand binding in electrospray ionization mass spectrometry using the reporter molecule method"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/h4/40/s8/c6h440s85w"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/v8/38/08/c0v838083c"	"None"	"Identifying nonspecific ligand binding in electrospray ionization mass spectrometry using the reporter molecule method"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cp/c2/89/j3/cpc289j35n"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/51/4n/k7/c2514nk75c"	"None"	"Inter-organizational Knowledge Management within an NGO Community: A Pilot Study of a Unique Knowledge Sharing Structure"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cj/h3/43/s4/cjh343s48w"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/f7/5r/81/c2f75r818x"	"None"	"Improving the community midwife program performance: Policy Recommendations"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/z1/0w/q4/c2z10wq41d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/50/4r/k4/cd504rk47b"	"None"	"Mutable Object State for Object-Oriented Logic Programming: A Survey"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c8/k7/1n/h4/c8k71nh423"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/75/26/c7/cs7526c76d"	"None"	"Finding KM Solutions for a Volunteer-Based Non-Profit Organization"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/21/7q/p6/cd217qp66f"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/h2/46/s3/cwh246s37g"	"None"	"Characterization of Solutions to block triangular Hankel Systems"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/s7/5d/c5/c7s75dc582"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/p9/88/k0/cwp988k01x"	"None"	"Hacking and Making in the Library Community: Access and Code4Lib."
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bh/66/g158bh663"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/73/66/65/83/73666583q"	"http://terms.library.ualberta.ca/public"	"University Delegate Teleconference Minutes June 4, 2015"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2n/49/t1/83/2n49t1834"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/hz/13/8623hz13r"	"http://terms.library.ualberta.ca/public"	"Learning Writing Assignments Across the Undergraduate Nursing Curriculum"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/nk/32/2h/02/nk322h02d"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/hz/13/8623hz13r"	"http://terms.library.ualberta.ca/public"	"Learning Writing Assignments Across the Undergraduate Nursing Curriculum"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cf/f3/65/55/cff3655510"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b9/c6/7w/m9/b9c67wm90b"	"http://terms.library.ualberta.ca/public"	"Thermal Pressurization in EM-SAGD Projects"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b3/f4/62/54/b3f462547c"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bc/j8/2k/73/bcj82k7335"	"http://terms.library.ualberta.ca/public"	"Hide & Seek"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vm/40/xv/50/vm40xv50j"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bh/t2/4w/j4/bht24wj47b"	"http://terms.library.ualberta.ca/public"	"Everything is Shareable: Why Open Educational Resources are Critical to Lifelong Learning and the Sharing Economy"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bn/p1/93/93/bnp1939348"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bj/w8/27/b8/bjw827b884"	"http://terms.library.ualberta.ca/public"	"Soul Cysters Dot Net: Configuring the Feminine Body Through the Life Writing of Women with Polycystic Ovarian Syndrome"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/h1/49/q0/c7h149q02s"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bp/55/47/r4/bp5547r423"	"http://terms.library.ualberta.ca/public"	"The Effect of a Plyometric Protocol on Muscle Potentiation"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/d0/7g/s7/cxd07gs730"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/k2/25/b4/c0k225b437"	"http://terms.library.ualberta.ca/public"	"The developing fruit fly brain"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cr/f5/5z/79/crf55z7987"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/k2/25/b4/c0k225b465"	"http://terms.library.ualberta.ca/public"	"Posterlet: A Game-Based Assessment of Children’s Choices to Seek Feedback and to Revise"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/g1/58/bh/66/g158bh663"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/47/dt/59/c247dt59m"	"http://terms.library.ualberta.ca/public"	"University Delegate Teleconference Minutes June 4, 2015"
"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f7/62/3d/02/f7623d02c"	"http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/r3/6t/x7/c2r36tx70n"	"http://terms.library.ualberta.ca/public"	"PowerPoint use in undergraduate teacher education classes: Perspectives of elementary and secondary pre-service teachers"
