Department of Educational Administration	502
Department of Secondary Education	453
Department of Elementary Education	478
Department of Forest Science	86
Department of Industrial and Vocational Education	83
Department of Oncology	79
Department of Botany	82
Department of Soil Science	83
Department of Mechanical Engineering	656
Department of Civil and Environmental Engineering	911
Department of Rural Economy	191
Department of Biological Sciences	665
Department of English	320
Department of Geography	209
Department of Civil Engineering	384
Department of Biomedical Engineering	58
Department of Electrical and Computer Engineering	657
Department of Educational Foundations	199
Department of Human Ecology	137
Department of Drama	84
Department of Germanic Languages	33
Department of Computing Science	768
Department of Renewable Resources	399
Department of Anthropology	263
Department of Clothing and Textiles	19
Department of Agricultural, Food, and Nutritional Science	550
Department of Surgery	167
Department of Mathematics	81
Department of Physics	494
Department of Physical Education and Sport Studies	190
Department of Electrical Engineering	248
Department of Medicine	183
Department of Psychology	228
Department of Chemical and Materials Engineering	794
Department of Earth and Atmospheric Sciences	382
School of Public Health Sciences	32
Department of Educational Psychology	1530
Department of History	124
Department of Agricultural Engineering	63
Department of Linguistics	84
Department of Zoology	198
Department of Mathematical and Statistical Sciences	246
Department of Physiology	140
Department of Music	100
Faculty of Physical Education and Recreation	138
Department of Resource Economics and Environmental Sociology	119
Department of Chemistry	761
Department of Plant Science	98
Department of Modern Languages and Cultural Studies	121
Department of Educational Policy Studies	320
Department of Sociology	300
Department of Food Science	69
Department of Adult, Career, and Technology Education	100
Department of Political Science	225
Department of English and Film Studies	117
Department of Speech Pathology and Audiology	53
Department of Agricultural, Food and Nutritional Science	63
Department of Art and Design	47
Faculty of Pharmacy and Pharmaceutical Sciences	226
Department of Philosophy	151
Department of Social Science	1
Department of Geology	206
Department of Medical Microbiology and Immunology	107
Department of Recreation and Leisure Studies	42
Department of Mineral Engineering	30
Department of Entomology	53
Faculty of Nursing	432
Faculty of Library and Information Studies	5
Department of Medical Sciences	67
Alberta Research Council	4
Physical Education and Recreation	154
Faculty of Rehabilitation Medicine	117
Department of Mining, Metallurgical and Petroleum Engineering	96
Department of Pharmacology	102
Department of Biochemistry	216
Department of Civil & Environmental Engineering	6
Department of Animal Science	131
Alberta Fish and Wildlife Division	2
Department of Public Health Sciences	139
Alberta Energy and Natural Resources	2
Alberta Earth Sciences Division	1
Alberta Environment. Research Management Division.	5
Department of Foods and Nutrition	12
Faculty of Business	128
Department of Mathematical Sciences	81
Department of Chemical Engineering	168
Department of Modern Languages and Comparative Studies	40
Department of History and Classics	116
Department of Romance Languages	66
Department of Family Studies	26
Department of Mining, Metallurgy and Petroleum Engineering	17
Department of Microbiology	49
Department of Genetics	51
Religious Studies	26
Department of Economics	45
Department of Comparative Literature	74
Centre for Health Promotion Studies	50
Department of Dentistry	12
Department of Psychiatry	65
Comparative Literature	40
Department of Communication Sciences and Disorders	20
Department of Pediatrics	7
Department of Comparative Literature, Religion, and Film/Media Studies	16
Department of Physical Education	60
Department of Chemical and Petroleum Engineering	19
Faculty of Law	62
Medical Science - Laboratory Medicine and Pathology	1
Centre for Neuroscience	92
Humanities Computing	50
Department of East Asian Studies	50
Department of Agricultural Economics and Rural Sociology	5
Medical Sciences-Paediatrics	67
Faculty of Home Economics	50
Faculty of Graduate Studies and Research	7
Educational Policy Studies	2
Medical Sciences-Dentistry	19
School Public Health Sciences	16
Department of Classics	24
Department of Music and Department of Sociology	1
Department of Occupational Therapy	31
Department of Applied Sciences in Medicine	12
Faculty of Dentistry	27
Medical Sciences- Laboratory Medicine and Pathology	25
Department of Slavic Languages	5
Medical Sciences-Oral Biology	5
Department of Food Science and Nutrition	15
Rural Economy	15
Division of Neuroscience	17
Department of Physical Therapy	49
Department of Education Policy Studies	3
Department of Adult and Higher Education	3
Alberta Environment. Research Secretariat	4
Department of Educational Psychology in Counselling Psychology	1
Department of Physical Education and Sports Studies	9
Department of Medical Microbiology and Infectious Diseases	27
Faculty of Native Studies	11
Department of Statistics and Applied Probability	18
School of Business	11
Department of Cell Biology	53
Department of Slavic and East European Studies	50
Department of Adult Career and Technology	6
Department of Laboratory Medicine and Pathology	16
Department of Animal Nutrition	1
Medical Sciences - Medical Genetics	7
Department of Psycholinguistics	1
Division of Community Development	7
Department of Comparative Literature and Film Studies	13
Electrical and Computer Engineering	15
Hole School of Construction Engineering and Management, Department of Civil and Environmental Engineering	1
Medical Sciences - Biomedical Engineering and Electrical and Computer Engineering	1
Department of Health Services Administration and Community Medicine	22
Elementary Education	2
Department of Political Science and Division of East European Studies	1
Laboratory Medicine and Pathology	16
Department of Biological Science	1
Department of Pathology	18
Department of Chemical	1
Medical Sciences-Laboratory Medicine and Pathology	24
Department of Education Psychology	4
Faculty of Business Administration and Commerce	3
Department of Cell Biology and Anatomy	6
Department of Immunology	19
Department of Education	3
School of Public Health	85
Faculty of Medicine	19
Medical Sciences-Medical Genetics	31
Medical Sciences - Pediatrics	4
Department of Radiology and Diagnostic Imaging	7
Department of Physical Education and Recreation	15
Department of Health Promotion	1
Medical Sciences-Orthodontics	27
Faculté Saint-Jean	28
Department of Nursing	9
Rehabilitation Medicine	3
Medicine	12
Medical Sciences	1
Department of Anatomy and Cell Biology	7
Dentistry	2
Department of Anatomy	5
Department of Oral Health Sciences	9
Alberta Department of the Environment. Planning Division	1
Chemical and Materials Engineering	1
Department of Medical Sciences-Oncology	3
Department of Anthropogy	1
Chemical and Materials Engineering and Medical Sciences - Laboratory Medicine and Pathology	1
Medical Sciences - Laboratory Medicine and Pathology	5
Biochemistry	1
Alberta Department of the Environment	1
Department of Humanities Computing	1
Faculty of Medicine (Psychiatry)	1
Radiology and Diagnostic Imaging	1
Department of Pharmacy and Pharmaceutical Sciences	8
Division of Health Services Administration	3
Faculty of Library Science	2
English and Film Studies and Women’s Studies	1
Faculty of Laws	2
Public Health Sciences	10
Faculty of Medicine and Denistry	1
Physics	1
Department of Health Services Administration	1
Department of Agriculture, Food and Nutritional Science	5
Alberta Department of the Environment. Design and Construction Division	1
School of Library and Information Studies	25
Department of Earth & Atmospheric Sciences	1
Department of Educational Studies	2
Department of Electrical & Computer Engineering	3
Department of Marketing, Business Economics and Law	1
Medical Sciences-Shantou in Laboratory Medicine and Pathology	2
Department of Adult, Career & Technology Education	6
Department of Comparative Literature, Film, Religious and Media Studies	1
Interdepartmental Committee in Community Development	3
Department of Modern Languages and Cultural Studies: Germanic, Romance, Slavic	6
Medical Sciences- Obstetrics and Gynecology	2
Department of Paediatrics	1
Faculty of Extension	6
Humanities Computing - Library and Information Studies	2
Department of Rural Economy and the Faculty of Native Studies	1
Medical Sciences - Orthodontics	3
Department of Microbiology and Immunology	1
Department of Agricultural, Food and Nutritional Sciences	5
Department of Secondary Education and Department of Physics	1
Medical Sciences-Dental Hygiene	5
Neuroscience	15
Faculty of Kinesiology, Sport, Recreation	4
Kinesiology, Sport and Recreation	7
Medical Sciences-Oral Medicine	2
Faculty of Kinesiology, Sport, and Recreation	9
Department of Health Promotion Studies	1
Medical Sciences-Obstetrics and Gynecology	3
Medical Sciences-Ophthalmology and Visual Sciences	2
