NOID	Predicates	weight	permission	md5checksum
cfb4948464	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	560	public	5b70e1e876c0f81be625cda3f90d2aaf	
c8623hx75f	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	576	public	5b70e1e876c0f81be625cda3f90d2aaf	

bbr86b356g	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	6	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
12579v20v	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
dr26z0322	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
6108vd472	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	6	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
bx920fw84t	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	7	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
qf85nd95f	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	
q811km55r	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	6	No permission object found	a574c48c6028b3f2c685ee9b5df3fc37	

4f16c560b	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	university_of_alberta	ef27ea12db2c5215d7d3619bd1002b50	
6969z332d	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	university_of_alberta	ef27ea12db2c5215d7d3619bd1002b50	

bz029p4732	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	7caa3548156f1e16ee8eb5b1824e7c5f	
2514np110	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	7caa3548156f1e16ee8eb5b1824e7c5f	

6d56zw74c	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	university_of_alberta	d0d25184181d0b45d57aab7f4803840a	
bg257f72b	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	d0d25184181d0b45d57aab7f4803840a	

6h440s73g	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	288	university_of_alberta	deb24bd0635fce35fed45c82dcc2bad2	
6d56zz15m	{'title': 'true', 'hasCollectionId': 'true', 'graduationdate': 'true', 'dis': 'true'}	4	public	deb24bd0635fce35fed45c82dcc2bad2	

zw12z5396	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	university_of_alberta	162d5f2f5867b0137cb45fc720ecef18	
z029p618j	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	16	university_of_alberta	162d5f2f5867b0137cb45fc720ecef18	

z890rx099	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	9f3af243c4acef266c0a0d72666ac7d7	
bz890rt33f	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	9f3af243c4acef266c0a0d72666ac7d7	

b7d278t03x	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	18	No permission object found	24667c92d37722f96710adbd3a65cd7a	
qj72p8572	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	72	public	24667c92d37722f96710adbd3a65cd7a	
b8k71nh155	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	18	No permission object found	24667c92d37722f96710adbd3a65cd7a	

f1881n732	{'title': 'true', 'hasCollectionId': 'true', 'graduationdate': 'true', 'dis': 'true'}	4	public	9f87c329ad125398aeddb0c46f0d4358	
0p096876n	{'title': 'true', 'hasCollectionId': 'true', 'graduationdate': 'true', 'dis': 'true'}	4	public	9f87c329ad125398aeddb0c46f0d4358	

pr76f464c	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	b38759a6f28f14f92a38b57684cb4e61	
cr781wg290	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	b38759a6f28f14f92a38b57684cb4e61	

bc821gj94v	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	48	public	6ef06044c8220e90de3140d8a713e1c6	
b8k71nh28c	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	48	university_of_alberta	6ef06044c8220e90de3140d8a713e1c6	

b7d278t15t	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	160	university_of_alberta	493ec6977f03eea0734b3e6eade6a73f	
fq977x47g	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	192	university_of_alberta	493ec6977f03eea0734b3e6eade6a73f	

vd66w286m	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	48097f9464f1f16355206dd10de855da	
b2773w576	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	88	public	48097f9464f1f16355206dd10de855da	

qr46r3856	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	48	public	0f7282567bb03d12cf290808695be758	
1g05ff467	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	0f7282567bb03d12cf290808695be758	

bk35694451	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	c68b5a42c3593ebe7b0067520397fe97	
bx633f125s	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	c68b5a42c3593ebe7b0067520397fe97	
brv042t19d	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	c68b5a42c3593ebe7b0067520397fe97	
5999n6217	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	c68b5a42c3593ebe7b0067520397fe97	
b1v53jx11m	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	c68b5a42c3593ebe7b0067520397fe97	

f7623d68g	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	480	public	8cb301cd95c56c6cf4daf75c9a214470	
cmg74qm38q	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	240	public	8cb301cd95c56c6cf4daf75c9a214470	

nz806014s	{'title': 'true', 'hasCollectionId': 'true', 'graduationdate': 'true', 'dis': 'true'}	4	public	e55d116b631807e2da292d04a8979bb3	
b3f462541h	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'false', 'language': 'true', 'doi': 'false'}	4	No permission object found	e55d116b631807e2da292d04a8979bb3	

b1g05fb76m	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	96	university_of_alberta	d6e28bc2c5bfe38ef574dce308efb3d9	
g445ch25q	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	d6e28bc2c5bfe38ef574dce308efb3d9	
79408103p	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	64	public	d6e28bc2c5bfe38ef574dce308efb3d9	

bms35t8749	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	21	No permission object found	e32e4089aef45a81658f4cb969265fac	
br207tp550	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	e32e4089aef45a81658f4cb969265fac	

z603qz227	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	24	public	e08bd1731b11306e53f0bf33354d813f	
sn009z66j	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	24	public	e08bd1731b11306e53f0bf33354d813f	

g445ch22w	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	20c3a6fff25cca66f184e932eb2af143	
bn583xv07k	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	20c3a6fff25cca66f184e932eb2af143	

ks65hf28f	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	772c8071d2a024c3521192b839f38c73	
wp988m75g	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	772c8071d2a024c3521192b839f38c73	
2801pj34b	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	772c8071d2a024c3521192b839f38c73	
4m90dx18d	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	772c8071d2a024c3521192b839f38c73	
1r66j289k	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	772c8071d2a024c3521192b839f38c73	
z890rw90s	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	6	No permission object found	772c8071d2a024c3521192b839f38c73	
1831cm956	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	3	No permission object found	772c8071d2a024c3521192b839f38c73	

cvt150j49b	{'title': 'true', 'hasCollectionId': 'true', 'graduationdate': 'true', 'dis': 'true'}	4	No permission object found	0a86c19ba1ca0f8efbf22bb2ae41b085	
bz60cx770	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	56	public	0a86c19ba1ca0f8efbf22bb2ae41b085	

n296x0405	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	24	public	4e7ec9dbb9ccf99334967a3ec1d54c4f	
btd96k249d	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'false', 'type': 'true', 'title': 'true', 'creator': 'false', 'language': 'true', 'doi': 'false'}	4	No permission object found	4e7ec9dbb9ccf99334967a3ec1d54c4f	
cn009w2551	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	24	public	4e7ec9dbb9ccf99334967a3ec1d54c4f	

cjs956g232	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	384	public	5662c90d73d279cdb1a17d4df9ef5fce	
ch989r3528	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	384	public	5662c90d73d279cdb1a17d4df9ef5fce	

b9c67wm90b	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	21	public	5f2702f4d4986a4a1e20228c313ed617	
4t64gq81x	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	5f2702f4d4986a4a1e20228c313ed617	

41687m47r	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	a3ac7ddabb263c2d00b73e8177d15c8d	
jw827f08j	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	a3ac7ddabb263c2d00b73e8177d15c8d	

brb68xb94t	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	76b79ac88abc6c82f0da9bc823e8bf73	
bs7526c518	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	76b79ac88abc6c82f0da9bc823e8bf73	

s4655h124	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	52b99d3c79115d64d43f0769c8610e82	
db78td80g	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	university_of_alberta	52b99d3c79115d64d43f0769c8610e82	

b2773x300	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	24	public	96921373d1c662945d6274391c7e0b9e	
xg94hq590	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	16	public	96921373d1c662945d6274391c7e0b9e	

csb397841r	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	320	public	572af2df68b386c8c498d19eafac2699	
c6h440s85w	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	320	public	572af2df68b386c8c498d19eafac2699	

c9019s245k	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	120	public	4119f95c2d91fc37a72d57041da688b5	
c6t053g318	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	120	public	4119f95c2d91fc37a72d57041da688b5	

2r36v148d	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	5c8a9c483b4a8c9954bae8ec819a1a0e	
bv118rd524	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	5c8a9c483b4a8c9954bae8ec819a1a0e	

v979v620g	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	0ced287c1fdd9932a103a10a510c1a64	
dr26z136c	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	0ced287c1fdd9932a103a10a510c1a64	

cf1881m13m	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	320	public	63ceafb7fc33352b15256284319034bb	
zg64tm484	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	320	public	63ceafb7fc33352b15256284319034bb	

cmw22v575s	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	120	public	000937f5a226e460ce837f8224199d7e	
c9z903006m	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	120	public	000937f5a226e460ce837f8224199d7e	

hm50tv53m	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	4a597a6ae4c902e544c649a6711e457f	
bc386n07d	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	8	public	4a597a6ae4c902e544c649a6711e457f	

5712m753m	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	480	public	d664287898eea03c2d942a5fd2472dc4	
t148fj62z	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	480	public	d664287898eea03c2d942a5fd2472dc4	

c6108vb52v	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	720	public	94e6cc0c8e2d4f9beee24a5e0ba7cf61	
cjw827b918	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	720	public	94e6cc0c8e2d4f9beee24a5e0ba7cf61	

6108vd89k	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	305d9d24037ef5bbaadb28d021bf92df	
1g05ff44p	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	280	public	305d9d24037ef5bbaadb28d021bf92df	

gm80hz03r	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	480	public	b7ac1cd8e3dac13e18f2415aaee379e0	
pn89d920g	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	480	public	b7ac1cd8e3dac13e18f2415aaee379e0	

bv405s9495	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	b0516769e7cf1b0d98000a1a3c7f605f	
ff365807x	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	b0516769e7cf1b0d98000a1a3c7f605f	
bks65hc361	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	b0516769e7cf1b0d98000a1a3c7f605f	
ht24wm94d	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	b0516769e7cf1b0d98000a1a3c7f605f	
bnk322d426	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	b0516769e7cf1b0d98000a1a3c7f605f	

btt44pm868	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	48	public	25c0e490706ea024b8b1d689588c65f5	
tb09j833q	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	32	public	25c0e490706ea024b8b1d689588c65f5	

bqn59q399b	{'hasCollectionId': 'false', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'false'}	6	No permission object found	5c2bece8257843ecfb5121e8047f6613	
k643b381c	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	5c2bece8257843ecfb5121e8047f6613	

0c483n07n	{'hasCollectionId': 'false', 'created': 'false', 'subject': 'false', 'type': 'false', 'title': 'true', 'creator': 'true', 'language': 'false', 'doi': 'false'}	2	No permission object found	5c3f279c05e734ca18fc0072c3744649	
jw827f20t	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	48	public	5c3f279c05e734ca18fc0072c3744649	

g732d929f	{'hasCollectionId': 'true', 'created': 'true', 'subject': 'true', 'type': 'true', 'title': 'true', 'creator': 'true', 'language': 'true', 'doi': 'true'}	160	public	42158957ce9d1aa05675ef748cc6d8b4	
