Column 1	uri	test	Column 3	acc	Column 5
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/j4/30/46/brj4304662		| http://pcdm.org/models#memberOf	None	private in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c4/45/58/d4/c44558d464	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/40/c6682x4096	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x410p	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x4110	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/w6/2f/83/c7w62f8361	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/j8/2k/74/ccj82k743g	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cm/p4/8s/c9/cmp48sc999	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/b0/9j/58/ctb09j588t	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/x0/21/f2/cvx021f29x	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/08/92/b0/cw0892b04w	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/92/0f/x0/cx920fx06h	None	| http://pcdm.org/models#memberOf	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/j4/30/46/brj4304662		| http://prismstandard.org/namespaces/basic/3.0/doi	None	private in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/86/12/n8/c08612n84n		| http://prismstandard.org/namespaces/basic/3.0/doi	None	not in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/v8/38/08/c0v838083c	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	not in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/51/4n/k7/c2514nk75c	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/f7/5r/81/c2f75r818x	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c4/45/58/d4/c44558d464	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c5/99/9n/34/c5999n348p		| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/40/c6682x4096	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x410p	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x4110	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/w6/2f/83/c7w62f8361	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/j8/2k/74/ccj82k743g	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/50/4r/k4/cd504rk47b	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cm/p4/8s/c9/cmp48sc999	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/52/4j/n9/cq524jn957		| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cs/75/26/c7/cs7526c76d	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/b0/9j/58/ctb09j588t	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/x0/21/f2/cvx021f29x	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/08/92/b0/cw0892b04w	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/h2/46/s3/cwh246s37g	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/p9/88/k0/cwp988k01x	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/92/0f/x0/cx920fx06h	None	| http://prismstandard.org/namespaces/basic/3.0/doi	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/f7/5r/81/c2f75r818x	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c4/45/58/d4/c44558d464	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c5/99/9n/34/c5999n348p		| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/40/c6682x4096	None	| http://purl.org/dc/elements/1.1/creator	None	
